,cat,id
0,2,1048976
1,0,2009886
2,2,2322395
3,2,3665684
4,2,4016673
5,1,4225595
6,2,4820349
7,0,4995543
8,0,5168671
9,2,5435125
10,1,9069718
11,0,9544119
12,1,9831134
13,0,11565417
14,2,12013208
15,1,16768640
16,1,17097245
17,2,17398407
18,1,18431335
19,0,18533427
20,0,18759945
21,1,19079343
22,2,20137317
23,1,20592367
24,2,21975531
25,0,23319615
26,2,25155922
27,1,25181051
28,1,25617743
29,0,26274565
30,2,26544872
31,2,28595745
32,1,29826443
33,2,34099869
34,2,34908703
35,0,35868850
36,2,36707229
37,2,36940812
38,1,36979788
39,2,37382098
40,2,37563546
41,2,38216125
42,2,41081242
43,2,41390851
44,2,41974275
45,1,44522661
46,1,44808337
47,1,45296218
48,2,45334321
49,0,46261897
50,1,46903407
51,1,46915012
52,1,47118434
53,1,47873819
54,2,49965157
55,0,52049614
56,0,54601771
57,0,56474229
58,0,56995125
59,0,57007190
60,1,57503466
61,0,57548720
62,0,57599578
63,0,57950430
64,1,58342444
65,2,60508861
66,1,60606046
67,1,60935376
68,0,63060527
69,1,63133029
70,1,66841281
71,1,67891370
72,1,68368784
73,2,70055525
74,2,70138268
75,0,71280913
76,1,71621118
77,1,71846253
78,0,72312903
79,1,74840800
80,1,74914604
81,0,74990957
82,1,76729687
83,1,77695087
84,0,77797770
85,0,78512662
86,2,79232702
87,0,80176777
88,2,80969118
89,2,83877374
90,0,83957971
91,0,83963183
92,0,84778252
93,0,85857323
94,0,86008329
95,0,86295306
96,1,86559041
97,2,86721882
98,2,87604979
99,0,88276726
100,1,88305303
101,2,88472105
102,2,88724034
103,1,92427075
104,1,92674138
105,2,92751998
106,2,92911691
107,2,93720369
108,0,94196834
109,2,94250105
110,2,97829462
111,0,99618722
112,2,99802730
113,1,99866330
114,1,100152848
115,0,100433541
116,1,104066327
117,2,104625353
118,1,106088984
119,2,107323564
120,0,107877965
121,0,108589872
122,1,108677418
123,2,109974981
124,2,111002596
125,2,111645117
126,2,112201830
127,0,112666809
128,1,112876435
129,2,113610902
130,2,113611382
131,2,114521264
132,2,116771793
133,0,117654985
134,1,118039847
135,2,119376832
136,2,119803907
137,0,120169654
138,0,120307244
139,0,121145084
140,0,121176687
141,1,121255546
142,0,121554933
143,1,122036411
144,2,122077673
145,2,122340249
146,1,124087736
147,1,124300600
148,1,125214607
149,1,126233989
150,0,128413343
151,1,128497022
152,1,128740939
153,2,128873660
154,0,130472228
155,2,131427912
156,1,131807156
157,2,132705183
158,1,133568811
159,0,136167468
160,0,138303035
161,0,138766789
162,0,138919625
163,1,139416518
164,0,139827081
165,0,140031555
166,1,141076464
167,1,141977150
168,2,142982987
169,0,143427808
170,1,143992903
171,2,144066804
172,1,144590993
173,0,145084544
174,0,145670682
175,0,146050608
176,1,146363052
177,0,149287390
178,0,150499824
179,2,150613104
180,2,152466099
181,0,153367361
182,2,154061710
183,2,154703617
184,1,155453617
185,2,155508822
186,2,156199251
187,1,156242142
188,0,156451904
189,0,159239043
190,2,160372999
191,1,161406538
192,2,161532765
193,0,161957580
194,1,163685441
195,0,164079196
196,2,165034498
197,0,167002453
198,1,168380003
199,0,170211943
200,1,172157291
201,2,173858408
202,1,174220214
203,2,174250761
204,0,174306641
205,1,174332120
206,0,175423657
207,2,175716338
208,1,176298212
209,2,176570910
210,1,177125380
211,0,177184576
212,2,178048774
213,2,178328489
214,1,179695757
215,0,179804272
216,1,179852601
217,0,180615618
218,0,180905550
219,2,181443380
220,0,181464128
221,1,181775224
222,2,182092872
223,0,183260730
224,0,185224066
225,2,185931594
226,2,186252190
227,1,187137121
228,0,187552037
229,2,188553538
230,2,188674787
231,0,189387432
232,2,189480152
233,0,190928029
234,1,191361268
235,0,192835088
236,0,192853529
237,0,193958729
238,0,197479675
239,1,198655647
240,1,198931926
241,2,200124459
242,1,200794661
243,2,200799597
244,2,201265930
245,1,201890472
246,0,202582760
247,1,202785037
248,0,203709896
249,1,204608112
250,2,206127577
251,1,207113221
252,0,207157355
253,2,207195688
254,1,207824224
255,1,207993944
256,1,211897947
257,2,212094134
258,0,212351967
259,0,212976761
260,0,213239936
261,0,213492428
262,0,214524774
263,1,214642341
264,0,216000759
265,0,216986021
266,1,220701744
267,2,224444269
268,0,224460883
269,0,224535914
270,2,226562805
271,2,226637123
272,1,227229215
273,2,227327346
274,2,228080163
275,0,228600335
276,2,228902936
277,1,229525962
278,2,229804303
279,0,230248483
280,1,232621548
281,1,232886831
282,2,235483787
283,1,235620539
284,0,236567133
285,0,236579627
286,0,238351789
287,1,242211209
288,1,242854924
289,0,243052380
290,1,243102187
291,2,243433576
292,2,244194770
293,0,244914982
294,2,245996344
295,1,246093405
296,0,248079092
297,1,248429629
298,0,249274583
299,2,250215576
300,0,250612858
301,2,250760028
302,1,252757796
303,0,253302554
304,1,255395849
305,0,257481270
306,2,260734166
307,2,263949558
308,2,264280407
309,1,264716381
310,2,266074480
311,0,266075531
312,0,267298902
313,2,268381090
314,2,268563820
315,2,268970971
316,0,269904034
317,1,270418745
318,1,272173421
319,1,273227759
320,0,274613309
321,1,274880228
322,2,275584484
323,2,276189613
324,1,276979826
325,0,278800639
326,0,279164775
327,0,279379617
328,0,279395761
329,0,281101446
330,2,282579489
331,2,282979848
332,2,283419398
333,2,283484514
334,1,283851062
335,0,284354504
336,2,285147581
337,0,285391889
338,2,286366427
339,1,286672924
340,1,287601423
341,0,287635358
342,2,287823926
343,1,288792537
344,0,291784683
345,1,295557862
346,0,295589471
347,1,295720961
348,0,297728361
349,1,298963761
350,2,302495680
351,0,302784107
352,0,302822169
353,1,303724294
354,0,303807614
355,1,303977786
356,1,304018602
357,1,305328725
358,1,306308669
359,0,307735793
360,1,308801833
361,1,310147897
362,0,310296154
363,2,311648987
364,0,311687143
365,2,312079270
366,1,312100446
367,0,312165067
368,0,312958723
369,2,315502592
370,2,315709641
371,0,317126141
372,2,318626004
373,2,320825368
374,0,321351012
375,1,322637350
376,1,323023830
377,1,323237485
378,2,324021883
379,0,324227348
380,1,325201201
381,1,325674972
382,1,325850631
383,1,327488354
384,0,327931920
385,0,328475758
386,1,329347136
387,0,329457710
388,1,329869041
389,0,333960983
390,1,338869033
391,0,338887864
392,1,339572352
393,2,339597963
394,0,340212289
395,0,341061549
396,1,341617244
397,2,343184526
398,2,343565623
399,2,344056947
400,2,345150662
401,1,345842453
402,1,347200509
403,0,347336652
404,1,347892437
405,1,347927072
406,1,348984840
407,2,349065106
408,1,349582205
409,0,350508573
410,2,350568092
411,2,351024327
412,2,351116995
413,2,352581372
414,2,353658252
415,0,355033002
416,0,356355295
417,1,357992238
418,1,359092735
419,0,359509594
420,2,360008151
421,1,361937635
422,1,362821969
423,0,363729087
424,0,364948701
425,1,365879787
426,2,367262055
427,0,367476423
428,2,369984801
429,2,370699964
430,1,370833359
431,2,372692366
432,1,373286870
433,2,374912865
434,1,376013977
435,1,376528281
436,1,376548864
437,1,376635737
438,0,376715605
439,2,377389205
440,2,377915844
441,0,379505974
442,2,379838066
443,1,380439899
444,2,381052794
445,2,382463604
446,0,383280005
447,2,383337450
448,1,384520971
449,1,385774831
450,1,386024679
451,2,386928415
452,0,387700935
453,1,387800781
454,0,388238804
455,2,390487649
456,1,390788419
457,0,390913512
458,2,391052080
459,1,391147389
460,0,393061033
461,1,394143147
462,0,394298802
463,2,395135397
464,2,395347658
465,1,395834090
466,0,395975856
467,2,396420676
468,1,396579572
469,1,396802638
470,1,400918375
471,1,402431170
472,1,402989933
473,1,403334224
474,2,403918816
475,1,405189621
476,2,405466307
477,1,406860983
478,0,407213136
479,2,408572765
480,1,408788135
481,1,408815058
482,2,409057351
483,1,409983833
484,1,410291640
485,0,410431920
486,1,410537262
487,1,413885857
488,0,414517638
489,2,414881593
490,2,414888732
491,2,415713329
492,2,416175015
493,1,416836832
494,2,417901145
495,0,418193893
496,0,418742617
497,0,420103048
498,0,420297645
499,1,420524929
500,2,420806912
501,0,421722033
502,0,421727742
503,2,422836065
504,1,423379372
505,1,423384488
506,2,429195575
507,2,429680201
508,2,429933943
509,0,431559352
510,2,432144685
511,1,432296537
512,2,433252854
513,2,433789314
514,2,434338574
515,0,434745177
516,1,434793680
517,2,434817205
518,2,435636946
519,0,436535197
520,0,436759803
521,0,437694649
522,0,437786696
523,2,437991095
524,1,439950542
525,0,440299759
526,0,440369345
527,0,440557510
528,1,440743472
529,2,440922900
530,0,441924830
531,0,442380194
532,1,443421318
533,1,444261661
534,1,444589474
535,2,445132384
536,2,446267873
537,1,446704776
538,2,448113976
539,2,448142895
540,2,448673712
541,1,448943019
542,0,448984488
543,0,449135073
544,1,450000583
545,2,450419966
546,2,450776984
547,1,450847908
548,0,451634473
549,0,451634974
550,1,451887788
551,0,452242117
552,1,452439792
553,1,452984038
554,1,453430754
555,1,453699772
556,1,453713543
557,0,454209910
558,2,454672066
559,2,456334111
560,0,456437032
561,1,456588469
562,2,457120856
563,1,457282050
564,0,457282222
565,2,459508037
566,0,461901477
567,1,462242371
568,1,462639455
569,2,463671588
570,0,464865845
571,0,465459499
