,cat,id
0,2,119192
1,2,794259
2,3,2340481
3,1,2654415
4,1,2922569
5,2,3021860
6,3,3360635
7,1,3419362
8,2,3514736
9,3,4079954
10,3,4743791
11,2,4903157
12,1,5312391
13,2,5318005
14,2,6571920
15,1,6656399
16,2,7048087
17,0,8045622
18,1,8159925
19,2,8270309
20,1,8516481
21,0,8784174
22,0,9700133
23,1,10039989
24,1,11054952
25,0,11153224
26,2,11585044
27,0,12765398
28,2,13306688
29,1,13871327
30,0,14087887
31,3,14541901
32,1,14704358
33,2,15590019
34,1,15984047
35,3,16270253
36,2,16282075
37,0,16410144
38,3,17373695
39,2,19286637
40,0,19416521
41,1,20385648
42,3,20385819
43,1,20419813
44,1,21567287
45,2,22339416
46,2,22520891
47,0,23104816
48,2,23382048
49,2,23623889
50,2,23944801
51,2,24682571
52,2,24978296
53,0,24991632
54,3,25102549
55,1,25969434
56,2,27519713
57,2,27724640
58,2,28313640
59,1,28943552
60,3,29031610
61,1,30085574
62,1,31430527
63,1,31574725
64,2,31629849
65,2,31884716
66,3,32716265
67,0,33378049
68,0,35837191
69,3,37586562
70,1,37681851
71,0,37927465
72,1,39350613
73,3,39918812
74,1,40024517
75,2,41227156
76,1,41470635
77,1,41538351
78,3,42711927
79,1,43121472
80,1,43122059
81,2,43554463
82,1,46156754
83,1,46156915
84,3,46560273
85,0,46970902
86,0,47982772
87,1,48181948
88,3,48388504
89,1,49101506
90,0,49127514
91,1,49565280
92,3,50592915
93,2,50614905
94,1,50643918
95,3,51260095
96,2,51478613
97,3,51988779
98,3,53996135
99,0,54041296
100,1,54041375
101,3,54920544
102,3,55546538
103,0,57221819
104,2,57579729
105,2,57684151
106,0,58683798
107,1,58739053
108,1,58863436
109,1,58868074
110,1,58875031
111,1,59786050
112,1,59826444
113,1,60300972
114,2,61701044
115,1,62121056
116,3,62752912
117,1,62784323
118,2,63575967
119,2,65555138
120,1,65606202
121,2,65790542
122,2,65925834
123,3,68963291
124,1,69906798
125,2,69942884
126,3,70285675
127,2,72315233
128,3,72752729
129,1,73180208
130,2,75663496
131,3,76258682
132,3,76565214
133,3,76852229
134,3,77107898
135,1,78591675
136,1,78817157
137,2,80724839
138,1,81151187
139,0,82444578
140,1,83206181
141,2,84149797
142,3,84723622
143,2,84761949
144,2,86561202
145,1,87284433
146,0,88093928
147,1,88408757
148,3,88411391
149,3,88757209
150,2,88871530
151,2,89438488
152,0,89524858
153,1,89970518
154,1,90133914
155,3,90719094
156,3,90727980
157,1,90789965
158,3,90804781
159,1,91720028
160,2,91917789
161,2,93105501
162,3,96271335
163,3,97257753
164,0,97635933
165,0,98874515
166,1,99768881
167,0,101439818
168,2,102528690
169,2,102528725
170,1,102961005
171,1,103055212
172,1,103598657
173,2,106579447
174,2,106808287
175,0,107674858
176,2,108576943
177,1,108701133
178,1,109281147
179,2,109321473
180,3,109624676
181,2,110009403
182,1,110245860
183,3,110285227
184,3,112131492
185,1,112813674
186,3,113199293
187,3,113402917
188,2,113583977
189,0,115466893
190,3,115769438
191,2,115923614
192,2,116760874
193,3,116964034
194,2,119551281
195,2,119773839
196,1,120479746
197,1,120582697
198,3,120654861
199,1,120690612
200,1,122788477
201,1,123906238
202,1,124918198
203,0,126664206
204,2,127068825
205,2,127352127
206,1,128326310
207,1,128353722
208,3,128553771
209,1,129582250
210,2,129769431
211,2,129769936
212,1,129911904
213,1,130948096
214,1,130993337
215,1,133103598
216,1,133407715
217,1,133640949
218,2,133859246
219,2,134007245
220,2,134402927
221,1,134567549
222,1,135727268
223,1,135727549
224,0,135903299
225,3,137037147
226,2,137611420
227,3,137955834
228,2,138572485
229,1,139769603
230,1,140130258
231,3,140183289
232,1,140518639
233,3,140678868
234,1,140747612
235,2,140776498
236,1,143030407
237,1,143128974
238,2,144323661
239,1,144436644
240,2,144608203
241,2,144608226
242,0,145847661
243,2,146543853
244,1,147154907
245,1,147254442
246,1,148018746
247,1,148199124
248,2,149539194
249,1,149655573
250,2,150364805
251,1,150646761
252,1,153617532
253,1,154092144
254,1,154567786
255,0,154708807
256,1,155902093
257,3,156376730
258,1,156464652
259,0,157157308
260,1,158548792
261,2,159195004
262,2,159296680
263,1,160592793
264,2,160943858
265,1,161823491
266,3,162217569
267,2,162654834
268,2,162883290
269,2,163022327
270,1,163694284
271,2,163969725
272,1,165075991
273,3,166422156
274,1,167089568
275,1,170397712
276,3,171042835
277,3,171559290
278,1,171585796
279,1,171596006
280,1,172589618
281,1,174373755
282,3,174373787
283,1,174555851
284,2,175135488
285,0,175492839
286,3,177148880
287,2,178760520
288,2,178762965
289,1,179784273
290,1,179796082
291,1,180089709
292,1,180660960
293,1,181190768
294,2,181313716
295,2,182007437
296,1,182198274
297,1,182207644
298,1,182228747
299,0,183653185
300,1,184243193
301,3,184298831
302,3,184299546
303,1,184509446
304,1,185530518
305,1,187589766
306,1,187934975
307,1,188308597
308,2,188722193
309,1,189221910
310,0,189403774
311,3,191144371
312,2,192166002
313,1,192641762
314,1,192781301
315,1,192797156
316,2,193087495
317,0,193534391
318,2,193802296
319,1,194877459
320,1,194881620
321,1,195301782
322,1,196556378
323,2,196909707
324,3,197375334
325,2,197739471
326,2,198720537
327,0,198748403
328,1,199509815
329,1,199977611
330,1,199982570
331,1,200599931
332,2,201314422
333,0,202068564
334,1,203440471
335,1,204435036
336,3,206072231
337,2,207796008
338,2,208272710
339,1,208581200
340,0,209773926
341,1,210070310
342,2,210255124
343,2,210274288
344,2,212038228
345,1,212694028
346,1,214023528
347,3,214095105
348,3,214430207
349,3,215266999
350,1,215313701
351,2,215602738
352,3,216319378
353,1,217033168
354,1,217761350
355,1,219113852
356,1,220333963
357,3,220885277
358,2,221749340
359,1,223559806
360,1,224086144
361,1,224176272
362,2,224568877
363,1,226091198
364,1,226152672
365,1,226391747
366,1,228869399
367,2,229205975
368,1,229362892
369,1,229457903
370,1,230752178
371,1,232355888
372,3,232850643
373,3,238849255
374,1,238961646
375,1,238969057
376,1,240099011
377,1,240111236
378,1,240112071
379,1,240965544
380,2,241000140
381,3,241026126
382,2,241471220
383,3,241639869
384,0,243012772
385,2,243013098
386,3,244255337
387,2,245199779
388,1,246905195
389,1,247695638
390,2,248072980
391,2,248288959
392,2,248336818
393,0,250477481
394,1,252017802
395,1,252329154
396,1,252329314
397,0,253583619
398,3,253695981
399,2,254843803
400,1,256099366
401,1,257215432
402,2,257589062
403,1,257790433
404,0,257806327
405,2,258028797
406,2,260622435
407,0,262008090
408,1,262457387
409,2,262990371
410,1,263514642
411,1,264700075
412,1,265102446
413,1,265473118
414,3,266055789
415,1,266218152
416,1,266423203
417,1,266423250
418,1,267713649
419,3,268994879
420,3,268994962
421,0,269923736
422,1,270575078
423,0,270577974
424,1,270637073
425,1,270821377
426,3,271274817
427,2,273882434
428,2,274193225
429,1,275143192
430,1,275429966
431,0,275810571
432,0,275989288
433,2,276051937
434,2,277208342
435,2,277210009
436,2,277536177
437,2,278860920
438,2,279027027
439,2,279068520
440,3,279130091
441,2,279132788
442,2,279138321
443,0,279151137
444,3,279235146
445,1,279243272
446,2,279266532
447,0,279432892
448,2,279480004
449,2,279503277
450,3,279506783
451,1,279598692
452,1,280339171
453,0,280748770
454,3,281759627
455,3,282515145
456,3,282634922
457,2,283009257
458,1,283355487
459,2,283563911
460,3,284927558
461,1,285336026
462,1,286193369
463,1,286469066
464,3,286556154
465,2,287348148
466,1,288016402
467,2,288270462
468,1,288540559
469,1,289300120
470,2,290782084
471,1,291020378
472,2,291358770
473,1,291801119
474,3,292366823
475,3,292416450
476,2,292945079
477,3,293278347
478,1,294227558
479,2,295117035
480,3,296360566
481,1,297329657
482,3,298677555
483,0,298814763
484,1,299150957
485,1,299164370
486,1,300871377
487,1,300891667
488,1,301557672
489,1,301775017
490,0,302237128
491,1,302749085
492,0,304639425
493,2,305579144
494,0,306041837
495,2,308409774
496,1,308872427
497,2,310457277
498,1,311065519
499,1,311533583
500,2,312063759
501,0,312720435
502,1,312944355
503,1,313934305
504,1,318544322
505,3,318888579
506,1,318889120
507,1,319175471
508,0,319563915
509,0,319781732
510,1,319816816
511,2,319904289
512,2,320461609
513,0,320636478
514,1,322269305
515,0,322737384
516,1,323170265
517,3,323321951
