,cat,id
0,1,527818
1,1,528739
2,0,1379352
3,1,3071015
4,1,3315623
5,1,4428943
6,0,4581827
7,0,4598598
8,0,4631733
9,0,4633766
10,1,4712709
11,1,5066828
12,1,5066906
13,0,5069250
14,1,5069768
15,1,5187713
16,0,5484864
17,0,5486869
18,1,5616157
19,0,5833539
20,0,6127518
21,0,6127564
22,0,6375291
23,0,6834363
24,1,6835061
25,0,7982860
26,1,8903971
27,1,8904012
28,1,9777009
29,0,10629683
30,0,10629887
31,0,10629959
32,0,10630042
33,0,10630072
34,0,10630141
35,0,10630182
36,1,11259487
37,0,11795478
38,1,11944978
39,0,12514932
40,0,13664134
41,0,13664300
42,1,13667001
43,0,16363192
44,0,16556134
45,0,20774373
46,0,22455303
47,0,22740929
48,1,22946121
49,0,22976457
50,1,23108167
51,0,23617031
52,1,24454841
53,0,25365576
54,1,26065970
55,0,27503460
56,0,27503488
57,0,27711474
58,1,28185347
59,0,29388984
60,1,29417001
61,0,29742933
62,1,29923884
63,1,30247213
64,1,30260269
65,0,30436895
66,0,30724860
67,0,31624828
68,1,31629037
69,1,32461746
70,0,32814940
71,0,33479405
72,1,33479625
73,0,33589645
74,0,34234508
75,0,34407752
76,0,34576260
77,0,35612862
78,0,36884429
79,0,37088169
80,0,38015615
81,0,38570293
82,0,39327671
83,1,39513197
84,1,40141966
85,0,41181142
86,0,42544801
87,0,42646917
88,0,43837761
89,0,43966720
90,0,43966732
91,1,44775044
92,1,44775327
93,1,45383394
94,1,45384479
95,0,46269925
96,0,46469664
97,1,47017833
98,1,47740596
99,0,48947018
100,0,49059144
101,0,49476804
102,0,50202241
103,0,50553575
104,1,50644134
105,0,50704669
106,1,50714236
107,0,51876045
108,1,52737691
109,1,52778876
110,1,52784195
111,1,52788298
112,1,52796172
113,1,52797020
114,1,52801239
115,1,52803539
116,1,52803643
117,0,52804927
118,1,52819071
119,1,52819970
120,1,52823733
121,1,52825687
122,1,53511384
123,0,54510668
124,0,55013303
125,0,55044856
126,0,55705790
127,0,56242354
128,0,56551676
129,0,58474364
130,0,59028317
131,0,59182153
132,0,59420091
133,0,59430590
134,0,59689779
135,0,60124831
136,0,60406410
137,0,61954194
138,1,62023521
139,0,62023826
140,0,63002328
141,1,63006351
142,1,63009470
143,0,65134095
144,0,66579766
145,0,67652613
146,0,69604482
147,0,69801574
148,1,70616190
149,0,71557552
150,1,71665602
151,1,71816094
152,0,71911428
153,0,73080914
154,1,73142271
155,0,73217421
156,1,74183716
157,0,74333090
158,0,74686793
159,0,75386711
160,0,75589447
161,0,76072925
162,0,77181368
163,1,77224004
164,1,77480903
165,0,77737745
166,1,78046136
167,1,78049747
168,0,78587568
169,1,79039522
170,1,79693792
171,1,79756690
172,0,79756711
173,1,80139128
174,0,80140976
175,0,80194156
176,1,80276971
177,0,80414124
178,0,81637761
179,1,82299402
180,1,82419710
181,1,82970929
182,0,83392110
183,1,84092741
184,0,85904283
185,1,86764355
186,1,86813872
187,1,86822420
188,0,87555702
189,0,88021896
190,1,89583444
191,1,90683157
192,0,90730963
193,1,90938426
194,1,90938496
195,1,92178521
196,0,92540494
197,0,92644724
198,0,92708887
199,0,92708955
200,0,93439528
201,0,93521423
202,0,94579940
203,1,95413460
204,0,95970442
205,0,95970497
206,0,95971601
207,0,96114246
208,0,96710049
209,0,97677379
210,1,97823577
211,0,97860162
212,0,98247680
213,1,99130751
214,0,99452043
215,1,100082149
216,0,101286572
217,0,103290100
218,0,103479987
219,0,104387595
220,1,104517636
221,1,105408847
222,1,106370753
223,0,106373213
224,0,106946747
225,0,106947765
226,0,107058519
227,0,108405699
228,0,108430847
229,0,108547862
230,0,109051317
231,1,109116035
232,0,109217097
233,0,109428687
234,0,110257889
235,1,110416682
236,0,110762333
237,1,110764812
238,0,111162423
239,1,112325701
240,1,112325855
