,cat,id
0,3,569029
1,3,1160870
2,1,2298587
3,1,2627765
4,0,5011667
5,0,5538019
6,0,6171028
7,2,6709441
8,3,7104396
9,0,7182347
10,2,7430778
11,0,7542451
12,2,10549628
13,3,11321123
14,0,12212977
15,0,12341206
16,0,12994054
17,2,13158703
18,0,14144387
19,0,14187562
20,3,15420231
21,1,15739560
22,2,15976576
23,0,16485729
24,0,21335340
25,0,21891473
26,2,22549769
27,2,22644845
28,3,22725443
29,2,24196756
30,0,24304992
31,3,24375597
32,2,24609501
33,2,24672025
34,0,24713862
35,0,25625562
36,1,26634636
37,0,27298978
38,2,28196212
39,2,28197538
40,0,28517980
41,0,28961977
42,0,30800713
43,1,31571687
44,3,32425723
45,1,33309342
46,0,33490520
47,1,33885910
48,2,34010602
49,3,34111197
50,2,34983780
51,3,35072216
52,0,36113427
53,3,37000604
54,2,39457373
55,0,40265863
56,2,41080484
57,0,42167139
58,2,42662996
59,0,43178863
60,2,43826889
61,0,44753037
62,0,45239597
63,3,46248259
64,1,47229947
65,0,47466039
66,0,47588428
67,3,48432768
68,0,48597302
69,2,49245237
70,1,53783934
71,1,53801242
72,0,53969401
73,0,54809469
74,0,57373110
75,2,57786721
76,2,57798041
77,0,58281250
78,1,58289161
79,0,58437995
80,2,58790476
81,0,59463891
82,0,60135074
83,0,60388476
84,3,60453550
85,3,60908133
86,0,61132528
87,0,62060526
88,0,64199974
89,2,65208747
90,0,65632266
91,0,65699913
92,3,66236083
93,1,67185415
94,0,70117104
95,0,72466092
96,3,72842943
97,3,72867931
98,3,73807690
99,2,73841489
100,3,73938864
101,3,74097009
102,0,74785397
103,0,74919505
104,2,75268025
105,3,76596460
106,2,76744534
107,3,76831061
108,3,76915982
109,2,77489580
110,0,77764768
111,0,78285324
112,1,80412206
113,0,80539382
114,3,82415119
115,1,82805447
116,3,83597405
117,2,85053773
118,0,85665239
119,0,87757027
120,0,87923013
121,0,89275885
122,2,89375661
123,2,89670612
124,3,90248505
125,0,90586657
126,1,90989167
127,0,92111532
128,2,93648599
129,2,93648622
130,2,93658367
131,0,93885441
132,2,95390682
133,0,95538936
134,0,95832573
135,0,96474366
136,0,96605475
137,0,97181746
138,0,97515805
139,3,98150765
140,1,98389111
141,0,98573028
142,0,99321115
143,1,99725368
144,2,99768050
145,0,100557554
146,2,103079358
147,3,103199777
148,0,103202080
149,1,104107585
150,3,105781733
151,0,105782610
152,1,106060939
153,1,106181116
154,0,106659629
155,0,107018913
156,0,107070410
157,0,108095876
158,0,108814414
159,2,109221384
160,2,109270815
161,1,109803537
162,0,109989519
163,3,110171680
164,1,111632523
165,3,111783083
166,0,114450534
167,0,114812787
168,2,115116200
169,0,115401660
170,3,116480150
171,0,117031640
172,2,117091031
173,2,118401248
174,1,119068045
175,0,119264082
176,0,121083378
177,3,122994166
178,0,123467023
179,0,124052513
180,3,124220518
181,0,124564220
182,0,125030552
183,2,125773449
184,2,125871662
185,0,126004642
186,2,126094027
187,2,126971824
188,0,128136837
189,0,128504763
190,0,128627137
191,2,128767010
192,0,129181155
193,0,130344220
194,1,131048136
195,0,131118074
196,3,131786808
197,2,132584113
198,0,133507285
199,0,133572328
200,0,134896260
201,3,135061291
202,1,135088937
203,0,136644916
204,0,136666433
205,3,137962657
206,0,138756447
207,0,139123898
208,1,139169991
209,3,139940015
210,0,140511332
211,0,141055274
212,0,141071273
213,0,141315033
214,1,141727628
215,1,142123845
216,3,143840927
217,0,144171547
218,1,144782255
219,2,145231298
220,2,146162904
221,0,146921200
222,0,148991084
223,3,149351976
224,3,149658067
225,0,149812782
226,3,151108525
227,0,151211074
228,0,151368619
229,0,151572751
230,0,151972822
231,0,151973059
232,0,151974786
233,0,151975041
234,0,152686545
235,0,153309110
236,0,153340501
237,0,153574420
238,0,154463056
239,0,155790926
240,0,155882045
241,2,156481380
242,0,157708129
243,0,157911130
244,0,158312935
245,0,158617457
246,3,159917534
247,0,160749945
248,2,161887286
249,0,162996186
250,0,163172908
251,0,163212332
252,0,163406329
253,3,163496336
254,3,163783234
255,0,164164766
256,1,164792403
257,3,164879205
258,1,166080694
259,2,166277748
260,2,167308273
261,3,167871792
262,0,168037209
263,3,168901303
264,0,170220486
265,3,170380597
266,0,171348747
267,0,171941953
268,0,172744260
269,3,173044071
270,0,173610685
271,0,174103590
272,0,174138481
273,3,175714725
274,2,177084799
275,0,177084826
276,3,178353794
277,2,178383145
278,0,179100865
279,0,179270050
280,0,179813217
281,0,179850957
282,1,180217523
283,3,180746242
284,2,180747074
285,0,181140685
286,2,181837400
287,0,182223867
288,2,182419415
289,1,182762122
290,0,184306333
291,0,186256459
292,3,187800678
293,0,187857684
