,cat,id
0,2,507214
1,2,1387871
2,1,2344674
3,1,3468030
4,0,3878372
5,2,4796721
6,1,5936068
7,1,6232435
8,2,7018276
9,2,8033728
10,0,9354464
11,1,10017524
12,2,10415307
13,0,10637021
14,1,10953712
15,0,11556350
16,2,12887658
17,2,14389120
18,2,16092116
19,2,17088213
20,2,17247576
21,1,18141095
22,2,18430237
23,0,19753849
24,2,20017548
25,2,20271973
26,0,21973667
27,2,22103430
28,0,22491922
29,0,22952130
30,1,23638346
31,1,23931989
32,1,24774472
33,0,28914840
34,2,30383666
35,1,32644050
36,1,33913371
37,0,35484598
38,1,36198448
39,1,36328833
40,1,37403853
41,2,39203222
42,1,39474773
43,2,39507745
44,0,39839833
45,1,40138782
46,0,40195829
47,0,40831402
48,2,41195057
49,2,41880930
50,1,43390151
51,1,43492576
52,2,43924953
53,1,44666382
54,0,45672579
55,0,45707084
56,1,46221050
57,1,47434006
58,1,50848619
59,1,51940730
60,2,52632090
61,2,53719983
62,1,54052944
63,2,54819720
64,1,55145032
65,2,55416600
66,0,55431771
67,2,55503137
68,2,56417050
69,1,56479959
70,1,57543198
71,1,57747294
72,2,58405333
73,1,60455342
74,1,62763095
75,0,62948597
76,1,63068855
77,2,65097940
78,0,66708959
79,1,68033831
80,0,69061792
81,2,69800313
82,2,70436555
83,1,71217029
84,2,71284508
85,0,71636016
86,2,72258836
87,2,72639576
88,1,73179752
89,2,73697404
90,1,74814955
91,1,74869588
92,1,75302450
93,2,75811621
94,1,75881388
95,1,77024070
96,2,77402621
97,1,79066827
98,2,81699383
99,1,86139123
100,2,86238730
101,2,86290312
102,1,88032555
103,2,89651172
104,0,90974043
105,2,92449812
106,1,92725499
107,1,93437879
108,1,93475294
109,0,94927586
110,2,94927778
111,2,95054318
112,1,95859646
113,1,97000764
114,1,97263676
115,1,99065314
116,2,99459110
117,1,99730773
118,1,99980294
119,2,100435627
120,1,101226195
121,1,102070858
122,1,105444700
123,0,107266348
124,1,108393758
125,2,108646733
126,1,109266741
127,0,110660608
128,1,112683871
129,2,115807688
130,1,118284791
131,1,120182848
132,1,120891369
133,2,121019183
134,2,122664442
135,0,122775809
136,2,122895002
137,2,123747435
138,2,124762184
139,2,124773555
140,0,125643453
141,2,127767403
