,cat,id
0,2,4613
1,0,302725
2,2,1987639
3,0,3478645
4,0,4141694
5,1,4502759
6,1,4557174
7,2,4926952
8,1,5416971
9,2,8383881
10,1,8719602
11,2,9001958
12,0,9016466
13,1,9592069
14,2,9745293
15,2,10366203
16,1,10884078
17,1,10886984
18,1,11861409
19,0,12339363
20,1,13135555
21,0,13549386
22,1,13830575
23,2,16454281
24,2,16541854
25,1,16956224
26,1,20373154
27,0,22095841
28,2,22567577
29,2,24932471
30,2,24932488
31,1,24964538
32,2,25046656
33,0,25788333
34,1,26303258
35,1,27608751
36,2,29549119
37,2,29549166
38,2,29812703
39,0,29888880
40,0,31149253
41,2,32106455
42,2,37584382
43,2,37584455
44,2,39533944
45,1,41541628
46,0,41941317
47,0,42581142
48,0,44675864
49,2,45579443
50,1,45977335
51,0,46964170
52,2,48623415
53,1,50803357
54,2,51276497
55,1,51948844
56,1,53513357
57,2,54439387
58,2,57502828
59,1,60663781
60,1,61289962
61,1,62473431
62,2,63537319
63,0,66373511
64,1,70810280
65,2,71571689
66,1,71628253
67,2,74967009
68,2,75924888
69,2,75971501
70,1,76521467
71,2,76905127
72,2,77629029
73,1,80919496
74,1,81114313
75,0,81116505
76,2,81757228
77,1,84171950
78,1,84461248
79,2,86771535
80,0,86771701
81,1,88628610
82,1,88754456
83,1,89128501
84,1,89129994
85,1,89130071
86,1,93521057
87,1,96662881
88,2,97549057
89,1,97980058
90,0,98620826
91,1,98770921
92,0,99574246
93,2,99884611
94,2,99884622
95,2,100943788
96,2,100944120
97,0,102632201
98,0,102849296
99,1,103375387
100,2,105268811
101,1,105927346
102,1,106259944
103,2,107841019
104,1,108186004
105,2,108255263
106,0,112100209
107,2,112303706
108,2,112532198
109,2,114605141
110,2,116500853
111,0,116739375
112,0,116739773
113,1,117232935
114,1,117234136
115,1,117234570
116,1,117234711
117,1,117234969
118,2,118322695
119,0,118448401
120,0,123170707
121,2,124653122
122,0,124991686
123,0,126092739
124,0,127935896
125,2,128909430
126,1,134018350
127,1,135403622
128,0,136674800
129,0,138598754
130,0,139172490
131,2,139437967
132,1,139534246
133,1,141043683
134,0,141595527
135,0,142307459
136,0,143480070
137,0,143480870
138,1,145156179
139,2,145241512
140,1,147192962
141,2,148438283
142,2,149033257
143,2,149033444
144,2,149033764
145,2,149260764
146,2,152081000
147,0,152655630
148,2,159281480
149,0,159461233
150,1,160216802
151,0,160216831
152,1,160821884
153,1,162989423
154,0,163520669
155,1,163675467
156,1,165482019
157,2,165655017
158,0,167840331
159,2,169264394
160,1,170061053
161,1,170070237
162,2,170904870
163,1,170904920
164,2,170905079
165,2,172477986
166,2,173076002
167,1,174303654
168,1,177624333
169,1,180309437
170,1,180313439
171,0,180436772
172,0,180438691
173,1,182072486
174,1,182089316
175,2,182471973
176,0,182631655
177,0,182869507
178,1,184634296
179,1,184634679
180,1,184634757
181,0,185961504
182,2,186191056
183,2,186541467
184,1,193781542
185,2,194467606
186,1,194819321
187,1,197794540
188,1,197794740
189,1,197794820
190,1,197795529
191,1,197795825
192,1,197796171
193,2,198237933
194,2,198237952
195,1,198457013
196,0,200405040
197,2,200406675
198,0,202747307
199,0,203391344
200,0,203907310
201,0,203935655
202,0,204630475
203,2,205980300
204,1,205982973
205,2,206610310
206,2,207315507
207,2,207501242
208,1,207916803
209,1,208377001
210,1,208377123
211,1,208377904
212,1,208378199
213,1,208378640
214,1,208379527
215,2,209092718
216,0,209203423
217,0,209203827
218,2,209422769
219,2,211311358
220,0,211449318
221,2,213110442
222,0,214115225
223,0,214115241
224,0,214115266
225,1,216564659
226,2,218369409
227,0,220394052
228,2,220600591
229,1,221292314
230,0,222681898
231,0,222683137
232,0,222683143
233,1,222798921
234,1,226032216
235,2,228600637
236,1,229928453
237,1,229929332
238,2,235909426
239,1,236153509
240,1,237516312
241,0,237695609
242,2,241621406
243,2,242778819
244,1,246096246
245,1,248412691
246,0,248506818
247,1,249206892
248,2,249335426
249,1,252096680
250,1,252362968
251,1,252855554
252,1,252987348
253,1,253326512
254,2,255326561
255,0,256506156
256,0,257233409
257,0,260091781
258,2,262688336
259,1,263892048
260,0,265244575
261,1,265268055
262,2,267126300
263,1,268456260
264,0,268635298
265,0,268984395
266,0,269616487
267,1,270402203
268,2,270891993
269,2,270937995
270,0,271344500
271,2,272211955
272,1,272287051
273,1,272287219
274,1,273265339
275,2,274119394
276,1,278471305
277,0,278746953
278,1,279049801
279,2,279145884
280,1,279408080
281,2,279547863
282,0,279548305
283,1,279571622
284,2,279646471
285,1,280601355
286,1,281545922
287,2,281549574
288,0,282688618
289,2,283673143
290,1,284039636
291,0,284708288
292,1,285609709
293,1,287082728
294,1,287457904
295,1,287540703
296,2,287540829
297,2,290279996
298,0,290793081
299,2,290985235
300,2,291270341
301,1,291716199
302,0,294272985
303,2,297423820
304,1,301322043
305,2,306321947
306,1,309661241
307,1,309661293
308,2,311580098
309,0,312482257
310,2,313515349
311,1,315826834
312,1,318411395
313,0,323668616
314,1,326857872
315,2,328416896
316,2,329164254
317,2,329963142
318,2,329963391
319,2,329963427
320,2,329963462
321,2,329965000
322,2,329965097
323,2,329967596
324,2,329967749
325,2,329968422
326,2,329970837
327,1,330454780
328,0,331003815
329,2,331511499
330,1,332379404
331,1,333951420
332,0,334064068
333,1,335000701
334,1,335003662
335,1,337626040
336,1,337627061
337,1,339162463
338,0,339848931
339,0,340733771
340,2,340943582
341,0,341481356
342,2,341812205
343,1,347651561
344,1,348122899
345,1,348123194
346,1,351218277
347,1,351765793
348,1,351843811
349,1,351844384
350,1,351845461
351,1,351845594
352,1,351845780
353,2,354357764
354,2,354596356
355,2,356081429
356,2,360800418
357,0,361064488
358,1,364315324
359,0,365009583
360,0,365009655
361,0,365695759
362,1,366947360
363,2,367732312
364,1,367747223
365,2,368115748
366,1,370530094
367,1,371540800
368,0,371991668
369,1,372364364
370,1,374600353
371,2,375544029
372,2,376399727
373,1,377484803
374,0,377578835
375,0,377934007
376,1,377957837
377,0,378188574
378,0,382026281
379,1,383497142
380,1,384215847
381,1,384720018
382,1,384783949
383,2,385935962
384,2,386606758
385,1,389594970
386,0,390680899
387,0,391613811
388,2,393925656
389,0,394660764
390,1,395362376
391,2,396237859
392,0,398442625
393,0,400410809
394,1,401759870
395,1,402869075
396,1,410310107
397,0,410520767
398,2,414818997
399,2,415026101
400,1,416272859
401,2,416361307
402,1,416630750
403,1,416631680
404,1,417191590
405,0,418560283
406,1,420395339
407,1,420395720
408,1,420396035
409,1,420955590
410,0,421147001
411,1,422919373
412,0,424485938
413,0,425306180
414,0,427483079
415,0,427692510
416,2,429047539
417,0,429081763
418,2,429132625
419,3,429140450
420,2,429430139
421,1,429868937
422,2,429930076
423,3,430229659
424,1,430362258
425,3,430616936
426,3,430783507
427,1,430866736
428,1,430973290
429,2,431003384
430,3,431174262
431,1,431211881
432,1,431227315
433,1,431293435
434,2,431536932
435,1,431765379
436,2,431809807
437,1,431964807
438,1,432247316
439,2,432312925
440,2,432347000
441,2,432358119
442,1,432425360
443,1,432485314
444,2,432525398
445,2,432527218
446,2,432530528
447,2,432549514
448,2,432556316
449,2,432566568
450,2,432570785
451,2,432593172
452,2,432594377
453,2,432600250
454,2,432601879
455,2,432602999
456,2,432663370
457,2,432828350
458,2,432833030
459,2,432888765
460,2,432897987
461,2,432907659
462,2,432912621
463,2,432915863
464,2,432918744
465,2,432928935
466,2,432931522
467,2,432942545
468,2,432972060
469,2,432973210
470,2,432974352
471,2,432977096
472,2,432995676
473,1,432997929
474,2,433002314
475,2,433007151
476,2,433008557
477,2,433044869
478,2,433048059
479,2,433054587
480,2,433057575
481,2,433070924
482,2,433079917
483,1,433160527
484,2,433173734
485,2,433174082
486,2,433174983
487,0,433207214
488,2,433242423
489,2,433295774
490,2,433321084
491,1,433363938
492,2,433368120
493,2,433402615
494,2,433418538
495,2,433439798
496,2,433448679
497,2,433448893
498,2,433457309
499,2,433473704
500,2,433641947
501,2,433651259
502,1,433666379
503,2,433731240
504,2,433774254
505,2,433774516
506,2,433780493
507,1,433917695
508,0,436293296
509,2,436436550
510,0,436577099
511,3,438107095
512,2,439236306
513,0,439350443
514,1,439637045
515,2,442447309
516,0,444164247
517,2,444165284
518,0,444167057
519,2,444197306
520,0,444533300
521,2,444550614
522,0,445136724
523,2,445476361
524,0,445772341
525,0,446273377
526,1,446450810
527,1,447219944
528,0,447890512
529,2,447979852
530,0,448110652
531,3,448463072
532,1,448852394
533,2,449762212
534,0,450145814
535,2,450446998
536,0,450694067
537,2,450983073
538,2,451220023
539,3,451491590
540,0,451513974
541,1,451701523
542,2,452037090
543,2,452403791
544,1,452486715
545,2,453862324
546,2,454369993
547,0,454596652
548,1,454680121
549,0,455056447
550,2,455654227
551,3,456253383
552,1,457094578
553,3,457097681
554,1,457097698
555,0,457098539
556,2,457098911
557,2,457101081
558,1,457102670
559,2,457176226
560,0,457350266
561,3,457700861
562,3,458034172
563,0,458078746
564,3,458329549
565,3,458530234
566,3,459594559
567,2,459630297
568,0,459939814
569,1,460160257
570,0,460221988
571,2,460248683
572,0,460402285
573,2,460409717
574,0,460416335
575,3,460651849
576,0,460785252
577,1,461141661
578,3,461256215
579,0,461439718
580,3,461492435
581,0,461532777
582,2,462061970
583,2,462182675
584,0,463600468
585,2,463776821
586,3,463868316
587,1,464503748
588,0,464785461
589,2,464899382
590,2,464901587
591,2,465163670
592,1,465193062
593,2,465248169
594,0,465700178
595,2,465709913
596,2,466243757
597,1,466459331
598,3,466460986
599,2,466739319
600,1,467317461
601,0,468127213
602,3,469162956
603,0,469437847
604,3,470083100
605,0,470348060
606,0,470362955
607,0,470596290
608,3,470656546
609,0,470693899
610,0,470907593
611,0,471586611
612,2,472035071
613,0,473032974
614,0,473715921
615,0,474497568
616,3,474552898
617,2,474859907
618,1,475269283
619,2,475364140
620,3,475382465
621,2,475799608
622,2,476216385
623,3,478215376
624,1,478807875
625,3,479284072
626,2,479598865
627,0,479865527
628,1,479865666
629,1,480486540
630,1,480842472
631,0,480902505
632,0,480992503
633,0,481477450
634,0,482339023
635,0,482456004
636,2,483145939
637,1,483670494
638,2,484132745
639,1,484360682
640,3,485247732
641,1,485248925
642,0,485304588
643,3,485342936
644,2,486658693
645,1,487007433
646,3,487397500
647,0,487438224
648,0,487749028
649,0,487978705
650,2,488402345
651,3,488434018
652,3,488446057
653,3,488451755
654,3,488452624
655,3,488460053
656,2,488683568
657,0,488691569
658,1,488768424
659,3,489049076
660,3,489083918
661,3,489084332
662,3,489084451
663,3,489084488
664,3,489161816
665,3,489164587
666,3,489168146
667,2,489171353
668,2,489174850
669,3,489178980
670,3,489183419
671,3,489188308
672,3,489191618
673,2,489193412
674,3,489195113
675,3,489198338
676,2,489201396
677,2,489207923
678,0,489235149
679,3,490459374
680,2,490515946
681,0,490874389
682,0,490874398
683,3,490880500
684,0,491098445
685,2,492477285
686,0,492486586
687,0,492518729
688,0,492614891
689,1,492829664
690,0,494113834
691,0,494113843
692,2,494526212
693,2,494676634
694,0,494736851
695,0,495595536
696,0,496148162
697,0,496165337
698,0,496418699
699,3,496494685
700,0,496619277
701,0,496865323
702,1,496894104
703,0,496960783
704,0,497952429
705,2,498873927
706,0,499314190
707,3,499478485
708,1,499560547
709,0,499595805
710,0,499953674
711,0,499953843
712,0,499954358
713,2,500492222
714,3,502188639
715,3,502295341
716,3,502367717
717,2,503208873
718,2,504947977
719,1,505176976
720,3,505799272
721,1,506032228
722,2,506156835
723,0,507141940
724,1,507142805
725,3,507297362
726,1,507297430
727,1,507631734
728,0,507766787
729,2,508362320
730,0,508922632
731,3,509009580
732,0,509022622
733,1,509185605
734,3,510654305
735,2,511168755
736,3,511339661
737,3,511739602
738,1,512355302
739,0,513095226
740,1,513826702
741,3,513852433
742,2,514276725
743,2,514284743
744,0,514339457
745,2,514580916
746,2,515595735
747,1,515914426
748,3,516616008
749,3,517051869
750,2,517280736
751,0,517449787
752,2,517550588
753,0,518612264
754,1,518662674
755,1,518690729
756,0,518716472
757,2,518828850
758,3,519046893
759,2,520000786
760,0,521054824
761,1,521508541
762,0,523489312
763,2,524051044
764,0,524732879
765,2,524734406
766,3,524751346
767,3,525183041
768,0,525885867
769,2,526202608
770,2,526738764
771,0,526861258
772,3,527011304
773,3,527316602
774,0,529556809
775,0,529564330
776,3,529998777
777,3,530864317
778,0,531114669
779,0,531931790
780,0,534449985
781,0,536033283
782,0,536721431
783,2,537131340
784,2,537753885
785,0,538028636
786,0,538212389
787,0,538290756
788,3,538361706
789,3,538732551
790,0,538753355
791,2,538769844
792,2,538826217
793,2,538843048
794,2,538984197
795,0,538993283
796,3,539021922
797,3,539029062
798,2,539085434
799,2,539316658
800,2,539374022
801,0,539379866
802,2,539418028
803,2,539481425
804,2,539594129
805,2,539604378
806,3,539811419
