,cat,id
0,2,581817
1,0,1538368
2,1,2469087
3,1,3239138
4,2,4335172
5,1,4943806
6,0,6653371
7,1,6745355
8,0,7845522
9,0,8003683
10,2,8075841
11,1,9271380
12,1,10846118
13,0,10930782
14,1,12449740
15,0,12826010
16,1,13050257
17,2,13559924
18,1,13680588
19,0,13794315
20,1,14841309
21,1,15474183
22,0,16434974
23,1,17529976
24,1,19286484
25,1,21910252
26,0,23004048
27,0,23269207
28,0,23269327
29,2,24025489
30,0,24742291
31,2,24753534
32,1,26532863
33,1,26762704
34,1,27033723
35,1,27820628
36,1,29566802
37,0,30122847
38,1,30526953
39,0,31106000
40,1,31207757
41,1,31208425
42,1,31225509
43,0,31299797
44,1,31598682
45,1,32754833
46,0,34206754
47,1,34776573
48,1,35422125
49,2,35487726
50,0,36746236
51,0,38437226
52,2,38476825
53,1,38651721
54,0,38872023
55,0,38974111
56,2,41154407
57,1,43159553
58,2,44881711
59,0,45062763
60,0,46757796
61,0,47809417
62,1,48094777
63,2,48252512
64,0,48539748
65,0,48543138
66,1,48599022
67,1,48805489
68,1,49743197
69,2,51505638
70,0,52194735
71,0,52438464
72,0,52461546
73,0,52928257
74,1,53116033
75,1,53540266
76,1,53889030
77,1,54628636
78,0,55099162
79,1,55374164
80,2,56887473
81,1,56896066
82,1,57722155
83,0,58417160
84,0,58742251
85,0,59832917
86,1,59870264
87,0,60624429
88,1,60636235
89,0,61447475
90,0,66179907
91,0,68118906
92,0,68184117
93,0,68363653
94,0,68364064
95,0,69471473
96,0,69957982
97,0,70604651
98,2,71188646
99,1,71188726
100,1,71761977
101,2,72565022
102,2,72616499
103,2,73282710
104,1,73566078
105,1,73876973
106,0,73877004
107,1,73985992
108,0,74415038
109,1,75432990
110,0,75870044
111,0,76103598
112,0,76162204
113,1,76671590
114,0,77277230
115,1,77659184
116,2,77830838
117,1,78322857
118,0,78595997
119,1,80082798
120,0,80232748
121,2,80943936
122,1,80950886
123,1,82925475
124,1,84280187
125,1,84561170
126,1,84785218
127,1,86184508
128,1,86302213
129,1,86437862
130,0,86520524
131,1,86850560
132,0,87037285
133,2,87038043
134,1,87039712
135,2,87040092
136,0,87589773
