,cat,id
0,0,1675639
1,1,2723595
2,0,3023765
3,0,3047300
4,2,4135153
5,0,5354116
6,1,6170033
7,1,6170113
8,1,6170126
9,0,6526602
10,0,6758276
11,0,7534597
12,0,8321226
13,1,9051031
14,0,9672845
15,0,9895531
16,0,9990325
17,0,10940551
18,0,11190793
19,0,11440451
20,1,12030836
21,1,13192966
22,1,15509226
23,0,16015750
24,0,17019584
25,1,17177842
26,0,17518278
27,1,17868801
28,0,17919860
29,2,18220153
30,0,19782272
31,1,20133327
32,0,20315256
33,0,21698940
34,0,21954495
35,0,22132704
36,1,23813189
37,1,24901259
38,1,25865745
39,1,26142924
40,1,26762493
41,1,27913650
42,1,28390531
43,2,28586493
44,0,28790826
45,1,28889661
46,0,29349690
47,0,29349778
48,1,30608365
49,2,32060043
50,0,32928279
51,1,32960370
52,0,33464513
53,0,33476123
54,1,34049850
55,1,34336173
56,0,35359224
57,1,35366007
58,1,35878572
59,0,36061315
60,0,36061524
61,0,38539475
62,1,39262004
63,1,42205318
64,2,42300796
65,1,45326492
66,1,48187558
67,0,48553227
68,0,48555191
69,0,48601329
70,1,49483399
71,1,50353599
72,2,50857402
73,0,50860143
74,1,52967212
75,1,53183832
76,0,53290613
77,1,53507747
78,1,53862635
79,1,55933560
80,2,55959317
81,1,56149942
82,1,56468165
83,1,56749394
84,0,57230830
85,2,59099785
86,0,59607534
87,0,59906739
88,1,60651076
89,1,62353817
90,0,62559791
91,1,63107200
92,1,63554268
93,0,63904062
94,0,64640555
95,0,65765751
96,0,65772871
97,0,65871323
98,0,66363255
99,1,66518593
100,0,67269593
101,0,67308146
102,0,67363337
103,1,67867991
104,0,67874506
105,0,68397386
106,0,68502235
107,1,68859708
108,1,69519133
109,1,70889057
110,1,71750545
111,0,71857041
112,1,72428932
113,1,72868647
114,0,74019768
115,0,74293771
116,0,74648745
117,1,75776772
118,1,75918425
119,0,76519582
120,1,76525215
121,0,77784302
122,1,78661949
123,0,78850280
124,1,79036258
125,1,79061893
126,0,79801930
127,2,79819002
128,2,79819033
129,0,79891297
130,0,82575451
131,0,82839252
132,1,84182766
133,2,85320302
134,1,85948746
135,1,86765453
136,0,87095108
137,0,87207479
138,0,87362932
139,1,87729706
140,0,87791856
141,0,89281627
142,1,89968287
143,0,90627503
144,0,92305657
145,1,92777978
146,0,93562526
147,1,94038022
148,1,94046928
149,1,94382364
150,0,94562950
151,1,94674958
152,1,94869858
153,1,95825602
154,1,96638541
155,1,96638585
156,1,96638664
157,0,98114476
158,1,98588358
159,1,98996907
160,1,99151692
161,1,100730650
162,0,100786234
163,1,101106565
164,1,102043658
165,0,102111440
166,1,102466537
167,0,102519082
168,0,102519120
169,1,102686839
170,0,102824026
171,0,102940797
172,0,103229202
173,1,103862758
174,0,105270258
175,1,105619563
176,0,105898222
177,1,106018529
178,1,106316812
179,0,107442413
180,1,108794533
181,2,110549397
182,0,111631479
183,2,111812279
184,1,112925092
185,1,113068952
186,0,113100930
187,0,115232329
188,0,115578082
189,0,115817540
190,0,115913763
191,1,115973629
192,1,116144199
193,0,116189497
194,1,117525793
195,1,118319224
196,0,118759518
