,cat,id
0,1,662460
1,1,766830
2,0,1010082
3,1,2390628
4,0,3424754
5,0,4076262
6,1,4568040
7,1,5196209
8,1,6221229
9,2,6574049
10,1,6591550
11,1,6594005
12,1,6594595
13,1,7218421
14,1,7367001
15,1,7373385
16,1,7378236
17,0,7781759
18,2,9638590
19,2,10253797
20,1,10550022
21,0,10550529
22,0,11034480
23,1,11793758
24,1,11852599
25,1,12001598
26,0,12152129
27,0,12450527
28,1,13302105
29,2,13697347
30,0,14183925
31,1,17165033
32,1,18876639
33,1,20193468
34,0,20294653
35,2,21579014
36,1,22338852
37,2,22837060
38,2,22910643
39,0,23353271
40,1,23354068
41,1,23356744
42,2,23513149
43,0,25441996
44,2,26448855
45,1,26827388
46,1,26920104
47,1,27282237
48,1,29634000
49,2,29692748
50,0,30229706
51,0,32879178
52,0,33360341
53,0,34103339
54,0,37327211
55,1,40637649
56,2,41211936
57,1,41612416
58,1,41612453
59,2,41797031
60,1,43275133
61,1,44939667
62,0,45904168
63,0,46409064
64,0,47120208
65,1,49145272
66,1,49626310
67,0,49756845
68,0,50542301
69,2,51334322
70,2,52711622
71,1,53390718
72,1,54335102
73,1,57575929
74,0,57805660
75,2,58057356
76,0,58722440
77,0,59556556
78,0,60786858
79,1,60787033
80,0,61711059
81,1,61926244
82,0,62332536
83,1,62332649
84,1,62562508
85,1,64098338
86,1,64148413
87,1,64804625
88,0,65313688
89,0,65623491
90,1,68101485
91,0,68957192
92,2,70096762
93,1,71153578
94,1,73536004
95,1,74646892
96,1,74647110
97,2,76766336
98,0,76938058
99,1,77365926
100,1,79474363
101,1,79480586
102,2,80254483
103,2,80727335
104,1,80869411
105,0,81065829
106,1,85122622
107,1,85763744
108,2,86709544
109,1,88136507
110,1,88245796
111,2,90926427
112,1,91811788
113,0,92004349
114,0,92366546
115,1,94794645
116,2,95027568
117,1,96048637
118,0,96062586
119,0,96730687
120,1,97649852
121,1,97649905
122,0,98037714
123,2,98157704
124,0,98229201
125,1,98487456
126,1,100556862
127,1,100612041
128,0,100616531
129,1,100638535
130,1,101745642
131,2,102109391
132,1,102147180
133,1,102447711
134,0,103620064
135,2,103868396
136,1,104172394
137,1,104211277
138,1,104376482
139,0,104944535
140,1,105140721
141,1,105520241
142,0,106481074
143,1,107241337
144,1,107948097
145,1,108459755
146,1,108459830
147,1,108690505
148,0,109061319
149,0,110309995
150,1,111146519
151,0,111173102
152,0,112153477
153,0,113155533
154,0,113155544
155,0,113228831
156,2,116763504
157,1,116839973
158,1,116862430
159,1,117298989
160,0,118439613
161,0,118818881
162,2,118895800
163,1,119228444
164,1,120545046
165,1,120750888
166,1,120922326
167,2,124209405
168,0,125988366
169,1,130865995
170,0,131771930
171,1,133297450
172,1,133527292
173,1,135280458
174,1,136239015
175,0,138677098
176,1,139060326
177,1,139253103
178,1,139310409
179,0,140316465
180,1,140723954
181,0,140936396
182,0,141049963
183,2,142404100
184,0,142659840
185,0,143642537
186,0,144201834
187,1,144629601
188,1,144869427
189,1,144870968
190,1,144874959
191,0,145274800
192,2,147605215
193,2,147685593
194,2,148479118
195,0,148942214
196,0,150071842
197,1,150390022
198,1,150390025
199,2,150485225
200,0,151287160
201,0,152019593
202,0,152781410
203,0,153842481
204,1,153982686
205,1,154513493
206,1,154566028
207,1,154777049
208,0,155052587
209,1,155052678
210,0,155201274
211,1,156333501
212,2,157168789
213,0,157921838
214,0,158479743
215,0,159090122
216,1,160041033
217,0,160573557
218,1,162911471
219,1,163321782
220,0,163769199
221,0,164415892
222,1,164781170
223,1,164867475
224,0,165047143
225,0,166753007
226,1,168553663
227,2,168867870
228,0,169100085
229,1,169152612
230,1,169430189
231,0,171249768
232,0,171392819
233,2,172353714
234,0,172716274
