,cat,id
0,2,186682
1,1,507630
2,0,843871
3,0,1426611
4,2,1781504
5,1,3003661
6,1,3157265
7,0,3194417
8,0,3817322
9,0,3994520
10,1,4996005
11,0,6566832
12,0,6568645
13,2,6741113
14,1,7559547
15,0,7565907
16,0,7604070
17,0,8640901
18,1,10420483
19,0,10464471
20,1,11085336
21,0,13422646
22,0,13844630
23,1,14148663
24,2,14393974
25,0,14413956
26,1,14515355
27,0,15078044
28,0,15244310
29,0,15272685
30,1,16062218
31,1,18017531
32,2,18210364
33,0,18430688
34,0,18577166
35,1,18789727
36,2,20185035
37,0,20346051
38,0,20750254
39,2,21025843
40,2,23321382
41,0,24299875
42,2,24780566
43,0,24899475
44,0,24909980
45,0,25344530
46,0,26477420
47,1,27234678
48,0,27256066
49,0,29390555
50,0,30225155
51,0,31137917
52,1,31233632
53,2,31593373
54,0,32191557
55,0,32541791
56,1,32629965
57,0,33047549
58,0,36725315
59,0,36758497
60,0,36768617
61,0,38349909
62,0,38360706
63,1,38734437
64,1,38743202
65,0,38819924
66,0,38819960
67,0,38820008
68,0,38828421
69,0,39029495
70,0,39066613
71,0,39127298
72,0,39127820
73,0,39257019
74,1,39803117
75,0,39929582
76,0,40059129
77,0,40962771
78,1,42390864
79,0,42670651
80,0,43302587
81,0,44530265
82,1,45747578
83,0,45899404
84,0,46065686
85,0,46132178
86,0,47124945
87,0,47809946
88,0,48408191
89,0,48733803
90,0,51521198
91,1,54211609
92,0,58555473
93,2,60476685
94,0,61963887
95,0,62894949
96,2,63706354
97,0,64432364
98,1,64538304
99,0,64538426
100,0,64944187
101,2,65006695
102,0,66029703
103,0,66204078
104,1,66338043
105,0,67573379
106,1,69024777
107,0,69786575
108,0,70729343
109,1,70927945
110,1,70991025
111,0,71411821
112,2,72583972
113,0,72915592
114,0,73205129
115,0,73219729
116,0,74765766
117,0,75229148
118,1,75513415
119,0,76138380
120,0,76652364
121,1,77081496
122,2,77862285
123,0,77959333
124,0,78233007
125,1,80089598
126,0,80951378
127,0,84380290
128,1,85128289
129,0,85341426
130,2,85738806
131,0,86217081
132,1,86679858
133,0,86977516
134,0,88099722
135,0,88219536
136,0,88219566
137,2,89104930
138,0,89480387
139,2,89480455
140,1,89724181
141,0,92536808
142,0,92575071
143,0,93419170
144,0,93916051
145,0,94466967
146,0,94777621
147,1,94942910
148,0,96956968
149,0,98162342
150,1,98692793
151,1,98710304
152,1,99773958
153,0,101178422
154,0,101654281
155,0,101654763
156,0,101655045
157,0,101655102
158,0,101655135
159,0,101655518
160,0,101655564
161,0,101655666
162,0,101655949
163,0,101656160
164,0,101863131
165,0,101863176
166,0,102043869
167,0,102055451
168,0,102493201
169,0,102603946
170,0,103891616
171,1,103907784
172,0,106580597
173,0,106794767
174,0,106794820
175,0,107263281
176,0,108125186
177,0,108179858
178,0,109998158
179,0,109998230
180,2,110165019
181,0,112420814
182,0,112626559
183,0,113681404
184,0,114478809
185,0,114482037
186,1,114747765
187,0,114841521
188,0,115755415
189,0,116247564
190,0,116374475
191,0,120031619
192,0,121925359
193,0,122306219
194,0,122477153
195,0,122706972
196,0,122707252
197,0,123017265
198,0,123415150
199,0,123415612
200,2,123597723
201,2,124031989
202,0,124620705
203,2,125540106
204,1,126295086
205,0,126973395
206,0,127791929
207,1,128959413
208,0,129137843
209,0,129807994
210,0,129865904
211,0,130950513
212,0,132543969
213,2,133575324
214,0,135467924
215,0,136868947
216,2,140232948
217,2,141171969
218,0,146171856
219,1,146470897
220,0,146994854
221,0,147268465
222,2,147555252
223,0,148723354
224,2,150886280
225,0,151514797
226,0,153540944
227,0,154874408
228,1,155639511
229,0,156701849
230,1,157843386
231,0,158630425
232,0,158842274
233,0,159156264
234,2,159526896
235,2,160208986
236,2,160791321
237,0,160804231
238,1,160999071
239,2,161749519
240,0,162596724
241,0,162596758
242,1,162785925
243,0,163073484
244,0,163073727
245,0,165270545
246,0,166623136
247,0,168218614
248,0,168525804
249,1,169864237
250,0,170087563
251,0,170264282
252,1,170735343
253,0,171052933
254,1,171103071
255,0,171255777
256,0,171998392
257,2,172592454
258,0,173352583
259,0,173990164
260,2,174458552
261,1,174608523
262,0,175053523
263,0,175492900
264,0,175492978
265,0,175766362
266,0,177337319
267,0,177999741
268,1,180208914
269,0,183593922
270,0,184507848
271,1,185169425
272,0,185208658
273,0,185208670
274,0,185208908
275,0,185208936
276,1,185365789
277,0,185882662
278,0,186153903
279,2,186567526
280,2,186694128
281,2,186826102
282,2,187113040
283,1,189198046
284,2,189476183
285,0,193361505
286,0,193541233
287,1,193614667
288,0,194263308
289,0,194696941
290,0,194728671
291,1,196024190
292,0,197284376
293,1,197328988
294,0,197556591
295,1,197558669
296,1,198282292
297,0,198835307
298,2,199398808
299,0,200292100
300,2,201329565
301,1,201996198
302,0,202422122
303,0,207208356
304,0,207211601
305,0,207213202
306,0,207217561
307,0,207217659
308,0,207217895
309,0,207220297
310,0,207617014
311,1,207813995
312,0,208725878
313,0,208839698
314,0,209377433
315,0,210432621
316,0,210899809
317,0,212146655
318,0,212503822
319,0,212558727
320,1,214309507
321,2,215144933
322,0,215818924
323,0,215875474
324,0,215938143
325,0,216495976
326,1,217073824
327,1,217278782
328,1,217280723
329,1,217379097
330,0,217914199
331,1,220098396
332,0,222029666
333,0,223137506
334,0,224264605
335,0,226842996
336,0,226843056
337,0,227619373
338,0,228584337
339,2,228976088
340,1,229460324
341,1,230657352
342,1,230657717
343,1,230929062
344,0,231998421
345,1,234282853
346,2,235678275
347,0,235680697
348,1,236811730
349,0,237286241
350,2,238363551
351,1,238586554
352,0,242511361
353,2,243408495
354,0,243844771
355,0,244930967
356,0,244972997
357,0,245734676
358,0,245735322
359,2,247072523
360,0,247303202
361,0,247647947
362,0,247761116
363,0,247861064
364,0,248430143
365,0,248693305
366,1,249219538
367,1,251169987
368,1,252188589
369,2,252656153
370,0,252673184
371,1,252695196
372,2,252936062
373,2,252999686
374,2,253463666
375,0,253463744
376,2,253910232
377,1,256007836
378,1,256008318
379,0,256701964
380,0,256710392
381,2,256779003
382,0,257406536
383,1,258251278
384,2,258453869
385,2,258453918
386,2,258454032
387,2,258454686
388,0,258718613
389,0,259247465
390,0,263612236
391,0,263874911
392,1,264940544
393,0,265957971
394,0,266084542
395,0,266547924
396,0,266700010
397,0,267458188
398,0,267458205
399,0,267695868
400,0,267835062
401,0,268203228
402,0,268204900
403,2,271995088
404,0,271995146
405,0,272170775
406,0,272308949
407,2,273089640
408,0,274280936
409,0,274665839
410,2,274931227
411,0,275185397
412,0,277308393
413,0,277409883
414,0,277518842
415,0,277895967
416,0,279747280
417,2,280088865
418,0,281375225
419,0,282249622
420,0,282970309
421,2,283057880
422,2,283060054
423,0,283811062
424,1,283979555
425,1,287834355
426,0,288070046
427,0,288813367
428,0,288814029
429,0,288833852
430,1,289435358
431,0,290123482
432,0,290305618
433,0,290744389
434,0,291460977
435,0,291580216
436,0,291937488
437,1,292189324
438,1,292765489
439,0,292882153
440,2,294665403
441,0,295083336
442,1,296361357
443,0,297200659
444,0,298129336
445,2,298129459
446,0,298179731
447,1,299657123
448,0,299658587
449,0,300485007
450,0,300485135
451,0,302087682
452,0,302982338
453,0,304985559
454,2,307861190
455,2,308214347
456,0,308314008
457,0,309065794
458,1,311465652
459,2,311770122
460,2,312179564
461,0,312909024
462,0,313736309
463,1,314106754
464,0,314493433
465,1,315665008
466,0,315840307
467,2,316850956
468,0,316932502
469,2,316932616
470,1,317144642
471,2,317557471
472,0,317939699
473,2,318146353
474,1,318444060
475,1,318445621
476,1,320824160
477,2,321484714
478,0,324169077
479,0,326505941
480,0,327203407
481,0,328113116
482,0,328477769
483,0,328909713
484,1,330004995
485,2,330005456
486,2,330005562
487,0,331874462
488,0,333266936
489,0,334692854
490,1,335435411
491,0,335871139
492,0,336466474
493,1,336595253
494,0,336603105
495,0,336806340
496,0,336866487
497,0,337048159
498,0,337394140
499,0,337822325
500,0,338568928
501,0,338642113
502,0,338655582
503,0,339674963
504,0,339808754
505,0,339865189
506,1,342889613
507,0,343099722
508,2,343442809
509,1,343992551
510,0,345583617
511,1,345721952
512,1,346018847
513,0,346302376
514,0,346461272
515,0,346700998
516,0,347909127
517,0,349760535
518,0,350184706
519,0,350414428
520,0,350415724
521,1,351931275
522,1,353472322
523,1,355187421
524,0,356115980
525,0,356906566
526,0,357135070
527,0,358097831
528,0,358097860
529,0,359012175
530,0,359488816
531,0,360335917
532,0,360646395
533,0,361855838
534,0,363519073
535,0,366088089
536,0,366861931
537,0,368251067
538,0,369140675
539,0,369140698
540,2,369647971
541,1,372418908
542,2,373694726
543,0,373968117
544,1,375507574
545,0,375608449
546,0,375806188
547,0,379250599
548,1,379884069
549,0,380160620
550,0,383069054
551,0,383314261
552,0,385154771
553,0,385290824
554,0,386220111
555,0,386475451
556,0,386834873
557,1,387090225
558,0,387600098
559,0,391575468
560,0,392861626
561,0,392864327
562,2,392874450
563,0,395386419
564,1,395555616
565,0,395689244
566,1,395994610
567,2,396150853
568,2,396150899
569,2,396151105
570,2,396350795
571,0,396820415
572,0,397217568
573,2,399372882
574,0,400174709
575,0,400402600
576,2,400636851
577,2,400724836
578,2,400724875
579,0,401137876
580,2,402741293
581,0,404143866
582,1,404529117
583,0,404893353
584,0,406012070
585,0,406015869
586,0,407167689
587,0,408047837
588,0,408674625
589,0,409219871
590,2,410493011
591,0,411562886
592,0,412591881
593,0,414008907
594,0,414104627
595,2,414621933
596,1,415495800
597,0,415569148
598,0,416090324
599,1,416716956
600,1,416717065
601,2,416986112
602,0,417539772
603,0,417653019
604,0,417723362
605,0,420423800
606,0,421803290
607,0,422770602
608,1,423335581
609,1,430135296
610,0,430136911
611,1,430450726
612,0,431112192
613,0,431117975
614,0,431519926
615,0,435222579
616,0,435481280
617,0,435833205
618,1,438797264
619,1,438957660
620,1,439182595
621,2,439758338
622,2,440229424
623,0,440368116
624,1,443017434
625,0,444480601
626,0,444498821
627,0,444854490
628,0,445705217
629,0,445712570
630,1,446641897
631,0,446741498
632,1,446871103
633,0,447103513
634,0,447501221
635,1,447505859
636,1,449144824
637,0,449992606
638,1,450241389
639,0,450278573
640,1,451518955
641,0,455050352
642,0,455943615
643,0,456455586
644,0,457089836
645,0,458438926
646,2,458446091
647,2,458455745
648,2,458490007
649,2,458494546
650,0,458541820
651,0,458564755
652,0,458575788
653,2,458586288
654,0,458590772
655,0,458592516
656,0,458606195
657,2,458612191
658,0,458630039
659,0,458653608
660,2,458658347
661,0,458673869
662,0,458722878
663,2,458722931
664,2,458733931
665,0,458768167
666,0,458816075
667,0,458817150
668,2,458821148
669,0,458888526
670,0,458889881
671,1,459934080
672,2,460180253
673,2,466058399
674,2,466152877
675,0,467792044
676,0,468221170
677,0,468221264
