,cat,id
0,1,140649
1,1,288863
2,1,337872
3,0,3144736
4,0,3418936
5,1,4846093
6,0,4983765
7,1,5164590
8,1,5322020
9,1,6797340
10,0,7286842
11,1,9089563
12,1,9896454
13,0,10090970
14,0,10489130
15,1,10997220
16,1,11010009
17,0,12500839
18,0,13145899
19,0,13145939
20,0,13959527
21,0,15032610
22,1,17221708
23,1,17380316
24,0,17380356
25,1,18193304
26,1,18676755
27,1,19276173
28,1,19437041
29,0,19630370
30,1,20232935
31,1,20655300
32,0,20656457
33,1,20776004
34,1,20855515
35,0,21179923
36,1,21449395
37,0,22212993
38,0,22263638
39,1,22395707
40,0,23589041
41,0,23812381
42,1,23958907
43,1,24250682
44,1,24931083
45,0,25104533
46,1,25487517
47,0,26276974
48,0,26295921
49,0,27025964
50,1,29248747
51,1,29914467
52,0,30197855
53,0,31011000
54,0,31069189
55,0,31069664
56,0,31095197
57,0,32837308
58,0,36152803
59,0,36371942
60,1,39320480
61,0,39320814
62,1,39425047
63,1,40356897
64,1,40357159
65,0,41002704
66,1,41194941
67,0,41831892
68,0,41966665
69,0,42646448
70,0,42684896
71,1,43012741
72,0,44095840
73,1,45069874
74,1,45070098
75,1,45318537
76,1,46967790
77,1,46967801
78,1,47302263
79,0,47351502
80,1,49314552
81,1,50190402
82,0,50526232
83,1,51934433
84,1,52461965
85,0,53209773
86,1,53902043
87,1,57058039
88,0,57968660
89,0,61582420
90,0,62182363
91,1,62718720
92,0,63362828
93,0,63469900
94,1,63475758
95,0,64018179
96,0,65746339
97,0,66222613
98,1,67098751
99,0,68006822
100,0,68187635
101,1,68771091
102,1,70588574
103,1,70850024
104,1,71785272
105,1,72295674
106,1,73839888
107,0,75284331
108,1,76223789
109,1,77001752
110,0,78358381
111,0,82280883
112,1,82334621
113,1,83757137
114,0,83847348
115,1,84417232
116,0,84616805
117,1,84738885
118,0,86985336
119,0,88102689
120,1,88108985
121,0,91892444
122,0,92187956
123,0,92275553
124,1,92643091
125,1,92734915
126,0,92965783
127,0,93415739
128,1,93829847
129,1,95170162
130,0,96126853
131,1,96305378
132,0,96935039
133,1,96939342
134,0,97696481
135,0,101469153
136,0,101610895
137,1,104198389
138,0,104430362
139,1,104538681
140,1,104578817
141,1,105078264
142,0,105841806
143,0,106273634
144,0,106273788
145,0,106843022
146,1,108672867
147,0,109555406
148,0,110370007
149,0,112816107
150,1,113666843
151,0,114810778
152,1,114994373
153,1,118340378
154,1,118767432
155,0,120098951
156,1,122521980
157,1,123117701
158,1,123499529
159,1,124263657
160,0,124466823
161,1,125483545
162,0,126829766
163,1,126922338
164,0,127344676
165,1,127366190
166,1,128693372
167,1,128838466
168,1,129255564
169,0,129766579
170,1,130645392
171,0,131210204
172,1,132336757
173,1,133189781
174,1,133885638
175,0,135008876
176,0,135547025
177,0,135953679
178,1,137712793
179,1,138059658
180,1,140316973
181,1,140430428
182,0,140863899
183,0,142471896
184,0,142805374
185,0,146912962
186,0,147751107
187,1,148406577
188,1,149300264
189,1,149680450
190,0,150004000
191,0,151648582
192,0,153886208
193,0,154283083
194,1,154314831
195,1,156270410
196,0,156312438
197,0,157076707
198,0,159454468
199,0,159927524
200,1,159987233
201,1,159987829
202,0,160500614
203,1,160577828
204,1,160678407
205,0,161427273
206,0,162261743
207,0,163900164
208,1,164863668
209,1,166600620
210,1,166703523
211,1,168213408
212,0,168691691
213,0,168813484
214,0,169510818
215,1,170409768
216,0,171810270
217,1,171952246
218,1,172011572
219,0,174015019
220,1,175785465
221,0,177078389
222,1,179669062
223,0,180916934
224,0,181640797
225,1,181674927
226,0,182064373
227,0,182311460
228,1,185260807
229,1,185769327
230,1,185960096
231,1,186570345
232,1,188731639
233,0,189766350
234,0,189909582
235,0,190466256
236,1,192310107
237,1,193211394
238,0,194704044
239,0,195942886
240,1,196785758
241,0,196924474
242,0,197517267
243,1,197903913
244,1,197925598
245,0,199083143
246,0,199128130
247,1,199274763
248,1,199356060
249,1,201286803
250,0,201506460
251,0,203643348
252,0,204740683
253,0,204919054
254,1,205496115
255,0,206202351
256,1,206770893
257,1,207083294
258,0,208443675
259,1,208443735
260,1,208851584
261,0,209429886
262,1,210408936
263,0,212151232
264,1,212498517
265,0,212958101
266,1,214441705
267,0,215043653
268,0,215764990
269,0,216103148
270,0,216712180
271,0,217578562
272,0,218256605
273,0,220338915
274,0,220466768
275,0,220685790
276,0,222698893
277,0,223003192
278,1,223294053
279,0,223321717
280,0,224080581
281,0,225105175
282,0,225328245
283,1,226339399
284,0,226609593
285,1,227585695
286,0,227597124
287,1,230662658
288,1,232411558
289,1,233087109
290,1,233087266
291,1,233087840
292,1,233125177
293,0,233138311
294,1,233458876
295,0,236505542
296,1,237274013
297,0,237862834
298,1,237929228
299,1,238205422
300,0,238669343
301,0,239561251
302,1,239818193
303,0,240854679
304,1,240913413
305,1,242347187
306,0,243057732
307,1,243945582
308,0,244266206
309,1,244267712
310,1,244662422
311,0,245998229
312,0,248288296
313,0,249291658
314,1,249519130
315,1,250222113
316,1,251754670
317,0,252371662
318,0,252802509
319,1,254592935
320,0,255334985
321,0,256061165
322,0,256956420
323,1,257890019
324,0,257950423
325,1,257960434
326,1,261005514
327,1,261107573
328,1,261107635
329,1,261911253
330,1,263950203
331,0,266136515
332,0,266136573
333,1,266373125
334,0,266403348
335,1,268654246
336,1,269186930
337,0,269520464
338,1,270093714
339,1,270094858
340,1,270176567
341,1,270248667
342,0,270325125
343,0,270325311
344,0,270325587
345,0,270325728
346,0,270325781
347,0,271077582
348,1,271872268
349,0,272723792
350,0,273008085
351,0,273676049
352,1,273881929
353,0,276228274
354,0,276597106
355,0,276797616
356,0,277265184
357,1,279104050
358,1,279712071
359,1,279906224
360,0,280360509
361,0,281876026
362,0,281987655
363,1,281992627
364,0,282022492
365,0,283682249
366,1,286290587
367,0,288140008
368,0,290531824
369,1,290630751
370,1,290867040
371,1,291674270
372,1,291698335
373,1,292759838
374,0,293299222
375,0,294294391
376,0,298527241
377,1,299179972
378,1,303166502
379,1,305958777
380,0,305958850
381,1,305958910
382,1,305995786
383,0,306770291
384,0,308309458
385,1,308744808
386,1,310321620
387,1,311215611
388,0,311776251
389,0,311776354
390,1,312064138
391,0,314227137
392,1,314341653
393,1,314632140
394,1,315000649
395,1,315064906
396,1,317345398
397,0,317905721
398,1,318154497
399,1,318279472
400,0,319204194
401,1,319800523
402,0,320851084
403,1,322066082
404,1,323228552
405,1,323859677
406,0,323864627
407,0,323865345
408,1,325211384
409,1,328630962
410,0,329650045
411,0,329970523
412,1,330111545
413,1,330472650
414,0,331579761
415,0,331883112
416,0,334338067
417,1,334691166
418,1,334691223
419,1,334881784
420,0,335355521
421,0,336033003
422,0,336684386
423,0,337853069
424,0,337854744
425,0,337855009
426,0,337855752
427,0,337856315
428,0,337856952
429,0,337857097
430,0,337857575
431,0,337857843
432,0,337857872
433,0,337858349
434,0,337858420
435,0,337883727
436,0,338288225
437,0,339638877
438,1,343110842
439,1,343969435
440,0,344028262
441,1,344977663
442,1,344978731
443,1,345534356
444,0,346558297
445,0,347541860
446,1,347638782
447,1,349740589
448,0,350028300
449,0,351742543
450,1,352388143
