,cat,id
0,0,73321
1,0,246883
2,0,1178303
3,0,2458669
4,0,3458756
5,0,3486473
6,0,4209053
7,1,4658321
8,0,4868635
9,0,5339721
10,1,5371807
11,0,5481051
12,0,5907800
13,0,5914974
14,0,6084142
15,0,6767339
16,0,9003214
17,0,9594836
18,0,9706543
19,0,11259766
20,0,11547694
21,0,11870435
22,0,12003437
23,0,12428471
24,0,12871381
25,0,13171559
26,0,13309517
27,0,16846236
28,0,16935222
29,0,17775922
30,0,18471119
31,1,18847280
32,0,19674296
33,0,19674305
34,0,20388690
35,0,20569149
36,0,20705994
37,0,20907599
38,0,21001318
39,0,21130931
40,0,21577021
41,0,21677493
42,0,22984738
43,0,24674675
44,0,25107853
45,1,25885393
46,0,26688821
47,0,26971691
48,0,27388122
49,0,27641505
50,0,27704383
51,0,27928007
52,0,28126577
53,0,28126639
54,0,28887382
55,0,28971787
56,0,29183885
57,0,29465793
58,0,29846921
59,0,30265337
60,0,30611724
61,0,31331164
62,0,32838164
63,1,33989560
64,0,34505781
65,1,34638763
66,0,35285378
67,0,36040027
68,0,37249087
69,0,37381710
70,0,37381745
71,1,37759759
72,0,38678144
73,0,39703489
74,0,40745342
75,0,42775003
76,1,42980397
77,0,43120201
78,0,43291205
79,0,43722709
80,0,44910017
81,1,46850657
82,1,47599067
83,0,48999517
84,1,51238828
85,1,52016162
86,1,52159297
87,1,52698565
88,1,53112361
89,0,53143339
90,1,53415015
91,1,53418777
92,1,53479942
93,0,53537722
94,0,55236788
95,0,55291476
96,0,55301332
97,0,55708490
98,0,55861452
99,0,56738346
100,0,57091117
101,0,58041736
102,0,59121637
103,0,59726502
104,0,60300865
105,0,61556187
106,0,62817040
107,0,62848022
108,0,63378840
109,0,63954729
110,0,65314122
111,0,67237925
112,0,67391886
113,0,67627825
114,0,68397464
115,1,68674083
116,0,68973828
117,0,69811664
118,0,70280262
119,0,70280409
120,0,72358347
121,0,73358987
122,0,75721438
123,0,75908720
124,0,76066975
125,0,76078282
126,0,76268630
127,0,77121347
128,0,77140998
129,0,78272881
130,0,78781052
131,0,79195485
132,1,79800585
133,0,79867480
134,0,82822943
135,0,84034146
136,0,84699385
137,1,85523038
138,0,85802256
139,0,87071346
140,0,87260193
141,0,87581917
142,0,88197808
143,1,88197981
144,0,88388330
145,1,88818738
146,0,89238160
147,0,90433984
148,0,92374550
149,0,92729052
150,0,93064667
151,0,94572814
152,0,94724429
153,0,95541451
154,0,95541547
155,0,96975597
156,0,97233644
157,0,97406759
158,0,97505941
159,0,97570013
160,0,98283175
161,0,98762497
162,0,99003749
163,1,99005711
164,1,99162915
165,0,102808074
166,0,103524103
167,0,103602668
168,0,106047986
169,0,107244646
170,0,107871582
171,1,107873210
172,0,108005208
173,1,109601946
174,0,109722383
175,0,110288484
176,0,110291816
177,0,110572957
178,1,111211165
179,0,112409696
180,0,113060947
181,0,113070184
182,1,113902827
183,0,114361092
184,0,116145664
185,1,116206962
186,0,117509929
187,0,118434934
188,0,118885676
189,0,118892259
190,0,119039386
191,0,120754560
192,0,121054339
193,0,121161254
194,0,122195437
195,0,124710710
196,0,125020574
197,0,125556849
198,0,126506748
199,0,126510040
200,0,127328070
201,0,127919076
202,0,127942253
203,0,127942516
204,0,127943725
205,0,128058697
206,0,128069037
207,0,128069077
208,0,128704730
209,0,128708996
210,0,130101664
211,0,131071695
212,0,131105672
213,0,131251069
214,0,131392902
215,0,131571202
216,0,132451569
217,1,132615334
218,0,133364130
219,0,133629207
220,0,134463659
221,0,136271965
222,1,136481614
223,0,136492586
224,0,136500173
225,0,136505718
226,0,137093423
227,0,137156044
228,0,138013404
229,0,139505607
230,0,140746370
231,0,143470194
232,0,143536015
233,0,143693732
234,0,144211534
235,0,144230391
236,0,144634083
237,0,144784335
238,1,145184688
239,0,145505826
240,0,146092136
241,0,148509157
242,0,148763607
243,1,148776790
244,0,149325488
245,0,150438231
246,0,151409678
247,0,151729517
248,1,152011696
249,0,152323119
250,0,152835397
251,1,153306301
252,0,153372235
253,0,153455040
254,0,154494306
255,0,154939606
256,0,156227660
257,1,157386437
258,0,157692534
259,0,157986107
260,0,157986199
261,1,159158886
262,1,159516858
263,0,160368524
264,0,161105746
265,0,161398180
266,0,162107031
267,0,162553321
268,1,163414269
269,0,163422589
270,0,164187474
271,0,164488629
