,cat,id
0,2,122255
1,0,478184
2,2,680574
3,2,716883
4,0,1239643
5,1,1471312
6,0,1533734
7,0,3251380
8,2,3503562
9,2,4279645
10,0,4795031
11,2,5295736
12,2,5964449
13,2,6703556
14,0,9081092
15,0,9315250
16,0,9571181
17,1,11662887
18,0,13851153
19,1,14119728
20,2,16064041
21,0,16607214
22,2,17101586
23,0,19439704
24,1,20277041
25,1,21443721
26,1,21444075
27,0,21753854
28,0,22180448
29,1,23020497
30,0,24407527
31,1,24724206
32,0,25033914
33,2,25044241
34,2,25399521
35,0,29019301
36,1,29424495
37,2,33457528
38,2,34013309
39,0,34372784
40,0,35562618
41,0,37019857
42,1,37419917
43,2,37951537
44,1,40066914
45,1,40068447
46,1,40070332
47,1,40070427
48,0,41261816
49,1,41675030
50,0,41798318
51,1,42774512
52,0,43031822
53,2,43597458
54,2,45073219
55,0,47252734
56,2,50204884
57,1,50226373
58,2,50319336
59,1,51534451
60,2,51946200
61,2,51947661
62,0,51948175
63,0,51949384
64,2,51949664
65,1,51963336
66,0,52791377
67,2,53093260
68,0,54266591
69,2,54266860
70,0,54267141
71,0,54267258
72,0,54268811
73,2,54268902
74,2,54270321
75,0,55103114
76,1,56907912
77,1,57057392
78,1,57357902
79,0,57358205
80,1,57959280
81,2,58495308
82,0,59785393
83,1,60035595
84,1,61205975
85,1,63303508
86,2,63959745
87,1,64486038
88,1,65251233
89,0,65299638
90,0,65612519
91,1,66691794
92,2,66826486
93,0,69012302
94,0,70591159
95,1,72343037
96,0,72640558
97,0,73644559
98,2,73845141
99,0,75855060
100,0,76442727
101,2,76697903
102,2,78716913
103,1,78985345
104,0,82026519
105,0,82051379
106,2,83103031
107,2,84253159
108,1,84954761
109,0,87116181
110,2,88439748
111,2,89104489
112,2,89167021
113,2,89387657
114,0,89414739
115,1,89961572
116,1,90493677
117,0,92174443
118,0,92348494
119,1,93046068
120,2,94545448
121,1,95624876
122,1,95624913
123,2,95846895
124,0,95888333
125,2,96102899
126,2,96347708
127,1,97906650
128,1,98308507
