,cat,id
0,1,314715
1,1,974352
2,0,1119919
3,0,1308856
4,0,2773946
5,1,2938580
6,0,3520054
7,0,5023645
8,0,5164545
9,0,5690328
10,1,6417033
11,0,6640118
12,2,7318423
13,2,8143472
14,2,8260476
15,1,8475922
16,0,9156772
17,0,10656591
18,1,11205942
19,0,11833532
20,1,11879931
21,0,11905109
22,0,12039682
23,0,12285443
24,2,13251404
25,1,13279203
26,1,14445487
27,0,15357491
28,0,15602270
29,0,18171813
30,1,18241725
31,0,18286574
32,1,18498180
33,0,18519510
34,1,19285700
35,0,19287979
36,0,19485807
37,2,21899896
38,0,21950683
39,0,22545224
40,0,23125553
41,1,23168368
42,2,23617417
43,0,23774195
44,0,23917370
45,0,24148479
46,2,25546895
47,2,25571491
48,0,25871104
49,0,26308211
50,1,26447662
51,0,26837395
52,0,27207277
53,1,27287089
54,0,28469564
55,1,28857764
56,1,29003714
57,2,30359449
58,1,30508702
59,0,31463377
60,1,32014035
61,2,32179091
62,1,32615232
63,0,33531169
64,0,33646765
65,0,33687432
66,1,33961087
67,1,34234339
68,0,34245650
69,0,34590298
70,0,35906503
71,1,36920008
72,0,37095497
73,1,37440752
74,1,37482292
75,0,37617922
76,1,37691134
77,1,38251245
78,0,38289872
79,1,39646181
80,1,39901246
81,2,40427352
82,1,40807662
83,0,40954432
84,0,43249793
85,0,43855303
86,0,45012173
87,1,45073642
88,1,45109701
89,1,45151772
90,2,45306298
91,0,45486454
92,0,45671570
93,1,46673192
94,1,48194361
95,0,48789404
96,0,49122471
97,2,49306673
98,0,49308741
99,1,49361352
100,0,50149271
101,1,50971692
102,0,51057693
103,1,51202940
104,0,51786869
105,0,53377111
106,1,55503664
107,1,55766405
108,1,56366124
109,1,56774917
110,0,57185589
111,1,58310584
112,0,58353583
113,0,58707248
114,1,58993508
115,0,59103898
116,1,59156582
117,0,59992445
118,1,60421135
119,2,60644435
120,1,61849357
121,1,62529291
122,1,62986383
123,0,64633965
124,1,65113472
125,0,65721393
126,2,66179351
127,0,67387166
128,0,68231979
129,0,68264289
130,0,69834235
131,1,70064665
132,0,70493270
133,1,70644672
134,0,70991276
135,0,70998933
136,1,71312775
137,2,73824575
138,0,74786370
139,1,76174882
140,2,77123304
141,0,78160267
142,0,78568773
143,1,79217983
144,0,81000043
145,2,81182122
146,1,81216983
147,0,81259137
148,1,82352208
149,0,83430388
150,2,84701607
151,0,86401256
152,1,87100806
153,0,88160219
154,2,89356866
155,1,89499815
156,0,89971724
157,0,90519158
158,0,91054046
159,1,91159329
160,1,91800619
161,0,91947465
162,0,93441713
163,0,93851769
164,0,95576968
165,2,95856669
166,0,96273403
167,0,96291047
168,1,97133683
169,1,97607292
170,1,97765280
171,0,97849477
172,0,97871230
173,0,98012102
174,0,98316962
175,1,98451038
176,0,98611703
177,0,98877427
178,1,98985994
179,1,99261303
180,0,99769685
181,2,101252302
182,1,102107272
183,2,104185651
184,0,104502785
185,0,105052928
186,0,105504089
187,2,106156985
188,1,106823322
189,0,106921144
190,2,107401431
191,1,107525108
192,0,107681185
193,0,107714128
194,2,107985995
195,0,108690842
196,0,108706247
197,0,109165063
198,0,109464879
199,0,110049297
200,1,110294935
201,0,111030609
202,1,112012151
203,0,112526834
204,2,115449787
205,0,115556706
206,0,116037497
207,0,116614779
208,0,117414441
209,1,117622550
210,1,117906008
211,0,118914479
212,0,119143111
213,0,120323728
214,2,120545909
215,0,121233869
216,1,121920102
217,0,123159214
218,2,123993475
219,0,124839691
220,0,125234950
221,1,126179189
222,2,126837677
223,1,128190477
224,1,128606083
225,2,129495732
226,0,130149619
227,1,130482547
228,1,130681955
229,1,130682047
230,0,130707560
231,0,130985152
232,0,131678482
233,0,131749316
234,0,133178216
235,0,133182656
236,1,134125140
237,0,134413002
238,2,135668127
239,0,135716363
240,0,135781690
241,0,135953232
242,1,136896278
243,1,137596889
244,1,137946659
245,2,138455292
246,0,138530778
247,0,140003199
248,2,142270300
249,0,142321905
250,0,142434914
251,0,144143665
252,0,144260241
253,2,144384087
254,0,144850607
255,1,145075432
256,0,145716178
257,1,146014701
258,0,146049284
259,2,146733322
260,1,146734804
261,1,147508894
262,1,147512741
263,2,148136460
264,0,149063252
265,1,149541284
266,0,150546225
267,0,151076891
268,0,151105286
269,0,151725222
270,2,152095084
271,0,152131052
272,0,152215505
273,1,152479782
274,1,152664536
275,0,152852489
276,2,153236506
277,1,153924519
278,1,154571827
279,0,155027408
280,0,155538621
281,2,156555858
282,0,156979711
283,0,157252360
284,0,157263234
285,2,157330988
286,0,158443849
287,0,158780979
288,1,159120392
289,0,159447681
290,2,160280476
291,0,160434298
292,0,162278051
293,1,162375041
294,2,164728260
295,0,165374301
296,1,165955180
297,0,166453315
298,2,167856677
299,1,169055829
300,0,169907675
301,2,170087952
302,1,170693663
303,0,170949548
304,2,171350276
305,0,171879437
306,0,174139725
