,cat,id
0,1,1535000
1,1,1815222
2,2,1928390
3,0,1928450
4,0,2038223
5,1,2045766
6,0,4028558
7,2,5181971
8,0,6827580
9,2,7046861
10,2,7202558
11,2,7699664
12,2,7708088
13,2,9037714
14,1,10173594
15,2,11873160
16,2,11920576
17,1,12010859
18,1,12020307
19,0,12221611
20,1,12612845
21,1,13134639
22,0,13631946
23,0,14209093
24,2,14952310
25,0,17059712
26,1,19208849
27,1,19481625
28,2,19751422
29,1,20131108
30,2,21024200
31,2,21096060
32,2,21944377
33,1,22747494
34,2,22820365
35,0,22898644
36,2,24090899
37,0,25040717
38,0,26254127
39,1,26523683
40,1,26636811
41,2,28434883
42,0,29570433
43,1,31550390
44,0,31565928
45,2,33754167
46,2,33796404
47,1,33888216
48,1,34117601
49,1,34897678
50,0,35186077
51,2,36233656
52,2,37103677
53,0,37894126
54,1,38346624
55,0,38505507
56,2,38844693
57,2,38991150
58,0,40458264
59,2,42032596
60,2,43468587
61,0,43588570
62,1,44147100
63,1,44681291
64,2,45108196
65,1,45265991
66,0,47673717
67,2,48455083
68,0,50423914
69,2,50814307
70,2,50988433
71,1,51756324
72,0,51761799
73,1,52302323
74,1,54413206
75,1,55674839
76,1,57584509
77,0,57753676
78,2,60553299
79,1,62909599
80,1,63730454
81,0,66084110
82,2,66707453
83,1,70612649
84,1,70735785
85,0,71198625
86,1,71293956
87,1,72037743
88,2,72734167
89,2,73571897
90,1,73574879
91,1,73657626
92,2,75351417
93,2,75652998
94,2,75653149
95,2,75653254
96,2,75653277
97,2,75654456
98,1,75868197
99,1,76144743
100,2,76198879
101,0,76531159
102,0,77144226
103,2,77227022
104,1,77706631
105,2,78043550
106,1,78935127
107,1,79922729
108,0,80136539
109,0,80176848
110,0,80416622
111,0,80416631
112,1,80827639
113,0,82499147
114,2,83350189
115,2,83978028
116,1,84275018
117,1,84892634
118,2,85740338
119,2,86528932
120,2,86830552
121,1,87946987
122,0,88849912
123,0,89722539
124,1,90073247
125,2,90787610
126,2,91308321
127,1,91356401
128,0,92758159
129,0,93156220
130,1,94219418
131,2,94569036
132,1,95528917
133,2,96145758
134,2,97579186
135,0,99136254
136,0,99542840
137,1,99603402
138,1,99979665
139,1,100337835
140,1,101010540
141,2,101341550
142,1,101812004
143,2,102660341
144,1,103645725
145,1,103815185
146,2,106404859
147,2,106763324
148,0,107350432
149,2,107361479
150,1,109468656
151,2,111287835
152,0,112482488
153,2,112744585
154,1,112946743
155,2,114554786
156,1,115591422
157,1,115730292
158,0,116009823
159,1,117393233
160,2,118215806
161,1,119860230
162,2,120281403
163,0,121255558
164,0,121717229
165,1,123716449
166,2,123943337
167,2,125338523
168,2,126373966
169,0,126447049
170,2,126648796
171,0,129023940
172,2,129235638
173,1,132206420
174,1,132667248
175,0,132824196
176,1,132839174
177,2,134929452
178,2,134964481
179,2,134964539
180,2,135728619
181,0,135733841
182,0,136633711
183,0,136907644
184,0,136907718
185,0,138105707
186,0,138691410
187,1,138719619
188,2,138854034
189,0,139452815
190,0,140911992
191,1,141659169
192,2,141898246
193,1,144362444
194,1,145446821
195,1,145628204
196,1,145630785
197,1,145631492
198,1,146996452
199,1,147176798
200,2,147484900
201,1,148103473
202,2,148639281
203,0,149512659
204,1,149828905
205,1,149893276
206,1,150100220
207,0,150421564
208,0,150738660
209,1,151349285
210,2,152599234
211,1,154191448
212,2,154951344
213,0,155484895
214,0,155729356
215,0,156031951
216,2,156914838
217,0,158365015
218,2,160250469
219,2,161620957
220,1,161940164
221,0,163431465
222,0,163541386
223,1,163944366
224,2,165710901
225,2,165797413
226,1,166203423
227,0,166653424
228,1,167292297
229,1,167294893
230,2,167718677
231,2,168269226
232,1,169192683
233,0,169580094
234,1,169753070
235,0,170076279
236,0,170363240
237,0,173167692
238,2,173274271
239,0,173293260
240,2,176966136
241,1,180859984
242,2,180990208
243,2,183288400
244,0,183455065
245,1,187264995
246,2,188810330
247,2,188848402
248,2,191629451
249,2,191798420
250,1,191863777
251,1,192069061
252,1,192504028
253,0,193502862
254,1,193670542
255,0,195973549
256,0,196018318
257,1,196216275
258,0,196844533
259,1,196950928
260,2,198125968
261,2,199692520
262,2,199939779
263,0,200167176
264,0,200458828
265,2,200804541
266,1,200934737
267,2,201540953
268,2,202249529
269,2,202860511
270,2,203849173
271,2,204193304
272,2,204387971
273,1,205797319
274,0,206913525
275,2,207114757
276,1,208550712
277,0,208807647
278,2,211468251
279,2,211881360
280,1,212237304
281,2,212254591
282,1,213428942
283,2,213567028
284,0,213724884
285,1,214186747
286,2,214714407
287,2,215135128
288,0,215690784
289,1,217649141
290,1,218060027
291,0,218394914
292,2,219197366
293,1,219264752
294,2,219602639
295,2,219718030
296,2,220445886
297,1,221797473
298,0,222553566
299,1,222801544
300,1,222913574
301,0,225206840
302,1,226144581
303,0,226426919
304,2,227621520
305,1,227851011
306,2,228379769
307,0,229295359
308,1,229537285
309,1,231412214
310,0,231590834
311,1,232029179
312,1,232987794
313,0,233340191
314,1,233594817
315,1,233733813
316,1,233892760
317,2,233929502
318,2,234977706
319,1,235370039
320,2,235521876
321,1,236129543
322,1,238608363
323,1,241119409
324,0,241405129
325,0,242562407
326,0,242788979
327,1,243595341
328,2,244158289
329,1,245376432
330,1,245378473
331,2,245651662
332,0,246123493
333,1,246207021
334,1,246324644
335,1,247166627
336,1,247274375
337,0,248000688
338,2,249023889
339,2,250847065
