,cat,id
0,1,1182712
1,1,1556210
2,1,3024226
3,0,3357905
4,1,5757983
5,1,6102293
6,0,6458433
7,1,6737683
8,0,7273907
9,1,7446990
10,0,7696698
11,1,7708155
12,1,11236506
13,1,12088222
14,1,12197094
15,0,12991319
16,0,13262997
17,0,14626863
18,1,14720944
19,1,14926612
20,1,16259879
21,0,16317875
22,0,16954471
23,1,17122133
24,1,17548865
25,1,17887591
26,1,23430061
27,0,24356211
28,1,24922012
29,0,25254409
30,0,25315896
31,1,27272638
32,1,27364004
33,0,27471940
34,1,27767002
35,1,27928375
36,1,27983252
37,0,28582649
38,1,28796089
39,0,30054620
40,0,30664222
41,1,31509506
42,1,32166037
43,1,32216632
44,0,32509895
45,1,33561529
46,1,35574403
47,1,36876304
48,0,37564549
49,1,38256175
50,0,38455285
51,1,38741642
52,1,39123386
53,0,39328194
54,1,40240683
55,0,40431480
56,1,41581961
57,1,41827019
58,1,43546242
59,0,46159888
60,1,47078057
61,1,47695887
62,1,48631891
63,1,50034921
64,0,50185457
65,1,51159009
66,0,52061761
67,1,52769122
68,1,53225390
69,0,53870538
70,1,54870670
71,1,55251389
72,1,55550542
73,1,55556409
74,0,56252052
75,0,56441376
76,1,57134006
77,0,62177283
78,0,62398792
79,0,62687287
80,0,64087499
81,1,65439218
82,0,66004865
83,1,68137090
84,1,68709315
85,0,68764097
86,0,69617514
87,1,69638455
88,1,69712343
89,1,70415398
90,1,71434984
91,1,72337155
92,1,72900578
93,1,72961087
94,1,73064329
95,0,73449164
96,0,73934295
97,1,74669732
98,0,77689323
99,1,78664272
100,1,79448587
101,0,79516677
102,0,80204818
103,0,81066347
104,1,83754894
105,0,85590942
106,1,86009335
107,1,86020177
108,1,87050719
109,0,87204801
110,0,87298845
111,1,87628715
112,0,88245343
113,1,88251597
114,1,88482460
115,1,89601514
116,1,89692760
117,0,89985249
118,0,90219757
119,1,90772322
120,1,91213727
121,0,91422703
122,0,91860535
123,1,94033611
124,0,94366774
125,1,96428627
126,1,97555414
127,1,98388953
128,1,99887595
129,0,101112812
130,0,103207369
131,1,103287309
132,1,105128513
133,0,105624812
134,1,106281978
135,1,106716890
136,1,106888790
137,1,107576880
138,1,108861357
139,0,111018846
140,0,111018865
141,1,111034078
142,0,111297069
143,1,112531309
