,cat,id
0,0,1217776
1,0,1218422
2,2,1367071
3,1,3414628
4,1,4223502
5,1,4788558
6,1,4933979
7,0,5614750
8,1,7644854
9,1,8281287
10,2,8402783
11,1,8469485
12,1,8722314
13,1,8793014
14,1,9971522
15,0,9971992
16,1,10429386
17,0,12598820
18,0,13030213
19,1,13415747
20,1,13687882
21,1,14770460
22,0,15026735
23,0,15260035
24,1,15999053
25,0,15999428
26,2,16422389
27,0,17017675
28,1,17594255
29,1,17849565
30,0,19385777
31,1,19705148
32,0,20148182
33,0,20321056
34,1,22033560
35,0,22558576
36,1,23173613
37,1,23201850
38,0,23421313
39,0,23421496
40,1,23596279
41,1,23770155
42,1,24221235
43,1,25248114
44,1,25928261
45,0,27093722
46,0,27813891
47,1,28857432
48,0,28876676
49,1,30102849
50,1,32881939
51,1,32919069
52,1,34166118
53,0,36588203
54,0,36989321
55,1,37215313
56,2,37345125
57,1,37405561
58,1,38123565
59,1,39781643
60,1,40942770
61,0,41150114
62,0,41602226
63,1,43260631
64,1,43423604
65,0,43532077
66,1,44787650
67,0,45624766
68,1,46272291
69,2,46702380
70,0,48066773
71,1,48550672
72,1,48950946
73,0,49068658
74,1,49569834
75,1,49601936
76,1,49602001
77,1,50289969
78,1,50716472
79,0,51066414
80,0,51066501
81,0,51066559
82,0,51606349
83,1,51683365
84,1,51686944
85,0,51774356
86,1,51905027
87,0,53277042
88,0,53500650
89,1,54549064
90,1,55270961
91,0,55299470
92,0,55309357
93,0,55448904
94,0,55450564
95,1,55799857
96,1,56081878
97,1,56122077
98,1,56181375
99,0,56861044
100,0,56994822
101,0,56994864
102,2,58156428
103,1,58472516
104,1,58777474
105,0,58811336
106,1,58832170
107,0,58877850
108,0,58887242
109,0,59534168
110,0,59835626
111,0,61186973
112,0,63721270
113,0,63806454
114,1,64341006
115,1,64762890
116,1,64851877
117,1,64886677
118,1,64886698
119,1,64886736
120,1,65838145
121,1,65885743
122,1,65887624
123,1,66599765
124,1,67101736
125,1,67229919
126,0,67770184
127,1,67821258
128,0,67857937
129,0,68426459
130,0,68427253
131,0,68429402
132,1,69015090
133,1,69684699
134,1,69750583
135,0,69957549
136,1,70196638
137,1,71600718
138,1,72291143
139,1,73468953
140,0,73471125
141,1,73508619
142,1,73974859
143,1,74293169
144,1,75414307
145,1,75534766
146,1,75868865
147,1,76595850
148,1,76666244
149,0,76873876
150,1,77939099
151,1,78252293
152,1,78274755
153,1,78343457
154,1,80933970
155,1,81541819
156,2,81635044
157,1,82465758
158,0,82676042
159,0,82689497
160,1,85735021
161,2,87060561
162,1,88284954
163,0,88425821
164,0,89170807
165,1,89171872
166,2,89526835
167,1,90050016
168,1,91743060
169,0,92220536
170,0,92222671
171,0,92238776
172,1,93239839
173,1,93250915
174,2,93292888
175,1,93745703
176,1,93747046
177,0,93811039
178,1,94482143
179,0,94513685
180,1,95431600
181,1,95434245
182,1,95920079
183,1,95922592
184,0,97483147
185,1,97789732
186,1,99027710
187,0,99028806
188,0,99033984
189,0,99041114
190,1,99107553
191,0,99232854
192,1,100494682
193,1,101399562
194,0,101580015
195,1,101747864
196,0,101797791
