,cat,id
0,1,32383
1,3,243622
2,3,1198246
3,0,1318062
4,1,1747475
5,1,1992329
6,1,3543808
7,3,3948412
8,1,4161131
9,1,4870575
10,0,7110196
11,1,7443253
12,3,7598613
13,1,8080691
14,1,9021529
15,0,9144527
16,0,9737247
17,1,10096525
18,3,10954845
19,2,11104206
20,1,11397653
21,0,12611887
22,1,13235652
23,0,14701353
24,1,15412908
25,0,16243696
26,0,16426632
27,0,16444041
28,0,16669190
29,3,16792104
30,1,18262932
31,3,18356221
32,1,18725328
33,1,20276630
34,1,20307740
35,3,20757140
36,1,21197898
37,3,21309698
38,1,21664075
39,0,23536365
40,2,25690860
41,1,25819051
42,1,25819265
43,1,26190564
44,1,26198468
45,1,26254929
46,0,27666617
47,0,27687031
48,3,27866994
49,1,28803883
50,0,30250200
51,3,30832696
52,0,31029975
53,0,32013260
54,0,32045861
55,2,32489967
56,3,32820773
57,1,33153276
58,0,34056242
59,0,34056255
60,0,34732072
61,1,35090042
62,1,35498128
63,1,35893907
64,0,36353934
65,3,37651195
66,3,37672387
67,2,37908384
68,1,38536308
69,0,38626297
70,1,38750175
71,0,38911297
72,0,39406040
73,0,40059865
74,1,40206589
75,1,41936317
76,0,41970854
77,1,42400662
78,0,42680822
79,1,42680954
80,0,45292728
81,1,45379648
82,0,45464656
83,1,45581944
84,0,47297563
85,1,48396560
86,0,48893246
87,1,49429786
88,1,49436284
89,0,50536609
90,1,50954980
91,1,51065132
92,0,51443092
93,1,51577506
94,0,51779172
95,3,51813513
96,2,52265238
97,1,53813439
98,0,54789160
99,2,54899940
100,0,55173198
101,0,55316444
102,2,55892656
103,2,55894224
104,2,56069542
105,1,56072724
106,0,56193734
107,0,56822705
108,0,56877641
109,1,57198664
110,1,57649342
111,0,58475896
112,3,58502296
113,0,58605633
114,1,58738625
115,2,59344274
116,0,60373848
117,0,60638495
118,0,61310626
119,3,61693700
120,1,62994545
121,0,63817409
122,1,64409182
123,2,65247657
124,3,66412431
125,1,66674802
126,0,66802171
127,1,66984033
128,0,67293552
129,0,67782556
130,3,68089125
131,0,69641603
132,0,70206883
133,0,70239589
134,1,71470811
135,2,72503314
136,2,73148969
137,3,73655702
138,1,73704322
139,1,73763098
140,2,75281680
141,0,76244349
142,0,76245309
143,0,76246249
144,1,77246487
145,0,78370465
146,3,78863424
147,0,79816996
148,3,81931170
149,3,82351028
150,3,82370650
151,3,82465478
152,1,83298803
153,1,83590713
154,3,83766132
155,0,84513600
156,0,84572262
157,0,85172156
158,0,85751912
159,0,85835975
160,0,85883214
161,3,86246118
162,1,86362795
163,0,86559345
164,3,86568490
165,0,86671516
166,0,86726295
167,3,88275835
168,0,88859773
169,1,89230063
170,0,90082472
171,2,90882057
172,3,91728875
173,1,92071369
174,2,92772546
175,3,95296586
176,0,95813972
177,1,96014108
178,0,96681560
179,1,96706962
180,3,97136577
181,3,97635776
182,1,98189223
183,2,98422688
184,1,98972148
185,0,99446610
186,3,99456529
187,1,99489500
188,1,99929439
189,3,101797429
190,1,102042170
191,0,102202089
192,1,102345046
193,1,102798558
194,0,102843611
195,0,103529621
196,3,104018749
197,3,107732095
198,1,108750921
199,0,108947846
200,1,109250606
201,3,109527172
202,0,110081969
203,0,110255422
204,1,110386651
205,3,111396036
206,0,112574317
207,2,113052315
208,1,113108787
209,1,113968900
210,3,116432589
211,3,116577091
212,0,116647038
213,0,116649800
214,1,116761151
215,0,117613432
216,3,118287924
217,2,119992684
218,2,120812152
219,0,121201548
220,0,121388405
221,3,124591453
222,3,125554605
223,3,127406497
224,1,129400760
225,0,129689878
226,3,130394497
227,3,130394543
228,3,131168141
229,0,131625075
230,2,131750484
231,0,132025430
232,0,132760696
233,1,133014292
234,1,134803928
235,1,135535781
236,1,137525013
237,0,138361098
238,1,138667608
239,1,139534085
240,2,139554729
241,1,141215871
242,0,141782475
243,0,142066388
244,0,142168112
245,2,142195397
246,1,142425432
247,3,142628278
248,3,142996374
249,1,143590419
250,0,143778657
251,0,144119985
252,0,144174103
253,3,144698818
254,3,146165589
255,3,147933713
256,0,148945678
257,3,149347532
258,0,151400107
259,0,151541177
260,0,151727838
261,3,151772792
262,3,152459550
263,1,152885288
264,0,153475901
265,1,154805037
266,0,154919289
267,0,155645273
268,0,155697685
269,0,155821365
270,3,155919705
271,1,156366966
272,2,157435309
273,0,157466419
274,3,158374737
275,1,158800827
276,0,159640842
277,2,159785263
278,1,160366995
279,0,160637000
280,0,160812238
281,3,161222807
282,2,161525837
283,0,163060555
284,1,163680095
285,1,163915496
286,0,168298577
287,0,168427805
288,0,168820388
289,1,168992746
290,0,169188112
291,3,169908718
292,0,171030551
293,1,171484636
294,0,171600191
295,1,171824234
296,0,172762397
297,0,172825833
298,3,172953471
299,0,172961292
300,0,174243059
301,1,174254805
302,0,174481307
303,1,175240875
304,3,176677849
305,0,178087168
306,1,179173372
307,0,179501955
308,3,180641202
309,2,181284466
310,1,182781683
311,0,183681343
312,3,183780249
313,0,185520821
314,0,186001567
315,2,186985022
316,1,187381797
317,0,188156509
318,0,188504797
319,3,188737963
320,3,188740736
321,3,188741222
322,1,189041291
323,1,190051741
324,1,190204481
325,1,190751585
326,0,192040564
327,1,192105436
328,1,192722387
329,1,193670946
330,3,194071027
331,2,194678370
332,1,195122245
333,0,196462457
334,1,196573838
335,3,196627708
336,0,196729933
337,0,196829652
338,1,197577592
339,1,198092312
340,3,198659277
341,0,199011430
342,0,199263398
343,1,199429529
344,0,202065208
345,3,203063636
346,1,203875971
347,0,204292229
348,3,205782801
349,3,205918584
350,3,206292598
351,1,207075046
352,1,209707659
353,0,210077268
354,2,210252803
355,3,210290317
356,0,211072507
357,3,211438249
358,0,211966110
359,1,212426606
360,3,213263021
361,0,213308119
362,0,214346492
363,0,214363879
364,1,214696778
365,3,215320421
366,0,215393003
367,1,216126039
368,1,217752448
369,0,218363644
370,1,219330817
371,0,220086687
372,0,220458168
373,3,220942253
374,1,220964482
375,1,221384284
376,3,222079022
377,1,222464985
378,1,222616242
379,1,222881308
380,0,223995926
381,1,224339458
382,3,224490805
383,0,224512852
384,1,224800894
385,0,225082299
386,0,226154265
387,3,226646748
388,0,226830167
389,0,227135236
390,0,228293952
391,0,228573966
392,1,229857199
393,0,229861374
394,2,230088240
395,1,230430380
396,0,230509888
397,1,230672146
398,2,232283563
399,0,232703883
400,0,232856022
401,3,233349771
402,0,234243775
403,2,234951174
404,1,235611386
405,1,235843905
406,3,238489579
407,0,238620761
408,1,239175792
409,0,239224342
410,3,242921554
411,1,244252491
412,0,245046551
413,3,245810443
414,2,245860061
415,0,247077758
416,0,247942359
417,2,248536028
418,0,248925933
419,1,248963343
420,1,249743426
421,0,249925111
422,3,250202180
423,3,250995711
424,0,251168117
425,1,251596658
426,0,251713130
427,2,251989224
428,0,254299561
429,0,255142313
430,1,255948764
431,2,256098937
432,0,258131363
433,0,258669129
434,0,259028203
435,0,259332048
436,1,260130802
437,1,260400370
438,0,260695283
439,3,260767921
440,1,260941187
441,0,261673164
442,0,261694917
443,0,261709021
444,0,261717400
445,1,261798679
446,0,262122916
447,2,262126755
448,1,262263848
449,2,262429173
450,0,262475892
451,2,263497181
452,3,263617859
453,0,263770407
454,1,263797312
455,1,267056768
456,1,267078797
457,0,267092627
458,0,267515421
459,1,268114066
460,1,269359031
461,0,270458526
462,1,271066493
463,2,271112960
464,0,271882320
465,3,272132444
466,0,272593030
467,3,273494682
468,1,274573502
469,0,275378378
470,0,276322874
471,3,276623086
472,0,277956721
473,0,278390467
474,1,279089101
475,1,279849309
476,0,279888839
477,0,280080407
478,2,280183761
479,0,282273917
480,0,282627631
481,1,283313919
482,1,283379949
483,1,283419321
484,2,283503987
485,0,284048429
486,3,284389930
487,2,284490917
488,0,285739078
489,0,285893097
490,1,285910683
491,1,286610746
492,2,287299084
493,0,287375009
494,1,287625852
495,1,288636372
496,3,288906211
497,0,288911870
498,1,289610938
499,3,289698194
500,3,289720349
501,3,289778480
502,1,290001373
503,0,291589555
504,0,292744298
505,0,293150958
506,0,293484325
507,0,294009174
508,1,294045997
509,0,294049779
510,2,294563295
511,3,294645252
512,0,295588756
513,3,295806002
514,0,295987168
515,1,295992414
516,0,296032453
517,2,296107251
518,0,296359003
519,0,296550992
520,1,296576993
521,3,296734112
522,1,296941465
523,2,297087913
524,1,297111423
525,1,297128625
526,1,297191617
527,3,297472357
528,3,297657658
529,0,298558459
530,1,298688262
531,1,299311797
532,3,299780589
533,2,300432993
534,1,300831475
535,3,301761298
536,0,302261878
537,3,302286630
538,1,302339539
539,1,302490347
540,2,302533343
541,0,304544792
542,1,304742352
543,1,305087227
544,0,305160992
545,1,305430191
546,2,305430211
547,0,305434191
548,3,305463702
549,0,306034185
550,2,306260396
551,0,306747227
552,2,307296832
553,0,307363862
554,0,307539282
555,0,311285397
556,0,312022371
557,3,312176435
558,0,312903045
559,3,313513767
560,1,314603221
561,0,316882174
562,1,316905936
563,1,317081092
564,1,317310543
