,cat,id
0,2,103772
1,0,181383
2,0,582254
3,2,772073
4,0,1093957
5,0,1934994
6,0,1935003
7,0,1935193
8,3,2296750
9,3,2296980
10,3,2297122
11,3,2297316
12,2,2657492
13,0,2968536
14,0,4214630
15,0,4214658
16,0,4214827
17,0,4478205
18,0,5157600
19,2,6275768
20,2,6533206
21,0,7686025
22,0,9016438
23,2,9129360
24,0,11317034
25,0,11331775
26,2,12513713
27,2,13466427
28,3,14148254
29,2,15002117
30,1,15071611
31,2,15286420
32,2,15490478
33,0,15715060
34,3,15817370
35,2,16002325
36,2,16236235
37,2,16294847
38,2,17025062
39,2,17636206
40,2,18451021
41,1,18505401
42,2,18679361
43,2,19309381
44,2,20695189
45,2,21887332
46,0,24264743
47,0,24264803
48,0,25701693
49,0,26459685
50,2,26489443
51,2,26536162
52,2,27130409
53,2,27176833
54,2,27471083
55,2,27472166
56,0,27797200
57,0,29537963
58,1,29692369
59,2,29912979
60,0,30736406
61,0,30935872
62,1,31410008
63,1,32896553
64,2,33311125
65,2,34198462
66,2,34206143
67,2,34439159
68,2,35155864
69,2,37431428
70,3,40115135
71,0,40210495
72,2,40526196
73,0,41098511
74,2,41450621
75,0,41482410
76,2,41601418
77,0,41733484
78,0,41988479
79,2,43682862
80,3,43936277
81,3,43936292
82,2,44879555
83,2,47787748
84,2,47796422
85,2,48992941
86,2,49187987
87,2,50205110
88,2,50980011
89,2,51595155
90,2,52498472
91,3,53020608
92,0,56875777
93,0,58561012
94,0,60299949
95,2,60566219
96,2,61200604
97,2,61790319
98,2,61883170
99,1,62238974
100,2,62864294
101,1,62984698
102,0,63259176
103,2,63343423
104,0,64441376
105,3,64756326
106,3,64756352
107,3,64756475
108,3,64756496
109,3,64756604
110,3,64756642
111,3,64756746
112,3,64756880
113,3,64756921
114,0,65363288
115,3,65364716
116,3,65364788
117,0,65624770
118,0,65627213
119,2,66144755
120,2,67101986
121,3,67268391
122,2,67363573
123,0,67516449
124,2,68844664
125,2,69386267
126,2,69512343
127,0,69587842
128,2,70923473
129,2,71537999
130,2,71695383
131,0,75231766
132,3,75995673
133,3,75995886
134,3,75996138
135,3,75996403
136,1,76232145
137,1,77006206
138,2,80525775
139,2,80839031
140,1,82643959
141,0,82760459
142,0,82762025
143,0,82771118
144,3,82922743
145,2,83787559
146,2,83877870
147,2,85075388
148,0,85411585
149,2,85758249
150,2,87463342
151,2,87618974
152,0,88890443
153,3,88942311
154,0,89207973
155,3,89540098
156,3,89540246
157,3,89540267
158,3,89540288
159,3,89540308
160,1,90747051
161,2,91129711
162,2,92074991
163,3,92985637
164,2,93190408
165,2,93776824
166,0,94481429
167,0,95647988
168,0,95688156
169,2,95773729
170,2,95801127
171,2,95802197
172,2,96101974
173,2,96754074
174,0,97116697
175,2,98784305
176,0,98809811
177,2,99076522
178,0,99522996
179,2,99862989
180,0,100445964
181,0,100554782
182,0,100714342
183,0,100963962
184,1,101558702
185,0,101593879
186,2,102685023
187,2,103621518
188,1,104040665
189,2,104114796
190,2,104161040
191,2,105041227
192,2,105042657
193,2,106191278
194,2,107364389
195,3,107618110
196,2,109767614
197,0,109846162
198,0,110358975
199,0,110839684
200,0,110885596
201,2,111277756
202,0,112046866
203,2,112608108
204,2,114527382
205,1,116393231
206,0,116469679
207,2,117259674
208,2,119263093
209,2,119676017
210,3,119909732
211,3,119910064
212,2,120074577
213,1,120126235
214,1,120126285
215,2,120825241
216,3,120896481
217,2,121953176
218,2,123511910
219,3,123532057
220,0,123569166
221,3,123900582
222,1,124119190
223,1,124282742
224,2,125693673
225,2,125723320
226,0,125768180
227,2,126564832
228,3,127259159
229,0,127346094
230,3,128463660
231,2,128603364
232,0,129905409
233,2,131456169
234,2,132694529
235,1,134234710
236,3,134477899
237,1,134520228
238,2,135162607
239,2,135609457
240,0,137156381
241,0,137487864
242,0,137857355
243,2,138378201
244,2,138672227
245,2,139446202
246,3,140365397
247,3,140918659
248,3,140918686
249,3,140918960
250,2,141339907
251,3,141474882
252,0,141615982
253,2,141627833
254,0,144475038
255,3,144883470
256,2,145316643
257,1,145812916
258,2,147306549
259,2,147306654
260,0,148008261
261,2,148143890
262,2,148327893
263,0,149241320
264,2,149299704
265,2,151344007
266,2,151508297
267,0,153331483
268,2,153846150
269,2,154389877
270,2,154634236
271,3,155169679
272,3,155178106
273,3,155178644
274,2,155994673
275,0,157488833
276,2,158073646
277,0,160374897
278,2,160751608
279,2,161882015
280,2,163305781
281,0,163468487
282,2,164280201
283,2,166806816
284,2,166806897
285,2,167147337
286,0,167731535
287,0,167896426
288,1,168250335
289,2,168664729
290,2,168667179
291,2,169807597
292,3,169814024
293,2,170019758
294,2,170533159
295,3,170983498
296,0,171274822
297,2,171787509
298,2,172111396
299,0,172428863
300,2,172439442
301,2,172447707
302,1,176771514
303,2,177633022
304,2,178221966
305,2,178246023
306,2,178261132
307,2,180222563
308,2,181152790
309,2,181633490
310,2,181677110
311,2,182561140
312,0,183386308
313,0,184218116
314,2,184658912
315,2,185755832
316,2,186243121
317,2,186622906
318,2,186776063
319,2,186936917
320,2,187281650
321,3,188336741
322,1,188496099
323,2,189177871
324,2,189642278
325,2,191712605
326,2,194056831
327,2,194503273
328,2,194651781
329,3,196218959
330,0,197083054
331,2,198624505
332,2,199559178
333,0,199662187
334,2,200539274
335,2,201706951
336,2,201715126
337,2,202975714
338,0,204145128
339,3,207051765
340,3,209700251
341,3,209700506
342,3,209700655
343,2,210857635
344,2,210915375
345,0,211737547
346,1,212115426
347,1,213231119
348,0,213263531
349,1,214188782
350,2,214520486
351,2,215084845
352,2,215284935
353,2,215491928
354,3,217050634
355,1,217186855
356,3,217883468
357,0,218656535
358,0,218692479
359,1,219265966
360,3,219296123
361,2,223133674
362,2,223559954
363,2,223812709
364,2,224838059
365,2,225054088
366,3,225166051
367,2,225356498
368,2,225411464
369,0,227343469
370,0,227908353
371,2,228084229
372,2,228144751
373,3,230540552
374,0,231248857
375,2,232053864
376,3,233308731
377,3,233328542
378,3,233328963
379,3,233329083
380,1,233657687
381,3,233887442
382,3,233887443
383,1,237072509
384,0,237514870
385,3,237516605
386,3,237516863
387,3,237516890
388,3,237517297
389,3,237517313
390,3,237517348
391,3,237517443
392,3,237517720
393,1,238133882
394,1,238134039
395,1,238135448
396,0,238148935
397,3,238465809
398,3,238467564
399,3,238564758
400,3,238564850
401,3,238565077
402,3,238565148
403,3,238565226
404,3,238565254
405,3,238565290
406,3,238565407
407,3,238565442
408,3,238565515
409,3,238565534
410,0,238617514
411,2,241674604
412,2,242020375
413,1,242210180
414,0,242239346
415,2,243167727
416,1,243486265
417,3,243832399
418,2,243965460
419,1,244464510
420,1,245238108
421,2,245251959
422,2,245867762
423,0,246612501
424,0,246612518
425,0,248110109
426,3,248851234
427,1,248868053
428,0,249062255
429,0,249560021
430,2,250026431
431,2,251971479
432,2,251992627
433,0,253383348
434,2,254071810
435,2,254333402
436,1,254768683
437,1,255066565
438,2,256457953
439,1,256787903
440,2,257189693
441,2,258762835
442,2,258847703
443,0,259237167
444,2,259345822
445,0,259423501
446,2,259725840
447,2,262015111
448,2,262479763
449,2,262486775
450,0,263220547
451,3,264063748
452,3,264063781
453,0,265091515
454,2,266452587
455,1,266926696
456,2,267941655
457,2,269749787
458,0,270878553
459,2,271410256
460,3,271876648
461,2,272652321
462,1,274960394
463,2,275256605
464,0,276840006
465,2,277773843
466,2,278086302
467,1,279489444
468,2,279948806
469,2,280279227
470,0,280798006
471,0,281952472
472,1,282504409
473,2,283512019
474,2,283903977
475,2,285525426
476,0,285526099
477,0,286127041
478,0,286587623
479,1,287729600
480,1,287733166
481,1,287734738
482,1,287775573
483,2,289143944
484,2,290053717
485,2,290101677
486,1,290331002
487,2,290331044
488,1,290331077
489,2,291031161
490,2,291391558
491,2,293814527
492,2,293835753
493,1,294176927
494,0,294289890
495,0,294646788
496,2,294930729
497,2,299551005
498,1,300670410
499,0,300814106
500,3,302697636
501,3,302697887
502,3,302698148
503,2,303049246
504,2,303231659
505,2,304459438
506,2,304459503
507,2,304475313
508,2,304498524
509,1,306226497
510,1,307040350
511,2,307354128
512,2,307427840
513,0,307807224
514,0,307807582
515,0,307808388
516,0,307928823
517,2,308319588
518,0,308471113
519,0,308472559
520,3,311352298
521,2,312262687
522,2,312343074
523,3,312900207
524,1,313675115
525,2,313825922
526,0,314139259
527,2,314500927
528,1,315327190
529,2,316427185
530,0,317386303
531,0,317386339
532,2,317864702
533,2,318078179
534,1,318414587
535,3,319560132
536,0,320065583
537,2,320379325
538,3,320411287
539,0,321728823
540,0,322505308
541,0,322505320
542,0,322639656
543,0,323164775
544,0,323619787
545,3,324056018
546,0,324184263
547,2,324435080
548,2,324516550
549,2,324940309
550,0,326421646
551,1,328147427
552,3,328530676
553,2,328626638
554,0,329097549
555,2,329973521
556,2,330003245
557,1,330225493
558,0,330537875
559,2,332994608
560,2,333877993
561,0,334753735
562,0,335589266
563,0,337354510
564,2,338147376
565,2,338214151
566,2,338435268
567,2,338602760
568,2,338925647
569,2,339514799
570,2,340389491
571,3,341025395
572,1,341127108
573,2,341983575
574,3,342687015
575,3,342689304
576,2,344458773
577,0,344711669
578,3,344867262
579,3,344867401
580,3,344867597
581,2,345030810
582,2,346135504
583,2,346831346
584,0,347373464
585,2,347373533
586,2,348435387
587,2,349185635
588,0,349300301
589,2,349676741
590,2,350663241
591,2,351566172
592,2,351979170
593,0,352395688
594,2,352611301
595,2,354512231
596,2,355151107
597,2,355809197
598,3,356024967
599,2,356255548
600,2,358224923
601,3,360205635
602,1,362882772
603,1,362882865
604,0,362928373
605,2,364859065
606,2,365260061
607,2,366312576
608,2,366908797
609,3,367174415
610,3,367174654
611,2,367685762
612,2,369935467
613,1,370635837
614,1,370636716
615,2,370768712
616,2,372006335
617,2,372649262
618,2,373720596
619,3,375351299
620,2,375597685
621,0,375768201
622,3,375784567
623,2,375838009
624,3,376589692
625,3,376888799
626,3,376890204
627,2,377520007
628,3,377884094
629,0,377939665
630,0,378215554
631,0,378420920
632,2,378680710
633,0,380240902
634,2,380244665
635,2,380576119
636,2,381287898
637,0,383788494
638,3,385632133
639,3,385632196
640,3,385632419
641,3,385632842
642,2,386801803
643,2,388080070
644,1,389083721
645,0,389612946
646,3,392915191
647,3,392917904
648,2,393094850
649,2,393754275
650,2,393754414
651,0,394073260
652,2,395020617
653,2,395065117
654,0,395075791
655,2,395084557
656,1,396818462
657,0,398351355
658,2,398951085
659,2,399740513
660,0,400937038
661,2,401084407
662,2,401999563
663,0,402001179
664,2,402937424
665,0,403387434
666,2,403762437
667,2,404791954
668,3,404928978
669,3,404929045
670,2,405652523
671,2,405975383
672,0,408874536
673,2,409649939
674,0,409960973
675,2,410220487
676,0,411239927
677,0,411240019
678,0,411240112
679,0,411240137
680,0,411240161
681,1,411577204
682,0,411609752
683,2,412792395
684,2,413142339
685,0,413367330
686,2,413598396
687,2,413799352
688,2,413944060
689,3,414271604
690,3,415215473
691,3,415215584
692,3,415215700
693,3,415215882
694,3,415216238
695,3,415901395
696,3,415901469
697,3,415988425
698,3,415988578
699,3,416156284
700,3,417224788
701,3,417224896
702,3,417391153
703,2,417462762
704,2,417923559
705,1,418124989
706,1,418860148
707,0,418971023
708,2,419059966
709,2,419458051
710,3,419622508
711,2,419900066
712,0,419952344
713,2,422184098
714,2,422401950
715,0,423064040
716,0,430669963
717,0,430770196
718,0,430863264
719,1,432170672
720,0,432603702
721,0,434638788
722,1,434748179
723,0,436674103
724,0,438107352
725,1,442033807
726,0,442163251
727,0,444566797
728,1,444583406
729,1,447225717
730,1,449900022
731,1,450452848
732,3,450553905
733,0,451877978
734,0,452052483
735,0,452709652
736,2,453465793
737,0,453831328
738,1,454186057
739,0,454334490
740,1,454393985
741,1,454674181
742,0,455960439
743,1,456185979
744,1,456336771
745,1,457721872
746,1,457929047
747,3,458988736
748,3,458988773
749,0,458988865
750,3,458988998
751,3,458989087
752,3,458989463
753,0,458990807
754,3,458991487
755,3,458992239
756,3,458993869
757,3,458994307
758,3,458994410
759,3,458994548
760,3,458994581
761,0,458995287
762,3,458995367
763,0,458995965
764,0,458995974
765,3,458996103
766,3,458996144
767,3,458996186
768,3,458996936
769,0,458997150
770,3,458997292
771,3,458997432
772,3,458997601
773,3,458997647
774,3,458997757
775,3,458999093
776,3,458999180
777,0,459147883
778,0,459299853
779,3,461243975
780,0,461244032
781,1,461256078
782,1,461256114
783,3,461256157
784,1,461256788
785,1,461256887
786,1,461257044
787,1,461257343
788,1,461257872
789,1,461257994
790,1,461258005
791,1,461258153
792,1,461258238
793,1,461258292
794,1,461258547
795,1,461258648
796,1,461258904
797,1,461258935
798,1,461258946
799,1,461259023
800,1,461259183
801,1,461259196
802,1,461259290
803,1,461259310
804,1,461259734
805,0,461259998
806,1,461260283
807,1,461260714
808,1,461260893
809,0,461260927
810,1,461260980
811,1,461261514
812,0,461261987
813,1,461262135
814,1,461262338
815,1,461262942
