,cat,id
0,3,317583
1,1,594592
2,2,944627
3,1,1625126
4,0,1857608
5,0,3497512
6,0,4111376
7,0,4327104
8,2,4645642
9,2,4762095
10,1,4803036
11,3,4805418
12,0,4808233
13,1,5093070
14,1,6581290
15,0,6744337
16,0,6748147
17,2,7598821
18,1,7793720
19,1,8411522
20,1,8412439
21,1,8450831
22,3,9313621
23,1,9594028
24,0,10251082
25,0,10437529
26,1,10515470
27,1,10931474
28,1,14091605
29,0,14975612
30,2,15306005
31,3,16009775
32,2,16231964
33,1,16242996
34,1,17189870
35,0,18252243
36,0,18427436
37,1,18537028
38,1,18537188
39,1,18611558
40,1,18612128
41,2,18938692
42,3,19203454
43,1,19279742
44,0,19977214
45,1,20017801
46,0,20204193
47,0,20518263
48,1,20631424
49,1,20632641
50,0,20876463
51,2,21203643
52,0,22446751
53,1,22743015
54,1,23087468
55,2,23592103
56,2,23714386
57,1,24100889
58,2,24394840
59,1,24478831
60,2,24890393
61,0,25370357
62,3,26165882
63,0,26373719
64,1,27903563
65,0,29955474
66,1,30036619
67,3,30103514
68,1,30937403
69,2,31750570
70,2,32671223
71,3,33081378
72,1,33628663
73,1,34077734
74,2,34543826
75,0,34553307
76,2,34576406
77,1,35087726
78,1,35905501
79,3,36221458
80,1,36922456
81,3,37665106
82,0,37841533
83,1,38226355
84,3,38342927
85,1,38891457
86,1,38984029
87,1,39295619
88,1,40975970
89,2,42938349
90,3,42940865
91,0,43107638
92,2,43828752
93,0,44628993
94,0,45299626
95,3,47445322
96,0,47956057
97,3,47956156
98,1,48511920
99,3,48674422
100,1,48772356
101,1,49226455
102,1,50180896
103,0,50467512
104,3,51423626
105,0,51712763
106,0,51835136
107,3,52039638
108,2,52210393
109,1,52514021
110,1,52885938
111,0,54799452
112,2,55616367
113,0,56436779
114,2,56507753
115,0,56554963
116,0,56709018
117,0,61021457
118,0,63424922
119,2,63727305
120,2,63727356
121,0,64283805
122,0,64325789
123,1,64426044
124,2,64752720
125,0,65343352
126,0,65343521
127,3,65861274
128,0,67148294
129,3,67235729
130,1,67439285
131,0,67579289
132,1,67688686
133,1,68060394
134,1,68585614
135,0,68814328
136,1,68927864
137,1,69125242
138,1,71572740
139,3,71909654
140,1,73515888
141,1,74203844
142,1,74898884
143,2,75267266
144,1,77047727
145,1,77086728
146,0,77538561
147,2,79261292
148,2,79261401
149,2,79261628
150,0,79585527
151,2,80023836
152,1,80102098
153,3,80216333
154,0,80668628
155,3,80956358
156,3,81529616
157,1,82601329
158,3,83828332
159,1,84027263
160,3,84124769
161,0,84151594
162,0,84288847
163,0,84336790
164,0,84357905
165,1,84429064
166,1,84477813
167,0,84480924
168,3,84969116
169,2,85034780
170,0,86145172
171,1,86159613
172,2,86415431
173,0,86560387
174,1,87242965
175,0,87706262
176,1,87706409
177,0,88860663
178,0,89617557
179,1,89782788
180,1,91805467
181,1,92186983
182,1,92187001
183,0,93606624
184,3,95456404
185,0,95468257
186,0,95539510
187,3,95642106
188,1,96169473
189,2,96379796
190,1,96594663
191,1,97544623
192,0,98465090
193,1,98666716
194,0,98889729
195,2,98939627
196,2,99191342
197,2,99327843
198,2,99327910
199,1,99427300
200,2,100163744
201,1,100442168
202,1,100504079
