,cat,id
0,0,832100
1,0,953737
2,0,1728778
3,1,1862454
4,0,2285034
5,2,3238036
6,1,3335146
7,0,3679687
8,0,4022064
9,1,4148070
10,0,4547261
11,0,5198867
12,0,5833414
13,0,7450136
14,1,7575589
15,0,7580803
16,0,7755418
17,2,8593317
18,0,9349469
19,0,9921117
20,2,10092700
21,0,11848196
22,0,11945855
23,0,11964459
24,1,12102974
25,0,12570494
26,0,12671010
27,1,14325382
28,0,14335279
29,1,14705866
30,0,15052734
31,0,15054267
32,0,15532224
33,0,15671310
34,0,15941245
35,1,16665768
36,1,16673426
37,0,16846907
38,0,17353217
39,0,17379081
40,0,17790532
41,0,17822630
42,0,18420609
43,1,18584077
44,0,18689011
45,0,20061132
46,0,20713114
47,0,21189189
48,0,21383771
49,0,21663120
50,1,22289009
51,1,22391582
52,0,22487627
53,0,22598215
54,1,22605407
55,1,22747089
56,1,23365495
57,0,23929522
58,1,24182021
59,0,24290773
60,0,24300579
61,0,24605306
62,1,24645097
63,0,25849728
64,0,26657812
65,0,28318509
66,0,29223167
67,0,29242223
68,1,29391429
69,0,29578597
70,0,29748841
71,0,31686767
72,0,31925245
73,2,32090932
74,0,32123246
75,0,32142204
76,0,32812448
77,0,33581564
78,0,34111063
79,2,35306421
80,0,36605811
81,0,36810422
82,0,37800492
83,0,38616190
84,0,38665079
85,0,38960216
86,0,39136290
87,0,39191472
88,2,40230680
89,1,40298590
90,2,41229906
91,0,41807294
92,0,42117600
93,1,43251882
94,0,43635552
95,0,44014215
96,0,44231798
97,0,45582737
98,0,45596044
99,0,46617618
100,0,46865175
101,0,47030413
102,1,47297133
103,0,47323195
104,0,49359135
105,1,50002620
106,0,50826122
107,0,51573330
108,1,52429082
109,1,54303873
110,0,54322982
111,1,54994577
112,0,55507985
113,1,57486856
114,0,57904850
115,1,58674408
116,1,59308128
117,2,59689970
118,0,60007683
119,0,60328999
120,0,60374526
121,0,62021347
122,1,62297382
123,1,63515057
124,0,63717652
125,0,63726556
126,0,64215883
127,0,64670072
128,0,64791625
129,0,64843089
130,0,64983541
131,0,65993508
132,0,66345180
133,0,67050996
134,1,68186115
135,0,69752262
136,0,70583910
137,0,70853891
138,0,71353414
139,0,71384353
140,0,71750710
141,0,72524695
142,0,72554953
143,1,73214185
144,1,74637493
145,2,74885369
146,1,76919741
147,0,76956861
148,2,78164285
149,1,78278217
150,1,79176854
151,2,80021786
152,2,80196080
153,0,80558200
154,1,82266225
155,0,83125675
156,2,83405897
157,0,84559996
158,1,85534827
159,0,85798706
160,0,86466584
161,0,87295247
162,2,87494613
