,cat,id
0,0,857622
1,1,1411820
2,2,2436499
3,1,2813359
4,0,3374836
5,2,3583112
6,1,5668269
7,1,5668768
8,1,6047113
9,2,6426031
10,2,6489257
11,2,7107624
12,2,8091562
13,2,8141980
14,0,9018378
15,1,9218290
16,0,9252169
17,1,9270699
18,2,9433870
19,2,9836582
20,1,10355141
21,0,10541542
22,0,11390094
23,2,12951787
24,2,15216237
25,1,17293967
26,0,17680961
27,1,17681008
28,2,18591866
29,2,18960439
30,2,19356437
31,2,20462608
32,2,20507387
33,2,20780718
34,1,21015019
35,2,23140751
36,1,23300546
37,2,23395608
38,2,24065970
39,2,24517612
40,1,24609755
41,1,24998110
42,2,25840033
43,2,26265364
44,0,26620465
45,0,28317914
46,1,29014934
47,2,29605875
48,2,29624632
49,2,29999758
50,2,31383136
51,1,31395527
52,0,31825479
53,1,31936929
54,2,33412308
55,2,34825425
56,2,35612853
57,1,35853203
58,2,37451426
59,2,38605986
60,1,38793837
61,2,38997243
62,1,39127009
63,1,39127036
64,1,39140899
65,0,39315381
66,0,40495946
67,0,41673061
68,0,42993598
69,0,43138116
70,2,43375317
71,0,44046809
72,2,44400047
73,1,44822228
74,1,45143001
75,0,46089546
76,0,46431184
77,1,46743790
78,2,49041269
79,2,49357537
80,2,49943761
81,2,50940244
82,2,51300922
83,0,53126795
84,2,53171360
85,0,53933993
86,1,53981875
87,2,55223030
88,0,59518329
89,0,60569166
90,1,60654732
91,1,60714762
92,2,61879323
93,2,62403483
94,2,63602941
95,1,63667074
96,2,64089096
97,1,64586726
98,1,64851210
99,2,65493044
100,1,65797059
101,2,65854214
102,2,65941185
103,1,66192435
104,0,66798319
105,2,67634937
106,1,67721569
107,1,67721581
108,2,67745235
109,1,68646668
110,0,69736630
111,2,70385011
112,1,70507875
113,0,70875805
114,0,71273325
115,0,72755058
116,2,73077429
117,0,73372288
118,0,73564832
119,1,75365085
120,2,76190304
121,1,76529503
122,1,76529536
123,2,77649840
124,1,77742767
125,1,77840516
126,0,77986698
127,2,78549919
128,2,79622868
129,2,80063947
130,1,80222874
131,1,80309078
132,2,80848674
133,2,81785839
134,0,82113429
135,1,82496071
136,2,83287791
137,0,83591484
138,2,85059136
139,0,85405514
140,2,85641762
141,1,86374902
142,2,86992768
143,2,87032901
144,1,87278765
145,2,87656998
146,2,88588213
147,2,89707465
148,0,90484387
149,2,92107659
150,0,92557612
151,2,93330078
152,2,94360383
153,1,94437175
154,1,95428679
155,0,95952175
156,2,97583612
157,0,100866954
158,1,100870758
159,0,101219557
160,2,101314253
161,2,101458058
162,0,101931616
163,0,105772378
164,2,105899178
165,1,106461466
166,1,106997619
167,2,107532437
168,0,108173456
169,2,109002857
170,0,110012294
171,1,111117592
172,0,113535026
173,2,114029528
174,1,114976718
175,1,115023971
176,0,115349822
177,0,116301012
178,2,116360670
179,2,116494252
180,2,117123986
181,2,117169907
182,2,117710531
183,0,118734956
184,2,119052595
185,1,119410212
186,0,120980125
187,1,121334519
188,1,121476405
189,0,121767938
190,1,121914090
191,2,122633577
192,2,123160344
193,0,123519943
194,0,124594179
195,2,125038875
196,2,125411079
197,2,128155325
198,0,129143159
199,2,129174359
200,1,129266855
201,2,131734229
202,0,131899817
203,0,131902889
204,0,131904751
205,0,131906454
206,0,131912447
207,2,132376584
208,2,133650952
209,1,134519458
210,2,134627045
211,1,136022887
212,1,136603748
213,0,136603836
214,2,136933212
215,2,137412205
216,0,137933547
217,2,141020895
218,0,141785909
219,0,142974512
220,0,143488081
221,0,144823799
222,2,145609665
223,2,145922706
224,0,145939087
225,2,147955030
226,0,148037592
227,0,148473456
228,0,149311091
229,2,150860593
230,2,151062491
231,2,151551659
232,0,153424518
233,2,153463977
234,2,153584007
235,2,153750535
236,2,154074536
237,1,154180065
238,0,154183204
239,2,154311646
240,2,154558159
241,2,154762509
242,1,155187869
243,1,155727302
244,2,156255856
245,2,156640001
246,1,159675712
247,2,160486097
248,0,161019857
249,0,161045894
250,0,162305189
251,1,163554213
252,2,166048798
253,1,168105555
254,1,168351513
255,2,169206421
256,0,169975412
257,2,170322717
258,1,170322834
259,2,172565010
260,2,172598438
261,2,174557979
262,2,174561626
263,2,174670492
264,2,179367631
265,1,179514841
266,2,179617112
267,1,182009700
268,2,183384997
269,1,184123524
270,2,184492659
271,2,184830921
272,2,185382211
273,2,185410874
274,1,186153050
275,0,186523556
276,2,188953247
277,2,189459186
278,1,191332784
279,1,191409459
280,2,192189818
281,2,192198787
282,1,192206088
283,2,192261930
284,2,194623391
285,2,194988683
286,0,196240199
287,2,198310599
288,2,199010734
289,2,199732398
290,1,200347517
291,2,200414644
292,1,200625542
293,1,200675683
294,0,200999675
295,1,202442423
296,0,203138489
297,1,203274282
298,1,203394312
299,2,203725652
300,2,204370722
301,1,204383556
302,2,205307595
303,2,205362295
304,1,207863527
305,2,207905419
306,1,208394928
307,1,209430312
308,2,209708732
309,0,209990665
310,2,213392563
311,2,215111421
312,0,215247909
313,2,215261612
314,2,215447932
315,2,217007506
316,2,217362426
317,2,217830246
318,1,218437461
319,1,219735877
320,2,219776816
321,2,219904837
322,1,220066513
323,1,220423855
324,1,220735387
325,2,221075325
326,1,221431469
327,2,223793889
328,1,223955807
329,0,224347295
330,2,225822327
331,2,226556835
332,2,226810535
333,2,226906565
334,0,227536154
335,0,227536170
336,2,227770679
337,2,227927793
338,0,228042776
339,1,229669658
340,0,229989793
341,2,232040467
342,2,232201660
343,1,232573681
344,2,232608662
345,2,235058163
346,2,236671899
347,0,236716532
348,1,237247331
349,2,237650664
350,2,237944817
351,0,237968658
352,1,238018203
353,1,240478443
354,2,241718221
355,2,241789556
356,0,244428853
357,2,245960190
358,2,246357035
359,2,246947951
360,2,250396055
361,1,251212875
362,2,252042345
363,2,253287677
364,0,253705106
365,1,254431444
366,2,254583886
367,2,255329458
368,0,255559347
369,2,255947836
370,1,256473015
371,1,257721000
372,2,258481338
373,1,258766890
374,2,259136351
375,2,259565005
376,0,259596057
377,2,260030895
378,2,260106243
379,2,260175858
380,2,260326974
381,2,261842895
382,1,262076619
383,1,262445116
384,1,262613662
385,1,262669379
386,0,262880599
387,2,264311916
388,1,265309916
389,1,265544032
390,1,265939423
391,1,265939437
392,2,266087704
393,0,266309168
394,2,266902868
395,1,267652463
396,2,269592236
397,0,271086017
398,1,271403280
399,0,271537083
400,1,272511195
401,0,273781121
402,0,274333918
403,2,274739276
404,2,275318446
405,1,275395805
406,0,275800588
407,2,277472425
408,0,277580130
409,2,277716361
410,1,280834954
411,0,280984988
412,2,281802944
413,1,282013160
414,0,283229841
415,1,284419687
416,0,285163181
417,2,285177368
418,1,285406618
419,2,285419545
420,0,286044069
421,0,286241838
422,2,286318899
423,1,286391191
424,2,286873879
425,1,287200779
426,0,287251644
427,1,287651753
428,2,289129920
429,0,289268265
430,1,289355126
431,2,290220449
432,2,290297380
433,1,291013423
434,1,291024039
435,2,291447551
436,1,291510256
437,2,291592193
438,2,291893644
439,1,291895250
440,2,292959434
441,0,293212094
442,1,293709904
443,1,294377488
444,0,294805783
445,2,295461740
446,2,295689544
447,2,295858311
448,2,296053887
449,2,296896774
450,2,296993511
451,2,297739335
452,2,299010438
453,2,299017674
454,1,299537071
455,1,299560290
456,1,301605775
457,0,302185741
458,1,303513050
459,2,303558852
460,2,303857820
461,1,304396592
462,2,304624045
463,2,305349158
464,2,305765413
465,0,305846204
466,0,307101897
467,2,307277749
468,2,307305463
469,2,307584663
470,2,308086557
471,1,308329809
472,2,308464668
473,2,308647871
474,2,308894751
475,1,308944103
476,2,309085163
477,0,310071701
478,2,310821007
479,1,310991947
480,2,311035745
481,1,311142032
482,2,311168622
483,2,311267342
484,2,311600639
485,1,311937541
486,2,312399262
487,1,312638058
488,2,312639574
489,2,313838178
490,1,313855025
491,2,314358565
492,2,315088017
493,1,315396180
494,1,315406260
495,2,315576469
496,2,315866100
497,2,318166621
498,2,318441990
499,2,318556853
500,2,319215703
501,0,319413953
502,1,320160042
503,2,320410306
504,1,320670925
505,2,321922877
506,2,322738460
507,0,323810386
508,2,323810399
509,2,324365672
510,2,324815078
511,2,325341039
512,0,325890303
