,cat,id
0,2,766047
1,0,1859448
2,0,3190997
3,0,4023722
4,1,4981709
5,1,5914287
6,1,8501968
7,1,8802870
8,0,9661688
9,2,10160907
10,1,10265193
11,2,10908359
12,1,11546727
13,1,11546739
14,2,12963593
15,2,12966215
16,1,13025728
17,1,13034334
18,1,13106520
19,1,13679600
20,1,14209074
21,0,15189475
22,3,15800883
23,3,17773563
24,2,19656907
25,2,21281513
26,0,21438297
27,0,21503696
28,1,22512778
29,2,22703383
30,0,22830571
31,1,24535306
32,1,25229304
33,3,25331361
34,0,25761667
35,3,29158604
36,1,29217879
37,1,29530423
38,1,30225399
39,2,30620604
40,0,30814632
41,0,31025654
42,0,31058964
43,2,31908438
44,1,32463118
45,1,34145718
46,3,34843973
47,1,35053233
48,0,35205070
49,0,35705793
50,1,36706246
51,0,36788443
52,1,37672673
53,1,37914764
54,1,40065093
55,1,41526155
56,2,42273055
57,2,42487928
58,2,43778809
59,2,44490516
60,1,44713502
61,2,45008847
62,1,45197803
63,1,45411106
64,2,45507680
65,0,46701029
66,3,47766674
67,3,48856098
68,2,48910007
69,1,49227579
70,2,49845376
71,3,49976894
72,2,50221317
73,3,50706177
74,2,51590325
75,1,52117897
76,0,52447320
77,1,53930028
78,1,54103924
79,1,54815611
80,3,55677988
81,3,56071565
82,2,57471208
83,2,57540961
84,1,58981660
85,1,59124921
86,2,60600114
87,1,65292190
88,1,66950577
89,1,67234767
90,1,67234887
91,1,68370715
92,1,68576509
93,1,69748133
94,3,69963505
95,1,70509238
96,0,71585182
97,1,71638782
98,1,71946476
99,2,72149741
100,1,72551814
101,1,72581194
102,1,72582715
103,0,73086304
104,0,74401473
105,1,74524610
106,1,74528003
107,3,75106202
108,1,76613589
109,2,77537953
110,1,77900484
111,1,78034617
112,1,78291357
113,0,78855051
114,3,80734609
115,1,81060523
116,1,81196616
117,2,81222714
118,1,82659468
119,1,83453854
120,3,84011890
121,0,84163785
122,2,86036599
123,1,86287568
124,0,86458110
125,1,86649169
126,1,87294616
127,0,88312321
128,3,88911629
129,0,88928228
130,0,89117371
131,1,89938849
132,2,90269689
133,2,90270119
134,1,90350930
135,0,91169035
136,0,92252492
137,1,93023889
138,3,93748696
139,1,93942355
140,2,94798654
141,0,96046412
142,0,96049679
143,2,96651474
144,0,97138903
145,0,98066570
146,1,98741376
147,2,99813551
148,3,100731029
149,1,100774563
150,3,101204291
151,1,101861634
152,1,101876028
153,1,103303043
154,1,103604657
155,2,105815645
156,1,109605784
157,3,109605802
158,2,109952468
159,1,110787295
160,0,111215600
161,1,111488915
162,1,114390210
163,1,114486191
164,0,114797865
165,2,115371304
166,1,116421493
167,2,117172520
168,1,118755556
169,1,121396296
170,1,123036596
171,2,125585557
172,2,125939173
173,1,127863708
174,1,127933702
175,1,128143661
176,0,129545986
177,1,129642671
178,1,129917005
179,0,131353206
180,1,131417046
181,0,131742530
182,1,132027088
183,0,132320108
184,3,133144158
185,1,134609162
186,2,135459804
187,0,135609170
188,1,135705251
189,0,135890808
190,1,136379586
191,1,136888741
192,0,137142049
193,0,138512962
194,1,138834031
195,2,139930783
196,2,143537772
197,1,143573120
198,3,143647179
199,2,145217585
200,0,145409634
201,1,145930134
202,1,146463920
203,1,146554996
204,2,147038129
205,2,147465997
206,1,149087341
207,1,149655360
208,0,149853442
209,1,151527391
210,1,152028723
211,1,152092505
212,1,152252427
213,2,152419686
214,0,152601226
215,1,155843981
