,cat,id
0,0,783627
1,3,1652402
2,1,1983348
3,2,3499869
4,0,3808070
5,2,4352336
6,0,5030479
7,1,5432954
8,2,5435755
9,2,5860427
10,1,6081386
11,0,8755639
12,3,10370977
13,0,11008384
14,1,11277611
15,1,12430282
16,1,13302062
17,0,13627233
18,1,14168027
19,3,18854727
20,3,19310587
21,3,19391494
22,0,20505742
23,0,20549695
24,1,20655116
25,0,20656359
26,3,20843373
27,1,20919968
28,0,21634643
29,0,22549800
30,3,22636842
31,0,23576774
32,0,23586648
33,1,23790338
34,0,24287679
35,0,26062269
36,0,26896573
37,1,27367607
38,0,27956591
39,0,28360684
40,3,28595085
41,0,31025676
42,2,31632320
43,0,34656313
44,1,36322054
45,3,36583906
46,2,37165342
47,0,37814413
48,1,38052385
49,2,38117181
50,0,38685468
51,0,38865294
52,0,39257391
53,0,42785281
54,2,43097002
55,1,43790207
56,3,45826829
57,3,46396959
58,3,46396981
59,3,46916106
60,2,46931700
61,1,47972335
62,2,48916203
63,1,49020550
64,1,49095067
65,0,49208308
66,2,50123235
67,0,52540332
68,3,53314528
69,0,54044172
70,0,54245203
71,0,55038655
72,0,57280620
73,3,59304228
74,0,59715804
75,1,59778682
76,0,60464106
77,0,60575145
78,0,60701738
79,3,60921175
80,1,61321554
81,0,62766775
82,0,62925356
83,1,62974906
84,3,63516254
85,0,64079176
86,2,65846399
87,2,65893496
88,2,68659462
89,0,69813659
90,2,70327281
91,2,72366096
92,3,72489846
93,1,73467099
94,0,73636748
95,3,73721660
96,2,74086476
97,3,74455082
98,1,74803545
99,3,76647856
100,1,76705868
101,3,77013484
102,0,78011856
103,0,78015285
104,0,78336538
105,3,78545495
106,3,78736469
107,2,79667400
108,3,79902173
109,1,80439697
110,3,80878995
111,2,81495830
112,2,81495844
113,0,82110318
114,0,84653808
115,1,84699121
116,2,84736554
117,2,85977025
118,0,87147282
119,3,87208287
120,0,87269757
121,0,87570966
122,1,87640891
123,1,87741664
124,2,89102275
125,0,90516570
126,1,90557778
127,2,90697065
128,1,90888170
129,0,91802081
130,0,93913820
131,0,94088748
132,0,94152100
133,1,94343140
134,0,95078235
135,1,95333272
136,0,95361411
137,0,96097717
138,0,96401426
139,2,96534213
140,0,98300478
141,0,100249699
142,0,100587421
143,2,100830369
144,2,100904005
145,2,101304641
146,2,101508460
147,3,102613823
148,0,102689633
149,2,102932676
150,1,103653782
151,2,104582766
152,2,104789439
153,0,104979348
154,1,105147865
155,3,106085829
156,0,106427407
157,0,107421982
158,2,108244986
159,1,109517275
160,0,109564861
161,3,109606092
162,2,110900729
163,1,110962203
164,0,112107331
165,0,112979531
166,2,113564463
167,2,113612303
168,0,114216968
169,3,114453372
170,0,115208657
171,0,115302348
172,3,116712341
173,3,118449900
174,2,119037331
175,0,119477193
176,0,120245921
177,1,120594913
178,0,121583887
179,0,121958850
180,2,122314836
181,0,122473293
182,1,123691773
183,1,123745679
184,2,123899466
185,2,124369328
186,0,124916306
187,0,124951212
188,1,125067180
189,0,125129093
190,1,126815922
191,0,126884431
192,0,127207785
193,0,127991355
194,0,129133920
195,0,130065381
196,0,130969091
197,0,131058542
198,0,131375751
199,1,131584246
200,0,133107095
201,1,133960749
202,3,134991469
203,1,135156019
204,2,135402320
205,2,135572203
206,3,135879600
207,2,136175688
208,0,136812317
209,2,136902183
210,2,137976982
211,3,138273692
212,2,138874289
213,2,139628269
214,1,139744624
215,2,140173278
216,1,140867816
217,2,141276029
218,1,142932425
219,1,144202501
220,1,144378583
221,2,144791136
222,0,145114565
223,0,145115791
224,1,146195818
225,0,147104970
226,1,148021283
227,2,148599650
228,3,148739400
