,cat,id
0,1,530090
1,2,962407
2,1,2010626
3,1,2338819
4,1,4565223
5,2,5783165
6,2,7155119
7,0,7246309
8,2,9223736
9,1,10553447
10,1,10633877
11,1,12018424
12,1,12361527
13,2,13671727
14,2,13943018
15,0,13948993
16,0,15002527
17,1,16797218
18,1,16801808
19,2,19198517
20,0,19772099
21,0,19783436
22,1,19823449
23,1,20074938
24,2,20198001
25,1,21057238
26,2,21681826
27,1,22428607
28,2,23213524
29,1,23650392
30,0,23660151
31,0,27218152
32,0,27543410
33,2,31187493
34,1,33447823
35,1,33966809
36,0,34004889
37,2,34714047
38,2,35236662
39,1,36679721
40,1,36983902
41,1,39524381
42,1,39797546
43,2,40160383
44,2,40163264
45,1,42777409
46,0,43171575
47,2,43319846
48,1,43495107
49,1,44387919
50,2,44989854
51,1,45334488
52,1,45518405
53,0,45535356
54,1,46105155
55,2,46301056
56,2,46733367
57,1,47246905
58,2,49085375
59,1,49775479
60,2,51037922
61,1,51612749
62,1,52935868
63,2,53817241
64,2,54593189
65,2,55340154
66,2,56126053
67,2,56218653
68,0,56875816
69,2,56971049
70,1,57057763
71,0,59838653
72,2,60551860
73,1,61127254
74,1,62152940
75,1,62802510
76,2,63995326
77,2,65315095
78,0,67477684
79,1,67477832
80,0,67831243
81,1,68994253
82,0,69384042
83,2,69423925
84,1,69599848
85,1,70004035
86,1,71723084
87,1,72054570
88,1,72188377
89,1,72237829
90,1,73145699
91,1,73224961
92,2,73352190
93,1,73741136
94,1,73927077
95,1,74140640
96,1,74846089
97,1,75711750
98,0,77982372
99,1,78329898
100,2,78732973
101,1,79406358
102,1,80057233
103,0,82062628
104,0,82359905
105,1,83889980
106,1,83890074
107,2,86199473
108,0,86614853
109,1,86831341
110,0,89054929
111,1,89126153
112,2,89898961
113,2,89901242
114,1,89901573
115,0,91928415
116,1,94838424
117,2,97605545
118,0,100354745
119,1,100540579
120,2,101350643
121,1,103194387
122,0,103376172
123,0,103381619
124,1,103482507
125,1,104932663
126,1,104953718
127,0,105608388
128,1,105737417
129,1,106833776
130,0,107224861
131,0,107429309
132,0,108435308
133,1,110329732
134,1,110388917
135,1,111496575
136,1,111613013
137,2,111909664
138,1,111961214
139,0,112120358
140,1,113064555
141,1,114486447
142,2,114647111
143,0,114655578
144,2,115117139
145,1,116758364
146,1,116902630
147,0,118265059
148,1,118693409
149,1,119246467
150,0,120262176
151,2,120388943
152,0,121027998
153,1,122568655
154,1,123090636
155,1,124120272
156,1,124191954
157,2,125712143
158,0,126261907
159,1,126271067
160,1,126442202
161,0,127482661
162,0,127564626
163,2,127587015
164,1,127616544
165,1,127706263
166,1,128959284
167,1,129872254
168,1,130309272
169,0,130909013
170,0,130909335
171,2,131116410
172,2,131438407
173,2,132195364
174,0,132590329
175,2,133033369
176,2,134101901
177,1,134951697
178,0,136598210
179,1,137981217
180,2,138313257
181,1,138564805
182,0,139926085
183,1,140490698
184,1,140924440
185,1,141438911
186,1,141547607
187,2,142386553
188,1,142423990
189,2,142984113
190,0,143133478
191,1,143260585
192,1,143270375
193,1,144098083
194,1,146427999
195,1,146542305
196,1,147356396
197,1,147996541
198,1,148033875
199,1,150383125
200,0,150918056
201,1,151566467
202,1,151955256
203,2,152241097
204,1,152656789
205,2,153014220
206,0,157877994
207,1,157963655
208,1,158654980
209,1,159537414
210,1,159742258
211,2,159760770
212,2,160534417
213,1,162719242
214,1,163610937
215,2,166888164
216,2,167079279
217,2,168093794
218,0,168095301
219,0,168249971
220,1,169192706
221,0,169919140
222,0,170604729
223,2,170627750
224,2,170628216
225,0,170683455
226,0,171653812
227,1,172052375
228,1,172896677
229,1,173738387
230,1,174309430
231,1,176068463
232,1,176068764
233,1,176709307
234,2,178084779
235,1,178146494
236,1,178819081
237,1,178905255
238,1,180593748
239,0,180743390
240,2,180852092
241,0,182136918
242,1,182396252
243,0,182591914
244,1,182993126
245,0,183043856
246,2,183777471
247,1,183993970
248,1,184663282
249,1,185317716
250,1,187230021
251,1,188077406
252,1,188077710
253,1,188225187
254,1,188360907
255,2,188957432
256,0,188987523
257,1,189547034
258,1,189600808
259,1,189842072
260,1,190223995
261,2,190563121
262,2,191664014
263,1,194525482
264,2,194526498
265,1,195847419
266,1,196024878
267,1,196531047
268,1,198015177
269,0,198860829
270,2,199642362
271,1,199642783
272,1,199643472
273,0,199650375
274,1,199856085
275,2,200288591
276,1,200379305
277,0,200778175
278,2,201930698
279,1,202948683
280,1,203178681
281,1,204484281
282,0,205068407
283,2,205591629
284,2,205603048
285,1,205926511
286,1,206490722
287,1,206852792
288,1,207459332
289,1,209579442
290,1,210357295
291,2,210851408
292,0,211212742
293,1,211571977
294,0,213733429
295,2,214404892
296,2,214424920
297,1,215214103
298,2,216565295
299,1,217203052
300,1,217312918
301,2,217511206
302,1,218501549
303,2,220161566
304,1,220339251
305,1,220339278
306,2,220555685
307,2,221586773
308,2,222564197
309,2,223562832
310,1,223941514
311,2,225027380
312,0,225240852
313,2,228055375
314,1,228795616
315,1,229527962
316,1,229561207
317,1,229651307
318,1,229707462
319,1,229882666
320,1,229972765
321,2,229978483
322,0,230193113
323,1,231156050
324,0,231873805
325,1,232268723
326,0,232817703
327,1,234435251
328,2,234584540
329,0,236122170
330,2,236499508
331,2,237767575
332,1,238400691
333,0,239829787
334,1,240278043
335,2,240847720
336,0,240998095
337,2,241813510
338,1,243723498
339,0,244554035
340,1,246263568
341,0,247125002
342,1,248241699
343,2,248698868
344,2,248793252
345,1,249737192
346,1,250141141
347,0,250295448
348,2,250555504
349,1,253306363
350,1,253809343
351,1,253809723
352,2,256235029
353,2,256235438
354,1,256494183
355,0,256735642
356,2,257612057
357,0,259803459
358,1,260690932
359,0,261998913
360,1,263151741
361,1,263472281
362,1,264130602
363,1,264256159
364,2,264992658
365,0,265778589
366,1,268418857
367,1,269171242
368,2,269172167
369,2,269672409
370,2,270302219
371,0,271021369
372,1,271244670
373,2,272187793
374,1,272993276
375,1,272993618
376,2,274161013
377,2,277718883
378,1,278809376
379,1,281770253
380,0,281782281
381,0,282518831
382,1,282596895
383,1,282597164
384,0,283207577
385,2,283232380
386,2,283244162
387,1,283689975
388,2,286799928
389,2,287424811
390,0,288055911
391,1,289385152
392,0,290868170
393,0,291345323
394,2,291615830
395,0,291615972
396,2,292082085
397,2,292265760
398,2,292358761
399,1,292536649
400,1,292918220
401,2,293350085
402,2,294576689
403,1,295728428
404,2,295934060
405,1,297314604
406,1,298017229
407,2,298272407
408,0,298746550
409,1,300138527
410,1,300250576
411,2,300717541
412,2,300718762
413,2,301377300
414,0,302486335
415,1,302777233
416,1,302976059
417,1,303022580
418,1,303547522
419,1,303547588
420,1,304134249
421,1,304164705
422,1,304218205
423,1,307530335
424,1,309501814
425,0,309850834
426,0,309851353
427,0,309851688
428,1,311303360
429,1,311469023
430,2,312288814
431,1,313810840
432,1,314565524
433,1,315998842
434,2,316431847
435,2,316849022
436,2,316849157
437,2,316849211
438,1,316859773
439,2,317093424
440,2,317492492
441,1,317660851
442,1,317676305
443,2,317855354
444,2,318254863
445,0,319472677
446,1,320138315
447,2,322491262
448,2,324122930
449,1,324928737
450,1,325101186
451,1,325809688
452,0,326158217
453,2,327613868
454,2,327701319
455,1,328331805
456,2,328453168
457,2,328492544
458,1,330258315
459,1,330415755
460,1,331622106
461,2,331675870
462,1,331813292
463,1,333635195
464,2,333964912
465,1,336170701
466,1,336366498
467,2,336625599
468,1,336625820
469,1,338748443
470,2,339759960
471,2,341141848
472,1,342922938
473,1,343321551
474,2,343323277
475,1,343448803
476,0,343724587
477,2,343946481
478,1,344533435
479,2,344534373
480,2,344541674
481,1,346259351
482,1,347723425
483,1,348129001
484,2,348156389
485,1,348161022
486,1,350753933
487,1,352204186
488,1,353234018
489,1,354032973
490,2,355061771
491,1,356936089
492,2,358755847
493,2,359773806
494,1,359880764
495,0,359883288
496,1,359945210
497,0,360580116
498,1,361783381
499,1,362117545
500,1,363016271
501,1,363036092
502,1,363556721
503,1,364974533
504,1,365107623
505,2,366453061
506,1,366778194
507,0,366867405
508,2,367035624
509,2,367035635
510,2,367146071
511,2,367146356
512,2,367284436
513,0,368596666
514,1,369283553
515,0,369982519
516,0,370705902
517,2,370705919
518,2,371007764
519,2,371254723
520,1,371345657
521,1,371613244
522,1,373553340
523,1,373710296
524,1,374474888
525,1,374639038
526,2,374954730
527,1,375195450
528,0,375383547
529,2,375450188
530,1,378790636
531,1,379160858
532,0,379676403
533,2,379697715
534,0,379704219
535,1,380687837
536,0,380700722
537,1,380910918
538,1,381382405
539,1,382691588
540,1,383709074
541,1,384076181
542,2,386482528
543,1,387410128
544,1,388613834
545,1,389265423
546,1,389591258
547,1,389749107
548,1,390170116
549,2,393152473
550,0,393418103
551,1,394236388
552,2,396276826
553,2,396904846
554,1,397744194
555,0,399071711
556,2,399465712
557,1,399916743
558,1,399918685
559,1,400213363
560,2,401264860
561,2,401613891
562,1,402159228
563,0,403875431
564,1,403987640
565,2,405971220
566,1,407169210
567,1,408993309
568,2,410106892
569,0,410459219
570,1,410794730
571,2,410800968
572,1,411040003
573,0,411454535
574,2,411454809
575,2,411667636
576,1,411811478
577,1,413139581
578,1,413573020
579,1,413728833
580,1,414294024
581,0,414521950
582,2,416340431
583,2,416340506
584,1,416376446
585,2,416388374
586,2,416401701
587,1,416919434
588,2,417057779
589,1,417329681
590,1,417329835
591,0,417824411
592,1,417898840
593,0,417940595
594,1,418430211
595,1,418451652
596,1,420033047
597,0,421084068
598,1,421267913
599,2,421848052
600,1,421921478
601,1,422179102
602,0,428844163
603,0,428872065
604,0,428899789
605,0,428941109
606,2,429835790
607,2,430171705
608,1,431463734
609,2,431586745
610,1,432305379
611,2,432926658
612,2,433428300
613,0,433502006
614,1,435580577
615,0,435696197
616,0,435772545
617,2,437524678
618,1,438915482
619,0,439212454
620,2,440392204
621,1,444280959
622,2,448571127
623,0,449055708
624,2,449722425
625,1,450427651
626,2,451881937
627,1,452345692
628,2,452771396
629,0,453017228
630,0,453330735
631,1,453349685
632,2,453544943
633,1,453594961
634,2,453788486
635,1,453831383
636,1,453874002
637,1,454151509
638,2,454151793
639,1,454232932
640,2,454247955
641,1,454416495
642,1,454679834
643,2,454771641
644,1,454871220
645,2,456470747
646,2,457391139
647,1,457651383
648,1,457756196
649,1,457866388
650,2,458290215
651,2,459047107
652,2,460159642
653,0,460361636
654,1,460399229
655,0,460399375
656,2,460677686
657,0,460678789
658,1,461065164
659,2,461091470
660,2,461313698
661,2,462070238
662,2,463117599
663,0,463355864
664,0,463365276
665,2,463708808
666,2,463753937
667,0,463917267
668,1,463928226
669,2,463928717
670,2,463932260
671,2,465299463
672,1,465436578
673,1,465817287
674,2,467449455
675,1,468584446
676,1,468948562
677,2,469604219
678,1,469917652
679,2,470700992
680,2,470769683
681,2,472284919
682,1,472306867
683,0,472554096
684,0,473127534
685,2,474864100
686,0,474868562
687,2,475259953
688,2,475275794
689,2,475449862
690,2,475562798
691,1,476409418
692,1,478460097
693,2,478627272
694,2,480409694
695,1,480884906
696,0,484442976
697,2,485297102
698,1,485528518
699,2,485796196
700,2,485882170
701,0,487654591
702,2,488122262
703,2,488126350
704,2,488126811
705,0,490271763
706,2,490537779
707,1,490673139
708,2,491446747
709,0,491832610
710,0,492251674
711,1,492315678
712,0,492352790
713,2,492833223
714,2,493215547
715,1,493215679
716,2,493387654
717,2,493448009
718,1,494887810
719,2,495510121
720,1,496049189
721,2,496062465
722,1,497147060
723,0,497331889
724,0,497849552
725,1,498069396
726,1,498214176
727,2,499477646
728,1,502297415
729,2,502840004
730,1,503740605
731,1,503940845
732,1,504503731
733,1,504637253
734,1,504976570
735,2,506323348
736,1,507001629
737,0,507024756
738,0,509378872
739,2,510182853
740,2,510263344
741,1,510513478
742,1,511335905
743,2,511771174
744,0,511949589
745,2,513444970
746,2,513999897
747,1,514458816
748,2,514893829
749,2,515291005
750,2,515366565
751,2,517347476
752,1,518124451
753,2,518599192
754,1,520094292
755,2,522467229
756,1,522500002
757,1,522551816
758,1,522590518
759,0,523167201
760,0,524477779
761,2,524509015
762,0,525322704
763,1,525463921
764,2,526949957
765,2,527275767
766,0,529317760
767,1,532119357
768,2,532674491
769,2,533542557
770,1,534799192
771,2,535133015
772,2,535574059
773,0,535585336
774,0,535585477
775,2,536952061
776,0,537134099
777,0,537563332
778,2,537844774
779,2,538669068
780,2,538698471
781,1,538753539
782,2,539137732
783,1,539656060
784,1,539728241
785,0,539770407
786,0,539916828
787,2,539985418
788,2,541294156
789,0,541295015
790,2,541551949
791,2,541736038
792,1,542081334
793,2,542208267
794,1,543149694
795,1,545108027
796,0,545239879
797,1,545432641
798,0,545662220
799,1,546020410
800,2,546068073
801,1,547442465
802,1,547547506
803,2,547555774
804,0,547707623
805,1,548384925
806,0,549728900
807,1,549838268
808,1,549843909
809,1,549845154
810,1,550833696
811,1,553113473
812,1,553360702
813,2,553454561
814,0,554225946
815,0,554545416
816,0,554623565
817,0,555341157
818,0,556105843
819,0,556105896
820,2,556105987
821,1,556209431
822,2,557003313
823,1,557189897
824,2,557260971
825,0,557679253
826,1,557935073
827,2,558208440
828,0,558949210
829,0,559020446
830,0,559388414
831,2,559388876
832,2,559427614
833,0,559432331
834,1,560228274
835,1,561024025
836,0,562008175
837,1,562368176
838,2,562511173
839,2,562910299
840,2,564225230
841,2,566251653
842,2,567105113
843,1,568178151
844,2,575270190
845,1,575760221
846,2,577014945
847,0,578187684
848,2,579264148
849,2,580978864
850,2,582114768
851,1,583438293
852,0,583855706
853,1,584578050
854,0,586707046
855,1,586973329
856,2,587249132
857,2,588817340
858,0,588873104
859,0,589195443
860,0,589375964
861,2,589404536
862,2,590540713
863,0,590640056
864,2,591464291
865,2,592221730
866,2,593152143
867,1,594324413
868,1,594752468
869,1,595438514
870,0,595831974
871,1,595854755
872,0,596044725
873,2,597749958
874,1,598517475
875,2,602233635
876,1,602597121
877,0,603746427
878,1,604803048
879,0,607365576
880,0,607987619
881,2,608546912
882,2,608565228
883,0,609982639
884,1,610469204
885,1,610896724
886,1,612052187
887,1,613847050
888,2,614255020
889,2,615175918
890,0,616881053
891,1,618967319
892,2,620380736
893,2,621101968
894,1,621116789
895,2,621487809
896,1,621620486
897,0,621634477
898,2,622697982
899,2,622744493
900,2,622763467
901,1,623019733
902,1,623958229
903,0,626168848
904,2,626253947
905,1,626906295
906,1,627534098
907,0,627777939
908,2,628479786
909,0,628577787
910,2,629089370
911,2,633169859
912,0,633355097
913,1,634272433
914,1,634272449
915,0,634594688
916,2,635072866
917,2,635858016
918,1,636416898
919,1,637885353
920,2,637905792
921,2,637955433
922,2,638788253
923,2,639215449
924,2,641459228
925,2,643753127
926,1,644325554
927,1,644541025
928,0,645092125
929,0,645392983
930,1,645439802
931,2,646455182
932,0,647515898
933,1,648832200
934,0,649275173
935,1,653414754
936,1,653514167
937,2,663831741
938,2,664331166
939,1,665704475
940,1,666450902
941,2,666553697
942,1,666959138
943,2,667288090
944,2,668396679
945,2,668525033
946,1,670316237
947,0,671327389
948,2,671503072
949,0,671508801
950,2,671662398
951,0,672085683
952,2,672717035
953,0,672734743
954,0,672809385
955,2,673460472
956,1,673835762
957,2,674059107
958,2,674061479
959,2,675279465
960,1,675990590
961,2,676455906
962,1,677272567
963,2,677549094
964,0,678134211
965,1,678509744
