,cat,id
0,0,534298
1,2,2143875
2,2,2525928
3,2,2811851
4,0,3032843
5,0,5724456
6,1,6219772
7,0,6421919
8,0,7773382
9,2,10445439
10,0,10774939
11,0,10920294
12,2,11699037
13,1,13081166
14,2,13404483
15,0,14552483
16,1,15825957
17,1,16036223
18,0,16435955
19,0,17379018
20,2,17747049
21,1,19505716
22,0,20414510
23,1,21593073
24,1,21615140
25,1,21618819
26,0,21851764
27,0,22214913
28,1,23916654
29,0,24144615
30,1,26194148
31,0,26698891
32,2,27428553
33,1,27469711
34,1,28002426
35,2,29477989
36,2,31873049
37,2,32193815
38,2,32215537
39,0,32423682
40,2,32428343
41,0,33332933
42,0,33461726
43,0,33848240
44,2,36297856
45,1,36415614
46,1,37347567
47,0,37397127
48,0,38167739
49,0,38378767
50,0,38898100
51,2,39351336
52,1,39351360
53,1,39364948
54,1,39369650
55,2,39372398
56,0,39715240
57,1,41530097
58,0,41544745
59,1,42077709
60,0,42736861
61,2,42791452
62,2,42966604
63,0,43888865
64,1,44305095
65,0,44396734
66,2,45752699
67,0,46120698
68,1,46409414
69,1,46467067
70,0,48735383
71,1,48747394
72,0,48886679
73,1,48965586
74,0,49913446
75,0,51567151
76,1,51890518
77,2,52226154
78,0,52268594
79,2,53009770
80,0,53293552
81,1,53529082
82,1,53633627
83,0,53782278
84,0,53998236
85,0,54025651
86,1,54653210
87,0,56187090
88,1,57296272
89,2,57513164
90,1,57733217
91,1,57793384
92,0,58483968
93,2,58658575
94,1,58770790
95,1,58781286
96,2,58880778
97,1,58888385
98,2,59124823
99,1,59505932
100,0,60881907
101,0,61018332
102,0,61231094
103,2,61366072
104,0,61902865
105,0,62229616
106,2,62400397
107,1,62769585
108,2,63197706
109,0,64586965
110,1,65067132
111,1,65765758
112,0,67011351
113,1,67252139
114,1,67265704
115,1,67441280
116,1,67865619
117,2,68128442
118,0,68271239
119,2,68429615
120,2,69176307
121,0,69242768
122,2,70607409
123,0,71269482
124,2,72007641
125,1,72680240
126,1,72683800
127,2,72811804
128,1,73436864
129,1,73457982
130,1,73459115
131,1,73463166
132,1,73485007
133,0,74028984
134,1,74663150
135,2,75426164
136,1,76044658
137,1,76597164
138,2,76636430
139,0,77405080
140,1,77557088
141,1,77838871
142,1,77973402
143,1,78359117
144,2,79310040
145,0,79487964
146,0,79550389
147,0,79799677
148,1,80037911
149,0,80326660
150,0,80331316
151,0,80455198
152,1,80541965
153,0,81457529
154,2,82024942
155,1,82326402
156,0,83610722
157,1,85046855
158,0,85469962
159,0,87478861
160,0,88000056
161,2,88088022
162,2,88851518
163,0,88869386
164,1,89281536
165,0,90546729
166,2,90975688
167,0,91670415
168,0,92185093
169,2,92210070
170,0,92260525
171,2,92659612
172,0,94506593
173,1,94616061
174,0,94705157
175,0,95006284
176,2,95579639
177,2,95617437
178,1,95838402
179,0,99393247
180,2,100157406
181,0,100497512
182,0,102022094
183,1,102933286
184,0,103157076
185,0,103569048
186,0,103586821
187,2,104399364
188,2,106322197
189,2,106347825
190,0,106456417
191,0,106534089
192,2,107099789
193,1,107367918
194,1,108357722
195,1,109758655
196,0,112129618
197,0,113120627
198,1,114565939
199,0,116210149
200,1,116492661
201,1,116630751
202,1,116658970
203,0,117308155
204,0,117659539
205,0,117790227
206,0,118043653
207,1,118803883
208,0,119040259
