,cat,id
0,0,898920
1,1,1900499
2,1,2175879
3,2,3304692
4,0,3715470
5,1,4145312
6,1,4311779
7,2,4542874
8,1,4668231
9,1,5038967
10,1,8967815
11,1,9489702
12,1,9667288
13,0,11882582
14,1,12478565
15,1,16553259
16,1,17181574
17,1,17377496
18,0,19070263
19,1,19165423
20,0,19488563
21,2,19968955
22,1,21017096
23,1,21379545
24,1,22252242
25,1,22995921
26,1,24404974
27,2,24457080
28,0,24963283
29,2,25055887
30,0,25206698
31,1,26975813
32,1,28008199
33,1,32044546
34,2,34115456
35,1,35179824
36,1,35779902
37,2,35915710
38,0,35986082
39,1,36848583
40,0,36887971
41,0,37328275
42,1,40526543
43,0,40569943
44,0,41179424
45,1,43699711
46,1,44196526
47,1,45016707
48,2,45019856
49,0,46311239
50,1,47068355
51,2,47068819
52,0,47177064
53,0,47974007
54,1,49402490
55,1,51356470
56,1,53761281
57,0,55546384
58,0,55562564
59,0,55563665
60,1,55933977
61,1,56078977
62,1,56132013
63,0,56262986
64,0,56569370
65,1,58423327
66,1,58522965
67,0,59153185
68,1,61122759
69,2,61231586
70,1,63741176
71,1,64357381
72,1,64910356
73,1,66128149
74,0,66189817
75,1,67849768
76,1,68381690
77,2,68586902
78,1,68821131
79,1,70651049
80,1,70666649
81,1,70808351
82,2,71518216
83,1,72265456
84,1,72594720
85,1,72997784
86,1,73071259
87,0,73856673
88,1,74707080
89,2,75159291
90,1,76974091
91,1,77015681
92,0,77059700
93,1,77545581
94,1,78468356
95,2,78471158
96,1,78476677
97,1,78479325
98,1,78480107
99,1,79171629
100,1,80106450
101,1,80133932
102,1,80245348
103,1,80391011
104,2,83270119
105,1,83465042
106,1,83599495
107,2,83674762
108,1,84142761
109,1,84813715
110,1,84868599
111,1,87274916
112,2,88922324
113,1,89251759
114,1,89297217
115,1,89398079
116,2,89515689
117,2,90735782
118,1,91096454
119,1,91348573
120,1,91982046
121,1,92864604
122,0,93192281
123,1,93824779
124,1,93915889
125,1,94684343
126,1,95182834
127,1,95656424
128,1,95931803
129,0,96519010
130,1,96796263
131,1,97038641
132,1,97098992
133,1,97819743
134,2,99485055
135,2,100705850
136,1,100956980
137,1,102073880
138,1,102543761
139,0,102925853
140,2,103129911
141,0,103728902
142,0,103755311
143,2,103916650
144,1,103985081
145,1,104200357
146,1,104254209
147,1,104275104
148,2,105346538
149,2,105565848
150,2,106492999
151,1,106775082
152,1,107816766
153,2,107892602
154,0,108153582
155,1,108296690
156,1,109413995
157,1,110064144
158,0,110360750
159,1,111071064
160,1,111582763
161,0,112224733
162,2,113199759
163,1,114342334
164,1,115047373
165,0,115119587
166,1,115439570
167,1,115970999
168,1,116066076
169,0,116832667
170,2,117405805
171,0,118282548
172,1,118922012
173,1,119282257
174,1,119363304
175,1,119624129
176,1,120053019
177,1,120813101
178,1,121263198
179,1,121516918
180,1,123617560
181,1,124600940
182,2,124683654
183,0,125734999
184,1,126566521
185,1,126880068
186,2,127440960
187,2,128087450
188,2,128105968
189,0,128954237
190,1,128970554
191,0,129155944
192,1,129280971
193,1,130829234
194,1,132007793
195,1,132722283
196,0,132840073
197,1,133111926
198,0,134054853
199,1,134266868
200,0,135218678
201,1,136567846
202,1,137505735
203,2,139009992
204,1,140548984
205,1,141950612
206,2,142680750
207,0,142769029
208,1,142872828
209,2,142956484
210,1,143596378
211,1,143939282
212,1,144382035
213,0,144752521
214,1,145160187
215,1,145317344
216,1,146210751
217,2,146484450
218,0,147401525
219,0,147458907
220,0,147482416
221,2,148226534
222,1,148468540
223,0,148874439
224,0,148879902
225,1,149010394
226,1,149145368
227,1,149912145
228,2,151633456
229,1,153037471
230,2,153468869
231,2,154326222
232,1,154697945
233,1,155284996
234,2,155359743
235,1,155967163
236,1,156146716
237,2,157279814
238,1,157936574
239,0,158671366
240,1,158860070
241,1,159489814
242,1,162356350
243,1,163556556
244,1,163738403
245,2,164485276
246,0,164501398
247,1,164505038
248,1,164709022
249,1,165026760
250,1,165977579
251,1,166017930
252,0,167004868
253,0,167711340
254,1,169085699
255,1,170073554
256,2,170241532
257,2,170305062
258,1,171076036
259,1,171173816
260,1,174474675
261,2,174860281
262,1,175299810
263,2,176109284
264,2,176146063
265,1,176253681
266,0,176982581
267,1,177184677
268,2,178159694
269,2,178437442
270,0,181045138
271,2,183546515
272,1,183566219
273,1,183640683
274,2,185257993
275,1,185461012
276,1,185461595
277,1,185785356
278,1,185865145
279,1,186338372
280,1,186628289
281,1,186904967
282,2,187484596
283,2,187692263
284,2,188052769
285,1,190501333
286,1,190741424
287,1,192866630
288,1,193036999
289,2,193801687
290,1,194028870
291,2,194977791
292,1,197557140
293,2,197892453
294,1,198079280
295,0,198259213
296,1,198378604
297,0,199003302
298,1,199381830
299,1,200045570
300,1,200098569
301,1,201807322
302,0,202041308
303,2,202450906
304,2,203062162
305,2,203142606
306,1,203343780
307,1,205184181
308,1,205998037
309,1,207261780
310,1,208360997
311,2,210962353
312,1,213095690
313,1,213149486
314,1,213300317
315,1,213740549
316,1,213740568
317,1,214723477
318,0,215621286
319,1,215912418
320,0,216470006
321,1,217444029
322,1,217740153
323,1,218966742
324,2,220166066
325,1,220757176
326,0,220973047
327,0,222348490
328,1,222686089
329,2,223172513
330,0,224258733
331,0,224825586
332,2,225275984
333,1,225311226
334,1,227233701
335,1,228200715
336,1,228450240
337,1,228722707
338,2,228758318
339,1,228914022
340,0,229211792
341,1,229582192
342,2,229760566
343,1,230556797
344,2,230688086
345,1,231414179
346,1,231477200
347,1,231747133
348,0,232736371
349,1,234869894
350,1,237828316
351,2,237896127
352,1,238001404
353,1,238973253
354,2,239030226
355,1,239514358
356,1,241730278
357,0,241997742
358,2,242086661
359,2,242553913
360,0,242624167
361,2,242747084
362,1,242773208
363,1,243571253
364,0,244276132
365,1,244923705
366,1,245471396
367,2,246743894
368,1,246804131
369,2,247600468
370,1,247675976
371,0,247918778
372,1,247966995
373,1,248000786
374,2,248566318
375,2,250249644
376,1,250736136
377,0,252627277
378,1,253905271
379,1,255659887
380,2,256195519
381,1,257498088
382,1,257938982
383,0,258109990
384,1,259062270
385,1,259421691
386,1,259903824
387,1,260421126
388,0,260790059
389,0,262147393
390,2,262891458
391,1,263112541
392,2,264605139
393,2,264641233
394,1,264937953
395,1,268781137
396,1,274649498
397,1,274781962
398,1,275344442
399,2,275620053
400,1,276357719
401,2,277557475
