,cat,id
0,0,458937
1,0,807073
2,0,1687126
3,1,2468004
4,0,2978116
5,2,3105500
6,0,3377158
7,0,3642860
8,0,3845886
9,0,4464343
10,0,4468768
11,1,5105945
12,2,6245696
13,0,7096299
14,1,7540024
15,0,7733489
16,0,8979616
17,0,9712580
18,0,11855594
19,1,11856944
20,0,11876435
21,0,12236622
22,2,12939661
23,2,13160184
24,0,13825430
25,1,14596336
26,0,14682079
27,0,15039281
28,0,15234016
29,0,16810967
30,0,16816064
31,0,17982774
32,2,18778433
33,1,18840631
34,1,19047722
35,0,19137242
36,0,20870777
37,0,21077149
38,0,21192820
39,1,21929439
40,1,22356215
41,0,22430607
42,0,22810989
43,0,22850656
44,1,23242209
45,1,23274890
46,0,23426447
47,0,23493284
48,2,24097350
49,2,26573453
50,1,26591276
51,1,27236911
52,0,27839357
53,0,28295071
54,0,29908262
55,0,30309292
56,0,31756742
57,1,32679974
58,0,34983492
59,1,35541385
60,1,36010563
61,1,37213230
62,1,37213636
63,2,37629730
64,1,38629797
65,1,39181646
66,0,39692121
67,0,39942321
68,0,40773774
69,1,41420099
70,1,42094905
71,0,42347763
72,1,42369382
73,0,42542254
74,1,42732011
75,1,42866378
76,2,43283616
77,0,44709186
78,1,45332938
79,1,45402624
80,0,46298101
81,1,47241475
82,1,48911123
83,1,49470721
84,0,49781644
85,1,50667497
86,1,50685120
87,0,51004040
88,0,51004097
89,0,51427669
90,0,52059078
91,1,56621036
92,1,58121291
93,1,59500229
94,1,59675272
95,1,60502329
96,0,60511690
97,0,60922348
98,1,61044801
99,0,61474839
100,0,62944544
101,0,64603278
102,1,64648222
103,0,66324368
104,0,67533086
105,2,68822180
106,1,69127039
107,0,69164417
108,0,69454662
109,0,70452239
110,0,70668707
111,0,73027312
112,1,73236880
113,2,76717826
114,2,77007851
115,1,77119111
116,1,77241459
117,0,77923077
118,0,78571805
119,1,79258829
120,1,80247818
121,0,81137180
122,1,81765734
123,2,83082571
124,1,83294199
125,0,83328011
126,1,84337144
127,1,84598942
128,1,85156437
129,2,85828148
130,0,86171834
131,2,86837207
132,0,86908934
133,2,86958849
134,0,87422591
135,0,87544819
136,0,88756902
137,0,90887719
138,0,90945448
139,0,90947041
140,0,91113415
141,0,92421576
142,0,92817555
143,0,92931293
144,0,93084472
145,0,93922106
146,2,94398430
147,1,94950209
148,2,95927776
149,0,96833780
150,0,96912031
151,0,98981593
152,0,99639668
153,1,99938600
154,0,100066432
155,0,100770212
156,0,101051996
157,1,101638977
158,0,102927320
159,1,103611670
160,0,103743969
161,0,103752198
162,0,104273262
163,0,104335020
164,2,104608343
165,0,104678114
166,0,105857672
167,0,106027346
168,0,106524160
169,2,106616792
170,0,106649158
171,0,106691888
172,0,107201906
173,2,107919764
174,1,109216924
175,0,110003607
176,1,110957050
177,0,114435000
178,0,115738399
179,2,116721721
180,0,117583362
181,1,118826750
182,0,120395321
183,1,120415866
184,0,120912985
185,0,121278332
186,2,121485177
187,0,127422091
188,0,128204971
189,0,128768533
190,0,129459893
191,0,129587058
192,0,129587268
193,1,129864521
194,0,130087442
195,0,131483712
196,1,132460648
197,0,132753768
198,2,133161156
199,1,133271504
200,0,133392366
201,0,134423586
202,0,134622730
203,0,135458205
204,1,135709662
205,0,136742601
206,0,137758336
207,0,138376987
208,0,138996896
209,0,139232009
210,1,139904885
211,0,140360336
212,0,141431236
213,0,141834005
214,2,142029323
215,1,142048950
216,0,142461359
217,1,142669515
218,0,142706098
219,2,143750442
220,1,143750446
221,0,144323480
222,0,145084743
223,0,146405029
224,0,146705212
225,1,149160282
226,0,150273646
227,2,151595161
228,0,152052334
229,1,152668859
230,0,152970292
231,0,153578111
232,1,153827726
233,1,153827940
234,1,153827972
235,0,153994382
236,0,154040304
237,2,154676404
238,0,154920943
239,1,156799871
240,0,156877929
241,2,159037412
242,1,159283933
243,0,160479666
244,1,160670008
245,0,160833400
246,1,161208409
247,0,161262939
248,1,162703292
249,2,163297195
250,0,164612654
251,1,165480588
252,0,165573723
253,0,165917959
254,2,165948109
255,2,168103775
256,0,169534238
257,0,169837574
258,0,171250480
259,0,171782353
260,1,171841588
261,0,172178358
