,cat,id
0,2,206908
1,3,685878
2,3,1625287
3,2,1817541
4,1,2182140
5,0,2233564
6,0,4204922
7,0,4452558
8,1,4508154
9,0,5520435
10,3,8291516
11,0,8626963
12,1,8763461
13,0,9226386
14,0,10329598
15,0,10654294
16,2,10969923
17,2,11552926
18,0,12725905
19,3,12928766
20,0,13420237
21,2,14977116
22,2,15514324
23,0,17406875
24,2,17866497
25,3,18898615
26,3,18932893
27,0,18962089
28,1,19358745
29,3,19702140
30,0,21204343
31,0,21256817
32,3,21451510
33,0,22767589
34,3,22773337
35,3,23093164
36,0,23507230
37,0,23507399
38,3,23642851
39,0,26016496
40,0,27845693
41,1,28041094
42,0,28099725
43,0,28310276
44,2,28323729
45,2,28409473
46,1,29469150
47,3,29550545
48,3,29835868
49,0,30915140
50,3,32582583
51,2,33120509
52,3,33457427
53,0,34539257
54,0,34552864
55,0,35523138
56,0,35770733
57,1,36253448
58,1,37611864
59,1,37611887
60,3,38633980
61,3,38926005
62,2,39310200
63,2,39830707
64,1,40525625
65,2,40806910
66,2,41844928
67,0,41896251
68,3,42136698
69,0,42714789
70,0,42901104
71,0,42990837
72,2,43151498
73,2,43963526
74,0,44477169
75,0,44488823
76,3,46046102
77,0,46075066
78,0,46637131
79,2,46834240
80,2,46888000
81,0,50388441
82,0,50494453
83,1,50580374
84,1,50699828
85,0,52690693
86,0,54152914
87,0,54747444
88,2,55257147
89,3,55325767
90,2,56272120
91,1,56531683
92,0,56556328
93,0,56708310
94,0,56709213
95,2,56925653
96,3,56959710
97,1,57519214
98,0,59225612
99,2,60315145
100,1,60449854
101,0,60847616
102,3,61052358
103,3,61820213
104,3,61899867
105,0,62203654
106,0,62239476
107,0,62309312
108,3,63194388
109,0,63290046
110,3,63738249
111,0,64033988
112,2,64777479
113,0,64859469
114,0,65011857
115,0,65187865
116,0,66005256
117,3,66580041
118,1,66819108
119,1,67539165
120,0,68083230
121,2,69599819
122,1,70387827
123,0,71111950
124,0,72145863
125,0,72856242
126,3,73172690
127,2,73517910
128,1,73538291
129,1,73698753
130,0,73899833
131,0,74197367
132,3,74250175
133,1,75573059
134,0,75890804
135,0,76157074
136,2,77256723
137,0,77979010
138,1,78596825
139,0,78893315
140,3,78944874
141,0,79145119
142,1,80100508
143,2,80865092
144,1,80939294
145,3,81050692
146,3,81709246
147,0,83307868
148,1,84522844
149,0,85149345
150,0,87472360
151,2,88012543
152,1,88016118
153,3,88204114
154,0,89113912
155,2,89392327
156,0,89625736
157,0,90131755
158,2,90325261
159,0,90916530
160,0,91690920
161,2,91694256
162,2,91694592
163,0,92103734
164,0,92149597
165,0,92550159
166,2,92551696
167,3,92648143
168,1,92771622
