,cat,id
0,0,711423
1,1,2981214
2,1,3360892
3,0,3946298
4,0,4383336
5,1,7086109
6,0,7582833
7,1,7688141
8,0,9030083
9,2,11517637
10,0,11987093
11,0,12165446
12,2,13059619
13,0,14391246
14,1,14619430
15,0,15575561
16,0,16137406
17,0,17012982
18,1,17039382
19,0,17078702
20,0,17854856
21,1,18888695
22,0,21052714
23,0,22060260
24,1,23270406
25,1,23311751
26,0,23403044
27,1,23689286
28,1,24018559
29,0,25492359
30,0,25714469
31,1,26258277
32,1,28182207
33,0,28184051
34,0,28902503
35,0,29476710
36,0,29673124
37,0,30099667
38,2,33100193
39,0,35760780
40,0,36028850
41,2,36048962
42,0,36356022
43,0,36383384
44,2,36763674
45,1,37752078
46,0,37843654
47,0,38095684
48,2,41413909
49,0,41843237
50,0,43289311
51,0,43326088
52,0,43933636
53,1,44221851
54,1,44702844
55,1,45654847
56,2,45683981
57,0,46617103
58,1,47057769
59,1,47600710
60,1,48242904
61,0,50429709
62,1,50554499
63,1,50899593
64,0,51647570
65,0,51819659
66,1,51948617
67,0,52840360
68,2,53668619
69,0,53779602
70,1,56359319
71,1,57116101
72,0,57421514
73,0,57466435
74,0,60883360
75,0,60926681
76,2,61005197
77,0,61388670
78,1,63544622
79,1,64934826
80,0,65419593
81,1,65791083
82,0,65811919
83,0,66940900
84,1,67299786
85,2,67340284
86,0,67369615
87,0,67440992
88,1,67633558
89,0,67712332
90,0,68223404
91,0,69270190
92,1,70058138
93,2,70173336
94,0,70424905
95,0,70459201
96,0,71236507
97,1,71352804
98,1,71564510
99,1,71667391
100,0,72332219
101,1,72479804
102,0,72590420
103,2,72965842
104,0,73754015
105,1,73866678
106,0,74049227
107,1,74398323
108,1,75250444
109,2,76094497
110,0,76420759
111,2,77093360
112,0,77816159
113,2,79581110
114,0,80546997
115,1,81332146
116,0,82296284
117,2,83478141
118,2,83663081
119,2,83764438
120,1,83938012
121,0,84115059
122,2,84689990
123,0,84939210
124,0,86732782
125,2,87492425
126,2,87554888
127,2,88886160
128,1,90002883
129,2,90982712
130,2,91581402
131,1,91676968
132,1,91720535
133,2,93242601
134,0,94400250
135,2,94501033
136,0,94582888
137,0,95216835
138,0,96869847
139,1,97938860
140,0,98974736
141,1,101147687
142,0,101540867
143,0,101561095
144,2,102559883
145,0,103002292
146,0,103373696
147,0,103801441
148,0,103901731
149,2,104487019
150,0,105443869
151,1,105540649
152,1,105554702
153,2,105686377
154,1,105794047
155,0,106189996
156,0,106268028
157,0,106387356
158,0,106518517
159,2,107946205
160,0,108772973
161,1,109104049
162,2,111772673
163,2,112817299
164,2,113303826
165,1,114252028
166,0,117030799
167,0,117400009
168,0,117564882
169,0,118445738
170,1,118579200
171,1,119038914
172,2,119716923
173,1,120165927
174,0,120615759
175,1,121415266
176,1,121832449
177,0,121886443
178,1,121917401
179,0,122230971
180,0,124348211
181,2,124725599
182,1,124909193
183,1,125045069
184,1,125673190
185,0,125714029
186,1,126312157
187,0,131218359
188,0,132382561
189,1,132952927
190,0,133141756
191,0,134223091
192,1,135513003
193,2,137056152
194,0,137616077
195,2,137709219
196,1,138819410
197,0,141393942
198,1,141706455
199,2,141804804
200,0,141854294
201,0,142959669
202,2,143734803
203,2,145203512
204,1,146146062
205,1,146251952
206,0,149165635
207,0,150223373
208,1,152072119
209,0,153918026
210,0,154083436
211,0,154990456
212,0,154990846
213,1,155618459
214,1,156305852
215,0,156401788
216,0,156717994
217,2,157269117
218,0,157458128
219,0,159123653
220,0,159742402
221,1,161069454
222,0,161882390
223,1,162088011
224,1,162879263
225,0,162889746
226,0,164363726
227,2,165137181
228,1,165404639
229,0,165627613
230,1,165706870
231,1,165917005
232,0,166048655
233,0,166721070
234,1,166781521
235,0,167093300
236,0,167460121
237,0,167669126
238,1,168162497
239,1,169594438
240,1,171911366
241,0,173042304
242,0,173523316
243,0,175338055
244,2,175716886
245,0,175950888
246,1,175973663
247,0,176452701
248,0,176454687
249,0,176854576
250,0,178302058
251,2,178426730
252,1,178981139
253,0,178995627
254,1,179082855
255,0,179103063
256,0,179582513
257,1,180745404
258,0,180814654
259,1,181631102
260,1,182089622
261,2,183310206
262,0,183642765
263,1,184192370
264,1,184436226
265,0,184505986
266,1,185431102
267,0,187151082
268,0,187538345
269,1,187730748
270,0,192175319
271,1,192226225
272,0,192633178
273,0,192983023
274,1,193755144
275,0,194611148
276,1,195009147
277,0,195443386
278,1,195697577
279,1,196842104
280,1,196865791
281,0,197127817
282,0,198495696
283,1,198534629
284,0,198695202
285,0,199310838
286,2,200767331
287,2,202445682
288,2,203774680
289,1,205004634
290,0,205749287
291,1,207225079
292,0,208219487
293,0,208385295
294,0,210303328
