,cat,id
0,1,656013
1,1,849432
2,0,1045512
3,1,1047508
4,1,3366355
5,2,4062830
6,2,5529776
7,1,5703477
8,1,5703518
9,1,6202041
10,2,6384813
11,0,7079851
12,0,7700983
13,1,8160169
14,1,8487148
15,0,8747092
16,1,10550776
17,0,10606824
18,1,11376488
19,0,12363548
20,0,12372269
21,0,12614648
22,0,13142038
23,0,14594906
24,0,15799803
25,1,16414228
26,1,16607733
27,1,17065519
28,1,17091069
29,1,17794622
30,1,18552600
31,1,18661213
32,1,19196448
33,1,20412755
34,0,20773295
35,0,20905829
36,1,21084437
37,0,21700640
38,1,24180614
39,1,25431750
40,0,26736458
41,0,27244731
42,1,27589018
43,0,27976857
44,1,28886641
45,1,29220889
46,0,29438241
47,0,29627363
48,0,29627753
49,0,29660739
50,1,29748294
51,0,31779118
52,0,32953803
53,0,33493402
54,1,34191867
55,1,34763236
56,0,34783327
57,1,35483420
58,1,36075159
59,0,37171679
60,1,37285053
61,1,38784522
62,0,38821212
63,2,38958062
64,1,39134923
65,0,43054363
66,1,43255467
67,0,45458996
68,0,46084346
69,1,50306655
70,1,54508158
71,0,55162965
72,0,55185402
73,1,55185738
74,0,55581861
75,0,56126503
76,1,57520678
77,1,58368091
78,0,58633893
79,0,59974795
80,1,60665351
81,0,60665457
82,0,61516114
83,0,62217638
84,0,64144389
85,0,64144468
86,0,64316202
87,1,64653031
88,1,64700681
89,1,64981348
90,1,65120597
91,1,65369686
92,0,66359354
93,1,66815183
94,0,67109054
95,0,67848744
96,2,69456441
97,0,69980648
98,1,70229600
99,2,70308813
100,0,70565615
101,0,71028198
102,0,72300636
103,1,72426458
104,0,73229987
105,1,74375032
106,0,74520953
107,0,75068069
108,2,75244420
109,1,75781278
110,0,75839055
111,0,76626396
112,0,76641233
113,1,77185536
114,1,77720837
115,1,78050725
116,1,78330689
117,0,78982320
118,0,79224606
119,0,79267585
120,0,79524611
121,0,80031848
122,0,80156000
123,2,81148682
124,1,81306706
125,0,81505654
126,0,84551880
127,1,85240202
128,0,86855641
129,0,87061137
130,0,88193432
131,1,89371352
132,0,89382917
133,1,89390571
134,0,89752705
135,0,90441611
136,0,90467665
137,1,90734912
138,0,90949359
139,0,92616131
140,1,96053012
141,1,96708307
142,0,97686587
143,0,97927569
144,1,100370079
145,1,100548956
146,1,101009906
147,1,101909893
148,0,101967572
149,0,102868037
150,1,104196099
151,1,104708674
152,0,106287533
153,0,106564708
154,2,107182020
155,1,107244879
156,0,108350172
157,0,108488915
158,1,108577946
159,1,108654605
160,0,110068888
161,1,110104902
162,0,110406250
163,1,110458397
164,2,110496634
165,0,110567011
166,1,112638828
167,1,113729234
168,1,114363829
169,2,114604274
170,1,116566654
171,0,116838367
172,0,117016066
173,1,117159403
174,1,117364558
175,0,118436143
176,0,118444117
177,1,118513313
178,1,119013051
179,0,119069592
180,1,119537513
181,1,119746968
182,2,119829674
183,1,119859323
184,0,120643588
185,0,121303345
186,0,121814514
187,1,122224864
188,1,125390504
189,1,125639555
190,0,126814056
191,2,127373341
192,0,127791998
193,1,128272040
194,0,129315761
195,1,131456965
196,0,132122278
197,0,132192654
198,0,133069060
199,0,133197530
200,1,133200725
201,1,135191807
202,0,135370725
203,1,135753290
204,1,136243231
205,1,138026733
206,1,138053313
207,0,138821885
208,0,140894493
209,0,141498629
210,0,141499279
211,2,141660113
212,0,142352275
213,1,144855729
214,1,145026132
215,0,145234037
216,0,148478165
217,1,151815663
218,1,154008591
219,1,157029028
220,0,158513686
221,1,158686301
222,1,159491451
223,0,159813168
224,0,160264790
225,0,160798130
226,1,162859888
227,2,162981962
228,0,163310376
229,1,163569531
230,1,163665471
231,0,164761161
232,1,164884475
233,1,165048688
234,1,165091720
235,0,166081303
236,0,166452751
237,0,166812971
238,0,167071865
239,1,169639536
240,0,169752311
241,0,170359413
242,1,170815619
243,0,172696750
244,1,172736578
245,2,173424359
246,1,173765707
247,0,174499032
248,0,174705775
249,0,175182243
250,1,175261441
251,0,176650714
252,0,176770613
253,1,177005910
254,0,178244876
255,0,178365392
256,0,178635112
257,0,179974816
258,1,180459584
259,1,181223385
260,0,181551258
261,1,182155514
262,0,182710193
263,0,182729446
264,0,182783603
265,1,184658062
266,1,185535019
267,0,185609131
268,0,186257074
269,1,187559304
270,1,188605230
271,1,189071980
272,1,189446827
273,1,190059589
274,0,191423239
275,0,192142562
276,1,192524143
277,0,193921061
278,0,196034566
279,0,196561650
280,2,196907539
281,0,196968436
282,1,196984270
283,1,198056960
284,1,198057786
285,1,198279924
286,1,198442797
287,1,200953870
288,0,202119707
289,1,202277334
290,1,203001169
291,1,203626360
292,1,204355374
293,1,204506201
294,1,206167322
295,1,206167389
296,0,206756539
297,0,206810783
298,1,207061903
299,1,207606224
300,0,208209663
301,1,208265058
302,1,209366264
303,0,209866244
304,1,211247952
305,0,212910047
306,0,214162257
307,1,214508410
308,1,214860502
309,1,215174486
310,0,215741485
311,1,216061637
312,0,216366947
313,0,216516092
314,1,217227648
315,0,217573223
316,1,217781614
317,0,217790865
318,0,217929815
319,0,218595189
320,0,218655888
321,1,218986930
322,0,219115187
323,0,219277456
324,1,219408254
325,0,219621606
326,0,220811561
327,1,221222244
328,0,223850095
329,0,224081285
330,0,225015490
331,0,225029350
332,0,225030030
333,1,225079340
334,0,225308090
335,1,226124811
336,0,226176724
337,0,226177621
338,0,226535137
339,0,226709790
340,0,226709939
341,0,226710561
342,0,227048675
343,1,227213583
344,0,227415489
345,1,227415942
346,0,227702687
347,0,227854758
348,0,227859339
349,0,228300338
350,0,228300570
351,1,228510717
352,0,229051969
353,0,229348970
354,1,230753584
355,2,231722694
356,0,231834708
357,2,231924869
358,1,233548911
359,1,234761153
360,0,235299139
361,1,235330635
362,1,235747763
363,1,236762714
364,1,237288203
365,0,237806048
366,0,238213614
367,1,238320317
368,0,238545026
369,0,239848831
370,1,240337948
371,1,242216464
372,0,242589608
373,0,244279246
374,1,245505331
375,0,246407366
376,1,247576632
377,0,247761978
378,0,247761990
379,0,248055540
380,0,248629427
381,0,249101191
382,0,249485195
383,0,252341309
384,0,252382456
385,0,252764482
386,0,252764699
387,0,252764883
388,0,252764985
389,1,253033072
390,0,257757188
391,1,257922502
392,1,259260462
393,0,259615192
394,1,260711588
395,0,261182490
396,0,261183041
397,1,262039735
398,0,262273721
399,0,262273914
400,0,262274034
401,0,262274249
402,0,262274733
403,0,262274959
404,0,262275008
405,0,262278479
406,0,262787707
407,0,263089949
408,0,263337112
409,1,263626788
410,1,264554886
411,1,265095726
412,1,266957668
413,0,267710129
414,1,267885469
415,1,269208814
416,0,270055316
417,1,270853993
418,1,270865897
419,0,271677397
420,0,272217195
421,1,272666902
422,0,272881599
423,0,273862196
424,0,274743815
425,0,275650655
426,1,276247101
427,1,276606377
428,1,277649321
429,1,278941308
430,2,279287126
431,2,279288685
432,0,279330132
433,0,280222862
434,1,280562702
435,1,282814691
436,0,283030533
437,1,283160465
438,0,283173106
439,1,283182325
440,1,284748115
441,1,285641590
442,2,285881821
443,0,286683784
444,1,287484522
445,1,288277891
446,0,288369634
447,2,288511190
448,0,288954663
449,0,288956179
450,0,289027686
451,2,289387038
452,0,289726560
453,0,289731517
454,1,290747343
455,1,291306326
456,1,291896047
457,0,294684352
458,2,295134918
459,0,295585264
460,2,296794202
461,1,297713045
462,1,300008703
463,1,300216909
464,0,300590406
465,0,300689932
466,0,301902678
467,0,301904032
468,1,303235426
469,0,303239023
470,1,303928112
471,0,304609577
472,0,305539109
473,1,306403029
474,0,306863313
475,0,307846947
476,1,308222498
477,0,312271507
478,1,313754461
479,1,314022103
480,1,314164954
481,1,315071743
482,0,315694431
483,0,315706761
484,1,318347834
485,0,318440688
486,1,319593516
487,1,322789388
488,0,324542207
489,0,325513715
490,1,325961930
491,0,326153313
492,1,326857039
493,0,326874393
494,2,326877584
495,2,326885833
496,0,326889295
497,2,328619825
498,2,328963992
499,1,329538150
500,0,329994524
501,1,333977890
502,0,336007289
503,0,336427688
504,1,337345455
505,1,338238438
506,1,338283607
507,0,338523935
508,1,338801616
509,1,339552364
510,1,340013671
511,0,340060970
512,0,340110136
513,0,340880735
514,0,341782192
515,0,343126410
516,1,343361494
517,1,343723744
518,1,343874266
519,0,344576633
520,1,344840685
521,1,346490958
522,0,346615579
523,0,347889803
524,1,349308171
525,1,349554443
526,0,351187591
527,0,351261035
528,0,352382548
529,1,352422248
530,1,354754563
531,1,355290752
532,0,356187659
533,0,356882861
534,0,357430773
535,0,357765916
536,0,357778752
537,0,359483089
538,1,359549446
539,0,359935039
540,1,360232368
541,1,362145015
542,1,362365897
543,1,362366177
544,0,362602366
545,0,363283804
546,0,363614254
547,1,364588009
548,1,366455572
549,0,366605363
550,0,366755397
551,0,366778990
552,1,367067631
553,1,370441702
554,1,371856118
555,1,372436509
556,1,372437763
557,0,373012685
558,0,373375617
559,0,374309857
560,0,374310896
561,1,375583294
562,0,375705766
563,0,375707425
564,1,375757635
565,1,376281777
566,0,376680274
567,1,377491775
568,0,377902523
569,0,378448927
570,1,379417251
571,0,379773781
572,1,379920840
573,1,380102000
574,1,380347444
575,1,380553453
576,0,380632632
577,1,381664939
578,1,382118160
579,0,382404545
580,0,382405741
581,0,382586212
582,1,382708824
583,2,382864228
584,0,383421829
585,1,383562277
586,0,384349476
587,1,385135526
588,1,385240975
589,1,385629219
590,0,385834534
591,1,386360326
592,1,386511173
593,1,387600520
594,1,388656939
595,1,389403211
596,2,389599156
597,0,389992577
598,1,390516445
599,1,391125459
600,1,392658772
601,0,393488010
602,1,394315477
603,1,394515876
604,0,394856508
605,1,395602947
606,0,396118083
607,0,396571744
608,2,396804464
609,0,397813781
610,0,397813824
611,1,397849599
612,0,398024728
613,0,398327800
614,1,398382915
615,1,399114657
616,0,399148002
617,0,399148217
618,2,401229057
619,1,401247253
620,2,403341668
621,1,403855196
622,0,404371985
623,0,404373125
624,2,404386677
625,0,405565657
626,1,405922963
627,1,406768254
628,2,407419261
629,0,407784592
630,1,409040729
631,0,409383286
632,1,410287331
633,1,410824976
634,1,411537108
635,1,412470618
636,1,412493999
637,2,414113263
638,0,415426523
639,0,415931822
640,1,416531790
641,1,420520692
642,1,420724738
643,1,421604000
644,0,421658468
645,1,421946458
646,0,423265312
647,0,423384431
648,2,429033685
649,0,429926450
650,2,430380605
651,1,431610988
652,0,432423893
653,0,433244322
654,1,434928230
655,2,438609750
656,1,440494071
657,2,443870795
658,0,445315182
659,2,445755208
660,2,445787475
661,0,448515016
662,0,448919943
663,0,449342811
664,0,450286600
665,0,450364907
666,1,452701885
667,1,453079563
668,0,453122368
669,2,453751486
670,0,453980363
671,1,454141155
672,1,454557243
673,1,454895763
674,1,455383751
675,2,456354600
676,0,456355330
677,0,456358817
678,0,456905332
679,2,457274567
680,0,460714446
681,1,462083071
682,0,462922562
683,0,465959060
684,0,469288960
685,0,469289300
686,0,469290497
687,0,469717394
688,0,469875855
689,0,472193514
690,0,473563380
691,1,479667391
692,0,483691328
693,1,484642407
694,0,488195101
695,0,489044311
696,0,490433822
697,1,490433920
698,0,491064672
699,1,494161764
700,1,494803091
701,1,495243164
702,0,495281296
703,1,495897298
704,0,496385588
705,0,496885659
706,0,498022050
707,0,498024522
708,1,499872098
709,0,503275712
710,0,503548259
711,0,505236603
712,0,505728903
713,1,506253919
714,0,508164650
715,0,511173631
716,0,511500178
717,1,514608726
718,0,514792954
719,0,516857809
720,0,517234514
721,0,517332821
722,0,518084065
