,cat,id
0,0,727026
1,2,1298573
2,1,2252269
3,0,4317797
4,2,4817298
5,1,7926085
6,1,8521674
7,0,9319809
8,0,10002398
9,1,10005086
10,1,10008555
11,2,10242651
12,2,10569303
13,0,14215957
14,0,14947770
15,2,15230569
16,1,16693944
17,1,16711005
18,2,17937850
19,0,18335974
20,1,18436267
21,0,20239220
22,0,20503867
23,1,20658956
24,2,21109338
25,0,21312854
26,0,21928795
27,2,28018929
28,1,28717193
29,0,29733881
30,1,30088163
31,1,30255160
32,1,30985755
33,1,32474140
34,0,32558779
35,2,32800152
36,2,32966596
37,1,33467175
38,0,33543484
39,0,34318828
40,1,34845173
41,2,36348423
42,1,36874277
43,0,37257390
44,0,38037972
45,2,38733959
46,2,38767459
47,1,39053990
48,0,39703575
49,1,42400285
50,0,43417982
51,0,44348376
52,1,45356872
53,2,45885287
54,0,46195348
55,0,46683547
56,1,46744713
57,1,47619291
58,2,47731362
59,0,48804813
60,2,49062865
61,2,51821624
62,0,55399679
63,0,57116476
64,0,58707308
65,0,59658940
66,0,60988494
67,0,61482773
68,2,62586446
69,0,62640125
70,1,63298562
71,0,63837038
72,2,64096660
73,2,64680578
74,0,65428162
75,0,65431071
76,0,65433951
77,1,65434207
78,0,65447644
79,1,65450849
80,0,66209285
81,1,69310916
82,0,72315405
83,1,72315484
84,0,72762846
85,1,73850970
86,1,74858057
87,2,75391625
88,0,78241319
89,1,78936754
90,0,78937516
91,0,79614490
92,0,79624076
93,1,79638514
94,2,80415772
95,2,81085118
96,0,81383197
97,0,82447123
98,0,82856292
99,0,82890195
100,2,83041674
101,0,83258002
102,2,83505084
103,2,84276817
104,1,85057324
105,1,86235139
106,2,87387087
107,1,87596707
108,2,88287181
109,0,89460439
110,1,93660877
111,2,97888233
112,2,98526288
113,0,98689511
114,1,99913615
115,1,99959471
116,2,100232542
117,1,100737360
118,2,101772449
119,0,101783466
120,2,102194838
121,2,103619186
122,1,103816229
123,1,104010375
124,1,104206293
125,1,104766836
126,2,105029200
127,1,105161780
128,0,105399208
129,0,105926486
130,2,108315399
131,0,108677813
132,0,111466795
133,2,112869882
134,0,113908881
135,1,115518126
136,0,116361683
137,0,119372475
138,2,119457759
139,1,120959169
140,1,121606940
141,2,121863155
142,2,122290255
143,0,122778447
144,1,123355215
145,0,124258905
146,2,125711085
147,2,127642051
148,2,127661345
149,2,127666329
150,2,128247767
151,0,129994527
152,1,130209133
153,0,130763114
154,1,131457883
155,1,131777087
156,0,132616854
157,1,133128094
158,0,133589002
159,2,134126429
160,2,134450019
161,1,134602293
162,2,135361231
163,2,135575640
164,2,135582683
165,0,136694074
166,2,137575390
167,0,140043298
168,1,140219280
169,2,140304964
170,0,141380881
171,2,143700279
172,2,143732523
173,1,143888815
174,2,144043505
175,1,144687897
176,0,144968433
177,1,145096564
178,0,146502158
179,1,148003608
180,1,148156532
181,1,148444745
182,2,148446593
183,0,148997594
184,0,149325656
185,1,149580304
186,2,150971842
187,0,151228219
188,2,151268741
189,1,154034201
190,1,154484484
191,1,154633982
192,1,154798547
193,2,156724053
194,1,157505610
195,0,157531944
196,1,158348813
197,1,158800407
198,0,159184722
199,2,162198643
200,1,164372720
201,1,164742048
202,1,165209267
203,1,165701418
204,0,166071108
205,1,166490150
206,2,167266777
207,2,168612202
208,0,168988879
209,0,169078930
210,1,169109107
211,0,169371252
212,2,169814408
213,0,171980714
214,0,172641298
215,2,172755064
216,2,172872679
217,0,173440319
218,2,175302560
219,1,176048833
220,1,176195743
221,2,176836626
222,1,178082999
223,1,178942798
224,2,179194458
225,0,180764157
226,2,180869296
227,0,180894926
228,1,182773604
229,0,182802392
230,2,184211716
231,2,185624363
232,2,186162830
233,0,186300067
234,0,187036334
235,2,187687463
236,1,188384417
237,2,188470800
238,2,188769709
239,0,189557547
240,2,189970887
241,0,192151570
242,0,192512297
243,0,193055662
244,1,193837523
245,1,194195076
246,0,195224978
247,0,195713171
248,2,197903794
249,1,198353765
250,2,198847317
251,1,199143377
252,0,200809844
253,0,200912949
254,1,201165980
255,0,201553843
256,0,202266328
257,1,202454940
258,0,202704078
259,1,202721649
260,0,202970582
261,1,204179004
262,2,204228759
263,0,205009504
264,1,205065812
265,1,205126954
266,0,205224521
267,2,206981998
268,2,208725907
269,2,208865096
270,1,209678036
271,0,211665982
272,0,211687131
273,0,212081967
274,2,213365983
275,0,214289881
276,0,215133728
277,2,216851025
278,1,217254243
279,0,217948372
280,0,218546598
281,2,218846144
282,2,218943177
283,0,218943726
284,1,219095555
285,2,219134003
286,1,219794747
287,1,220806854
288,2,221468221
289,1,221584543
290,0,222876938
291,0,223063413
292,1,223654265
293,1,224691730
294,2,224813757
295,0,225210318
296,2,225344981
297,2,226583279
298,1,227055008
299,2,227715651
300,1,229093644
301,1,230224048
302,0,230462653
303,1,231128637
304,0,231694098
305,2,231723471
306,1,233276011
307,0,234510051
308,0,234516149
309,1,235564575
310,2,235564822
311,0,236279662
312,2,236436039
313,2,237094742
314,2,237205776
315,2,237591965
316,0,238418952
317,0,238440558
318,2,238839884
319,0,239708317
320,1,239983152
321,1,240026208
322,1,240390273
323,0,242754583
324,0,243172566
325,0,243172784
326,1,244571397
327,0,246372681
328,1,246492316
329,0,246808780
330,2,249156767
331,0,251200596
332,0,252308777
333,0,252767514
334,1,253763670
335,0,255441497
336,1,256190139
337,1,257842735
338,2,257912076
339,0,258156606
340,0,258442665
341,0,258740529
342,1,259804028
343,1,260602700
344,2,263100632
345,1,266047854
346,2,266362203
347,1,267567758
348,1,267745298
349,1,268470838
350,2,272555928
351,2,273339916
352,1,273928989
353,2,274199649
354,0,274291429
355,1,275423369
356,0,277702509
357,0,278082097
358,0,279091465
359,2,279168032
360,1,280475642
361,1,281706233
362,1,282918951
363,2,283354832
364,1,284688052
365,1,285494453
366,2,286931048
367,0,288696577
368,1,291925489
369,1,292683941
370,0,292982442
371,1,293996623
372,2,294234810
373,2,294543214
374,0,294550039
375,2,296981854
376,0,298067748
377,2,299547465
378,1,299671194
379,0,300158741
380,0,301246511
381,0,301424365
382,1,302514183
383,0,303326697
384,2,303795241
385,1,304231263
386,2,304948940
387,1,306091383
388,1,306173192
389,2,306490039
390,0,306534431
391,1,307878241
392,2,308367192
393,1,309126125
394,1,309126285
395,0,309395734
396,0,310113812
397,0,311475139
398,0,311797611
399,1,311919963
400,1,311998739
401,0,312121006
402,1,313546815
403,0,314525236
404,2,315083259
405,1,316723759
406,0,317524183
407,0,318756612
408,1,318879036
409,1,319261818
410,2,319564232
411,0,320046047
412,2,320846955
413,1,322208440
414,2,322824679
415,1,323214567
416,1,324537280
417,1,325148911
418,1,325499223
419,0,326005678
420,1,327218295
421,0,329186676
422,2,329263716
423,1,329782439
424,2,331109704
425,0,331140496
426,0,332119973
427,0,332202703
428,2,332395107
429,0,334054453
430,0,334758181
431,2,336152063
432,0,337472118
433,2,337825422
434,1,339097652
435,1,339765420
436,2,340168535
437,0,340355911
438,0,342038717
439,1,342718058
440,0,343409095
441,0,343522834
442,2,344180540
443,1,345118890
444,2,345481500
445,0,346871156
446,1,346960362
447,1,348934480
448,1,349381381
449,1,349683770
450,1,350554765
451,1,350624557
452,1,350830660
453,1,351295849
454,0,353342519
455,1,353342875
456,0,353981484
457,1,354393363
458,0,354929068
459,2,355047162
460,0,355282514
461,1,356133876
462,1,356443680
463,2,356461680
464,1,356991595
465,2,361213355
466,0,361693055
467,2,362812672
468,1,363070841
469,1,363262215
470,0,364272482
471,0,364666982
472,0,365523231
473,2,365958070
474,1,366349874
475,0,367672930
476,0,367886933
477,2,367954397
478,1,369362056
479,0,370240751
480,2,370857211
481,0,372153375
482,0,374141322
483,1,378032229
484,1,378550361
485,2,379375066
486,2,380920601
487,0,381868505
488,1,383713285
489,2,383728482
490,0,383742142
491,0,383746689
492,2,386305536
493,2,386663604
494,2,386758282
495,1,386909033
496,0,387453894
497,0,387471551
498,0,387513167
499,1,387710943
500,0,388038178
501,0,388282746
502,2,388789988
503,2,389166772
504,2,389567897
505,2,389943463
506,0,390038992
507,1,390046410
508,0,390944267
509,2,391230280
510,0,391830695
511,1,391940408
512,0,392171823
513,0,393039095
514,0,394607561
515,1,395079796
516,2,395941360
517,1,396016325
518,0,396152862
519,1,396182406
520,2,399468982
521,1,400030237
522,0,400065423
523,1,400952956
524,2,401775889
525,1,401938165
526,0,402814730
527,1,404039360
528,2,404431115
529,0,404914477
530,2,405371734
531,0,407236866
532,2,410564507
533,0,410865860
534,0,412111054
535,1,413022241
536,2,413130516
537,1,414267188
538,1,414814730
539,0,415150713
540,0,415422058
541,2,416808467
542,1,417202971
543,0,417604091
544,1,418557510
545,2,418619801
546,0,419797117
547,1,422046482
548,1,422355830
549,0,422560551
550,2,423202495
551,2,423631269
552,0,428961113
553,1,429187551
554,1,431067668
555,0,431729304
556,1,432021463
557,1,432188284
558,0,432218265
559,1,433866841
560,0,435837706
561,1,436973948
562,1,437516894
563,1,438098866
564,1,438456360
565,1,439940077
566,0,441322750
567,2,441862436
568,1,441936790
569,0,443280017
570,0,443329959
571,0,446750448
572,0,446930809
573,1,447317703
574,1,448117439
575,0,448954953
576,1,449635062
577,1,449731653
578,0,450127459
579,1,450383885
580,1,450708817
581,1,451322607
582,1,451358978
583,1,451461649
584,1,453668279
585,1,456034978
586,1,460333938
587,0,461229021
588,0,461981307
589,1,462337214
590,1,463871329
591,0,464076505
592,2,469307266
593,1,469379841
594,1,469686632
595,1,469809016
596,1,469810011
597,1,469812148
598,1,470240050
599,0,470445197
600,0,471304130
601,1,472848249
602,0,475635931
603,1,476096625
604,1,476156190
605,2,476384828
606,0,479696111
607,0,482913730
608,1,484174294
609,0,484587553
610,1,485626805
611,1,488304615
612,1,488429626
613,0,488762469
614,0,489356387
615,0,490392176
616,1,490479674
617,1,490580282
618,1,492927490
619,1,494551883
620,0,495192662
621,0,495949401
622,1,496439175
623,1,496440030
624,0,501698904
625,0,503048691
626,0,503477647
627,0,505221476
628,0,506021564
629,0,506023421
630,0,506033476
631,0,506496042
632,1,507262999
633,1,507269024
634,0,508640906
635,1,510127687
636,0,511174172
637,1,512114875
638,1,512245835
639,0,512761152
640,2,513698332
641,1,514838985
642,2,518841076
643,1,520251729
644,2,521415312
645,2,522160791
646,1,524924059
647,1,525370769
648,1,525979591
649,1,526369913
650,1,527360270
651,1,527718641
652,1,527794912
653,1,527849652
654,1,527863542
655,1,527959710
656,1,527989773
657,1,527993087
658,1,528060975
659,1,528241609
660,1,528328757
661,1,528332623
662,1,528333634
663,1,528338746
664,1,528342853
665,1,528346081
666,1,528351360
667,1,528352255
668,1,528479223
669,1,528595250
670,1,528797155
671,1,528887240
672,1,528948829
673,0,529255474
674,2,529365572
675,1,529860259
676,0,530705183
677,1,531139314
678,0,532260156
679,1,532688313
680,1,532930101
681,1,533721981
682,0,533925997
683,0,534490656
684,0,535259293
685,0,537739157
686,1,538264882
687,1,539294022
688,0,540946119
689,1,542651468
690,0,544747003
691,0,546038680
692,1,547220939
693,0,548015661
694,0,548300134
695,1,548410619
696,1,550716699
697,1,551205549
698,2,551423410
699,0,552276886
700,0,553890459
701,0,554366816
702,1,556304816
703,0,557773372
704,0,557880125
705,1,558001758
706,0,559727745
707,0,559792909
708,1,560131955
709,1,560144872
710,1,560748915
711,1,561988422
712,0,563480090
713,0,563483037
714,0,563991867
715,1,566629065
716,0,567536852
717,1,567565953
718,1,568421441
719,0,568593786
720,0,570125640
721,0,570184533
722,1,570257263
723,0,570260753
724,0,570445703
725,1,570495395
726,0,570672998
727,2,570683975
728,1,570964638
729,1,571099709
730,0,571223024
731,0,571233486
732,0,571720787
733,0,571964858
734,0,572174514
735,1,572530664
736,0,572556480
737,1,572657056
738,1,572765043
739,0,573024048
740,1,573071012
741,1,573079351
742,0,573216246
743,0,573258596
744,0,573356730
745,0,573396801
746,0,573506296
747,0,573572168
748,1,573580296
749,0,573658206
750,0,573820721
751,0,574048979
752,1,574396962
753,2,574400815
754,1,574579909
755,0,574582831
756,0,574614679
757,1,574656395
758,1,575335315
759,0,575371039
760,0,575531215
761,1,575679530
762,1,576075791
763,0,576131731
764,0,576135446
765,1,576513237
766,1,578467464
767,2,579030077
768,0,579537242
769,0,580373986
770,0,580443918
771,0,580748563
772,1,581780834
773,1,582107642
774,1,585071306
775,0,586535591
776,1,586742753
777,1,588797379
778,0,589542137
779,1,590661339
780,0,591363616
781,0,591436549
782,0,594238469
783,1,594976586
784,1,595598104
785,0,597291294
786,1,597453488
787,0,597623569
788,1,598273573
789,1,599099586
790,0,599870861
791,2,600216385
792,1,600704078
793,1,603325355
794,0,604454208
795,2,605515075
796,0,605742837
797,1,607629718
798,1,607664613
799,2,608213599
800,1,609378585
801,0,609443621
802,1,609801873
803,1,610018890
804,2,610036897
805,0,610046984
806,1,610082893
807,0,611211121
808,1,611262086
809,1,611806400
810,0,612099297
811,1,612347372
812,1,613482905
813,1,613485306
814,1,614264326
815,0,614335447
816,1,614347141
817,0,614629594
818,0,615036490
819,0,616476179
820,0,616912612
821,1,618216056
822,1,619562757
823,1,619897899
824,1,620178972
825,0,621991063
826,0,622654749
827,0,623970244
828,0,624052840
829,1,624973029
830,1,624973186
831,1,625826162
832,0,626332163
833,0,626396302
834,1,626551384
835,1,626581292
836,0,627039779
837,1,627371410
838,1,628754914
839,0,628907220
840,0,629018563
841,1,629547256
842,2,629664643
843,0,631469811
844,0,633192440
845,1,634013626
846,0,634387615
847,1,635286744
848,1,637235526
849,1,637381478
850,0,637463470
851,0,638893338
852,0,638906015
853,1,638926426
854,1,639028054
855,0,639533662
856,1,641004049
857,0,641534800
858,0,641545952
859,0,642361456
860,2,645028725
861,0,650950226
862,1,653345760
863,0,653692094
864,1,653724317
865,1,653779891
866,1,653832592
867,1,653833632
868,0,653834882
869,1,653852467
870,1,653876176
871,0,654024373
872,0,654026422
873,1,654164086
874,1,654165305
875,1,654166971
876,1,654167887
877,1,654241906
878,1,654242992
879,1,654255934
880,1,654258924
881,1,654272778
882,0,654276046
883,0,654276777
884,1,654299499
885,1,654316492
886,1,654327933
887,1,654345969
888,1,654350167
889,1,654377286
890,1,654400295
891,0,654407661
892,1,654423737
893,1,654427284
894,1,654443352
895,1,654452213
896,1,654461243
897,1,654486749
898,1,654488460
899,1,654490163
900,1,654494127
901,1,654514849
902,1,654568561
903,1,654570111
904,1,654588789
905,1,654591311
906,1,654604245
907,1,654614947
908,1,654644351
909,1,654688995
910,0,654701749
911,1,654736626
912,1,654788342
913,1,654815188
914,1,654815735
915,1,654907756
916,0,654957627
917,1,654979819
918,1,655004083
919,1,655007574
920,1,655008932
921,1,655078171
922,1,655079434
923,1,655081826
924,0,655218729
925,1,655293670
926,1,655335788
927,1,655347455
928,1,655350001
929,1,655459563
930,1,655462394
931,0,655523999
932,1,655530438
933,1,655566663
934,1,655582246
935,0,655583118
936,1,655584174
937,1,655584535
938,1,655616515
939,1,655812233
940,1,655831010
941,1,655842980
942,1,655844125
943,1,655853493
944,1,656107954
945,1,656133922
946,1,656179329
947,0,656244251
948,0,656245127
949,1,656264921
950,1,656268142
951,1,656271701
952,1,656275100
953,0,656275846
954,1,656276938
955,1,656281532
956,1,656295456
957,1,656298937
958,1,656302513
959,1,656318221
960,1,656341240
961,1,656345873
962,1,656364677
963,1,656373014
964,0,656392147
965,1,656402507
966,0,656419920
967,1,656443549
968,1,656446046
969,1,656498050
970,1,656609741
971,1,656661618
972,1,656669179
973,0,656676648
974,1,656678951
975,0,656680945
976,1,656681938
977,1,656683348
978,1,656693639
979,1,656790661
980,1,656834709
981,2,656847075
982,1,656928853
983,1,656929710
984,0,656981009
985,0,657112846
986,1,657134548
987,0,657138267
988,1,657270709
989,1,657295882
990,1,657299599
991,1,657317239
992,0,657337553
993,1,657405775
994,0,657603448
995,1,657679824
996,0,657696230
997,1,657711010
998,1,657719472
999,1,657720330
1000,1,657770432
1001,1,657815278
1002,1,657834223
1003,0,657838929
1004,1,657899574
1005,1,657914500
1006,1,657918274
1007,1,657921303
1008,1,657940447
1009,1,657942462
1010,1,657942802
1011,1,657973101
1012,1,658014501
1013,1,658065827
1014,1,658077820
1015,1,658092814
1016,1,658093735
1017,0,658112107
1018,1,658116095
1019,1,658119365
1020,1,658123246
1021,1,658130624
1022,0,658180351
1023,0,658313821
1024,1,658325968
1025,1,658332057
1026,1,658332994
1027,1,658335064
1028,1,658339066
1029,1,658380902
1030,1,658384054
1031,0,658397936
1032,0,658459461
1033,1,658586071
1034,1,658611963
1035,1,658646614
1036,1,658649778
1037,1,658650336
1038,1,658655993
1039,1,658659379
1040,1,658666282
1041,1,658667491
1042,1,658684519
1043,0,658723241
1044,0,658808218
1045,0,658813626
1046,0,658815427
1047,0,658819901
1048,0,658857288
1049,0,658858732
1050,1,658864948
1051,1,658866930
1052,1,658867593
1053,1,658880302
1054,1,658882552
1055,1,658898445
1056,1,658900758
1057,0,658903526
1058,1,658911147
1059,1,658938204
1060,1,658977215
1061,1,658978232
1062,1,658980397
1063,1,658982774
1064,0,659015337
1065,0,659026427
1066,1,659081446
1067,1,659087939
1068,1,659092114
1069,1,659126122
1070,1,659129647
1071,0,659153406
1072,0,659154118
1073,0,659156786
1074,0,659178210
1075,1,659212240
1076,1,659227784
1077,1,659229105
1078,1,659231333
1079,1,659234760
1080,1,659238744
1081,1,659240196
1082,1,659243042
1083,1,659246873
1084,1,659248999
1085,1,659249566
1086,1,659252641
1087,1,659278643
1088,1,659280615
1089,1,659283454
1090,1,659298172
1091,1,659299669
1092,0,659305104
1093,1,659313060
1094,0,659336461
1095,1,659338993
1096,1,659344094
1097,1,659350958
1098,1,659352392
1099,1,659353636
1100,0,659363213
1101,0,659364036
1102,1,659365359
1103,1,659367042
1104,1,659367079
1105,1,659367124
1106,1,659369708
1107,1,659370174
1108,1,659370836
1109,0,659371255
1110,1,659373161
1111,1,659373353
1112,1,659373698
1113,1,659429861
1114,1,659435850
1115,1,659439076
1116,1,659443108
1117,0,659444199
1118,1,659445922
1119,1,659447025
1120,1,659463688
1121,1,659521320
1122,1,659564192
1123,1,659568392
1124,1,659586361
1125,1,659586764
1126,1,659587029
1127,1,659587856
1128,1,659610208
1129,1,659633218
1130,1,659636814
1131,1,659642305
1132,1,659659590
1133,1,659676467
1134,1,659680583
1135,1,659701870
1136,1,659707623
1137,1,659772719
1138,1,659774861
