,cat,id
0,1,1282528
1,1,1283142
2,0,1573229
3,1,2168016
4,1,2256856
5,0,2713209
6,0,3437412
7,1,3638003
8,0,3642500
9,1,4250653
10,1,5418121
11,1,5756254
12,0,6054163
13,0,6402200
14,0,10442721
15,1,10733252
16,1,11017737
17,0,11684381
18,1,13135644
19,1,13460888
20,1,13696491
21,1,13967702
22,0,15842484
23,0,15858805
24,1,16890672
25,0,16958842
26,1,16998277
27,0,17095077
28,1,17105012
29,1,18654790
30,1,18758013
31,0,18967646
32,0,19093962
33,0,19498319
34,0,19950617
35,0,20119313
36,0,20119468
37,0,20329166
38,0,21150250
39,1,23377192
40,0,23784795
41,0,23803756
42,0,25402711
43,0,25620242
44,1,26487254
45,1,27123490
46,1,28531825
47,0,28754496
48,1,29881060
49,1,30289734
50,1,30290136
51,0,30630381
52,0,31926677
53,0,32333389
54,0,32536003
55,0,32536075
56,0,33959584
57,1,35235373
58,0,35611314
59,1,35900989
60,0,36396217
61,1,37545891
62,1,37809839
63,1,39086974
64,1,39425032
65,1,39440056
66,0,39675090
67,0,39949099
68,0,40346457
69,1,42591049
70,0,46165239
71,1,46313632
72,1,46436361
73,0,47015578
74,0,47067782
75,1,47341644
76,0,48327130
77,0,48392750
78,0,48816634
79,0,50246943
80,0,50596279
81,0,51225210
82,0,51805541
83,0,52921025
84,1,54006386
85,0,55818690
86,1,56785722
87,1,57183541
88,1,57184199
89,0,57458375
90,1,58053679
91,0,58106664
92,0,60677996
93,1,62826323
94,1,63012590
95,0,63087056
96,1,63457193
97,1,64930263
98,1,64931231
99,1,65454452
100,0,66088930
101,0,66136756
102,1,66924316
103,1,67494497
104,0,68500152
105,1,68975910
106,0,69048315
107,1,69381824
108,0,69484778
109,1,70348121
110,1,70637559
111,0,70949675
112,1,71611637
113,0,72152737
114,1,72441415
115,0,73172591
116,0,73174192
117,1,74396676
118,1,74537338
119,0,74886648
120,1,75262773
121,1,75280818
122,1,75818246
123,0,76269703
124,0,76356157
125,0,76413850
126,1,76574446
127,0,77663397
128,1,79557880
129,0,80765833
130,0,80784456
131,1,82617126
132,0,83568343
133,0,85024566
134,0,85595552
135,1,86163640
136,0,87031265
137,1,87883274
138,0,90908475
139,0,91143226
140,1,92263883
141,0,93060862
142,0,93062208
143,0,93062293
144,0,93066235
145,1,93078127
146,0,93080744
147,1,93081332
148,0,93083691
149,0,93084579
150,1,93627113
151,1,94297659
152,0,94307776
153,0,94311354
154,0,94311427
155,0,94334354
156,1,95380288
157,0,95525337
158,1,95755219
159,0,96016732
160,0,97338134
161,0,97441847
162,1,98205001
163,0,99846160
164,0,100399564
165,0,100455289
166,0,100814489
167,1,101023531
168,0,101025181
169,0,101198977
170,1,101290318
171,1,101367358
172,1,101421514
173,0,101705475
174,1,102544895
175,0,102908032
176,0,103400898
177,1,104238906
178,1,104238960
179,1,104690673
180,0,104910051
181,1,104916612
182,1,104958170
183,0,105387180
184,0,105557300
185,0,107375202
186,0,107818793
187,1,108067699
188,0,108413538
189,1,108447324
190,1,109363343
191,0,109537887
192,1,110092559
193,0,111358583
194,0,111403448
195,0,111404051
196,0,111404097
197,0,111416003
198,0,112189124
199,1,112669114
200,0,112762434
201,1,115879660
202,1,117219453
203,0,117415358
204,0,119390250
205,1,119447164
206,1,119612968
207,1,120437401
208,1,120701986
209,0,121008781
210,1,121535334
211,0,122283020
212,1,122300099
213,1,122313280
214,0,123342563
215,1,123616811
216,0,125656626
217,1,126120585
218,0,126340093
219,1,126932699
220,1,127340231
221,0,127743891
222,0,127798046
223,0,128029104
224,1,128106738
225,0,128594495
226,0,128762484
227,1,128782085
228,0,129965888
229,0,130597670
230,0,131976306
231,0,132480941
232,1,132639297
233,0,132928265
234,0,133105252
235,0,133215919
236,1,133802274
237,1,135379906
238,0,136308431
239,0,136764581
240,0,136863018
241,1,136919205
242,0,137269333
243,1,140366007
244,1,140821284
245,0,141571828
246,0,142682907
247,0,142899106
248,1,143750538
249,1,144278584
250,1,144639043
251,1,145072010
252,1,145091835
253,1,146848098
254,0,147372529
255,0,147960487
256,0,147966695
257,0,151154128
258,1,151418548
259,0,151564653
260,0,152083008
261,0,155138487
262,1,155697211
263,0,156890324
264,1,157531193
265,0,157562797
266,0,159233321
267,0,159233979
268,1,159371642
269,0,159977290
270,0,160108298
271,1,160668167
272,1,161001349
273,1,161432201
274,1,162325573
275,0,162484788
276,0,165286057
277,0,166571938
278,1,167292202
279,0,167744187
280,1,167753531
281,1,168432776
282,0,170403172
283,0,170807247
284,1,170826000
285,0,171323363
286,1,171374605
287,0,171890723
288,1,172414502
289,0,173150403
290,1,173710855
291,1,173869912
292,0,175295754
293,1,176728101
294,1,179108032
295,1,180325512
296,1,181283601
297,0,181860602
298,0,182044832
299,0,182319298
300,1,186672864
301,0,188317078
302,1,188579034
303,0,188618064
304,0,189389557
305,1,192125939
306,1,193555089
307,1,193790897
308,0,194529799
309,0,195467853
310,0,196333078
311,0,196872783
312,1,197530019
313,0,197831423
314,0,197850811
315,0,198730439
316,1,198913700
317,0,199341799
318,0,199651615
319,1,199871211
320,1,201325758
321,0,202280432
322,0,202468977
323,0,203960943
324,1,204499284
325,1,204934934
326,1,204937108
327,1,207474602
328,0,207484179
