,cat,id
0,2,212735
1,2,985442
2,1,1020354
3,1,1020441
4,1,1348376
5,2,1564172
6,0,1942406
7,1,2098611
8,1,2098692
9,1,2382792
10,1,2382914
11,1,2640623
12,1,2640809
13,1,2652451
14,1,2918763
15,2,4090501
16,2,4170789
17,2,4302654
18,1,4580954
19,1,4643091
20,2,4787811
21,2,4824159
22,2,5322086
23,1,5937614
24,1,6052146
25,0,7436787
26,2,7474003
27,0,7858182
28,2,8602436
29,2,9946067
30,0,10128274
31,0,10128497
32,1,10196557
33,0,10254784
34,1,10691082
35,2,11501726
36,0,11858563
37,2,12235216
38,2,12322199
39,0,12350114
40,1,13184764
41,1,14301251
42,1,14539074
43,0,14571240
44,1,15019364
45,1,15337024
46,0,15490209
47,0,15866032
48,1,20277424
49,2,20296668
50,1,21630051
51,1,21715823
52,0,22456394
53,2,22619088
54,1,23167288
55,2,25345056
56,0,25689829
57,2,26067409
58,0,26135527
59,2,26323718
60,2,27162094
61,2,27737906
62,2,27738216
63,0,28786765
64,1,30664511
65,2,31205305
66,0,31437557
67,2,31659073
68,1,31738339
69,1,31738347
70,1,31738363
71,0,32141239
72,2,32599868
73,2,34684056
74,2,36956738
75,1,38147370
76,1,38217367
77,2,38846486
78,2,39635744
79,2,39636008
80,2,39636263
81,2,39636520
82,0,39947951
83,1,40171529
84,0,41071318
85,0,41495450
86,2,41664187
87,0,42910497
88,2,43960381
89,0,45474685
90,0,45849333
91,1,46407116
92,2,47594508
93,0,47906120
94,2,48692764
95,1,49101886
96,2,50010347
97,1,50224044
98,1,50934697
99,2,52461231
100,2,55380831
101,0,55613380
102,2,56281790
103,1,57121252
104,2,58198081
105,2,58198138
106,1,58357061
107,0,58479326
108,2,58510192
109,2,59919608
110,0,60505510
111,2,62792757
112,0,63367910
113,0,63368066
114,0,64042519
115,2,64054336
116,2,64290118
117,2,64321039
118,2,64501781
119,2,65024315
120,0,65700546
121,2,66416084
122,2,66456132
123,2,66845983
124,2,69404057
125,2,69971754
126,0,70700358
127,0,70813161
128,0,71089420
129,0,71089541
130,2,71109871
131,2,71137133
132,0,74828294
133,2,75001618
134,2,75001671
135,2,75711845
136,1,76359290
137,1,76514500
138,1,77076911
139,2,77322592
140,1,78155112
141,0,78217109
142,0,78217493
143,0,78217767
144,0,78218091
145,0,78218610
146,0,78219278
147,0,78219603
148,0,78222605
149,0,78222943
150,0,78223984
151,0,78224699
152,0,78225085
153,0,78225245
154,0,78225512
