,cat,id
0,1,581884
1,0,716123
2,1,1735859
3,0,2367638
4,0,2625177
5,0,2849583
6,0,3109890
7,2,3775362
8,2,4893015
9,1,5153476
10,0,6267606
11,1,6641118
12,0,7657993
13,2,9300767
14,0,9622520
15,1,9892933
16,0,10396911
17,0,10850017
18,0,11161960
19,0,13047876
20,0,13443697
21,0,13805054
22,0,14433659
23,0,14538173
24,1,15189498
25,0,15728828
26,2,16017144
27,0,16033278
28,2,16631333
29,0,17868571
30,0,18394568
31,2,18403188
32,0,18515639
33,0,18634372
34,0,18738544
35,2,19948568
36,2,20086866
37,2,20135172
38,0,20537967
39,1,21702919
40,1,23370800
41,2,23539045
42,2,23663823
43,0,23715838
44,1,24390630
45,1,26030465
46,0,27133902
47,1,27927402
48,1,28004075
49,1,29663178
50,0,30098830
51,0,30385448
52,0,31929227
53,1,32558540
54,0,33325647
55,0,33528961
56,0,33957838
57,0,34472477
58,0,34805791
59,0,34842916
60,0,35576830
61,0,36351585
62,0,36730856
63,2,36780746
64,0,37406623
65,1,37523435
66,0,38498233
67,0,39751974
68,2,39949968
69,1,40409080
70,0,40999782
71,0,41028932
72,0,41411217
73,0,42590872
74,1,43684571
75,2,44482451
76,0,44952396
77,2,45458617
78,0,45529613
79,0,46679625
80,0,47208635
81,2,48268183
82,0,48409621
83,2,48912487
84,0,49177110
85,2,50398391
86,0,51766050
87,0,51980342
88,1,53457579
89,2,54695114
90,2,55174282
91,0,55319022
92,0,55321413
93,0,55787760
94,2,57332875
95,2,57488944
96,0,58119412
97,0,58776111
98,0,59100024
99,2,59907448
100,2,60074875
101,1,60335608
102,0,60621128
103,1,62042228
104,0,62045685
105,1,63322657
106,2,65056314
107,0,65204814
108,0,66068680
109,2,67472603
110,0,67984178
111,1,68054160
112,1,68142684
113,0,68214255
114,2,68607557
115,0,69320915
116,0,69630417
117,0,70274527
118,0,70422213
119,0,70664797
120,2,70708901
121,0,71005663
122,0,71888168
123,0,72314231
124,1,72419169
125,2,72575185
126,0,73378327
127,0,73413376
128,0,73940710
129,1,73946417
130,1,76269510
131,0,76506427
132,0,76793370
133,1,77467060
134,0,78191403
135,0,78588344
136,1,79123886
137,0,79142412
138,1,79821263
139,0,79894156
140,0,80092895
141,0,80119855
142,1,80328180
143,0,81516320
144,0,83305476
145,1,83645583
146,1,84188950
147,2,86369975
148,0,86594794
149,1,86734941
150,2,87300560
151,0,89257167
152,2,89467762
153,0,89824387
154,2,90201203
155,2,90678467
156,0,90913681
157,0,90961141
158,0,92721777
159,2,92741673
160,0,93393168
161,0,94504901
162,0,95047919
163,0,95157282
164,0,95613995
165,0,97066340
166,1,97424979
167,2,97454282
168,0,97739721
169,0,98820411
170,0,99736248
171,1,100407846
172,0,101205865
173,0,101352254
174,0,103040596
175,0,103075097
176,0,103126564
177,0,103892791
178,1,104196765
179,0,105639811
180,0,105799948
181,0,106213790
182,2,106618109
183,2,107446559
184,0,107781636
185,0,108651328
186,2,110355551
187,0,111420493
188,2,111505190
189,0,112816758
190,1,112931439
191,0,113468133
192,0,113889884
193,0,115491698
194,0,116018518
195,0,116364508
196,0,116406124
197,0,116690076
198,0,117074689
199,2,117487609
200,0,117677775
201,0,117944530
202,0,118150885
203,1,119549443
204,2,120303215
205,2,121170446
206,1,121545315
207,2,121916395
208,2,123258081
209,0,124070959
210,2,124174775
211,2,124259777
212,2,124261692
213,0,125399486
214,0,125678732
215,0,125896084
216,0,126174939
217,0,126684284
218,0,128012611
219,0,128093278
220,0,128368425
221,0,129195188
222,0,129868645
223,0,130845282
224,1,131147740
225,2,131294226
226,0,131623243
227,2,131955683
228,0,132368131
229,0,133125284
230,0,133755406
231,1,134152602
232,0,134284593
233,0,135660630
234,0,136148286
235,0,136983639
236,0,137706156
237,1,138348079
238,0,138870229
239,2,139890312
240,1,140518922
241,0,140521164
242,0,141228568
243,0,142920021
244,1,143217737
245,0,143300158
246,0,143365846
247,1,143368016
248,2,144453946
249,1,144876395
250,0,145052530
251,1,145954632
252,0,146218689
253,0,147160218
254,0,149673521
255,0,149781022
256,0,149830515
257,0,150073027
258,0,150736168
259,0,151025896
260,0,151039627
261,1,151853520
262,0,152221739
263,0,153050483
264,0,153644148
265,2,155444633
266,2,155838485
267,2,155866172
268,1,157180689
269,0,158008542
270,0,158320340
271,0,158366827
272,0,159408514
273,0,159575258
274,1,160522688
275,0,160680335
276,0,161545428
277,1,161604303
278,0,161846802
279,0,161898275
280,0,162420034
281,1,162871661
282,0,163069688
283,0,163205170
284,0,163514112
285,1,163996736
286,0,164873324
287,0,165794126
288,0,166385462
289,0,167443176
290,0,167698776
291,0,169623128
292,0,170451870
293,2,170724703
294,0,171569863
295,0,172688371
296,2,173667129
297,0,173818843
298,1,175195333
299,0,175371884
300,1,176305276
301,0,176543478
302,1,177292271
303,0,180344258
304,2,180779953
305,2,181617010
306,0,181835377
307,0,181965379
308,0,182520531
309,0,182531469
310,0,184336783
