,cat,id
0,0,1282672
1,0,1857035
2,0,2845091
3,0,2996134
4,1,4605133
5,0,4976817
6,0,5565727
7,1,5566527
8,0,7046698
9,1,7706309
10,0,7900353
11,1,8980482
12,0,9185947
13,1,9466197
14,0,9671403
15,0,9697235
16,0,10733807
17,1,12125686
18,0,12381473
19,0,13168785
20,0,13556325
21,1,14544322
22,0,14675869
23,0,14714046
24,0,14742201
25,1,15543610
26,0,16256239
27,0,16332625
28,1,16757952
29,0,18232594
30,1,18612363
31,0,20722833
32,1,20841249
33,1,25025241
34,1,26819946
35,1,26990888
36,0,27062125
37,1,27749911
38,0,28728191
39,0,30069298
40,1,30332017
41,1,32039279
42,0,32088290
43,0,32268548
44,1,33015631
45,0,33794468
46,0,35270802
47,0,35519503
48,1,35722173
49,1,35801902
50,0,36031449
51,0,36795646
52,1,37676288
53,1,37749651
54,1,38444286
55,1,38444289
56,0,38710574
57,1,38979892
58,0,39434452
59,0,39939183
60,0,40848674
61,1,41915026
62,0,42413663
63,1,43301810
64,0,44517351
65,1,44666241
66,0,45331122
67,1,45741723
68,1,46179664
69,0,46222239
70,1,46771316
71,1,46894985
72,0,47171624
73,0,49256738
74,0,50445969
75,0,50827406
76,0,51395971
77,0,51711060
78,1,53048319
79,1,54141344
80,0,56463745
81,0,56468681
82,0,56486908
83,0,56911958
84,0,57584465
85,1,57784866
86,0,57984884
87,1,58024907
88,1,60148429
89,1,60895444
90,0,60930678
91,0,60932147
92,1,61584421
93,1,61612192
94,0,62009764
95,0,62265726
96,1,62782930
97,0,62842068
98,0,62972697
99,0,64297207
100,0,65680714
101,0,65923699
102,0,66386439
103,0,66664553
104,0,66917055
105,0,67327167
106,0,68334160
107,0,68600835
108,1,68970838
109,1,68972628
110,0,70132467
111,0,70347621
112,0,70581822
113,1,71623868
114,0,71817086
115,0,73137514
116,1,73143392
117,1,73167444
118,1,75646906
119,0,76330565
120,0,77140162
121,1,79458560
122,0,79511312
123,0,80204013
124,1,82042688
125,0,82324103
126,0,82464399
127,1,82994784
128,0,83684140
129,1,83789247
130,0,84403299
131,0,84992524
132,0,85844709
133,0,86171663
134,1,86222499
135,0,86817442
136,1,88221735
137,0,88601488
138,0,89503426
139,1,89766656
140,0,89994913
141,0,89994938
142,1,90032159
143,1,90648610
144,0,92042669
145,1,92359302
146,0,92493803
147,1,92632459
148,0,93686465
149,1,94010992
150,1,94934826
151,1,95317683
152,1,95399490
153,0,95962051
154,1,96277661
155,1,97198062
156,1,99317530
157,1,99540440
158,0,99974310
159,0,100152914
160,1,103350030
161,0,104694069
162,1,104694337
163,1,105130036
164,0,105226861
165,1,106290488
166,0,106309271
167,1,106490681
168,0,106786529
169,0,107078526
170,1,108007192
171,0,109539290
172,1,110196859
173,0,110504547
174,0,110773610
175,0,111202067
176,1,111913101
177,0,113059426
178,1,114565535
179,0,115269260
180,0,115883454
181,1,116553308
182,1,118119162
183,0,119249104
184,0,119323164
185,0,119424929
186,1,120273074
187,1,120861578
188,0,121594038
189,0,121725040
190,0,122527061
191,0,122832016
192,1,122838880
193,1,124451570
194,0,124789341
195,0,125378155
196,1,125708393
197,0,126660673
198,1,127262265
199,0,128877119
200,0,129129833
201,0,129507891
202,1,130343097
203,1,130461733
204,0,131938439
205,1,132139994
206,1,132898505
207,0,134024910
208,0,135016993
209,0,135774937
210,1,136068001
211,0,139198372
212,0,139220676
213,1,139640960
214,0,140032192
215,1,140380633
216,0,140570017
217,0,140980284
218,0,142818869
219,1,143966053
220,1,145896306
221,1,146237349
222,0,147123856
223,1,147710090
224,0,148208686
225,0,148924191
226,1,149836314
227,0,151478235
228,0,153549443
229,0,153802868
230,0,154074999
231,1,155253942
232,1,157339786
233,0,157811849
234,0,158504572
235,0,159509432
236,0,162016107
237,1,162036242
238,0,162625039
239,0,163822763
240,0,163980410
241,0,164425182
242,1,164613468
243,0,166960380
244,0,167048348
245,0,167142254
246,1,168745001
247,1,168973738
248,0,169030588
249,0,169518266
250,0,169519569
251,0,169906746
252,0,171842205
253,1,172017419
254,0,172817088
255,0,175269449
256,1,175772465
257,1,176040652
258,1,176133781
259,0,176603491
260,0,176998656
261,0,177037822
262,0,178053921
263,1,178265687
264,0,179097679
265,0,179206183
266,1,179497960
267,0,180677826
268,0,183920741
269,1,184817549
270,0,185747497
271,0,186871325
272,0,186970781
273,0,186972903
274,1,188524904
275,0,189361556
276,0,190091813
277,1,190402163
278,0,190459605
279,0,191107964
280,0,191112050
281,0,191275001
282,1,191604768
283,0,191886987
284,0,193885114
285,0,195377980
286,1,195428249
287,1,196074566
288,0,197130705
289,1,197417423
290,0,197678893
291,1,197850497
292,1,198102554
293,1,198537156
294,0,199096142
295,1,201096235
296,1,202054875
297,1,202598019
298,1,202932206
299,0,203852046
300,0,206900298
301,0,208167183
302,0,208330590
303,0,209659225
304,1,210833239
305,0,212179001
306,1,212563299
307,0,212934380
308,1,214269712
309,1,215353731
310,1,215435424
311,0,215438100
312,0,216363511
313,0,217441601
314,1,218683564
315,1,219190007
316,1,219227713
317,0,220113918
318,1,220724836
319,0,223875876
320,0,224467489
321,1,224700519
322,0,224950863
323,0,225432881
324,1,225485834
325,0,225589691
326,0,226030425
327,0,226245978
328,1,226361322
329,1,226856272
330,1,227625235
331,1,227918489
332,0,228230392
333,0,229338751
334,1,229717247
335,0,231420679
336,0,231553072
337,0,232180477
338,1,233051000
339,0,235395360
340,0,235688374
341,0,236727076
342,0,236809959
343,1,238060947
344,1,239950782
345,0,240659508
346,0,241063647
347,1,241510138
348,1,241698803
349,1,241954918
350,0,243053093
351,1,244143782
352,0,244678112
353,1,246946203
354,0,247216769
355,0,247449447
356,1,247462499
357,1,250352427
358,1,250796496
359,1,250895697
360,0,252112059
361,1,252139691
362,0,252159963
363,1,252174362
364,0,252563959
365,0,254011134
366,1,256020503
367,0,257554165
368,0,257995935
369,1,258301520
370,0,258415735
371,1,259354333
372,1,260736967
373,0,261588643
374,0,262848674
375,1,263703556
376,1,263970223
377,1,264991266
378,0,265807849
379,1,266525787
380,0,266605979
381,0,266680160
382,1,267033661
383,1,267036592
384,0,268456418
385,0,268865875
386,1,270156516
387,1,270651047
388,0,272672972
389,0,272682971
390,1,272836124
391,1,272844684
392,0,273123702
393,0,273232684
394,0,273255786
395,1,273349303
396,1,274040259
397,0,275540056
398,0,275570663
399,0,275580493
400,0,276762302
401,1,279554498
402,1,279851472
403,1,280937258
404,0,280939762
405,0,281239679
406,0,282062017
407,0,282153619
408,0,282197528
409,0,282552876
410,1,282651935
411,0,283130648
412,1,284367022
413,1,284633803
414,0,285389808
415,0,285718407
416,0,286095635
417,0,286565737
418,0,287637623
419,0,287646227
420,1,288580638
421,0,288583278
422,1,289977624
423,1,291527428
424,0,291658377
425,0,292043710
426,0,292107932
427,1,292463495
428,1,292541068
429,1,293591430
430,1,293801864
431,1,294407726
432,1,296660042
433,0,298377979
434,0,298482862
435,0,298603306
436,1,298762470
437,1,299656326
438,0,299656851
439,0,299902108
440,0,300925583
441,1,301333296
442,0,302380557
443,1,302915067
444,1,303900386
445,0,305001407
446,1,305056323
447,0,305075872
448,0,305378200
449,0,306743493
450,1,307915150
451,1,308209175
452,0,308238399
453,0,308324484
454,1,308560979
455,1,308951853
456,1,309161630
457,0,310701958
458,0,311369005
459,0,311635770
460,0,311758827
461,0,312557336
462,1,313038522
463,0,314490067
464,0,315092953
465,1,315489053
466,0,315542194
467,1,315546123
468,0,316697973
469,1,316798965
470,0,317162751
471,0,317228587
472,0,317229593
473,1,319186276
474,0,319639559
475,0,320849861
476,0,320851858
477,0,321401820
478,1,321407502
479,1,323568724
480,0,323996471
481,1,326231459
482,1,328911075
483,0,329265194
484,0,329485624
485,0,329790289
486,0,330128257
487,1,330416462
488,0,330587230
489,0,330824029
490,0,330825204
491,0,332451361
492,1,334212330
493,0,335322035
494,1,336260006
495,0,336418159
496,0,339993337
497,0,341627169
498,0,342119189
499,0,342490522
500,1,343964027
501,0,346807507
502,0,349817542
503,0,350956627
504,1,351219628
505,0,352018577
506,1,352996599
507,0,353949265
508,1,356598999
509,0,356847979
510,0,357286129
511,0,357433419
512,0,358262574
513,1,358923636
514,1,359130816
515,0,360661349
516,1,360992206
517,1,361028691
518,1,361140915
519,0,361150479
520,0,361603205
521,0,361807746
522,0,361878440
523,0,362834793
524,0,363692333
525,1,363971379
526,1,365243399
527,0,365877200
528,0,365877345
529,0,366149860
530,1,366472600
531,0,366513670
532,0,366967282
533,0,368249259
534,1,368614858
535,1,368742766
536,0,368762879
537,0,369241932
538,0,369323138
539,0,369652475
540,1,370126377
541,0,370760203
542,0,372522820
543,1,372594382
544,1,373439074
545,1,373962060
546,1,373962284
547,0,375055446
548,0,375255890
549,0,375330109
550,1,375498298
551,1,376303690
552,0,376821021
553,0,377389404
554,0,379266497
555,0,379911902
556,0,380747964
557,0,381200736
558,0,381524227
559,0,381722026
560,0,383208193
561,0,385889492
562,1,386583147
563,1,386955058
564,1,388245551
565,0,389000391
566,0,389748786
567,0,390448268
568,1,391229393
569,1,391407310
570,0,391585094
571,0,392398846
572,0,394113001
573,1,394998939
574,0,395362502
575,0,396991840
576,0,397267989
577,0,399566215
578,1,400305461
579,1,401497080
580,0,402037158
581,1,402352432
582,0,402637060
583,0,402689994
584,0,402904613
585,1,403076637
586,0,403289497
587,0,403337624
588,0,403445337
589,0,404405770
590,0,405475741
591,0,405503309
592,0,406126907
593,1,406551205
594,0,407293587
595,1,407445554
596,0,407696091
597,1,407907134
598,1,408027671
599,1,409268773
600,0,409366989
601,1,410832028
602,1,410902358
603,1,411947313
604,1,411957885
605,0,412060418
606,1,413206736
607,0,413466338
608,0,414089130
609,1,414848421
610,1,414975615
611,1,415599045
612,0,416163925
613,0,416163983
614,0,417362949
615,1,419231390
616,0,420039438
617,0,420065276
618,0,420854732
619,1,421175487
620,0,421244319
621,0,422784255
622,1,423048816
623,0,428817098
624,1,434343761
625,1,436625143
626,0,437483055
627,0,443295205
628,1,443521398
629,1,443687319
630,1,447542597
631,1,448225523
632,0,449660525
633,0,451235594
634,0,454678257
635,0,458756765
636,0,458759695
637,1,460132456
638,0,461730288
639,1,462367179
640,0,464427828
641,0,466702475
642,0,467109636
643,0,467979278
644,1,468360924
645,0,468628537
646,0,469226866
647,0,471154566
648,0,471198816
649,0,471502161
650,0,474408009
651,1,475187018
652,0,476425681
653,1,476441080
654,0,478134334
655,1,480271796
656,1,480526222
657,0,481110497
658,1,484862768
659,0,485238606
660,0,485477674
661,1,485768677
662,1,486852655
663,0,487512575
664,0,488601790
665,1,490125245
666,0,490294930
667,0,490956275
668,0,491205918
669,0,494501234
670,0,494965154
671,1,496140061
672,0,496257903
673,0,496258029
674,0,498167474
675,0,500682266
676,1,501465573
677,0,501981277
678,1,502209694
679,0,504068410
680,1,509183803
681,1,513462937
682,0,513605340
683,1,514675885
684,1,515094818
685,0,516956644
686,1,517303848
687,0,518283826
688,1,520271460
689,0,525550472
690,1,526017319
691,0,526020429
692,1,527922697
693,1,528082343
694,1,530492899
695,0,532359678
696,0,532897093
697,1,534086043
698,1,534188234
699,0,534445962
700,0,535991508
701,0,537974441
702,1,539384930
703,0,542960088
704,0,542960326
705,0,542976038
706,0,543147066
707,0,544387667
708,0,546800242
709,1,546938895
710,1,550736322
711,0,551863598
712,1,555948881
713,0,559606171
714,0,559812469
715,0,560121430
716,0,560629630
717,0,561104567
718,0,564168533
719,0,565571147
720,1,565617912
721,0,566626808
722,0,569254134
723,0,569318769
724,0,569673539
725,0,570447301
726,0,570816099
727,0,571341852
728,0,571361827
729,0,571492479
730,0,572678780
731,0,573063418
732,0,573083869
733,0,574156532
734,0,574283455
735,0,576784688
736,0,579426737
737,0,581609654
738,1,581802364
739,1,583595462
740,1,583597874
741,0,584074830
742,0,584633651
743,0,584789266
744,1,585027216
745,0,589704327
746,1,592053992
747,1,592261824
748,1,592261888
749,0,592391619
750,0,593870033
751,0,594204974
752,0,597803584
753,0,599537047
754,0,599683372
755,0,604366350
756,0,606124578
757,0,606748767
758,1,607290047
759,0,609579239
760,1,610962505
761,0,612015327
762,0,619143148
763,1,620743291
764,0,624272032
765,1,625108166
766,0,625470516
767,1,625747309
768,0,628960692
769,1,631521641
770,1,636145300
771,0,637782518
772,0,638963192
773,1,646152192
774,0,647119301
775,0,648929435
776,1,650125324
777,0,652336786
778,1,657812025
779,1,659417002
780,1,659996048
781,1,660141024
782,0,662464668
783,0,663686594
784,0,665278801
785,1,674835965
786,0,675013885
787,0,676480019
788,0,678717029
789,1,681318395
790,1,681403013
791,0,683095920
792,0,684222152
793,1,684240663
794,0,686349847
795,0,689193138
796,1,690810626
797,1,693482683
798,0,695517702
799,0,695769450
800,0,696093379
801,0,699010965
802,1,699799099
803,1,699799121
804,1,700956079
805,1,701512142
806,1,702006837
807,1,702357195
808,0,703266693
809,0,703707099
810,1,703949079
811,1,704180896
812,0,704603414
813,1,704636370
814,0,706480584
815,0,709440458
816,0,709465427
817,0,709865935
818,0,710534954
819,0,710836595
820,1,712033221
821,0,712093901
822,1,714501116
823,0,714840413
824,0,715149789
825,0,715401455
826,1,715836556
827,1,721605689
828,1,723408521
829,1,723750148
830,0,723897879
831,0,725137593
832,0,726293136
833,0,728732672
834,1,729403009
835,1,729451064
836,0,732360761
837,0,733943765
838,1,734076758
839,0,736279742
840,0,738284472
841,1,738329307
842,1,738360026
843,1,738683909
844,0,741494146
845,0,742606029
846,0,742614648
847,0,743679302
848,0,744172243
849,0,746017976
850,0,748447576
851,0,749387870
852,1,752056991
853,0,752157930
854,0,753751208
855,0,754133742
856,0,755056994
857,0,757038043
858,0,759577488
859,1,760522155
860,1,761760541
861,0,762861511
862,0,763975401
863,1,766068691
864,0,770835637
865,1,773835879
866,0,774644776
867,1,782424044
868,1,782954079
869,1,788231077
870,1,792560890
871,0,795051479
872,1,795474477
873,0,799908834
874,1,804320097
875,1,806504982
876,0,808008173
877,0,812077025
878,1,813039188
879,0,814475217
880,0,820852638
881,0,821661808
882,0,822956152
883,1,823288112
884,1,823298259
885,1,825289805
886,0,825486117
887,1,826793435
888,0,827555010
889,1,830688023
890,1,831891051
891,0,832578448
892,0,833861235
893,1,834879365
894,0,834893339
895,0,836248252
896,1,838633069
897,0,839415074
898,1,848317026
899,0,851149812
900,0,851150333
901,1,852959931
902,1,858718995
903,0,863015366
904,0,864793992
905,0,866996739
906,0,867002630
907,1,870453119
908,0,871121593
909,0,872211962
910,1,876099064
911,1,878232344
912,1,879837698
913,0,881299900
914,0,885173691
915,0,888789637
916,0,891929785
917,1,896260222
918,0,896385980
919,0,901495057
920,1,902526458
921,0,902636214
922,1,906428466
923,0,909303028
924,0,909582663
925,1,911879366
926,0,913319505
927,0,918151032
928,0,919458323
929,0,921117388
930,1,923986287
931,0,926836688
932,0,927014839
933,1,928023241
934,0,928180616
935,0,928368068
936,0,928898944
937,0,929092354
938,0,934198278
939,0,934409083
940,0,934689444
941,1,937376234
942,0,938222578
943,1,938759608
944,0,939100197
945,1,939187166
946,1,939192611
947,1,939800041
948,0,940760475
949,1,943593484
950,0,946084015
951,0,947938445
952,1,948105539
953,1,952757145
954,1,953107466
955,0,953450359
956,0,954569744
957,0,955346151
958,0,958847226
959,0,959681435
960,0,962381958
961,0,973126923
962,0,974272587
963,1,977217447
964,0,977355062
965,0,979279370
966,0,979498485
967,0,979523950
968,0,979608486
969,1,980302306
970,0,981728633
971,0,981817588
972,0,982917878
973,0,983368811
974,0,983840677
975,0,983846532
976,0,984564052
977,1,984683175
978,1,985235144
979,1,985325932
980,0,985466601
981,0,986152306
982,0,986757688
983,1,987557552
984,1,987692679
985,1,989217604
986,0,991348868
987,0,992683066
988,1,995462799
989,1,997362874
990,0,1000397890
991,1,1004831719
992,0,1005464537
993,0,1008821356
994,0,1010961371
995,0,1011957254
996,0,1018758936
997,0,1018840830
998,0,1019399053
999,1,1019885919
1000,1,1021728042
1001,0,1027019127
1002,0,1028109214
1003,0,1030535602
1004,1,1031247192
1005,0,1032507255
1006,1,1032587296
1007,0,1032734344
1008,1,1035767019
1009,0,1036521308
1010,1,1040449502
1011,0,1040871834
1012,1,1041116069
1013,1,1043498971
1014,0,1043511864
1015,0,1045062273
1016,0,1045268761
1017,0,1045899491
1018,0,1050819786
1019,0,1051147799
1020,0,1052009084
1021,0,1052155149
1022,0,1053329285
1023,1,1055794315
1024,0,1056052475
1025,1,1057184467
1026,0,1058581055
1027,0,1060893528
1028,0,1062122291
1029,0,1064662083
1030,1,1066385357
1031,0,1067950654
