,cat,id
0,0,543692
1,0,938542
2,1,1588574
3,0,1727644
4,1,2582425
5,1,3102968
6,1,3637137
7,2,4950254
8,1,5200341
9,0,5497645
10,0,5552901
11,0,5630841
12,1,5631658
13,0,5753137
14,0,6853961
15,0,7550101
16,0,7628176
17,1,8281325
18,0,8724077
19,2,8797520
20,0,8885074
21,0,8926465
22,2,8960834
23,1,9322672
24,2,9683754
25,2,9925077
26,2,10487671
27,0,11917781
28,2,14415437
29,2,15169303
30,2,15179701
31,2,15180624
32,0,15193287
33,0,15194878
34,0,15195551
35,2,15200428
36,2,15948534
37,1,15953549
38,0,16093766
39,0,16318623
40,2,18160449
41,0,18280778
42,0,18364994
43,0,18598603
44,2,19077559
45,2,19379606
46,2,19386452
47,2,19388909
48,2,19407915
49,2,19408326
50,2,19867015
51,1,20168176
52,0,20706765
53,0,20801204
54,0,20968566
55,0,21220312
56,0,21662808
57,0,21722203
58,0,22211716
59,2,22269765
60,0,22302833
61,2,23547860
62,2,24116934
63,0,24527782
64,1,25051218
65,0,25311192
66,2,25927732
67,2,26507145
68,0,26712651
69,2,26884049
70,0,27276152
71,0,27276316
72,1,27400087
73,1,27416443
74,2,28579099
75,0,29431277
76,1,29822998
77,0,29978845
78,2,30190642
79,0,30193483
80,2,30194157
81,0,30194549
82,2,30197395
83,0,30292983
84,1,30619562
85,1,30878430
86,2,31743604
87,2,32517777
88,0,32702776
89,1,33056752
90,0,33057006
91,0,33656278
92,0,33935489
93,2,34935006
94,0,35055782
95,2,35896093
96,2,35896382
97,0,36789942
98,2,38088938
99,2,38272253
100,0,38630136
101,0,39163997
102,2,40036419
103,2,40211969
104,0,40212049
105,0,40212578
106,0,41154998
107,1,41641874
108,2,41942417
109,1,42109473
110,2,42109838
111,2,42983745
112,0,43236502
113,0,43306864
114,0,43798671
115,1,43903469
116,2,44025942
117,0,44152631
118,0,44199850
119,2,44278534
120,0,44799598
121,0,44919088
122,0,44922359
123,0,45027483
124,2,45827303
125,2,46080030
126,2,46573682
127,0,47081866
128,0,47215617
129,0,47980428
130,2,48306340
131,0,49071234
132,1,49819551
133,1,49988411
134,1,50387437
135,2,50552533
136,1,51578532
137,0,51695727
138,2,52129439
139,1,52170983
140,0,52486871
141,0,52839262
142,1,52946586
143,1,53023277
144,2,53455284
145,1,54127529
146,2,54501423
147,1,54627647
148,2,54833955
149,2,55335759
150,0,55516139
151,2,56008416
152,0,56181562
153,0,56504032
154,2,56674836
155,0,57011540
156,0,57493341
157,0,57818494
158,2,57904423
159,1,58038621
160,0,58623248
161,2,58795438
162,1,59078770
163,0,59214196
164,0,59458708
165,0,59803219
166,0,59803295
167,0,60248117
