,cat,id
0,2,1437695
1,1,2320541
2,3,2421022
3,0,2523492
4,3,3146341
5,1,3183420
6,0,3512141
7,0,3803631
8,0,5398749
9,0,6162127
10,0,7889923
11,0,9033016
12,1,9196436
13,2,9340660
14,2,9631558
15,0,10339051
16,0,10576957
17,1,11548493
18,1,11646382
19,0,12414387
20,2,13972959
21,1,14369112
22,1,14369121
23,3,14606618
24,0,14824368
25,3,15080367
26,3,15402609
27,3,16745419
28,1,16806198
29,1,17356063
30,1,17367252
31,1,18522696
32,3,20060298
33,0,20197529
34,1,21555030
35,2,21563266
36,0,21992570
37,3,22076220
38,0,22637148
39,2,22787390
40,3,23316268
41,1,24911286
42,1,25364144
43,1,25912107
44,1,26812828
45,1,27184122
46,0,27575808
47,2,27576461
48,0,27576703
49,3,27809523
50,3,29865690
51,2,31127843
52,2,31350222
53,3,31849325
54,3,33577796
55,0,33606598
56,2,33697577
57,1,34128832
58,0,35090051
59,0,35490537
60,0,37125962
61,3,37215934
62,0,37618815
63,0,37879456
64,0,38305800
65,2,38463719
66,2,38658712
67,0,38753829
68,1,40111456
69,3,41473186
70,0,42298525
71,1,42390090
72,1,42687399
73,3,43083444
74,0,43083791
75,0,43101428
76,3,44337033
77,0,44537742
78,0,46002669
79,3,46071755
80,2,46473157
81,3,46839716
82,3,46839910
83,3,47160241
84,0,47329606
85,0,47831942
86,2,48321375
87,0,48610067
88,0,50699102
89,0,50699155
90,0,51194060
91,3,52241989
92,3,52451752
93,0,53165232
94,3,53562475
95,2,53596543
96,2,55653925
97,1,56415977
98,3,56637817
99,3,56869080
100,2,57043469
101,3,58286832
102,3,59204150
103,1,59935162
104,3,60103891
105,0,60196480
106,0,61609577
107,0,62637475
108,0,62661051
109,2,63051280
110,1,64148383
111,3,65329011
112,3,69478785
113,1,69588433
114,0,70289064
115,1,70389449
116,3,70767360
117,1,70856311
118,0,72043960
119,3,72442369
120,3,72505149
121,1,73084134
122,0,73503022
123,2,73968930
124,3,74032662
125,2,74518285
126,3,74782862
127,2,74853369
128,0,75908834
129,3,76589103
130,1,77566830
131,3,77841645
132,3,78352404
133,0,78558132
134,2,78747558
135,0,78860682
136,3,80773174
137,0,81112940
138,3,81562872
139,1,81613549
140,2,83130456
141,0,83210838
142,3,83434673
143,1,84939136
144,0,85380064
145,0,85485842
146,3,87412091
147,3,87555751
148,0,88202099
149,0,88840049
150,3,89086283
151,1,89131381
152,3,90719450
153,3,91073469
154,3,91073529
155,0,91406111
156,2,91458284
157,3,91673151
158,0,91783733
159,3,92569648
160,3,93617853
161,3,94187792
162,2,94483987
163,2,94503813
164,2,94511951
165,1,95721187
166,1,95887862
167,0,96493444
168,3,96948893
169,3,98626626
170,2,99199119
171,1,99840675
172,0,99874910
173,3,100496072
174,0,101018448
175,2,101294365
176,1,101457003
177,1,102200135
178,2,104182763
179,1,104633800
180,3,106901122
181,3,106901266
182,0,107867095
183,2,109584757
184,0,110380002
185,2,110514367
186,2,113106201
187,3,113133363
188,3,113450336
189,1,113464517
190,0,113637767
191,3,114146202
192,3,114147922
193,1,114644120
194,1,115203883
195,3,115544374
196,3,117221496
197,2,117278436
198,2,117680283
199,2,117874657
200,1,118243141
201,1,118573179
202,1,118573194
203,2,118610096
204,2,118721281
205,3,118722937
206,2,119364301
207,3,119440869
208,0,119848761
209,3,120224948
210,2,120268449
211,1,120268640
212,1,120473819
213,1,121218088
214,1,121972550
215,2,122221897
216,1,122522785
217,2,122852400
218,3,123897467
219,1,124106440
220,2,124202596
221,2,124202609
222,3,125791730
223,3,126682363
224,2,127225423
225,1,127476997
226,1,127479666
227,2,127513030
228,2,128304861
229,0,129128852
230,0,129164167
231,1,129764893
232,0,129946126
233,3,130330659
234,2,130696240
235,2,131343473
236,1,131478021
237,0,131916718
238,0,133959616
239,0,135195519
240,1,135646522
241,1,135646561
242,2,136672237
243,2,137108516
244,2,139928495
245,3,140242761
246,3,142060198
247,1,142864803
248,2,143017430
249,0,143121667
250,2,143218533
251,3,143584919
252,0,143815454
253,3,143819602
254,3,145657329
255,3,146042566
256,3,147210471
257,2,147405010
258,0,147759212
259,3,147988287
260,1,148414770
261,2,148731860
262,2,149215762
263,2,150183745
264,3,150939968
265,3,150940288
266,2,151271432
267,3,151500005
268,0,151759250
269,2,153617660
270,2,153620901
271,2,153621618
272,1,155232332
273,0,157671776
274,2,157682115
275,1,158885527
276,0,158928463
277,0,159020410
278,3,161072109
279,3,161296577
280,3,162297240
281,3,163372559
282,2,163372855
283,2,164556704
284,2,164556725
285,2,164556740
286,2,164556789
287,2,164557177
288,2,164557843
289,2,164558717
290,3,166541426
291,2,167214500
292,2,167271413
293,1,167273691
