,cat,id
0,1,15228
1,1,108254
2,1,266498
3,0,1269107
4,0,1634681
5,1,2025087
6,1,3093329
7,0,3486187
8,0,3486211
9,0,3486227
10,0,3486274
11,0,4146672
12,1,4445174
13,0,4922407
14,1,5715192
15,1,5724538
16,0,6501047
17,0,6677292
18,1,8019405
19,1,8021482
20,1,8406114
21,1,8789005
22,1,9315036
23,0,9778246
24,1,9838286
25,1,9838322
26,1,9993576
27,1,9994332
28,0,9996240
29,1,9996251
30,1,10472851
31,0,11030232
32,0,11081517
33,1,11129273
34,0,11367919
35,1,11661170
36,1,11742835
37,1,11742858
38,0,12777384
39,1,12777414
40,0,13748536
41,1,13825911
42,1,14349051
43,1,14511421
44,1,14585375
45,1,14587680
46,1,14728206
47,1,14746596
48,0,16011835
49,1,16291852
50,1,16337907
51,0,16625789
52,1,18076312
53,1,18711444
54,1,19212853
55,1,19213190
56,1,19936256
57,0,20802055
58,0,20807242
59,1,22416210
60,1,23056664
61,1,25813137
62,1,25813209
63,0,26095240
64,0,26397302
65,1,27899042
66,1,29098771
67,1,29100709
68,1,29791868
69,1,31633472
70,1,33061991
71,1,33209832
72,0,33545926
73,1,33624733
74,1,33965789
75,1,35366231
76,1,35366242
77,1,35744344
78,1,37735847
79,1,38046454
80,1,38181659
81,1,39164908
82,0,40741452
83,0,40889603
84,1,41154410
85,1,41318694
86,1,42693348
87,1,43013822
88,1,43166715
89,0,44077945
90,1,44855100
91,1,46284062
92,1,47385070
93,1,47753325
94,1,47753405
95,1,49482477
96,1,49483386
97,0,52000175
98,1,53360239
99,1,53906763
100,1,57416361
101,0,59226127
102,0,59574146
103,0,60523730
104,1,61094767
105,1,61211521
106,1,64759211
107,1,66132432
108,1,66816782
109,0,67812625
110,0,68004099
111,1,68043823
112,1,68973577
113,1,69457422
114,0,69488958
115,1,69660410
116,0,70451778
117,0,71321383
118,0,71322286
119,1,71770929
120,1,72653569
121,1,73820323
122,1,74019074
123,0,74106195
124,1,74295479
125,0,74416421
126,0,76415597
127,1,76493954
128,0,79058094
129,1,79098857
130,0,79532129
131,1,80623246
132,1,81240615
133,1,82930198
134,1,82931352
135,1,83002408
136,0,85559218
137,1,85833097
138,0,85844829
139,0,86260008
140,0,89446739
141,1,89551994
142,1,90855231
143,0,91378742
144,0,92593677
145,0,93863202
146,0,94978157
147,0,95006440
148,0,95743857
149,0,95953177
150,1,96468304
151,1,98300435
152,0,98788379
153,1,98801451
154,1,98890726
155,1,99026592
156,1,99026989
157,0,99528574
158,1,99790044
159,1,99915984
160,1,101459880
161,1,102028920
162,0,102211775
163,0,102393446
164,0,103274915
165,0,103617719
166,1,104556542
167,1,104556641
168,1,104916417
169,0,104933525
170,1,105748617
171,1,107326205
172,1,107635758
173,1,107749238
174,1,107995628
175,1,108207642
176,1,108591908
177,0,108700861
178,1,109047129
179,1,109552513
