,cat,id
0,1,767935
1,1,1220743
2,2,2435093
3,2,2564443
4,1,3751702
5,1,4297258
6,1,4770864
7,1,5464440
8,2,5681762
9,0,5929634
10,0,6180288
11,2,6364694
12,2,10114059
13,1,10688770
14,1,11532976
15,1,11884163
16,1,12685072
17,2,13106760
18,2,14222779
19,2,14238335
20,1,15317486
21,1,15604139
22,1,15732357
23,0,16411619
24,0,21093210
25,3,21699445
26,2,22618587
27,2,22965325
28,2,23119261
29,1,24316338
30,0,24339870
31,0,24401120
32,2,24578619
33,0,24682027
34,2,24726008
35,1,25696305
36,2,26525129
37,0,27137140
38,1,28128593
39,1,28208741
40,2,28537802
41,2,29235105
42,3,30989171
43,1,31974289
44,1,32386965
45,3,32931963
46,1,33381534
47,1,33903270
48,1,34264727
49,2,34452370
50,1,35289061
51,2,35372737
52,3,36775101
53,2,38251091
54,3,40207849
55,2,40945585
56,2,42033966
57,1,42755405
58,3,43449462
59,0,43816091
60,1,44826482
61,1,45374083
62,2,46013096
63,0,46447636
64,1,47607528
65,0,47889520
66,2,48136486
67,0,48987680
68,2,49177289
69,1,50002049
70,0,55145870
71,1,55250172
72,0,55382085
73,3,56504203
74,3,59674700
75,1,60057619
76,2,60058145
77,3,61050338
78,1,61051825
79,1,61285135
80,0,61883851
81,0,62886517
82,0,63685212
83,2,64011569
84,1,64141662
85,1,64439658
86,1,64669066
87,2,65514170
88,3,68993045
89,0,70445563
90,0,71184838
91,1,71322690
92,1,71817724
93,3,72954608
94,3,76384121
95,0,79244583
96,2,79622288
97,0,79700560
98,3,80580701
99,3,80584956
100,3,80701222
101,0,81072758
102,1,82183227
103,2,82221282
104,2,82413160
105,0,83698463
106,2,83778155
107,2,83909003
108,1,83984582
109,2,84562538
110,1,84648952
111,0,85040690
112,3,87462057
113,3,87671892
114,1,89986551
115,0,91161490
116,2,92181153
117,1,93486975
118,3,94080223
119,1,97294742
120,2,97397150
121,2,99840082
122,2,100228809
123,0,100400305
124,2,101009582
125,2,101412831
126,0,102010056
127,0,103544149
128,0,105106084
129,2,105165182
130,2,105321666
131,1,105556883
132,2,106618521
133,2,106644104
134,0,106959949
135,0,107560333
136,0,107917892
137,2,108482428
138,1,109014579
139,1,109941599
140,2,110261663
141,0,110459853
142,0,110863203
143,2,111129337
144,0,111129419
145,3,112115940
