,cat,id
0,0,1463643
1,0,1518714
2,2,1623116
3,0,2972201
4,2,3770181
5,0,4346206
6,1,4610117
7,0,4873668
8,1,6136376
9,0,6373509
10,0,6913854
11,0,7009662
12,0,7482271
13,0,8076923
14,0,8291924
15,2,8888515
16,0,9138015
17,2,9568086
18,2,10330533
19,1,11233317
20,0,11383308
21,2,11561218
22,1,12380336
23,2,12382026
24,0,12589666
25,0,12733419
26,0,12847383
27,2,13053997
28,0,13979062
29,2,14544789
30,0,14622614
31,1,15520141
32,2,17476655
33,0,19163269
34,0,19244162
35,2,20722105
36,2,21093066
37,0,21134082
38,0,21421547
39,2,21752205
40,2,21752217
41,2,21752284
42,0,21759312
43,2,22045598
44,2,23030582
45,2,23167171
46,0,23497916
47,0,24372605
48,0,25617359
49,0,25635300
50,0,26305139
51,2,28607224
52,2,29251116
53,1,30891090
54,0,35352624
55,2,38383376
56,0,38618229
57,1,38771428
58,1,38802270
59,1,39482654
60,2,42043113
61,2,43103269
62,0,43474557
63,0,43562185
64,0,44774281
65,0,46085266
66,0,46103743
67,0,46339496
68,1,46618569
69,0,47081541
70,0,48235517
71,0,48584606
72,0,49308832
73,2,49640292
74,0,49924322
75,0,49959436
76,0,50187058
77,0,50546687
78,2,51741548
79,0,51862115
80,0,53091057
81,0,53726965
82,1,54432039
83,0,54524490
84,2,54676712
85,0,55282180
86,0,55286032
87,1,55617987
88,0,56169096
89,2,56189237
90,0,58225847
91,2,59198592
92,0,59364347
93,0,60593667
94,0,62365684
95,2,64065741
96,2,64120883
97,2,64747965
98,2,64747995
99,0,65460162
100,0,66583556
101,0,66835460
102,2,67055920
103,0,67449978
104,2,67648913
105,0,67678578
106,2,70721023
107,1,70884569
108,0,72638878
109,0,74236496
110,2,74274233
111,0,76230832
112,0,76571772
113,0,77679875
114,0,77691803
115,0,80018339
116,0,80405708
117,0,81287876
118,2,81474251
119,2,81539728
120,0,82102562
121,0,82295738
122,2,82879495
123,0,82920239
124,2,82962470
125,0,83337247
126,0,85259764
127,0,85342154
128,0,85630948
129,0,86698939
130,0,87541479
131,0,87628614
132,2,88172621
133,1,88565013
134,0,88843639
135,1,89564842
136,1,89623528
137,0,89623681
138,2,89705489
139,0,90115141
140,2,90174074
141,0,90680818
142,0,91231023
143,0,93422325
144,0,94481988
145,2,94799738
146,2,94897476
147,1,95195051
148,2,95463116
149,2,96225642
150,0,97641395
