,cat,id
0,3,249296
1,3,552876
2,1,973100
3,2,1236725
4,1,1800451
5,1,2128917
6,0,3047730
7,3,3310682
8,3,3319810
9,3,3524053
10,0,3917808
11,0,5009322
12,3,5612308
13,1,5718889
14,3,5720241
15,3,5725136
16,1,6015910
17,2,6368482
18,3,6542398
19,2,6564076
20,2,6642678
21,1,8253649
22,3,9163367
23,0,9266934
24,3,9501886
25,1,9749720
26,3,9958240
27,3,10245524
28,1,10947680
29,2,10992241
30,1,11379424
31,0,12814174
32,3,12894040
33,1,13794333
34,0,14931613
35,0,16170599
36,0,17622967
37,1,17800829
38,2,19069696
39,2,19885097
40,3,20241220
41,0,20410707
42,1,20508042
43,3,20558407
44,1,20612441
45,1,20944320
46,3,22026061
47,3,22687448
48,2,23805986
49,2,24302258
50,0,24966654
51,2,25007254
52,0,26612244
53,0,26910882
54,3,27943304
55,0,29491967
56,0,29499514
57,3,31233684
58,3,31262881
59,1,33558736
60,1,33847719
61,0,36963274
62,2,41328749
63,1,41968113
64,0,42286446
65,3,42339333
66,3,43166305
67,2,43736782
68,0,43920970
69,3,43962736
70,1,44759413
71,0,45141024
72,1,45759311
73,2,46672468
74,1,47840158
75,3,47876149
76,0,48273272
77,1,48297613
78,0,48895342
79,0,49646316
80,2,51523718
81,0,51890390
82,1,52041037
83,3,52899727
84,3,54511240
85,1,55073340
86,2,55546885
87,3,55552269
88,3,55920325
89,1,56337682
90,1,57266924
91,1,57438817
92,3,59257470
93,1,59641352
94,1,60197558
95,3,60311780
96,3,60544605
97,3,60966129
98,2,61106507
99,1,61395379
100,0,61681414
101,0,62490053
102,1,62490784
103,2,64388988
104,1,64873582
105,1,65183813
106,0,65329921
107,0,65677367
108,3,67065234
109,2,67951914
110,0,68894707
111,3,69791912
112,0,70062328
113,1,71246867
114,0,71959250
115,3,72333291
116,0,72379297
117,0,72621331
118,0,73028462
119,1,73160847
120,1,73162650
121,0,76679747
122,3,77048784
123,1,77970462
124,0,79315386
125,1,79467578
126,0,80059603
127,1,80351479
128,1,81105470
129,0,82755068
130,1,82886085
131,0,84529354
132,1,84770709
133,3,86978306
134,0,86992738
135,3,87417026
136,1,89093072
137,0,89408329
138,1,90351482
139,3,90486583
140,1,90603454
141,3,90867271
