,cat,id
0,1,1024209
1,1,1416442
2,1,1416767
3,1,1502456
4,1,1736245
5,0,2114159
6,0,2136991
7,1,3006447
8,0,3575460
9,2,3620768
10,1,6529224
11,2,7590259
12,2,7590465
13,2,7590509
14,2,7591161
15,2,7591414
16,2,7591482
17,1,8778464
18,3,8840504
19,2,9840543
20,1,14340217
21,1,14663354
22,0,15615446
23,2,15665824
24,1,15941889
25,1,18166359
26,0,18496014
27,3,20039371
28,2,20084015
29,1,21199828
30,1,22220204
31,0,23715071
32,1,24772631
33,1,26395982
34,0,26946983
35,0,27834385
36,0,28167257
37,1,29562095
38,2,30388704
39,1,30909968
40,1,31092896
41,1,31092977
42,1,31093335
43,1,31093749
44,1,31121343
45,1,31186473
46,1,31186604
47,1,31186895
48,1,31187501
49,1,31196884
50,1,31225889
51,3,31225965
52,1,31243589
53,1,31249320
54,1,31249567
55,1,31270510
56,3,33022351
57,3,33023454
58,1,33023663
59,1,33024912
60,1,33024980
61,3,33025184
62,1,33025331
63,1,33025379
64,1,33696863
65,2,34160921
66,2,34160927
67,3,34800379
68,0,35953915
69,1,35954024
70,1,35954242
71,1,35954295
72,1,35955955
73,1,35956022
74,1,35977462
75,0,37768961
76,0,37911903
77,2,39131066
78,1,39233169
79,1,40621993
80,2,40804096
81,1,41741326
82,2,42294842
83,3,42477762
84,1,44734754
85,1,48689532
86,1,48689641
87,2,51147076
88,2,52298951
89,1,56028648
90,2,58539833
91,0,59086544
92,0,60544987
93,2,61699986
94,1,63704608
95,1,64157245
96,1,64158011
97,1,64158047
98,3,64497675
99,1,64961074
100,2,66680416
101,2,66680846
102,2,66680885
103,2,66681069
104,0,71037679
105,1,72408965
106,1,72409484
107,1,72409500
108,1,72506207
109,1,73215455
110,1,74507873
111,1,74507888
112,0,75779180
113,1,75779692
114,1,76886464
115,1,77188624
116,2,77612019
117,3,79302495
118,0,81831269
119,1,82652859
120,2,84035211
121,2,84208766
122,1,84536651
123,2,84656874
124,2,85617095
125,0,87045750
126,1,88045841
127,1,88175171
128,1,88175186
129,2,88413229
130,2,88413797
131,0,91621563
132,1,91686588
133,2,92172617
134,3,92815547
135,1,92927742
136,3,92953175
137,2,94101291
138,3,94185117
139,0,94572287
140,1,95407403
141,2,95901552
142,1,97705835
143,1,97706305
144,2,98917396
145,1,99661169
146,3,100953400
147,1,100953522
148,1,100953569
149,0,100953587
150,1,100953746
151,1,100953821
152,1,100953859
153,1,100954025
154,1,102024526
155,1,103151175
156,0,103926508
157,3,104560722
158,2,107495669
159,2,107495874
160,1,109262608
161,1,109262921
162,1,111078554
163,3,112413138
164,1,113687345
165,2,113738525
166,2,113895262
167,1,115037975
168,0,115338030
169,0,116065534
170,1,116556691
171,0,118949766
172,2,119301048
173,1,122075991
174,1,122676754
175,0,123763212
176,1,123763326
177,2,125886946
178,1,125916149
179,2,127025401
180,2,127843823
181,1,129550138
182,2,129992525
183,1,134207376
184,1,134207436
