,cat,id
0,0,837997
1,1,1169629
2,1,1177080
3,1,1178936
4,0,1274414
5,1,2215230
6,0,3846693
7,0,4906734
8,2,5771931
9,0,6062246
10,1,6744126
11,0,7072403
12,0,8421231
13,0,9384135
14,0,10975824
15,0,11258883
16,2,11476650
17,0,11910384
18,1,12605052
19,0,12912485
20,1,13625338
21,2,13630569
22,0,13999777
23,0,16133153
24,0,16916320
25,1,17515175
26,0,18334663
27,1,19578349
28,0,20300088
29,1,20502613
30,1,21281833
31,2,21627186
32,2,21718083
33,0,21902050
34,0,23054110
35,0,23491391
36,0,23776846
37,2,23927675
38,0,23982555
39,0,25075804
40,1,27236648
41,2,28735394
42,1,28770788
43,0,29785350
44,0,30322482
45,0,30584055
46,0,32002885
47,2,32646240
48,0,33694820
49,0,34147963
50,0,34150150
51,0,34266844
52,2,34362188
53,0,34627206
54,0,34735667
55,2,36307909
56,0,38825510
57,2,40122795
58,2,40454827
59,0,40819679
60,1,40858158
61,0,41063729
62,2,41140081
63,0,43606738
64,1,44350717
65,0,45503757
66,1,45609508
67,0,45689186
68,2,46144815
69,0,46284418
70,0,52183493
71,0,53336342
72,0,54916535
73,0,54983857
74,0,56979420
75,0,58538375
76,0,59220449
77,0,59748094
78,0,60019003
79,0,64964719
80,1,65647178
81,0,66003960
82,2,66392877
83,0,67992694
84,0,69296266
85,2,70075830
86,0,70092541
87,1,70493390
88,2,72303824
89,2,73328783
90,0,73738893
91,2,73740492
92,1,74254256
93,0,75228556
94,0,77004214
95,1,77069941
96,0,77378858
97,2,77884909
98,0,78707658
99,0,78818101
100,0,78942201
101,1,79153512
102,0,79931006
103,0,80378372
104,2,80963827
105,0,81212223
106,0,81235246
107,2,81305032
108,2,81597944
109,1,82992404
110,0,83367971
111,0,83891413
112,2,83912970
113,0,84135643
114,0,85180999
115,0,87168105
116,0,87375641
117,0,87522350
118,0,87748463
119,2,88006225
120,0,88267663
121,0,89384315
122,0,89452395
123,2,89786799
124,2,91694897
125,0,92145826
126,0,93007882
127,0,93235477
128,0,93664310
129,1,93816206
130,0,94785058
131,0,95518142
132,1,95550513
133,0,95703670
134,2,96198017
135,1,96693380
136,0,96908407
137,0,97925120
138,2,98180876
139,0,98867131
140,0,99743686
141,1,100214227
142,1,101074150
143,0,101263293
144,0,103177849
145,2,103348169
146,0,105112632
147,0,105198508
148,2,105767694
149,0,105781600
150,0,105915141
151,2,106383231
152,2,106511105
153,1,106544996
154,0,106743213
155,1,107512303
156,1,107779702
157,0,110182221
158,2,110357881
159,0,112077055
160,0,112294955
161,0,113394132
162,0,113755800
163,2,114910430
164,0,115663443
165,2,115923889
166,0,116492317
167,0,117508822
168,0,117572796
169,0,120065327
170,0,120424663
171,0,121265094
172,1,121330472
173,2,123030848
174,0,123042452
175,0,123169776
176,0,123549906
177,2,124366948
178,0,124416914
179,0,124926815
180,0,125105786
181,0,125140480
182,0,125198085
183,0,125960155
184,0,127501643
185,0,127711844
186,0,128056918
187,0,129959150
188,0,130860586
189,0,130911474
190,1,130913535
191,2,130971312
192,0,133139381
193,2,133851259
194,0,134569966
195,2,134795188
196,1,134796558
197,1,135514178
198,0,135927187
199,0,136200138
200,1,136809544
201,0,136993788
202,0,137398680
203,0,137842507
204,2,138643738
205,2,140925220
206,0,142275258
207,2,142802918
208,0,143125300
209,0,143431647
210,0,144404887
211,1,145125576
212,2,146869702
213,2,147974050
214,2,148818856
215,0,149507939
216,2,149515382
217,0,149716264
218,1,151363386
219,1,151518401
220,2,151721351
221,1,151829995
222,0,152427029
223,0,152609799
224,0,153399085
225,2,154426598
226,0,154501738
227,0,154592983
228,2,154666778
229,1,154933296
230,2,155441262
231,0,158757951
232,2,158810345
233,1,158959435
234,0,162641116
235,2,165949920
236,0,167477148
237,1,167494871
238,2,170448625
239,1,171532153
240,1,171532833
241,0,173078461
242,0,173079862
243,1,173685684
244,0,174810353
245,0,175069531
246,0,176433354
247,1,176843315
248,0,177051439
249,2,177226565
250,2,177259272
251,0,178944143
252,0,179229569
253,0,179379686
254,0,179468836
255,0,180392024
256,0,180683859
257,1,181232460
258,0,182519512
259,1,183577453
260,0,183625262
261,1,184178642
262,0,185023738
263,1,186380928
264,1,187020848
265,0,188663299
266,0,188862513
267,2,189530065
268,2,189652852
269,0,189944656
270,0,189944687
271,0,190214536
272,0,190884289
273,1,191273884
274,0,192446266
275,2,192450229
276,2,192633106
277,2,193369921
278,0,193642514
279,0,194152685
280,2,194201363
281,0,194384331
282,0,194835066
283,0,194835935
284,1,194870450
285,0,195549733
286,2,196435141
287,1,196481890
288,1,196736940
289,0,198150476
290,0,198888900
291,0,199199222
292,2,199726697
293,2,199831005
294,2,200718743
295,0,202049336
296,0,203149913
297,1,205145769
298,0,206251849
299,0,207668793
300,0,208510314
301,1,208691281
302,0,208900873
303,2,209151119
304,1,209970614
305,0,209992759
306,0,210154967
307,2,210749879
308,0,213370091
309,0,215568358
310,1,215900483
311,0,216486805
312,0,216572584
313,0,216721454
314,0,216908954
315,2,218181739
316,0,218363604
317,2,218587426
318,1,218718907
319,2,219688626
320,2,219957744
321,0,221484567
322,1,221711212
323,0,222470868
324,0,222958514
325,0,223802372
326,1,224693861
327,0,225278147
328,0,225334099
329,0,225629082
330,2,226309532
331,0,227713188
332,2,227762004
333,0,227917459
334,0,228349776
335,1,229245693
336,1,229360770
337,1,229698161
338,0,230090205
339,1,230346530
340,1,231433874
341,2,231842901
342,2,232089305
343,0,233054931
344,0,234719123
345,0,234807655
346,0,234923828
347,0,236396297
348,0,236557177
349,0,238317028
350,2,238736414
351,0,239829891
352,0,240101852
353,2,240154964
354,0,240419401
355,2,240482852
356,1,242841956
357,0,243748180
358,0,244476772
359,0,245833449
360,0,246839554
361,2,247089610
362,1,247877165
363,0,249470862
364,0,249471595
365,0,249472050
366,0,249472059
367,0,249473676
368,0,249957041
369,0,250151676
370,0,250264580
371,1,251488092
372,1,251599916
373,0,253833681
374,0,254844551
375,0,255942873
376,0,256918933
377,0,258439249
378,1,258818091
379,1,258818142
380,1,259309172
381,2,260589789
382,0,261063872
383,1,261140816
384,1,261186761
385,1,263101988
386,0,263628513
387,0,264114594
388,0,264817772
389,1,264851482
390,0,265046065
391,2,265435946
392,0,265587618
393,0,266434192
394,0,267091643
395,0,268054774
396,2,269613593
397,0,269889000
398,0,270212702
399,0,270765874
400,0,270773583
401,0,270899070
402,2,271676156
403,0,273685693
404,0,274783675
405,0,275052169
406,0,277382753
407,2,277523204
408,1,278855721
409,0,278898962
410,1,280334002
411,0,281207503
412,0,282054490
413,2,282980585
414,2,286184562
415,2,286223845
416,0,287815437
417,0,289035454
418,0,289565005
419,0,290704738
420,0,292264510
421,0,293161844
422,0,293253842
423,0,293826425
424,0,295020788
425,2,295402619
426,1,296391282
427,0,298193760
428,1,298390857
429,0,298464313
430,0,298504771
431,0,299241478
432,0,300469250
433,1,300646564
434,0,301004540
435,2,301680505
436,1,302172033
437,2,303591689
438,1,304451051
439,1,304581004
440,1,304695919
441,0,305884669
442,0,305953380
443,1,306165819
444,2,306400954
445,0,308882363
446,0,308977624
447,0,309656834
448,0,310160116
449,0,311213247
450,1,313125801
451,0,313170874
452,2,316176930
453,1,316317380
454,0,317163681
455,0,318708038
456,0,319316992
457,0,319388749
458,1,319390020
459,0,320258111
460,1,321279369
461,0,323630518
462,0,323640648
463,0,323906227
464,1,323970542
465,2,324025484
466,0,326494294
467,1,327888179
468,0,328016957
469,0,328930648
470,0,329942831
471,0,332576344
472,1,332669555
473,0,332975333
474,2,333295650
475,1,333340710
476,1,334876601
477,0,335357510
478,0,336249558
479,0,336619445
480,0,337722118
481,0,338357012
482,1,338599980
483,1,339977076
484,2,340030134
485,0,340262435
486,0,341562308
487,0,343122454
488,0,343984896
489,1,344220719
490,0,344285975
491,0,345031720
492,2,345674539
493,1,346654736
494,1,346752845
495,0,346792032
496,0,347003283
497,0,347071682
498,2,347791811
499,2,348367201
500,2,350300510
501,0,350590321
502,1,351630111
503,1,352815114
504,0,353436326
505,2,356969848
506,0,357968580
507,2,358066588
508,0,358187559
509,1,358512179
510,1,359395964
511,0,359428848
512,2,361805443
513,1,361864509
514,2,362015285
515,2,364365067
516,1,366493854
517,0,368207803
518,0,369273311
519,0,369651615
520,0,370079152
521,0,370090344
522,0,370167645
523,1,370654483
524,0,371168194
525,0,372167305
526,2,372372198
527,0,373032271
528,0,373183301
529,0,375676873
530,0,376670665
531,0,378047823
532,1,378334411
533,1,379615562
534,0,381316058
535,0,381330651
536,1,382317709
537,0,383336563
538,1,383646057
539,2,383871105
540,1,384185047
541,0,384343795
542,2,384377617
543,1,385948210
544,0,386634912
545,1,387417874
546,2,388187640
547,1,390208872
548,0,390783206
549,0,391316932
550,1,391737476
551,2,392040361
552,0,393233750
553,2,393496932
554,0,394258673
555,0,396414229
556,0,396525169
557,0,398212750
558,0,398344804
559,1,399136757
560,0,399140065
561,0,400059866
562,0,401049605
563,2,401267478
564,0,401702550
565,0,402751934
566,0,402753111
567,0,402753422
568,1,404017668
569,0,404147409
570,2,404625801
571,1,405584941
572,0,405707493
573,0,406309911
574,2,407493295
575,0,409033733
576,2,409467634
577,0,409606060
578,2,410374758
579,2,411116651
580,2,411299585
581,0,412068416
582,1,413618375
583,0,415469226
584,0,415703987
585,1,415776732
586,2,416227091
587,2,416880248
588,0,417917713
589,1,419061144
590,2,419453265
591,0,419500629
592,0,419690734
593,0,419691506
594,0,421596891
595,0,422175865
596,2,429036833
597,0,430107966
598,2,430353995
599,0,430896477
600,0,432382365
601,0,434210285
602,1,437244237
603,0,437453212
604,0,437690472
605,0,438847749
606,0,440050671
607,0,440969881
608,0,440989337
609,0,441402559
610,0,441541618
611,0,442343454
612,0,443546113
613,0,444831342
614,0,445713375
615,0,445793677
616,0,445797707
617,0,445891481
618,2,448290590
619,0,449692735
620,0,449878502
621,0,450524859
622,0,452066445
623,0,452915517
624,1,453261664
625,1,453310501
626,0,453370013
627,0,453435214
628,0,454700827
629,0,457183428
630,0,458703305
631,0,458703326
632,0,458862488
633,0,460845348
634,1,461880506
635,0,462833606
636,0,463797763
637,1,464685769
638,0,465027561
639,0,467409222
640,0,469460258
641,0,469650974
642,0,469724843
643,0,469773274
644,2,469892400
645,0,470291530
646,0,470985788
647,1,471025285
648,0,471837866
649,0,472894763
650,0,473179645
651,1,473328524
652,0,476167154
653,0,476603353
654,0,476701755
655,0,479123765
656,0,479511515
657,0,481920556
658,0,482763412
659,0,482846002
660,0,482915825
661,0,482932774
662,0,484904738
663,0,485836887
664,0,487440731
665,0,489779391
666,0,489962672
667,0,491514962
668,0,492930914
669,1,494145112
670,2,494564632
671,0,496356611
672,0,496999968
673,2,497049927
674,1,497049958
675,2,500189326
676,0,501318883
677,1,501476410
678,0,501568845
679,2,501858585
680,0,502813679
681,0,506100807
682,0,506159540
683,0,507853344
684,0,508050096
685,0,508120473
686,0,509944719
687,2,510724060
688,0,512123141
689,0,512261335
690,0,512502702
691,0,512765970
692,0,512907911
693,0,512929375
694,0,513924477
695,1,519187181
696,0,520582189
697,1,522397813
698,2,523339602
699,0,524146172
700,0,525072623
701,0,525145948
702,2,526110716
703,0,528555943
704,2,529429719
705,2,529696724
706,0,531187700
707,0,531187789
708,0,533731135
709,0,534007928
710,0,534078524
711,0,534257888
712,0,534610308
713,0,535592690
714,2,536684688
715,0,537143140
716,1,537971715
717,0,538614238
718,0,539070141
719,0,539468170
720,0,543364460
721,1,544013098
722,0,545080801
723,0,545656177
724,0,546288570
725,0,548721078
726,1,549200916
727,2,550118613
728,0,550469121
729,0,554093480
730,2,555520364
731,1,555730522
732,2,556069471
733,2,558944215
734,0,560438579
735,0,561761709
736,0,561918103
737,1,565596862
738,1,567904727
739,2,568367784
740,0,569722407
741,0,570379520
742,0,571954437
743,0,571984089
744,0,572805601
745,0,573380612
746,1,573489672
747,0,573752561
748,0,573869603
749,0,574181638
750,1,574184073
751,1,574423037
752,1,574888169
753,0,575230040
754,0,576761690
755,0,579121191
756,0,583253268
757,0,583529623
758,0,583928636
759,0,584109349
760,2,584912308
761,1,585377245
762,0,585540663
763,0,588882541
764,2,589065046
765,0,590642964
766,2,592562871
767,0,592893345
768,0,594242979
769,0,594498591
770,0,594605981
771,1,595596598
772,0,596818667
773,0,596848741
774,0,597461934
775,0,597909689
776,0,599775355
777,2,599959766
778,2,599965358
779,0,600934920
780,0,601252683
781,0,602925467
782,0,603397078
783,1,603636247
784,0,603722834
785,0,605581855
786,2,606302993
787,0,607092430
788,0,607097738
789,0,607106781
790,0,607336169
791,0,609186157
792,1,609186788
793,0,611219716
794,0,611447993
795,0,612178773
796,0,613328500
797,0,613527255
798,1,613778167
799,1,614299482
800,0,616940607
801,0,617211429
802,0,617995500
803,0,618048184
804,0,618347308
805,0,618721129
806,0,619902263
807,1,619905198
808,0,622034516
809,0,622687271
810,0,622833415
811,0,623508730
812,1,625239377
813,2,627784608
814,0,627801933
815,0,628626915
816,0,629432820
817,0,629539222
818,1,629757939
819,1,633161735
820,0,634575494
821,0,634929117
822,0,636583469
823,0,637205444
824,0,637205491
825,1,637401050
826,0,639997068
827,0,640525631
828,0,642256699
829,1,642904483
830,2,643469333
831,1,643831225
832,0,644424893
833,0,645828502
834,0,646221967
835,0,646670169
836,0,647564796
837,0,647851730
838,1,648016949
839,1,648086679
840,0,648619311
841,0,651543110
842,0,651579136
843,2,651854062
844,2,660408192
845,2,663174554
846,0,665585454
847,0,665600268
848,0,666206429
849,1,667242242
850,2,668550694
851,0,668966669
852,1,671580932
853,0,672674611
854,1,673402737
855,0,673824410
856,1,675165901
857,0,675474258
858,0,675598070
859,1,676562110
860,1,676803671
861,0,676872420
862,2,676890647
863,0,678907193
864,0,679545312
865,0,679729699
866,0,679810474
867,0,682237262
868,0,682809048
869,0,682809158
870,0,683555736
871,0,684040413
