,cat,id
0,1,650105
1,1,1169417
2,0,1237648
3,2,2346738
4,2,2669147
5,2,2865592
6,0,3197930
7,0,3430022
8,2,3719030
9,2,3865639
10,0,6719607
11,2,7265178
12,2,7455806
13,2,8209744
14,2,8813831
15,0,9027180
16,2,11753818
17,0,11794236
18,2,11999070
19,2,12694214
20,2,12768675
21,1,12978606
22,2,13134869
23,0,13580549
24,2,14260240
25,0,14440779
26,0,15306227
27,1,15612415
28,2,15967321
29,0,17349963
30,0,17723221
31,1,18070621
32,0,18448651
33,0,18783376
34,1,19087709
35,2,20467491
36,2,21552139
37,2,23939836
38,1,25409484
39,0,25849718
40,0,26423027
41,1,27073553
42,1,27080470
43,1,27154513
44,0,27538717
45,0,27574476
46,2,28136354
47,1,29897328
48,1,30060323
49,0,30419503
50,2,31835870
51,0,32209380
52,2,32209492
53,0,32708357
54,0,32710805
55,2,33729008
56,0,34277610
57,0,34341506
58,0,34354280
59,0,34616395
60,0,35302494
61,2,36733537
62,1,37412841
63,0,38214557
64,2,40008741
65,0,41667433
66,1,41833578
67,1,41846081
68,2,42185775
69,2,42192227
70,0,42243086
71,2,42400391
72,1,42763860
73,2,44003306
74,2,44058770
75,2,44167856
76,2,44354124
77,1,44829578
78,0,45831491
79,2,46130993
80,1,48318747
81,1,49169552
82,0,49471744
83,0,50605320
84,1,50688658
85,1,51543108
86,0,51653410
87,2,51978853
88,2,52129585
89,2,52515549
90,0,53960896
91,2,54001854
92,1,54136414
93,1,55195058
94,1,55662747
95,1,55850823
96,1,56015931
97,0,56240532
98,0,56854855
99,2,57545932
100,0,58025005
101,1,59754746
102,0,59847544
103,2,59895793
104,1,60560274
105,0,61450729
106,0,61610000
107,1,61910448
108,2,62050204
109,2,62083349
110,1,62944276
111,0,63640115
112,2,63686567
113,2,63816742
114,1,63933457
115,1,66352590
116,0,66565855
117,2,66604382
118,1,66670378
119,1,67134491
120,1,67390493
121,2,67438168
122,2,68811252
123,0,70229659
124,2,71273972
125,2,71462240
126,0,71774515
127,2,71812100
128,1,72022172
129,2,72157918
130,2,73009261
131,0,74073819
132,0,74580520
133,1,75038487
134,2,75775599
135,2,76031546
136,2,77050836
137,2,77833905
138,0,78549398
139,0,78670023
140,1,79736842
141,2,79777236
142,2,80352966
143,2,80880480
144,2,81095718
145,2,81140764
146,2,81488263
147,0,81615825
148,2,81912954
149,0,81988593
150,0,82504304
151,2,82873773
152,0,83100861
153,2,83504957
154,1,84095708
155,1,84532544
156,2,85633490
157,2,85750369
158,0,86100387
159,2,86225638
160,0,86923081
161,0,87077950
162,1,87141444
163,2,87435920
164,0,87742226
165,2,87789707
166,0,87861086
167,1,87866040
168,0,88835208
169,2,88839441
170,2,89071059
171,0,89536717
172,2,90157661
173,1,90766538
174,0,91462390
175,0,91528614
176,2,91782612
177,0,92050063
178,2,93222261
179,1,94565167
180,0,94716832
181,2,94758478
182,2,95362074
183,2,95660546
184,1,95677591
185,2,96487819
186,2,97925165
187,0,98773853
188,2,99124556
189,2,100000949
190,2,100433250
191,0,100512924
192,2,101068639
193,1,101423433
194,2,101496855
195,0,102135902
196,2,102822880
197,0,103435324
198,0,103735501
199,0,103785945
200,2,104035609
201,2,104089263
202,2,104312178
203,1,104857378
204,2,105565001
205,1,105832672
206,2,105996983
207,1,107581437
208,1,108348903
209,0,108468693
210,1,109167094
211,1,109779557
212,0,110330425
213,1,110630308
214,2,110974763
215,2,111524298
216,1,111668279
217,0,112168449
218,1,112175245
219,0,112319699
220,0,112367736
221,2,114500178
222,0,115565601
223,2,116039747
224,2,116116989
225,2,116271542
226,2,117299014
227,1,117427187
228,0,117934703
229,0,118926357
230,2,119368686
231,0,120697695
232,2,121669451
233,2,121974212
234,1,123098014
235,0,124803605
236,1,125345841
237,1,125401895
238,2,125486798
239,1,125492101
240,2,126257871
241,0,126539067
242,2,127002081
243,2,127090034
244,1,127365002
245,0,127788018
246,1,127987288
247,0,129317817
248,1,129453762
249,0,129557156
250,2,130194049
251,1,130312402
252,2,130422529
253,2,130880529
254,2,131105023
255,2,131391296
256,1,131392558
257,1,131605507
258,2,131647799
259,1,132248305
260,1,132738902
261,2,134015261
262,1,135094140
263,1,135509847
264,1,135864494
265,2,136523159
266,2,137020723
267,0,137956859
268,1,138099944
269,2,138434737
270,1,138599836
271,2,139756303
272,1,140355111
273,2,141444634
274,1,141458053
275,2,142084350
276,2,144888144
277,2,145819081
278,2,146074588
279,2,147102585
280,2,147747128
281,2,147831304
282,2,148273006
283,1,148602479
284,2,149516151
285,2,149547105
286,1,150678873
287,1,151193070
288,2,152363193
289,1,152569027
290,1,153305594
291,1,153326171
292,1,153348435
293,1,153736220
294,1,153824680
295,2,153840905
296,1,156505285
297,2,157216998
298,2,157318433
299,1,157875559
300,1,158466088
301,2,158634189
302,1,158756882
303,2,159452714
304,0,159541627
305,0,159675064
306,2,160617813
307,0,161311065
308,1,164314273
309,2,167087255
310,2,167219855
311,0,167250387
312,1,168484874
313,2,168668565
314,2,168711379
315,0,169238752
316,2,169262278
317,2,169439180
318,2,169900571
319,2,170315813
320,2,170725473
321,2,171152345
322,2,171670347
323,0,172000157
324,1,172580277
325,1,173667095
326,2,173790254
327,0,175565578
328,1,175583420
329,1,176414130
330,2,176466115
331,2,177991609
332,0,181815583
333,1,182171000
334,1,182357453
335,1,182376507
336,0,182477768
337,0,183267741
338,1,183889841
339,2,184617567
340,0,184642065
341,0,185413076
342,1,187019852
343,2,187627048
344,2,187910483
345,2,188360711
346,1,188643625
347,0,188814908
348,0,190326996
349,0,190719615
350,2,191042228
351,1,192314802
352,0,194310139
353,2,194576378
354,1,194843475
355,2,196816771
356,2,199176593
357,2,199262575
358,1,199495877
359,0,200533813
360,2,200534449
361,0,202014897
362,0,202055576
363,2,202355633
364,0,202603730
365,1,203294342
366,1,203601811
367,0,203846744
368,0,204719511
369,1,204928994
370,0,206327496
371,0,207158943
372,2,208115953
373,2,208229491
374,1,209607082
375,1,210220604
376,2,210898127
377,2,212099271
378,1,212567287
379,1,213548847
380,2,213573247
381,0,215671752
382,2,216506671
383,0,216769839
384,0,216966983
385,2,217017499
386,1,217196577
387,0,217594316
388,1,218018147
389,0,218297154
390,2,218798971
391,0,219003901
392,1,219378900
393,2,219410413
394,2,219697359
395,0,220678611
396,2,222966446
397,1,226104993
398,0,226209528
399,0,226378175
400,1,228048994
401,1,228139415
402,1,229054761
403,2,231695507
404,2,231953498
405,1,231955122
406,1,232188364
407,1,232228770
408,2,232265899
409,1,232386925
410,2,232454577
411,0,233214733
412,1,233690533
413,2,234508641
414,2,235280951
415,1,236617204
416,1,236834430
417,2,237797147
418,1,237846251
419,1,238088075
420,1,238162400
421,1,238193975
422,1,238550413
423,2,238646230
424,0,239036028
425,2,240835118
426,0,241000891
427,1,242361029
428,0,243600832
429,2,245563653
430,1,246068500
431,1,247096932
432,1,247369000
433,2,247646168
434,0,247796015
435,2,248220338
436,2,248502652
437,2,249121770
438,0,249482921
439,1,249626510
440,2,250695658
441,2,250966206
442,2,251426516
443,0,252419847
444,0,252502763
445,0,252960282
446,1,255651628
447,1,259070083
448,2,259224266
449,1,259669685
450,2,259767528
451,2,260365743
452,0,260414939
453,1,260796232
454,0,261407031
455,0,262007725
456,2,262567706
457,1,263204227
458,1,263852256
459,0,264101411
460,0,264670156
461,2,264675508
462,0,265169206
463,2,265184664
464,1,265912951
465,2,265926495
466,2,266237934
467,1,267291737
468,2,267303009
469,2,267713542
470,2,267727862
471,0,268707100
472,2,269306944
473,0,270285398
474,1,271148240
475,1,272291623
476,0,273096561
477,1,273826792
478,1,274056077
479,0,275279012
480,0,276019163
481,2,277058634
482,0,278049798
483,1,278448312
484,0,280053895
485,1,280261026
486,2,282123005
487,0,282571042
488,1,282623878
489,2,282775289
490,1,284459816
491,2,284938440
492,2,286076029
493,1,286316245
494,2,286742018
495,0,286899063
496,1,287336274
497,0,287349554
498,2,287363908
499,2,287381232
500,1,287716281
501,0,288024931
502,0,288197823
503,1,288229725
504,2,289005065
505,2,289241914
506,2,289829158
507,0,290177387
508,2,290291574
509,1,291009304
510,2,291383080
511,2,291912229
512,1,292030844
513,2,292078673
514,2,293013881
515,0,293336244
516,2,293862980
517,1,294242959
518,2,294908480
519,2,295408563
520,1,295680229
521,0,296059158
522,0,296199309
523,1,297856012
524,1,298037456
525,1,298197694
526,1,298489133
527,1,298719738
528,0,300492926
529,0,301179516
530,1,301291795
531,2,301433477
532,1,301978186
533,1,302325094
534,0,302668378
535,2,302726280
536,1,303002968
537,2,303119211
538,0,303262004
539,2,304337629
540,1,306394000
541,1,308011862
542,2,308532968
543,1,308697711
544,1,309192099
545,0,309700300
546,0,309853658
547,2,311119446
548,2,311245866
549,1,312247923
550,0,312336036
551,1,312358194
552,1,312617996
553,1,313242542
554,0,313326291
555,1,313417404
556,2,313491058
557,0,315307437
558,2,316439287
559,2,317254325
560,2,317504252
561,2,317895597
562,2,317984569
563,0,318698219
564,2,319298214
565,2,319843544
566,1,320432382
567,2,320750988
568,2,321077448
569,2,322074111
570,1,322197194
571,1,322312715
572,1,322551411
573,1,323719306
574,1,323728062
575,0,323985712
576,0,324430651
577,2,325163937
578,2,325169994
579,0,325819259
580,0,326122523
581,2,326478071
582,0,326478746
583,0,327881620
584,0,328587379
585,0,328985969
586,1,330311929
587,1,330978299
588,1,331759061
589,2,332461700
590,1,332515063
591,1,332559941
592,1,333268116
593,2,333958941
594,0,334117969
595,2,334819012
596,2,335067569
597,1,335235435
598,2,336741094
599,1,337171745
600,0,337214227
601,2,337344193
602,2,337557748
603,2,337708537
604,1,338456723
605,2,338635704
606,1,339619097
607,1,339872992
608,0,340682414
609,2,340948163
610,0,341599550
611,2,342737003
612,2,343204689
613,2,344575034
614,2,344672610
615,0,345252357
616,2,345787956
617,0,345848517
618,1,346015967
619,2,347115406
620,0,347796110
621,1,347884046
622,0,348481996
623,1,348556098
624,1,349324661
625,2,349466744
626,1,350950000
627,1,351638499
628,0,352230436
629,2,353048600
630,1,354148609
631,1,354824319
632,0,354831793
633,0,356003726
634,2,357178889
635,0,359127713
636,0,359417071
637,2,359461803
638,2,360099464
639,0,360155966
640,1,360184250
641,0,361105407
642,2,361831098
643,1,364014252
644,0,364215121
645,2,364729493
646,2,365792238
647,2,367220782
648,2,368033424
649,2,368153721
650,1,369214166
651,1,370290325
652,0,371580163
653,2,371743802
654,2,372843467
655,0,373053855
656,2,373117985
657,0,373237237
658,2,373900608
659,0,373921566
660,2,374346962
661,2,375035101
662,2,375154993
663,2,375401138
664,0,375888452
665,2,377051675
666,0,377198604
667,1,377394443
668,1,377499029
669,2,377608501
670,2,378294381
671,2,378473285
672,1,378891109
673,1,380772566
674,2,380876617
675,2,383376632
676,2,385300050
677,2,386532278
678,2,386792284
679,0,387049600
680,1,389889247
681,2,390735272
682,2,391025736
683,1,391281169
684,2,391517865
685,1,391786047
686,2,391914310
687,0,393001013
688,2,393126700
689,0,393615415
690,1,393901964
691,1,394070351
692,1,394403217
693,2,394641042
694,2,396274469
695,2,396504003
696,1,396988990
697,2,397046112
698,1,397321486
699,2,397553605
700,1,397571443
701,1,397765118
702,0,397765317
703,0,397920898
704,2,398295358
705,2,398329161
706,2,399349860
707,0,399622423
708,0,399755751
709,0,399977125
710,1,400043328
711,1,400163544
712,1,400221699
713,0,400837960
714,2,402956046
715,2,404596902
716,0,404601442
717,1,404604858
718,0,405740560
719,0,406331104
720,0,406866938
721,0,407431245
722,1,408661050
723,0,408821645
724,2,410111372
725,1,410149433
726,0,410672887
727,0,411365577
728,1,411595669
729,2,411617576
730,0,412534892
731,0,413049007
732,2,413585976
733,2,413967125
734,2,414468564
735,2,415095270
736,2,415554551
737,1,415801319
738,1,416067313
739,1,416854403
740,1,417970561
741,2,419312287
742,2,420300372
743,1,420539267
744,1,420798343
745,0,422940309
746,1,422998482
747,2,423166299
748,0,423779141
749,0,423794787
750,0,424514029
751,0,424884067
752,0,425027904
753,0,425039990
754,2,429011195
755,1,435466754
756,0,444122436
757,1,448476426
758,2,454905346
759,2,456143809
760,0,459154183
761,2,459426364
762,0,461388781
763,0,461510331
764,0,463065937
765,1,463191440
766,1,463630524
767,1,465376127
768,1,467141931
769,0,467194580
770,0,467798788
771,1,467822757
772,1,467857044
773,1,470400438
774,1,470659733
775,0,470900599
776,2,470905406
777,0,472662807
778,2,473103171
779,1,474152787
780,2,477354106
781,1,478132340
782,2,478147839
783,0,478818466
784,1,483878226
785,1,489531867
786,1,493035534
787,1,494110932
788,1,499528909
789,0,499578385
790,0,499581151
791,2,499597610
792,1,499619409
793,2,499644270
794,0,499660644
795,0,499704264
796,2,499885292
797,0,499947362
798,0,500668028
799,2,503666474
800,1,508645079
801,0,509512524
802,2,512022640
803,0,512192700
804,2,512425829
805,1,514491671
806,1,514739515
807,1,515207820
808,1,516388111
809,2,518052899
810,2,518551111
811,0,518587776
812,1,519143010
813,1,519687581
814,2,519811776
815,2,519818218
816,1,519849251
817,2,520595433
818,1,521595205
819,0,523222991
820,1,523884104
821,1,524799665
822,0,525094153
823,1,526522105
824,2,530677162
825,2,531162989
826,1,531883475
827,0,532868698
828,1,532899955
829,2,532941421
830,0,533058725
831,1,533545496
832,0,536000035
833,0,537142516
834,0,537775868
835,2,538865622
836,2,540811545
837,0,541328209
838,2,542871799
839,1,544719675
840,0,546477033
841,0,547879879
842,0,549347838
843,1,550312177
844,2,554715585
845,1,558007706
846,0,558401119
847,1,559549927
848,2,561190571
849,0,561298302
850,0,565095487
851,2,571133160
852,0,576321216
853,2,581693375
854,1,582430477
855,1,583893018
856,0,584615217
857,0,586053601
858,1,586053635
859,2,586100270
860,1,586434152
861,0,588323707
862,0,589533991
863,2,589996898
864,1,591550983
865,1,592426637
866,2,592710061
867,0,593142532
868,2,599784616
869,2,603734155
870,0,606184144
871,0,619672499
872,1,619945427
873,2,621803330
874,0,624417047
875,0,625465258
876,1,629742851
877,2,633816962
878,0,634164119
879,2,636474805
880,0,645018888
881,2,648457070
882,0,650153890
883,1,663205926
884,2,665552744
885,2,665945021
886,0,667233726
887,2,667734094
888,1,668953211
889,0,671603616
890,1,677989553
891,2,678708194
892,0,681763496
893,0,682265436
894,0,683116459
895,2,686827328
896,2,687595350
897,2,693433224
898,2,694670373
899,1,696709330
900,2,700228727
901,1,704908436
902,2,707714653
903,0,712490558
904,1,712854852
905,1,714759041
906,2,715607200
907,1,716989242
908,0,717718786
909,2,720123570
910,0,720217522
911,0,728726398
912,2,730757900
913,0,732231746
914,0,732650829
915,1,733322932
916,1,736192907
917,0,741622261
918,0,744515667
919,1,746932948
920,0,748986383
921,0,749373955
922,0,752486974
923,2,756588598
924,0,764092260
925,0,764169623
926,0,764251372
927,1,764544944
928,1,773986391
929,2,775287572
930,2,775350070
931,2,775574491
932,0,778237058
933,0,778974896
934,1,781295139
935,2,782249666
936,0,782854623
937,2,783195157
938,1,786680582
939,0,788461847
940,2,791552306
941,1,792055907
942,1,793066143
943,0,796187254
944,1,796717282
945,1,798104883
946,1,802403261
947,0,803793792
948,0,804144370
949,1,806302740
950,1,806952904
951,1,807065021
952,2,807747759
953,1,811281615
954,0,813076601
955,0,814036456
956,2,814072393
957,1,815846570
958,0,815936868
959,0,817218921
960,1,817715465
961,1,818457633
962,0,821275452
963,1,821656698
964,0,821697062
965,1,825461985
966,0,825556431
967,0,830791322
968,2,834244719
969,2,834827636
970,1,837101818
971,2,837546852
972,0,837554818
973,2,839158749
974,0,839577110
975,1,839977573
976,2,841824565
977,2,841824675
978,2,841843655
979,1,842210018
980,1,854172776
981,2,855670352
982,0,855815781
983,1,857139525
984,0,858889842
985,2,861318519
986,1,861417029
987,0,862654018
988,0,864382001
989,0,867187044
990,1,871620300
991,2,873623171
992,0,874031216
993,0,877239312
994,1,877349476
995,1,878460147
996,0,880243967
997,0,880338345
998,0,889561600
999,1,892605807
1000,2,895007991
1001,2,903157429
1002,0,904447454
1003,1,904725513
1004,2,906457715
1005,0,910107840
1006,2,912535008
1007,0,912752393
1008,1,915579090
1009,1,918597623
1010,1,918685781
1011,1,919848781
1012,0,922646373
1013,1,923771608
1014,2,924379246
1015,1,934098863
1016,2,937839094
1017,1,940344330
1018,1,944647856
1019,2,945580984
1020,1,947785737
1021,0,949257551
1022,0,950223059
1023,0,950377193
1024,2,951357344
1025,0,951426676
1026,1,951803995
1027,1,954081952
1028,2,959803070
1029,1,959817808
1030,0,963113692
1031,0,970954723
1032,1,981888352
1033,0,982217886
1034,2,984786440
1035,1,986421960
1036,2,987858919
1037,0,988016768
1038,1,992200937
1039,2,996162928
1040,2,1000810478
1041,0,1003501190
1042,1,1005151085
1043,1,1006561225
1044,0,1008863766
1045,0,1009513889
1046,1,1009524046
1047,2,1009699649
1048,1,1010352070
1049,1,1011598652
1050,0,1011746440
1051,2,1012522843
1052,0,1012585542
1053,0,1013448052
1054,0,1014431535
1055,0,1015637241
1056,0,1016222069
1057,1,1016403444
1058,0,1017394376
1059,2,1017397621
1060,2,1017426954
1061,2,1017644512
1062,2,1018738141
1063,2,1020300564
1064,1,1023896050
1065,2,1027128202
1066,1,1028874453
1067,1,1031327539
1068,0,1031577402
1069,1,1031966927
1070,2,1035630714
1071,0,1036818270
1072,1,1040582779
1073,0,1042573437
1074,1,1044716661
1075,0,1048051287
1076,1,1049124768
1077,0,1052424183
1078,1,1054050030
