,cat,id
0,2,393510
1,3,627325
2,0,1571946
3,2,1776666
4,3,2058538
5,3,2324095
6,1,2580236
7,3,2652967
8,0,2743306
9,0,5026659
10,3,5263858
11,0,5270192
12,0,6564874
13,2,6851334
14,2,9149656
15,0,9462717
16,1,9616414
17,0,10224994
18,2,10950501
19,0,11158684
20,1,11697086
21,2,12006979
22,0,12967576
23,0,13116511
24,0,13423607
25,2,13554078
26,0,13681017
27,0,14569339
28,0,15450217
29,0,17852316
30,2,18761460
31,2,20036235
32,0,20284786
33,2,20286951
34,2,20668919
35,3,21064980
36,0,22990246
37,0,23050812
38,2,23415260
39,1,24702604
40,2,24888244
41,0,25289745
42,0,25289875
43,2,25881698
44,2,26393542
45,3,26486751
46,2,27020453
47,2,28171629
48,3,29513061
49,2,32645066
50,1,32850600
51,0,32869766
52,0,33577431
53,0,33635238
54,2,33777134
55,2,34011281
56,0,34255101
57,0,35067045
58,1,35082804
59,1,35362937
60,0,37063601
61,0,37118952
62,1,39063174
63,3,39893551
64,2,40214623
65,0,41107393
66,2,41159969
67,1,42179519
68,3,42495697
69,0,42649908
70,0,42857015
71,0,44040167
72,0,44068384
73,2,45005258
74,0,45300920
75,2,45311386
76,1,45657469
77,2,46007789
78,0,46739534
79,2,47295390
80,0,48361935
81,1,48403463
82,0,48419206
83,2,48872777
84,2,49934779
85,0,50134277
86,1,50394911
87,3,50446020
88,0,51006922
89,3,51587503
90,2,51600702
91,3,51742697
92,0,52056099
93,2,54225081
94,1,54299772
95,3,54454268
96,2,54506213
97,2,54939513
98,0,55038324
99,0,55079247
100,1,58891156
101,1,58923113
102,0,59085043
103,2,59299661
104,3,61720454
105,0,62914128
106,1,63522983
107,0,64178399
108,0,64200710
109,3,65122580
110,0,65628808
111,1,65905876
112,1,66110650
113,2,66549712
114,0,66685670
115,1,66915872
116,2,66944788
117,0,67385148
118,3,69465390
119,0,70934793
120,1,71096162
121,3,71311145
122,3,71387347
123,2,72192870
124,0,72338004
125,1,72468847
126,0,72470421
127,2,72530831
128,0,73651754
129,0,73753429
130,0,74347751
131,0,75061662
132,2,76536781
133,0,76611786
134,0,76802194
135,1,76964980
136,0,78233618
137,2,79354274
138,2,79752021
139,2,80447451
140,0,81027641
141,0,82771448
142,0,83771624
143,0,84272101
144,3,84810054
145,0,84994930
146,0,85669516
147,2,86232726
148,2,86599565
149,0,86898472
150,3,87086002
151,3,87185031
152,0,87513380
153,0,88230377
154,2,88543145
155,2,89061817
156,1,90883023
157,1,91812536
158,0,91990565
159,1,93757785
160,3,94923503
161,1,95688614
162,2,96494279
163,1,96559534
164,1,96762428
165,2,98940825
166,0,99985287
167,0,100548874
168,3,100720430
169,2,100812203
170,1,101659364
171,3,102340867
172,0,103681113
173,2,104959277
174,1,106421580
175,0,107664944
176,2,108943928
177,1,109385114
178,3,109398692
179,3,109483783
180,3,110312566
181,2,110772706
182,2,111003910
183,3,111321841
184,0,111374121
185,0,112085332
186,3,112153484
187,0,112859411
188,1,112998575
189,2,113003201
190,1,113362092
191,0,113494381
192,1,113765317
193,1,113765558
194,1,113992503
195,0,114179038
196,1,114777478
197,2,115639634
198,0,116891965
199,0,117152209
200,0,117612704
201,1,117709841
202,1,118274670
203,2,118291591
204,3,118788599
205,0,118809924
206,0,119662456
207,1,120169088
208,3,121211723
209,1,124137332
210,0,124976381
211,1,125236678
212,0,126397031
213,0,126421900
214,1,127056785
215,2,128023088
216,2,128113810
217,0,129193391
218,0,129778914
219,2,130852522
220,0,131422454
221,1,131442343
222,3,131453468
223,1,131995747
224,0,134343150
225,1,134994993
226,0,135492905
227,2,135715402
228,0,136626169
229,3,136709961
230,0,137501130
231,0,138070662
232,2,140423167
233,1,142554002
234,3,142582040
235,3,143700731
236,0,143956364
237,2,144528226
238,2,144913284
239,3,145123850
240,0,145603026
241,0,145798296
242,0,146032605
243,3,147689796
244,3,147768129
245,0,149242119
246,0,149250317
247,1,149953511
248,0,150024562
249,3,150875908
250,2,153976768
251,0,154235765
252,2,154315050
253,1,154463231
254,0,154631278
255,0,155126848
256,1,155554301
257,1,156420533
258,0,156542132
259,0,157815119
260,1,158466564
261,3,158838188
262,2,159107348
263,0,160874716
264,0,162330497
265,1,163319461
266,3,165379875
267,1,167980733
268,2,168175293
269,1,168727713
270,0,168727724
271,2,169633444
272,1,170562879
273,2,170645315
274,3,170934258
275,2,171434135
276,0,171887966
277,1,173163379
278,0,174231468
279,3,175019043
280,0,175969126
281,2,176324767
282,0,176723522
283,3,177418140
284,0,177567689
285,3,178333166
286,0,178390122
287,2,180156490
288,3,181155086
289,0,181404935
290,0,181575038
291,0,181575172
292,0,181911630
293,1,182242177
294,0,182653950
295,1,182782140
296,1,183244365
297,1,183432331
298,2,184001004
299,1,184155816
300,2,185063379
301,1,186888014
302,3,189785462
303,0,189852934
304,2,189865448
305,2,190928565
306,0,191294695
307,2,193790806
308,1,194086636
309,1,194197078
310,2,194312028
311,2,194374532
312,2,195229897
313,0,195687928
314,0,196656810
315,3,198694967
316,2,198869597
317,3,199621912
318,2,199775834
319,0,200044222
320,0,200192566
321,2,200263284
322,0,200881547
323,1,202525386
324,2,202641863
325,0,203647980
326,0,204382795
327,0,205912913
328,2,206375171
329,1,206977615
330,2,207306045
331,0,207396761
332,1,208110154
333,3,208524952
334,1,208776192
335,2,210317549
336,1,210683993
337,3,211540078
338,1,211765575
339,0,213915864
340,0,216572819
341,3,216621120
342,2,216887947
343,1,216974819
344,1,217186716
345,2,217674614
346,0,217976625
347,1,219049837
348,2,219472316
349,2,219862955
350,0,220266140
351,1,220636510
352,0,221231946
353,3,221296833
