,cat,id
0,1,1067408
1,3,1067661
2,1,1067679
3,1,2933297
4,3,3573619
5,1,5295279
6,1,5666803
7,1,6488213
8,2,8321285
9,3,9291691
10,2,9766374
11,1,9771938
12,3,9893641
13,3,9897834
14,1,10579921
15,1,10579950
16,3,10789891
17,1,13310078
18,0,13980003
19,2,14088468
20,3,14168505
21,1,14918095
22,3,15125063
23,1,15147929
24,1,15165623
25,1,15180122
26,1,15207236
27,1,16930389
28,1,17475238
29,2,18372243
30,1,19631061
31,2,20281815
32,0,20850716
33,1,21274377
34,2,21776689
35,2,22181559
36,2,22936364
37,1,22967520
38,0,22967907
39,1,22967996
40,1,23098991
41,3,23143774
42,1,23956117
43,0,24677108
44,3,24710244
45,1,24943364
46,3,26015027
47,1,27820187
48,3,28040621
49,3,28580344
50,3,32424217
51,3,32425775
52,3,32433051
53,2,35120002
54,3,37507225
55,2,37535662
56,2,37900733
57,2,37901279
58,1,38557380
59,3,39372761
60,1,39853353
61,2,40435555
62,2,40780898
63,3,42969409
64,1,42970251
65,0,43838871
66,1,44275275
67,3,45783340
68,2,46246936
69,1,46905032
70,1,47576531
71,3,48000134
72,3,48002646
73,3,48006233
74,0,48485505
75,0,48998787
76,1,48998918
77,3,49552057
78,3,49611530
79,0,49738457
80,0,49777701
81,1,50076922
82,1,50804483
83,1,51211813
84,1,51712433
85,3,52178139
86,3,52484231
87,3,53574462
88,1,53590923
89,1,54951254
90,1,56006667
91,2,56694178
92,2,56699758
93,3,57003666
94,3,57004240
95,2,57615292
96,2,58270680
97,2,58274609
98,2,58275706
99,1,58753448
100,1,58754598
101,1,58777487
102,3,58903318
103,2,58969878
104,1,60420376
105,1,61746226
106,1,61790762
107,3,62772417
108,2,63046198
109,2,63308764
110,3,63676352
111,2,64947645
112,2,67609811
113,3,67827030
114,1,68082357
115,1,68366205
116,2,68878243
117,1,68997510
118,3,69043663
119,0,69261982
120,1,70101564
121,3,70317706
122,3,70630252
123,3,71713509
124,1,72298655
125,1,72299506
126,2,72716797
127,0,73387754
128,1,73874537
129,1,74469705
130,0,74538336
131,1,74735123
132,2,74834020
133,1,74923310
134,1,75042069
135,2,75323101
136,1,75571175
137,2,78032337
138,1,78768365
139,3,79547160
140,1,79873557
141,3,79995939
142,3,80598799
143,1,82361698
144,3,83880247
145,1,84546677
146,1,84547382
147,1,84862892
148,1,85214965
149,1,85227054
150,1,86552738
151,0,87078286
152,0,87519134
153,3,87641505
154,1,89479437
155,3,89656400
156,3,89739252
157,2,91323770
158,3,91327052
159,3,91327093
160,3,93872187
161,3,94620171
162,3,96670537
163,3,96975387
164,3,96982355
165,3,96982996
166,3,96985285
167,3,98466883
168,1,100395778
169,1,100459904
170,1,101041810
171,2,101220773
172,3,102334365
173,2,103087645
174,2,103112882
175,2,103260130
176,2,103260252
177,2,103262195
178,2,103435576
179,2,103435676
180,3,103497735
181,3,103605941
182,1,104019681
183,2,104142057
184,3,104557810
185,1,104785020
