,cat,id
0,3,496324
1,0,1244017
2,1,1906681
3,2,2556462
4,1,3050348
5,3,3269878
6,3,4532845
7,1,4952906
8,1,5986092
9,3,6547436
10,3,7206565
11,3,7234380
12,2,8190708
13,0,8343104
14,3,8399253
15,0,8486804
16,0,8554315
17,1,8946210
18,3,9523263
19,0,10649058
20,1,11469856
21,0,13335931
22,3,14341210
23,0,14728759
24,2,15285811
25,0,15620418
26,3,15894353
27,1,16372410
28,3,16605720
29,0,16783629
30,3,18646148
31,3,18774060
32,0,19240322
33,2,19602162
34,0,19750585
35,3,19874535
36,2,20296755
37,3,20487707
38,3,20871905
39,0,23277575
40,3,24222447
41,2,25251660
42,1,26687423
43,1,27252853
44,0,27926888
45,2,28810528
46,1,28983247
47,1,29119846
48,3,29258118
49,3,29366497
50,3,29411009
51,3,29920157
52,3,30677225
53,3,30764137
54,3,30947701
55,1,31345283
56,3,32142076
57,3,32305408
58,2,32376392
59,3,33086080
60,2,33173093
61,2,33188253
62,1,33744854
63,3,33977420
64,3,34247696
65,0,35267634
66,3,36012356
67,2,36087179
68,3,36175503
69,2,36963081
70,1,39990866
71,1,40259401
72,2,40297691
73,0,41323102
74,0,41324123
75,1,41613600
76,3,41626763
77,3,41905013
78,2,42175933
79,3,42607083
80,1,42925165
81,0,43102028
82,0,43133906
83,3,43407666
84,3,44317334
85,2,44617549
86,3,45591863
87,1,45994691
88,3,46164843
89,3,46566464
90,3,47652253
91,1,47961870
92,2,47965714
93,3,49008904
94,1,49541332
95,1,49701271
96,1,49829038
97,3,49865036
98,0,51099408
99,3,51327748
100,0,51340965
101,1,52341696
102,3,52941492
103,2,53091244
104,1,53364796
105,1,53579885
106,1,53959172
107,3,54615322
108,3,55009610
109,3,55107089
110,2,55323181
111,0,55606966
112,0,55667479
113,3,56251344
114,1,56943067
115,3,57712954
116,3,57888336
117,3,58185587
118,2,58502375
119,2,58502494
120,0,59420349
121,0,59653403
122,1,60135944
123,0,63246419
124,0,63370908
125,0,65946860
126,1,66017500
127,3,66121283
128,0,66344104
129,1,66857562
130,2,67228367
131,3,67510710
132,3,68687595
133,1,69573878
134,3,71384246
135,3,71803677
136,3,72374723
137,3,72381058
138,3,73370190
139,2,73416436
140,2,73450648
141,1,73885418
142,1,73902142
143,3,74277239
144,0,74432779
145,2,74726396
146,1,76089983
147,0,76432868
148,0,76502935
149,0,76589405
150,3,76711410
151,2,77199056
152,3,77555438
153,2,77690994
154,3,78565485
155,3,78882274
156,1,79342246
157,3,83076130
158,0,83251226
159,1,84258530
160,0,86132737
161,0,86319386
162,1,86964780
163,0,87368097
164,0,88649185
165,2,89840458
166,2,90402814
167,2,90840812
168,1,92220530
169,1,92237418
170,1,92862718
171,3,93538743
172,0,94337203
173,2,94503374
174,3,94867108
175,2,94919056
176,0,96043322
177,0,96179738
178,0,96183719
179,2,96613709
180,1,97600813
181,1,97659081
182,1,97997454
183,1,99915056
184,3,100019211
185,1,100206398
186,3,100429570
187,3,101049976
188,0,101188954
189,3,101384626
