,cat,id
0,2,1047145
1,1,1095296
2,1,1453759
3,2,2741939
4,0,2819355
5,3,3916694
6,1,4672530
7,1,4719616
8,0,4733200
9,2,4954627
10,1,5474681
11,3,5992784
12,1,6008457
13,1,6341147
14,1,7701404
15,2,8278853
16,1,8980493
17,1,9136453
18,2,9371127
19,2,9371835
20,3,9432136
21,3,9758860
22,1,10718706
23,2,11482901
24,0,11739318
25,3,12897337
26,3,15368080
27,3,15567811
28,3,17078151
29,0,17769979
30,0,17838682
31,0,17933113
32,1,18184774
33,1,18184973
34,1,18408956
35,0,18414823
36,2,19048551
37,3,19631349
38,0,20460287
39,1,21332051
40,1,23519329
41,0,23575447
42,3,24943180
43,0,26050024
44,3,26354509
45,1,31765267
46,1,33845505
47,0,34513115
48,1,34580252
49,1,34611178
50,2,35491174
51,1,36254137
52,1,37157971
53,0,37840168
54,0,38346692
55,2,40236483
56,1,40359134
57,1,40547423
58,1,41193649
59,3,42446139
60,3,42742312
61,1,43350277
62,2,45296283
63,1,45774194
64,1,45851100
65,2,45977396
66,2,46733387
67,2,47145588
68,1,47156496
69,1,47941452
70,3,48179138
71,1,48527832
72,1,48589067
73,1,49566080
74,1,50086882
75,1,51180238
76,1,51394949
77,1,52236308
78,3,53118561
79,1,54224229
80,1,54985638
81,2,55879859
82,1,55901216
83,1,56718763
84,1,58143170
85,1,59247361
86,1,59306896
87,2,60020267
88,2,60254487
89,0,60421896
90,1,63354540
91,1,63698047
92,1,64952501
93,3,65972025
94,2,67031637
95,2,68074134
96,2,69314300
97,3,70676099
98,0,72456558
99,1,72538024
100,3,73203921
101,1,73893993
102,1,74491046
103,0,74669268
104,3,74816071
105,0,74917921
106,3,76443573
107,1,77300125
108,1,77955937
109,1,77956002
110,0,80185386
111,2,80239693
112,2,80724251
113,1,80912257
114,1,80919492
115,1,81088779
116,3,81153509
117,0,81428465
118,2,82063409
119,1,82657831
120,2,83901833
121,1,85519705
122,1,85927718
123,3,86036969
124,0,86355053
125,0,86560495
126,1,87712420
127,1,88888511
128,2,89368028
129,1,89538830
130,2,90065054
131,0,90065094
132,0,90883876
133,3,91141201
134,3,91218046
135,1,93087258
136,0,93178993
137,0,93225828
138,0,94043169
139,3,94043204
140,3,94052384
141,1,95336556
142,0,97116812
143,1,100060707
144,0,102596593
145,1,102984601
146,2,104148135
147,2,105891810
148,1,106279652
149,1,106624230
150,1,106828031
151,0,108274887
152,1,108312729
153,2,108370389
154,2,109084345
155,2,109973542
156,1,110356878
157,1,110712412
158,1,110776850
159,1,112461966
160,1,113360335
161,0,113651148
162,3,115363315
163,1,115482536
164,3,115860400
165,1,116066738
166,1,116243406
167,0,117121962
168,1,118456959
169,1,118995027
170,2,119092606
171,3,119546192
172,1,120381822
173,0,120904910
174,1,120938729
175,1,121068290
176,3,122823472
177,1,123797221
178,3,123930765
179,1,123995853
180,1,124428560
181,3,125011202
182,1,126511733
183,1,127820586
184,3,128119931
185,1,128454757
186,2,128880336
187,1,128881035
188,0,131811983
189,1,132927308
190,3,133304517
191,1,133534027
192,1,133624226
193,0,135503810
194,3,135585276
195,2,135595969
196,1,135596614
197,0,135775631
198,2,136244160
