,cat,id
0,1,535353
1,1,1022168
2,1,1356071
3,1,1860237
4,1,2052981
5,1,2483789
6,0,2519917
7,1,2633837
8,1,2729524
9,1,2970936
10,1,3579624
11,0,5324244
12,1,5422592
13,1,6071413
14,0,6591299
15,0,6592893
16,0,8999000
17,1,9067903
18,0,9417517
19,1,10238361
20,1,10970530
21,1,11416000
22,1,11476681
23,1,11478855
24,1,11479634
25,1,11678211
26,0,11714986
27,0,11747338
28,1,11898169
29,1,12066837
30,1,12240593
31,0,14454476
32,0,14547114
33,1,14935387
34,1,15859314
35,1,16277034
36,0,16807838
37,0,16807854
38,0,17294618
39,0,18115304
40,1,18849316
41,1,18849585
42,1,18849602
43,1,18884471
44,1,19097704
45,0,20281174
46,1,20656710
47,0,20839701
48,0,20861993
49,1,25724011
50,1,26423691
51,1,26850111
52,0,27314706
53,1,27981324
54,0,28835541
55,1,28934768
56,1,29769594
57,1,30326642
58,1,31097975
59,1,31142226
60,0,31163522
61,1,31175069
62,1,32310831
63,1,32311289
64,0,32452240
65,1,34767742
66,0,35095879
67,0,35573750
68,1,35600204
69,1,35600365
70,0,35820930
71,0,35821077
72,1,36709707
73,0,36781884
74,1,37384430
75,0,37403109
76,1,37491530
77,0,37921706
78,1,38803053
79,0,43871088
80,0,43938290
81,1,44453554
82,1,44501471
83,1,45763207
84,1,45955617
85,1,46402453
86,0,47512241
87,0,47516935
88,0,47517263
89,1,47520304
90,0,47659849
91,0,48458398
92,0,50067222
93,1,52157988
94,0,56793247
95,1,57406659
96,0,58693921
97,0,58694198
98,0,58697081
99,0,58698321
100,0,58699058
101,0,58699108
102,0,58700923
103,0,58701724
104,0,58702109
105,0,58703027
106,0,58703450
107,0,58705581
108,0,58708174
109,0,58708572
110,0,58710018
111,0,58711044
112,0,58711841
113,0,59097759
114,0,59495219
115,0,59613222
116,0,60818337
117,1,60906419
118,1,61143478
119,1,61374120
120,1,61385178
121,0,61404099
122,0,61544412
123,0,63086552
124,0,63352127
125,0,63643614
126,1,64150138
127,0,65153274
128,1,68105233
129,1,68639657
130,1,68639690
131,1,68640376
132,1,68928693
133,1,69824460
134,0,69853964
135,0,69926039
136,0,70131374
137,1,70280940
138,1,70281184
139,1,72509608
140,0,74702006
141,0,74702051
142,0,74702063
143,0,75177494
144,0,75694566
145,0,76174581
146,0,77287412
147,1,78559813
148,0,78639204
149,0,79382567
150,0,79602044
151,1,80133691
152,0,81673137
153,1,82019174
154,0,83918328
155,1,84919647
156,0,85572903
157,1,86308969
158,0,87332695
159,0,88622498
160,1,90384177
161,0,92366142
162,0,94661063
163,1,94684003
164,1,94725101
165,1,96106060
166,1,98145606
167,1,98227835
168,0,99483584
169,1,101120537
170,1,103219910
171,1,103871259
172,0,104568214
173,0,104569271
174,0,104570587
175,1,105426663
176,0,105435847
177,1,106895299
178,0,107168034
179,1,107703848
180,1,107820154
181,1,107879574
182,1,108328060
183,0,108328106
184,1,108819982
185,1,109620356
186,0,110565866
187,0,110795174
188,0,110870200
189,1,113534865
190,1,113646830
191,0,114051925
192,1,114956668
193,0,116160160
194,0,117376736
195,1,117429259
196,1,118377363
197,0,118704861
198,1,118999662
199,1,120189777
200,1,121950153
201,0,122779408
202,0,124358217
203,0,124548927
204,0,125956420
205,1,127096013
206,0,127257282
207,0,127750620
208,0,128048201
209,0,131233659
210,1,133782840
211,1,134463846
212,0,134823818
213,1,135015308
214,0,135995245
215,1,136234201
216,0,136507673
217,1,137080993
218,0,137822762
219,1,140065635
220,0,140345288
221,0,140345467
222,1,141749802
223,1,141808710
224,0,143158764
225,1,143465621
226,0,144479149
227,1,146202310
228,0,147926870
229,1,149202756
230,0,149728823
231,0,150769756
232,0,151720504
233,1,152516253
234,0,152557718
235,0,152598401
236,0,154711175
237,0,157156339
238,0,158673624
239,0,159853453
240,0,160469710
241,1,161154564
242,1,161220864
243,1,161221519
244,0,161406998
245,1,162202621
246,0,162778548
247,1,163234283
248,0,163379950
249,1,164267982
250,1,164876349
251,1,164876424
252,1,165164479
253,1,166511801
254,1,166511896
255,1,166814694
256,0,167034779
257,1,167331757
258,0,167365313
259,0,169323519
260,0,169323560
261,0,169498732
262,0,170332003
263,0,170373944
264,1,171694078
265,0,172123475
266,0,172142486
267,1,172360884
268,1,172404172
269,1,172617090
270,1,173399099
271,1,173925040
272,0,174971740
273,0,177663677
274,0,178206647
275,1,178471257
276,0,178581453
277,0,178964970
278,0,180722937
279,0,181300712
280,0,181768685
281,1,183994543
282,0,184089151
283,0,184541759
284,1,185033798
285,0,185171691
286,1,191037470
287,0,191156393
288,0,191734417
289,0,191978566
290,1,192739688
291,1,192897114
292,0,192897206
293,1,192897254
294,1,192897276
295,1,193211809
296,1,193986896
297,1,194372846
298,0,196509607
299,1,196995455
300,0,197598385
301,1,198498711
302,1,199031589
303,0,199678317
304,0,200553608
305,1,200994307
306,1,201033835
307,1,201067777
308,1,202600754
309,1,202777759
310,1,202877741
311,0,202967550
312,0,203747725
313,0,203977996
314,0,204030870
315,1,204148477
316,0,206802110
317,0,207843577
318,1,209623916
319,1,210467096
320,0,210939143
321,0,211126586
322,1,211686056
323,0,212093780
324,1,212130107
325,0,213507251
326,0,214005322
327,1,214179159
328,0,214414080
329,1,214962336
330,0,215101664
331,1,215101707
332,1,215101724
333,0,215101813
334,1,215101837
335,1,215451123
336,1,217654980
337,1,217655445
338,0,217853316
339,0,218097765
340,0,218651059
341,1,218749786
342,0,222392360
343,0,223099942
344,1,224663270
345,0,227708854
346,1,228498672
347,1,228618480
348,1,229227970
349,0,229238047
350,0,229238064
351,0,230044685
352,1,230258698
353,1,230258731
354,1,231172920
355,0,231609152
356,0,231609339
357,0,231609838
358,0,231609848
359,1,233347180
360,0,234597014
361,1,234597029
362,1,235588919
363,1,236134704
364,1,236835830
365,1,238144913
366,0,239167566
367,0,239168073
368,0,239168126
369,0,239256544
370,1,239261827
371,1,241234013
372,0,241931336
373,1,243260986
374,0,243339461
375,1,244498462
376,0,244697217
377,0,245619490
378,1,245840643
379,1,245988634
380,0,247039613
381,0,247167530
382,1,248882260
383,1,248892114
384,1,248895156
385,1,248896943
386,1,251074841
387,1,251267933
388,1,251906227
389,0,251909690
390,1,251912311
391,1,252321126
392,1,254683400
393,1,255022225
394,1,256895705
395,1,257133939
396,0,257204020
397,1,257761676
398,0,257823896
399,1,258100521
400,1,258665445
401,1,262025528
402,0,262153469
403,0,262640177
404,0,263161687
405,1,268163671
406,1,268653682
407,1,270177790
408,0,270218937
409,1,270242777
410,1,270243860
411,1,270268618
412,1,270278753
413,1,270278834
414,1,270282417
415,1,270282773
416,1,270303551
417,1,270321092
418,1,270375584
419,1,270376327
420,1,270380998
421,0,271172112
422,1,271374153
423,1,273405751
424,0,273775663
425,1,274734175
426,1,274924332
427,1,275531362
428,1,275569914
429,0,275603008
430,1,276162724
431,0,276656028
432,1,277029790
433,0,277402705
434,1,277506028
435,1,279437448
436,1,279437690
437,0,279700901
438,1,279841558
439,1,281078191
440,0,281230650
441,1,284903767
442,1,285789628
443,1,285789999
444,1,286336190
445,1,287078197
446,1,287714258
447,0,287976765
448,0,289502578
449,1,289589554
450,1,289887924
451,1,290707585
452,0,290848290
453,0,290979100
454,0,290979134
455,0,291754148
456,0,293047535
457,1,293269745
458,1,293930794
459,1,294146429
460,1,294282621
461,0,294282773
462,1,294811122
463,1,294811242
464,0,295029239
465,1,295178353
466,1,295463299
467,0,298440950
468,1,300158041
469,0,300329679
470,0,302969314
471,1,303932882
472,1,305214148
473,1,305590016
474,1,305684056
475,0,306436361
476,1,308834352
477,0,309282039
478,0,310983015
479,1,311181029
480,1,311651094
481,1,311663940
482,0,312263586
483,1,312688748
484,0,313535725
485,0,313586849
486,0,314834900
487,0,315036511
488,1,316240056
489,1,316565305
490,1,316565335
491,1,316565431
492,1,317371445
493,0,318184298
494,0,319204911
495,0,319799660
496,1,320985383
497,1,322620027
498,1,322621391
499,0,322995455
500,0,323953845
501,1,325031469
502,1,325076218
503,0,326168474
504,0,326370550
505,1,328218403
506,0,328458607
507,1,328809325
508,0,328865613
509,0,329053169
510,1,329063605
511,1,330168060
512,1,330168104
513,0,330387954
514,0,330503555
515,1,330749778
516,1,330774299
517,1,330976148
518,1,331775569
519,1,332119938
520,1,332120173
521,1,332711920
522,0,332994097
523,0,333419190
524,0,334494420
525,1,334834112
526,0,335322689
527,1,336479420
528,0,336731931
529,0,337367676
530,1,338508530
531,0,339463480
532,0,340118934
533,1,340474437
534,1,342365915
535,1,342734318
536,0,344006381
537,0,344840357
538,1,344898242
539,1,345948957
540,0,345950410
541,1,347298868
542,0,348402087
543,0,348433364
544,1,350335631
545,1,350359447
546,1,350420334
547,0,350780948
548,1,351065105
549,1,351270105
550,1,352004260
551,1,352004299
552,1,352818297
553,1,355407179
554,0,358356485
555,1,358649646
556,1,360301671
557,1,360887086
558,1,361157296
559,1,361462170
560,0,361727660
561,1,364106928
562,1,364900062
563,1,364900738
564,1,365023425
565,0,365162728
566,0,366192766
567,0,368145750
568,1,368145774
569,1,368146433
570,1,368146856
571,1,368146876
572,1,368146887
573,1,368677064
574,0,368766717
575,0,368839602
576,0,369013946
577,1,369363732
578,1,370972368
579,0,371378332
580,1,372065125
581,1,373211399
582,1,373370445
583,1,373449037
584,0,374503126
585,0,374635442
586,1,376688812
587,1,376998230
588,1,377163555
589,0,377330633
590,1,377545115
591,0,377985963
592,1,380035636
593,1,380127369
594,0,382394957
595,1,382660930
596,0,382699093
597,1,383735640
598,1,383736119
599,0,384514293
600,1,384515958
601,0,384738586
602,1,386359081
603,1,387629827
604,0,389633948
605,0,390841192
606,0,391079410
607,1,393054829
608,1,393054993
609,1,393055124
610,0,393451763
611,1,395797798
612,1,397601914
613,1,400891307
614,1,403156877
615,0,403271496
616,0,404919728
617,0,405155843
618,0,405454654
619,0,406490693
620,1,407886941
621,0,408184813
622,0,409140040
623,0,410044667
624,0,410742829
625,0,411284809
626,0,411285630
627,1,413587222
628,1,415178747
629,1,416479743
630,0,418807137
631,1,420260979
632,1,420825166
633,0,421367238
634,1,421541814
635,0,422235256
636,1,423545563
637,1,425381600
638,0,430519893
639,1,432660144
640,0,449286348
641,1,451600970
642,1,451662558
643,1,452138754
644,1,452418075
645,1,452471400
646,1,454139188
647,1,455123826
648,1,456000510
649,1,456182983
650,0,457448473
651,1,457574235
652,0,457574251
653,1,457577009
654,1,457586841
655,0,458179057
656,0,458181526
657,1,458210678
658,0,458354800
659,0,458356243
660,1,459943638
661,1,460228443
662,1,460228618
663,1,461523934
664,1,463641510
665,1,463641978
666,1,465987630
667,1,466034965
668,1,466237341
669,0,467790651
670,0,469805663
671,0,469805872
