,cat,id
0,0,1100957
1,0,1296287
2,0,1626281
3,2,3061324
4,0,3280955
5,1,4214229
6,0,5820644
7,0,6119380
8,1,6463126
9,2,7126083
10,0,7179424
11,1,7796162
12,1,8402987
13,2,8489429
14,0,8693375
15,1,9559012
16,3,11753743
17,0,12322846
18,3,12349374
19,3,12351001
20,1,12599821
21,3,12801450
22,3,14020909
23,2,15188262
24,2,16094039
25,1,16351483
26,1,18724169
27,0,18815757
28,0,18821450
29,0,18991289
30,0,19115551
31,1,19624632
32,0,19649092
33,2,19777979
34,2,22095585
35,1,22170618
36,1,22985154
37,1,23596088
38,2,23598328
39,1,24235763
40,0,24377183
41,3,24657759
42,3,24931767
43,0,26210721
44,2,26257433
45,3,26437394
46,1,26832803
47,2,26929110
48,0,27527008
49,2,27819255
50,3,27894885
51,1,28998104
52,2,29312884
53,2,29447048
54,0,31101234
55,0,31305075
56,1,32491410
57,1,33253554
58,3,33344433
59,0,33689718
60,2,34443335
61,3,34729711
62,0,34974635
63,1,35204321
64,1,35391084
65,0,35411197
66,3,35568027
67,2,36573895
68,2,36967321
69,1,37153985
70,0,37526262
71,3,37639796
72,1,37704354
73,3,37746800
74,3,38169334
75,0,38180055
76,3,39242289
77,2,39384910
78,3,40030354
79,3,40622992
80,3,40761954
81,0,42820743
82,3,43511304
83,2,44571335
84,0,44815628
85,1,44835257
86,3,44897341
87,3,44972628
88,0,45347702
89,1,45558373
90,1,47256978
91,3,47802000
92,2,48159199
93,3,48321758
94,1,48335380
95,1,48399907
96,0,49288447
97,2,49697937
98,3,49776977
99,1,49803603
100,3,50238564
101,3,51887130
102,0,53899624
103,3,54139502
104,2,54717210
105,0,55130951
106,1,55200275
107,3,55786556
108,1,55908062
109,0,56264804
110,1,56434259
111,3,56552090
112,3,57019473
113,3,57481270
114,3,57689119
115,0,58671316
116,2,58828246
117,2,59118698
118,1,60294962
119,1,60733759
120,0,61621418
121,2,61871996
122,2,62933760
123,1,63830209
124,1,63840805
125,0,65129611
126,2,65496614
127,0,65573842
128,1,65668388
129,1,65873462
130,1,65881679
131,2,68503348
132,3,69439950
133,0,70376329
134,2,71069870
135,3,71877558
136,1,72240021
137,3,73149745
138,0,74313738
139,1,74490985
140,1,74593026
141,0,74603649
142,0,75347559
143,1,76310372
144,2,77140374
145,3,78453106
146,1,79152537
147,1,80284883
148,0,81481739
149,1,81536629
150,1,82001421
151,1,82570931
152,2,82874657
153,2,82945578
154,3,83435996
155,0,83494263
156,1,84959964
157,3,85278698
158,1,86805585
159,0,87010330
160,0,87337436
161,0,87361853
162,3,88211595
163,2,88779552
164,2,88889426
165,2,89164244
166,2,89265724
167,0,89395581
168,1,89659726
169,3,89952024
170,0,90090025
171,0,90473715
172,3,90634122
173,3,90919501
174,1,91818599
175,0,93225316
176,0,93844048
177,2,95167278
178,1,95300982
179,3,95821656
180,2,96121666
181,0,96378418
182,0,97012181
183,1,97084955
184,1,97523158
185,1,97560490
186,2,97621281
187,1,97644331
188,2,97978906
189,0,98737114
190,3,98747422
191,0,99069478
192,0,99401865
193,3,99930254
194,3,100938115
195,1,101790186
196,1,102163356
197,0,104655469
198,0,104666827
199,2,105030273
200,1,105555967
201,3,106341845
202,1,106547827
203,1,106767270
204,1,107435921
205,0,108504503
206,2,108636726
207,0,109154765
208,1,110119992
209,1,111004430
210,2,111803363
211,1,112825372
212,0,113190688
213,0,114189689
214,0,114721797
215,3,115791187
216,1,116119701
217,3,117138585
218,0,117675120
219,2,118187801
220,3,118489608
221,3,118495323
222,2,118672585
223,1,119394129
224,0,119477223
225,1,120755800
226,0,120822747
227,3,121798052
228,0,122046728
229,1,123561814
230,0,123576252
231,3,123606376
232,3,123654136
233,1,123882693
234,2,124342588
235,2,124878945
236,3,125076370
237,3,125229578
238,1,126641559
239,3,128356152
240,0,128446849
241,3,128600657
242,0,130408784
243,3,130702758
244,0,130810977
245,2,131168306
246,2,131274220
247,1,131867402
248,0,132080012
249,0,132148135
250,2,132690385
251,2,132692685
252,0,133387113
253,0,133448480
254,1,133992499
255,0,135112581
256,0,136631183
257,1,137196012
258,0,137205627
259,1,137928262
260,0,138250783
261,1,138295811
262,2,138371205
263,0,139119945
264,3,139270201
265,3,139454313
266,0,139680481
267,0,140285153
268,1,140747258
269,2,141183716
270,3,141944627
271,0,142821398
272,0,142940058
273,1,143071289
274,1,143107505
275,3,143205071
276,2,144290828
277,3,144775421
278,2,145256111
279,3,145782217
280,2,146676395
281,0,146891155
282,1,149009935
283,2,149064181
284,2,151424323
285,1,151916826
286,3,152343954
287,3,152656182
288,2,153883775
289,1,155396039
290,2,156131091
291,0,156951434
292,1,157120987
293,0,157687713
294,1,160078630
295,3,160658108
296,1,160782573
297,3,161767290
298,3,161794395
299,0,161847956
300,2,162061191
301,0,162635819
302,2,162783552
303,1,162857914
304,0,163006375
305,1,163691363
306,0,163965792
307,0,164174782
308,0,164326141
309,3,164557274
310,0,164686040
311,2,164806145
312,2,164837712
313,0,165517902
314,0,165607604
315,2,167186289
316,2,167186575
317,2,167186825
318,1,167333912
319,0,167900422
320,1,168825118
321,3,169440317
322,2,169825661
323,0,170554811
324,2,170821502
325,1,170919598
326,0,171471719
327,2,172518964
328,3,173033215
329,2,173203899
330,3,174174331
331,0,174349284
332,3,174556116
333,0,174705276
334,2,174715822
335,0,174783276
336,0,174852960
337,2,176218128
338,0,176592448
339,0,177044008
340,1,177140976
341,0,177309801
342,0,178849844
343,1,178855230
344,0,179280521
345,0,179576248
346,0,179960013
347,1,180939346
348,3,181657035
349,0,181882434
350,2,183131538
351,2,183406675
352,0,183809341
353,3,184396965
354,2,184445238
355,2,184889978
356,1,185477309
357,1,185739367
358,2,186008411
359,0,186260203
360,1,186272591
361,3,186775445
362,2,187132783
363,1,187145094
364,0,187246767
365,0,187723115
366,2,188536956
367,0,188879927
368,2,189508596
369,1,189864085
370,3,190101040
371,3,190877959
372,1,190878471
373,2,190936284
374,3,191091032
375,2,191162550
376,2,192303109
377,2,192491468
378,3,192699155
379,0,193036431
380,2,193138444
381,0,193466578
382,0,193501556
383,1,193751905
384,0,194052859
385,1,196662682
386,0,197306524
387,2,197645180
388,0,199302064
389,1,200759126
390,1,200907418
391,0,201937717
392,1,202174220
393,0,202258408
394,1,202444053
395,1,203055715
396,0,203135004
397,3,205144748
398,1,206248547
399,3,207583673
400,0,207788679
401,0,208445678
402,1,208793642
403,1,209890723
404,0,210062160
405,1,210120152
406,0,211233566
407,0,211246818
408,0,211257262
409,1,212532217
410,2,212751606
411,2,213484906
412,2,214726229
413,1,214929814
414,2,215275544
415,3,215318582
416,3,215778737
417,0,215955039
418,3,216547350
419,1,217908951
420,0,217925746
421,0,218302555
422,3,218365641
423,0,218817122
424,3,219333576
425,0,219334493
426,1,220557812
427,3,222050130
428,3,222346530
429,2,222527803
430,0,222617347
431,3,223895716
432,3,223924316
433,0,224320119
434,2,225874359
435,3,226469207
436,2,226566084
437,3,226918199
438,3,228137169
439,0,228567234
440,0,229441828
441,3,229602056
442,2,229850542
443,0,230626437
444,3,231629912
445,0,231718835
446,3,233345149
447,3,233968781
448,0,234077656
449,1,234663935
450,0,234903163
451,1,234922564
452,1,236973176
453,0,237938337
454,2,238418382
455,2,238619695
456,3,238835070
457,1,238860264
458,3,239751323
459,2,240117530
460,0,240968115
461,1,241401063
462,0,241969878
463,1,242755502
464,2,243132452
465,1,243349432
466,1,244104959
467,1,244358088
468,2,244362512
469,3,245777840
470,1,246053028
471,2,246682238
472,1,247068466
473,3,247942156
474,1,248712354
475,2,249256729
476,2,249257006
477,2,249492039
478,1,249710913
479,0,250003340
480,3,250197991
481,1,251292331
482,2,251789481
483,3,251972250
484,3,252667938
485,0,252781455
486,0,253676727
487,0,253823954
488,0,254364306
489,1,255732996
490,0,256333529
491,3,257537071
492,3,257544936
493,0,258351262
494,0,259742459
495,2,260282387
496,0,260569786
497,2,260961406
498,0,261263080
499,0,261440040
500,2,261925069
501,0,262988525
502,3,262998174
503,0,264118793
504,1,264148957
505,2,264475101
506,0,265924465
507,3,267186604
508,1,267187703
509,2,267266184
510,3,268974398
511,0,270110052
512,0,270310468
513,0,270337183
514,0,270727667
515,2,271845685
516,2,273437993
517,0,273486115
518,1,273698208
519,0,274267760
520,1,274986208
521,3,275467254
522,1,275678012
523,0,276325290
524,1,277135984
525,3,277392835
526,3,278525736
527,3,278943194
528,0,279079333
529,0,279791952
530,2,279992563
531,3,280554940
532,2,281389740
533,2,282254697
534,2,282355240
535,1,282789368
536,1,283713399
537,3,284618483
538,2,285397255
539,3,285942886
540,1,286182152
541,3,286286800
542,2,287610295
543,3,288925528
544,3,288934230
545,2,289183985
546,2,289232943
547,2,290621618
548,1,291886168
549,0,292856499
550,0,293006333
551,0,294141332
552,3,294678886
553,1,296060573
554,0,299396526
555,3,300041540
556,1,301083790
557,1,301237544
558,0,301405736
559,1,301608443
560,0,301650527
561,0,301652212
562,0,301671019
563,2,302893646
564,2,304427726
565,2,304973376
566,3,305009263
567,3,305757921
568,3,305931184
569,0,306389502
570,3,306924292
571,3,307483392
572,2,307490472
573,0,307517511
574,2,307520597
575,2,307906290
576,1,308286470
577,2,308446448
578,1,309618987
579,3,309715481
580,1,310025122
581,0,310734214
582,0,310924564
583,3,311581782
584,2,311736709
585,2,312268035
586,3,312816777
587,3,313556012
588,3,314235165
589,0,314774904
590,0,315859818
591,2,316530366
592,1,316762262
593,1,316863826
594,1,317896116
595,0,317984803
596,1,318116174
597,1,318320417
598,1,318805924
599,0,319810143
600,0,320005442
601,3,320203689
602,1,320368157
603,0,321322776
604,0,321414205
605,3,322241225
606,1,323163075
607,0,323493845
608,0,324442414
609,3,324713140
610,3,324713568
611,3,324737249
612,0,324798587
613,1,325560125
614,0,326861329
615,2,327124649
616,2,327267798
617,1,327342106
618,1,327558133
619,0,329164334
620,0,329927691
621,3,330791510
622,2,331408652
623,2,331514732
624,2,333330831
625,0,333771274
626,2,333831975
627,2,334235046
628,2,334235395
629,0,334312401
630,3,334949420
631,0,335062963
632,1,335342772
633,0,335368027
634,2,336517628
635,1,336886337
636,2,336911222
637,0,336989995
638,0,337284606
639,3,337936393
640,1,338738531
641,1,338756013
642,3,338845086
643,3,339458883
644,0,339708926
645,0,339750954
646,2,339962829
647,0,340209160
648,1,340941337
649,0,340958202
650,0,341668559
651,0,341679764
652,1,342007606
653,2,343611560
654,2,343982937
655,0,346356222
656,0,347275149
657,0,349175528
658,0,349884629
659,2,350208236
660,1,350433466
661,2,350449687
662,0,351824933
663,0,352318833
664,3,352325700
665,0,352335980
666,0,352525810
667,2,353668395
668,0,354065173
669,0,354080697
670,1,354240538
671,2,354885017
672,0,355071949
673,1,355183870
674,3,355250472
675,0,356515052
676,0,357189654
677,0,358833072
678,0,359141102
679,3,359747105
680,1,359855510
681,2,359981308
682,2,361612134
683,3,362222585
684,2,362732234
685,1,362900137
686,0,363430995
687,1,365028136
688,1,365839739
689,0,366447431
690,1,366487346
691,0,366622248
692,0,366831132
693,1,367356566
694,0,367502595
695,1,368219388
696,1,368518192
697,1,368987001
698,0,370098356
699,0,370185539
700,2,370433391
701,3,370435116
702,2,370596942
703,2,371570021
704,3,372105348
705,2,372258824
706,0,372536807
707,2,372832737
708,1,374260389
709,2,375230269
710,2,376906174
711,1,377406563
712,0,380250102
713,2,381048969
714,0,381768270
715,0,381992167
716,3,382010384
717,1,382036290
718,0,382155221
719,1,382732649
720,1,385131250
721,0,385439664
722,1,386688624
723,0,387004058
724,1,387201824
725,2,387352979
726,2,389577002
727,2,389857400
728,3,390111718
729,2,390396826
730,0,390852081
731,0,392234587
732,1,392706794
733,3,394104077
734,2,394436757
735,3,394879851
736,0,395030787
737,2,395594806
738,0,395751753
739,2,395881678
740,3,396364713
741,0,396488622
742,1,397560431
743,3,397988050
744,1,398068289
745,2,398134199
746,1,398556467
747,1,398662345
748,0,399075843
749,0,399219188
750,1,399837759
751,1,401065379
752,1,403184893
753,2,403414011
754,0,404725506
755,1,404892653
756,1,405644071
757,1,407196515
758,1,407205903
759,1,409223208
760,3,409707189
761,1,409910512
762,0,410260283
763,1,410440942
764,3,410973983
765,1,411928325
766,2,414845224
767,1,415538240
768,3,416446432
769,0,416831363
770,3,417238717
771,0,417306777
772,2,417463338
773,0,417577610
774,2,418270365
775,0,419903881
776,0,420013710
777,3,420899009
778,0,421901954
779,3,422676086
780,1,422778450
781,2,422805435
782,1,430346088
783,2,434399290
784,0,436684203
785,2,440317474
786,2,440997360
787,2,441026649
788,0,446272529
789,2,449650900
790,3,450422362
791,1,451570837
792,0,452729841
793,0,455587046
794,1,457272609
795,0,458022490
796,1,460907015
797,3,461967624
798,3,462438784
799,1,466482651
800,3,468495649
801,0,468559237
802,3,468980828
803,0,473042999
804,0,473366945
805,2,475285531
806,1,475852460
807,0,477651580
808,2,480452463
809,3,481546308
810,3,484905420
811,2,484978604
812,1,487563555
813,0,487666689
814,2,487950920
815,2,488961349
816,0,493578701
817,0,496318088
818,0,497053772
819,0,498559344
820,3,499587143
821,0,499623175
822,1,499641773
823,1,500294552
824,0,501985581
825,3,511011624
826,2,512448131
827,2,513033762
828,2,513142996
829,2,513517525
830,2,517333145
831,2,519592677
832,2,519896823
833,3,523107677
834,2,524572599
835,1,534559697
836,1,534715187
837,0,535223181
838,0,536529858
839,0,537016235
840,3,537067671
841,0,538115359
842,0,538175453
843,1,539229145
844,2,539789294
845,0,540242688
846,2,542080552
847,2,542542496
848,0,542551007
849,1,543125200
850,2,544086352
851,0,545526340
852,0,546026253
853,0,546964395
854,0,549414826
855,2,549485899
856,2,550673431
857,0,556007125
858,0,556561661
859,0,559956456
860,0,560469611
861,0,561182817
862,0,562481607
863,2,564114750
864,1,569441324
865,1,570943514
866,1,574172891
867,0,578448290
868,2,580024287
869,1,583145297
870,0,583550895
871,2,584712394
872,1,586710878
873,3,586972514
874,2,587625617
875,3,587626204
876,0,587830041
877,0,591824766
878,0,592169881
879,0,592260573
880,3,592806793
881,1,594205305
882,0,594562509
883,2,596365412
884,2,597325924
885,2,597865147
886,0,598012648
887,2,598332503
888,2,599011562
889,1,600399676
890,2,600798785
891,2,601203502
892,0,601999914
893,3,606007700
894,0,609027791
895,2,609028346
896,2,615496659
897,2,618323225
898,2,620160529
899,2,621294703
900,0,625852929
901,1,629851364
902,1,630367181
903,0,633136323
904,1,633903683
905,2,635222223
906,3,638691883
907,2,639325569
908,3,641666957
909,0,645132727
910,2,645347167
911,3,646983641
912,0,647156830
913,1,647171749
914,2,648105714
915,0,649645618
916,0,649698264
917,0,649739247
918,1,650170871
919,3,650768885
920,0,651713706
921,2,652038004
922,0,653251705
923,0,653314221
924,2,653969506
925,0,654023978
926,0,654757410
927,0,654780326
928,0,654785624
929,0,655796447
930,0,655902248
931,2,656973394
932,0,657737690
933,0,662986282
934,2,665402109
935,2,668042263
936,2,669059008
937,2,669098420
938,3,669314841
939,3,670025262
940,2,671641357
941,2,672764929
942,0,673126762
943,3,673691575
944,1,674010351
945,0,676234282
946,0,677467766
947,1,678027525
948,0,680746535
949,0,681137863
950,2,683603643
951,0,693042720
952,1,694927306
953,0,695823417
954,3,696914973
955,3,697310486
956,0,700565995
957,2,703557153
958,2,703576810
959,0,703928397
960,1,706330500
961,0,706539929
962,1,707004800
963,3,707454325
964,2,707546676
965,3,707549864
966,0,707697605
967,0,708102229
968,2,712990557
969,1,715477780
970,3,718536051
971,1,718843718
972,2,719014666
973,1,720693957
974,3,720946429
975,0,721193773
976,3,721328244
977,3,721347659
978,0,723204421
979,0,723483570
980,0,724094369
981,2,724244917
982,0,724387875
983,1,726238015
984,2,726395879
985,2,726772695
986,2,727252117
987,3,729045060
988,3,729273137
989,0,729273166
990,0,729288841
991,0,729291107
992,2,730294657
993,2,730321756
994,0,730367442
995,2,731162287
996,0,731556535
997,2,731625515
998,3,731632625
999,2,732122517
1000,0,732458311
1001,1,732600210
1002,2,732604217
1003,1,732627369
1004,1,733073120
1005,0,733224171
1006,2,734527754
1007,0,734705011
1008,3,737364415
1009,1,737958012
1010,0,737961391
1011,0,739781358
1012,0,740242825
1013,1,741619860
1014,3,741660754
1015,2,741759386
1016,2,742022907
1017,0,743295644
1018,2,743341399
1019,3,745095845
1020,1,745535124
1021,2,748512481
1022,3,748727473
1023,0,749120402
1024,2,749576857
1025,0,750346262
1026,1,753103656
1027,1,753615469
1028,3,755638928
1029,1,756281916
1030,0,760698177
1031,0,761853801
1032,0,764229399
1033,2,765783362
1034,1,767933602
1035,1,768800368
1036,2,768833342
