,cat,id
0,2,843469
1,1,959460
2,2,1698122
3,2,1835841
4,1,2249812
5,2,3312345
6,1,3414554
7,0,3744760
8,1,4171493
9,1,4681972
10,1,5838325
11,2,7712668
12,0,7735032
13,1,7740356
14,2,7964621
15,1,8700269
16,1,9703493
17,1,10134200
18,1,10289720
19,2,12279072
20,2,12356676
21,2,12356789
22,2,13179782
23,0,14986512
24,2,14996853
25,1,15649892
26,2,16037959
27,2,16038375
28,2,16384673
29,2,16774626
30,0,17591088
31,1,17599655
32,1,17770517
33,1,18010823
34,1,18062905
35,1,18608552
36,2,18669754
37,2,19577861
38,2,19870684
39,1,21272935
40,1,22062772
41,0,22585220
42,1,22952282
43,2,23599157
44,2,23672274
45,0,23822869
46,2,24023268
47,1,24993804
48,1,26059976
49,1,26183271
50,1,26191989
51,1,26528576
52,0,26551309
53,2,27550170
54,0,28239197
55,1,29932562
56,0,30851206
57,2,30871912
58,2,31061433
59,1,31293336
60,1,31464144
61,2,33108463
62,2,33362325
63,0,33529678
64,2,33549596
65,1,33632427
66,2,34323779
67,1,35016079
68,0,35400903
69,2,36246978
70,0,37675474
71,0,37951377
72,2,39405213
73,2,39489467
74,1,39751375
75,0,40011076
76,2,40105279
77,1,41022465
78,2,41164204
79,2,42041544
80,2,42945473
81,2,44171924
82,1,44491047
83,1,45127100
84,0,46190832
85,0,46190989
86,0,46812266
87,0,47266234
88,2,47329912
89,1,47504360
90,1,47510316
91,0,50400787
92,2,51193453
93,2,51783861
94,2,52641662
95,2,54265980
96,2,54928091
97,1,55602996
98,2,57364965
99,1,57824557
100,1,58492930
101,1,59335972
102,2,59631832
103,2,59927112
104,1,60183579
105,1,60233403
106,1,61577371
107,2,61865548
108,1,63073169
109,0,63275986
110,1,63321638
111,0,64231700
112,2,64278096
113,2,64326941
114,2,65221220
115,2,65457539
116,1,66985637
117,0,68539130
118,2,69173252
119,0,69489430
120,2,69902194
121,2,70358983
122,1,71153676
123,2,71177513
124,2,71795483
125,2,74325098
126,2,76574128
127,1,77886478
128,0,78005736
129,1,78854473
130,0,79614571
131,0,79707334
132,2,81827352
133,2,82332772
134,2,82553707
135,2,83499975
136,1,84547604
137,0,84716257
138,0,85352131
139,2,86224896
140,0,86436995
141,0,86600783
142,0,87877911
143,2,88573537
144,2,88736018
145,2,89664984
146,1,90633816
147,2,90990085
148,2,93836260
149,2,93871448
150,0,93934682
151,1,95360926
152,1,96051470
153,0,96232714
154,1,96761029
155,2,96992353
156,2,97011407
157,2,97502293
158,2,97517931
159,2,97948724
160,2,97950723
161,1,98365827
162,0,100585346
163,1,101199388
164,0,101355981
165,1,101467273
166,1,102092280
167,2,102533129
168,2,103490620
169,1,104551867
170,1,104927124
171,2,105002607
172,2,105891753
173,0,106181163
174,0,106617077
175,2,107095161
176,2,109147044
177,2,109196403
178,1,111376384
179,2,111791593
180,0,114687118
181,2,114807005
182,0,115115153
183,2,116510871
184,1,117852916
185,0,118034775
186,2,118208256
187,2,118347457
188,0,119089836
189,1,119142429
190,1,119850032
191,1,119991530
192,0,120130987
193,2,120198937
194,1,120369574
195,1,120429092
196,2,120548735
197,2,120558160
198,2,121144057
199,1,122825517
200,0,122837715
201,2,122854516
202,1,123498234
203,1,124112246
204,2,124599295
205,0,124848234
