,cat,id
0,2,1004174
1,0,1204679
2,1,2157202
3,2,2335516
4,0,2835538
5,1,3985756
6,0,4035740
7,0,4555045
8,0,5033755
9,0,5099701
10,1,5541052
11,0,6286618
12,0,7083581
13,0,9527350
14,2,9552924
15,0,9574937
16,0,9902653
17,0,10799638
18,1,11963481
19,2,12594921
20,0,12897059
21,0,15538166
22,0,15587208
23,2,15604909
24,0,15708907
25,1,16518666
26,2,16541104
27,1,16808905
28,0,19251101
29,2,19295025
30,1,20172749
31,0,20817618
32,0,20818370
33,0,21158737
34,1,21299162
35,1,21885141
36,0,23016328
37,0,23057770
38,2,23329621
39,0,23630747
40,0,23729594
41,0,24212504
42,0,24414640
43,2,24417741
44,1,25247030
45,1,25575535
46,1,25825010
47,2,27810154
48,0,29005363
49,0,29876758
50,0,30060129
51,0,30346767
52,1,31486301
53,0,31563938
54,2,31756892
55,0,31985140
56,2,31987152
57,0,32155275
58,0,33161624
59,0,34282290
60,0,34676904
61,0,34780894
62,1,34821355
63,2,35470515
64,1,35503332
65,0,36882720
66,0,37854756
67,2,37894293
68,0,40171262
69,0,41230181
70,0,41304763
71,0,41539727
72,0,41774732
73,0,42017509
74,1,44076739
75,0,44555463
76,0,44865608
77,0,45110064
78,0,45121183
79,0,45167915
80,0,46282768
81,0,47009149
82,2,47524867
83,0,48722331
84,1,50640813
85,0,50840291
86,1,51649742
87,0,52835164
88,0,52952954
89,0,53252386
90,1,53665196
91,0,53727811
92,2,54689598
93,1,55030117
94,0,55248022
95,1,56362650
96,0,57105518
97,0,57426459
98,0,59218604
99,0,59647762
100,2,60304741
101,0,60637322
102,0,62222721
103,0,62241432
104,1,63628883
105,0,64098476
106,0,64280391
107,0,64591987
108,1,64606690
109,0,67038199
110,0,68024893
111,0,69026892
112,1,69688140
113,1,70981557
114,0,73304225
115,0,73326736
116,0,74361471
117,2,75133163
118,1,77503837
119,1,78052751
120,2,79256928
121,0,80400994
122,1,80843917
123,0,81345341
124,2,81856727
125,0,81899727
126,0,83379384
127,1,83615662
128,0,85142495
129,1,85429209
130,2,85595505
131,0,85683852
132,1,86480391
133,1,87169446
134,0,87279899
135,0,87473018
136,0,87680007
137,0,88036572
138,0,88746094
139,1,89122288
140,2,90021228
141,0,91269526
142,0,91990020
143,2,93502515
144,1,94295234
145,0,94529592
146,0,95273936
147,0,95322145
148,0,95754706
149,0,96729880
150,0,96813205
151,0,97617032
152,0,100425444
153,0,100888586
154,0,103267701
155,0,103296782
156,0,104960191
157,0,105112549
158,0,106148792
159,0,107014615
160,0,107225779
161,0,107765307
162,0,110153195
163,0,111001446
164,0,111008387
165,2,112218844
166,0,113249170
167,0,113472300
168,0,114325893
