,cat,id
0,2,304080
1,2,579875
2,2,1155748
3,2,1837615
4,2,2406832
5,2,2786449
6,1,4190242
7,1,4385297
8,1,5494927
9,2,6253114
10,2,6983661
11,1,7005372
12,2,7720537
13,2,8154266
14,0,8160984
15,2,8213396
16,1,8614479
17,1,8803047
18,1,9835829
19,1,11256016
20,0,12966088
21,0,13974545
22,0,14035030
23,2,15059631
24,2,15362393
25,1,16627004
26,0,16636999
27,0,16660364
28,1,17924737
29,2,18064981
30,0,18555223
31,2,18921563
32,2,18980682
33,1,19292531
34,2,19491778
35,1,19620583
36,2,19892338
37,1,22192699
38,2,23298669
39,2,24238222
40,1,25260910
41,2,25956817
42,1,26984112
43,2,27704323
44,0,27895568
45,0,28025278
46,2,28047157
47,0,28272429
48,2,28783821
49,2,29967273
50,2,30106735
51,0,30341312
52,2,30427398
53,0,30575797
54,0,30766035
55,0,30828158
56,2,31596200
57,0,31854686
58,2,31982730
59,1,33526198
60,1,33848430
61,2,34166486
62,2,35036700
63,2,35969255
64,2,36023622
65,0,36623384
66,1,38055894
67,1,40775624
68,2,41709774
69,0,41846046
70,1,42477672
71,1,42707410
72,1,43518979
73,1,43582948
74,1,44003848
75,2,44211766
76,2,44671391
77,2,44765161
78,1,44894688
79,2,44914698
80,0,45224093
81,2,45752985
82,1,45888986
83,1,47379486
84,0,47633892
85,1,47750190
86,1,48071069
87,0,49376050
88,2,49584500
89,2,51431722
90,1,52389709
91,2,52392810
92,1,52470915
93,1,53343720
94,1,53469619
95,1,54927223
96,2,55405335
97,1,55929488
98,1,56251458
99,2,56699480
100,1,57216438
101,1,57861671
102,2,58303967
103,1,58356470
104,1,58559912
105,0,59002308
106,0,59582013
107,1,60037956
108,0,60886613
109,0,61518071
110,2,61598153
111,0,61837102
112,1,62131237
113,2,62305909
114,2,63277741
115,1,63415689
116,0,64157843
117,1,66920693
118,2,67372057
119,0,69309383
120,2,69399641
121,1,69537877
122,1,70369204
123,0,70715674
124,1,71251536
125,2,72414389
126,1,73281465
127,2,75172331
128,0,75473909
129,1,76517653
130,1,76553694
131,1,77574848
132,1,77597488
133,2,77665625
134,2,77998788
135,1,77998936
136,0,78002668
137,2,78509909
138,2,79108077
139,0,79987060
140,1,80435285
141,1,80534876
142,1,80658815
143,2,81069062
144,0,81621796
145,2,81692827
146,2,82238550
147,0,85888819
148,0,85896126
149,1,87122498
150,1,88331725
151,1,88502435
152,1,88577724
153,1,88816352
154,0,90029016
155,2,91193684
156,1,91355622
157,2,93841393
158,1,95117052
159,0,95913710
160,0,97204894
161,1,97757978
162,2,97847640
163,0,97852056
164,0,98446141
165,1,98513807
166,1,98616340
167,1,99152213
168,1,100078990
169,1,100087326
170,0,100783891
171,2,102068631
172,1,102111858
173,2,102222166
174,0,102268371
175,2,102358779
176,2,102452548
177,0,102519217
178,2,103008686
179,1,103319398
180,2,103469124
181,1,103563310
182,1,104002999
183,2,105543717
184,2,106275087
185,0,106494364
186,1,107091607
187,1,109205711
188,0,110481949
189,0,111367873
190,2,111746850
191,2,111765577
192,0,113218521
193,0,113219131
194,1,114220094
195,2,114270628
196,1,117305130
197,1,117400065
198,2,117503217
199,2,119050879
200,2,120298952
201,2,120829055
202,1,121207783
203,2,121685588
204,2,122059840
205,0,122147984
206,1,122453581
207,2,122863663
208,2,124270781
209,2,125485644
210,1,125982969
211,1,125984223
212,2,125985557
213,2,126231498
214,2,128355293
215,2,128720156
216,1,129264306
217,2,130307608
218,2,130677642
219,0,131152030
220,0,131397972
221,0,132482871
222,2,132854853
223,2,133160700
224,2,133488276
225,1,134047845
226,1,134591183
227,2,134636362
228,1,135516005
229,1,135524765
230,0,136167718
231,2,136234339
232,2,136642854
233,2,138834233
234,1,138981695
235,0,138982434
236,1,140131079
237,0,141768184
238,1,141768231
239,1,141788386
240,2,141876673
241,0,142213898
242,2,142609094
243,2,142853874
244,0,144524861
245,1,145373885
246,2,145701875
247,0,145825152
248,1,145830286
249,1,146259843
250,2,146546965
251,2,146640970
252,0,147461517
253,0,147582877
254,2,148286355
255,1,148375985
256,2,148631387
257,2,148695456
258,1,152249648
259,0,152347059
260,0,152553830
261,2,152620489
262,2,152925862
263,2,154506315
264,0,155110650
265,1,155117421
266,1,156581462
267,1,158016120
268,0,158278874
269,2,161265012
270,1,162474254
271,2,163641473
272,2,163946267
273,0,164536371
274,0,165169425
275,2,165254173
276,2,165444682
277,1,165594012
278,2,166325221
279,1,166955332
280,2,167415092
281,1,168012241
282,0,168221390
283,2,168294298
284,2,168542839
285,1,168840237
286,2,169520545
287,0,169575390
288,1,170057141
289,1,170162373
290,2,171257403
291,1,172331575
292,2,172402844
293,0,172500322
294,0,172905161
295,0,174618596
296,1,175519881
297,1,175807023
298,1,176573998
299,2,177767347
300,0,178692767
301,1,178851625
302,1,180607052
303,1,180760586
304,1,180760722
305,0,181835150
306,1,182596172
307,2,182761811
308,2,184547773
309,1,184698718
310,2,185266693
311,0,185339947
312,0,186096292
313,1,186103358
314,2,186861062
315,2,187221454
316,2,187670463
317,2,188247482
318,0,188377398
319,1,188722837
320,1,188809547
321,2,189648121
322,0,190013467
323,2,192238543
324,1,192902780
325,1,193250774
326,1,193956380
327,2,194277206
328,1,194978104
329,2,195070136
330,2,195821468
331,0,195866450
332,0,196727771
333,2,198651486
334,2,198789838
335,1,199365700
336,2,200535882
337,2,200909497
338,2,201526984
339,1,201655150
340,1,201747842
341,2,201970937
342,2,202062501
343,2,202208511
344,1,202597901
345,1,203092021
346,2,203296488
347,1,203695330
348,1,204169961
349,0,204319413
350,2,204540280
351,1,204551709
352,1,204642156
353,1,205139466
354,1,205338633
355,1,205940290
356,1,206037789
357,1,207017269
358,1,207176628
359,1,207369901
360,2,207704067
361,1,208983023
362,1,209088753
363,2,210587277
364,1,211208539
365,1,211905970
366,2,213101791
367,2,213416729
368,1,213831301
369,2,214466293
370,2,215108297
371,2,215532916
372,0,215833591
373,0,217162594
374,2,217403690
375,2,217474840
376,2,217493254
377,1,218120188
378,2,218243975
379,0,219216235
380,1,219576141
381,1,219731918
382,0,220317053
383,2,220348961
384,2,220557712
385,2,220735354
386,0,221042487
387,2,221651814
388,1,222515338
389,2,222644787
390,1,222716528
391,1,223902853
392,1,223979095
393,1,224678500
394,0,226250670
395,1,226395063
396,2,226435960
397,0,227019227
398,2,227224742
399,1,227631056
400,1,229027714
401,0,229592024
402,1,229736215
403,2,230521767
404,2,231900055
405,2,232922493
406,2,233172054
407,1,234347551
408,1,235136124
409,0,235390298
410,2,235633586
411,1,237531917
412,0,237636296
413,2,238384610
414,2,238946258
415,0,238995475
