,cat,id
0,2,440212
1,0,807700
2,1,1903722
3,2,2058838
4,2,2573242
5,0,2834536
6,2,4952741
7,2,5257871
8,0,5325284
9,2,5957177
10,3,8409240
11,2,8661227
12,2,8819844
13,0,9320548
14,0,10243247
15,2,10390927
16,0,10818963
17,2,11336392
18,1,12393551
19,2,12598072
20,2,12995061
21,1,14167255
22,1,14674403
23,1,16339570
24,1,17210168
25,0,18519825
26,2,18577265
27,2,18607034
28,2,18887571
29,1,19417877
30,1,20880839
31,0,20943929
32,2,21367412
33,2,22882374
34,0,22898605
35,0,23363759
36,1,23837828
37,0,23962098
38,0,24426600
39,0,26603950
40,0,28463986
41,1,28638349
42,1,28694842
43,1,29136827
44,1,29160627
45,0,29237821
46,0,30278588
47,3,30336517
48,3,30609391
49,2,33235212
50,1,33894630
51,1,34055219
52,0,35181065
53,2,35211995
54,1,35926657
55,0,36099332
56,1,36438527
57,3,37712684
58,1,37723335
59,2,38271687
60,3,38531038
61,2,38854094
62,0,39092601
63,1,39622273
64,2,41045033
65,1,41073022
66,0,41441828
67,2,42111841
68,2,42159522
69,0,42385284
70,0,42463029
71,2,43050059
72,3,43514206
73,0,43595705
74,0,45490165
75,0,45547375
76,1,45955358
77,1,46173510
78,2,46175277
79,3,48798152
80,0,48835406
81,2,49006586
82,3,49196367
83,0,51260510
84,0,52668914
85,0,53074457
86,2,53586810
87,2,53617918
88,1,54510249
89,0,54736567
90,2,54914434
91,2,55224977
92,2,55304308
93,2,55449981
94,0,55513326
95,1,56029996
96,1,57687515
97,3,58976139
98,0,59070846
99,3,59270899
100,1,59304156
101,0,59677219
102,2,59780292
103,1,59910965
104,1,59937708
105,3,60012755
106,3,60772215
107,0,60841478
108,2,61228683
109,0,61659682
110,2,62701288
111,2,62753946
112,0,62840543
113,1,63020439
114,0,63944051
115,3,64896100
116,1,65126569
117,0,65905449
118,0,66428316
119,1,67950391
120,1,68777096
121,0,69526722
122,2,70412716
123,2,71546673
124,2,71774660
125,2,71814819
126,1,71933152
127,0,72160471
128,1,72509496
129,0,72909025
130,1,74215913
131,1,74672873
132,0,74743920
133,0,76005541
134,1,76846105
135,0,77484993
136,2,77855053
137,3,77899456
138,2,77991190
139,0,79159914
140,0,80210625
141,3,80326616
142,3,80467726
143,1,81343044
144,1,83254118
145,1,83957516
146,3,85041084
147,0,87011181
148,3,87480587
149,3,87546386
150,0,87709259
151,0,88617907
152,0,89006415
153,2,89150187
154,2,89556465
155,0,89623906
156,1,90251061
157,2,90984673
158,1,91096716
159,3,91103208
160,0,91389229
161,2,91544249
162,3,91946101
163,0,91948882
164,2,92200754
165,1,92305762
166,0,93759398
167,2,94666162
168,0,94826342
169,1,95539098
170,1,96346294
171,0,97112771
172,2,97396492
173,2,98063939
174,1,100473319
175,2,101152896
176,1,101284796
177,2,102165199
178,1,102211847
179,0,102760483
180,2,103233600
181,2,103886731
182,2,104240284
183,3,104935165
184,1,105537262
185,2,105573575
186,3,105637615
187,0,105976238
188,0,107505321
189,3,107780373
190,0,108108283
191,3,108273140
192,2,108802807
193,2,108825995
194,1,109535711
195,0,109958584
196,0,113593491
197,1,114754164
198,2,115007196
199,0,115391298
200,3,115583523
201,3,116214215
202,3,116451573
203,2,116613669
204,1,117952795
205,1,119446162
206,0,120060058
207,0,120141060
208,3,120883191
209,1,123201424
210,3,123327865
211,2,123456283
212,2,123480627
213,2,123606427
214,1,124613509
215,3,125187732
216,0,126392475
217,2,127109082
218,2,127483017
219,0,127621385
220,3,129570309
221,0,130517288
222,3,132170979
223,2,134077990
224,1,134359760
225,0,134856733
226,1,134868779
227,1,135666475
228,2,136252773
229,3,136388957
230,0,136596047
231,0,137087377
232,2,137204615
233,2,138868383
234,0,139625915
235,0,141550744
236,0,141843829
237,1,142013086
238,1,142658484
239,3,142668791
240,0,143934377
241,2,144771298
242,1,145008039
243,1,145222869
244,3,145244000
245,3,145374286
246,1,145567489
247,2,146074783
248,0,146545239
249,0,146735956
250,1,147051815
251,1,147180250
252,2,147892334
253,0,149495985
254,1,151627413
255,0,152481284
256,0,152847675
257,3,154695829
258,2,154816701
259,1,154885450
260,3,154901639
261,2,155500023
262,2,156186038
263,2,156818974
264,0,157819053
265,0,157925988
266,0,158493515
267,0,158533831
268,0,158768657
269,0,158797498
270,2,159186827
271,0,160192852
272,1,160201910
273,1,161103814
274,2,161643580
275,2,162679133
276,0,162996332
277,0,163623174
278,2,163915413
279,1,164038423
280,2,164514383
281,2,164728627
282,1,166310042
283,1,166868451
284,2,166954909
285,2,171233357
286,0,171256644
287,2,171644048
288,2,171724387
289,1,172077419
290,0,172832762
291,0,173631632
292,1,174005290
293,3,174475348
294,3,174964629
295,3,175771112
296,0,175812936
297,3,176020364
298,2,177575085
299,0,177603740
300,0,177822756
301,1,178591422
302,2,180084617
303,1,181430128
304,3,182165402
305,0,182446778
306,2,183935894
307,0,184682960
308,2,186379034
309,1,187010741
310,0,187126619
311,2,188654897
312,1,189033967
313,2,190300689
314,0,190671089
315,0,191725082
316,0,192214661
317,1,192600211
318,1,192604245
319,3,192605985
320,0,193002967
321,0,194099115
322,2,194184574
323,2,194687645
324,0,195989778
325,3,196002724
326,3,196431385
327,3,197414985
328,0,197691999
329,0,198223442
330,0,198743174
331,1,199939018
332,2,200060813
333,0,200124995
334,1,200270208
335,0,200515947
336,1,201760024
337,0,202448889
338,2,203083841
339,0,203481047
340,0,203673502
341,0,203845846
342,1,206076113
343,3,206952617
344,1,207857228
345,1,208366727
346,2,209788994
347,3,210015506
348,1,210148156
349,2,210739126
350,1,213158463
351,2,213371996
352,1,213592094
353,2,213631387
354,3,214399404
355,3,214804004
356,1,215506732
357,1,216038800
358,1,216466037
359,2,216547216
360,2,217350336
361,0,217418386
362,0,217951010
363,2,218313284
364,2,218327387
365,2,219195011
366,1,220509431
367,2,221204190
368,1,222084498
369,3,222842712
370,2,223353093
371,1,223731582
372,1,223769384
373,1,224104619
374,3,224889054
375,0,225386795
