,cat,id
0,1,443562
1,0,463803
2,2,964326
3,0,2596154
4,0,2774869
5,3,4882553
6,0,5680179
7,1,5761701
8,2,6226457
9,0,7537824
10,1,7677349
11,0,10056264
12,1,11154167
13,1,11683533
14,1,12070223
15,3,12272458
16,0,12909712
17,3,13136503
18,1,13848717
19,1,14167716
20,0,14311278
21,1,15342448
22,1,17527286
23,0,17932761
24,1,18803937
25,0,19595689
26,2,19634645
27,2,19893947
28,1,19895807
29,1,20073916
30,0,20193484
31,2,21998382
32,0,23634798
33,2,24361627
34,0,25287849
35,0,27186196
36,2,27307959
37,0,29933044
38,1,30340835
39,1,35909381
40,2,38092199
41,1,38910240
42,0,39122445
43,1,39258808
44,2,40140832
45,3,40548927
46,3,41865421
47,1,42005498
48,1,42725680
49,1,45672584
50,0,45681485
51,3,45863832
52,1,46363176
53,2,47678974
54,1,48332206
55,2,50543552
56,2,50848309
57,2,50856238
58,1,51184559
59,0,51764983
60,0,52635292
61,2,54022323
62,1,54234953
63,0,54774286
64,0,54774530
65,1,54957493
66,0,55372754
67,0,55658069
68,1,56239851
69,1,57342457
70,1,57842495
71,3,58642529
72,3,58642977
73,3,58643599
74,3,58643995
75,0,59370990
76,0,60099336
77,1,60396664
78,0,60420853
79,3,61116350
80,1,61445093
81,1,61445325
82,2,64101654
83,1,65288942
84,1,66327699
85,2,67569939
86,1,68374848
87,0,68975683
88,0,70314700
89,1,72450557
90,1,72719266
91,0,73202355
92,0,74069595
93,1,74564934
94,1,74598983
95,0,74709089
96,1,74906754
97,2,76419783
98,0,77460397
99,0,77978191
100,1,78161516
101,0,78463544
102,0,78966425
103,0,78983165
104,2,79463998
105,1,79718608
106,1,79745718
107,1,80078414
108,2,80640156
109,1,81571392
110,3,82556014
111,0,83469309
112,1,83874878
113,0,84079776
114,1,84711276
115,0,85698674
116,1,86233371
117,0,87326402
118,2,87598068
119,1,89512411
120,2,90121337
121,1,90569164
122,0,92590087
123,2,92758084
124,1,94343455
125,1,94596493
126,3,94597044
127,0,97137949
128,3,98399933
129,0,101604918
130,1,104182314
131,1,104182368
132,3,104967755
133,1,106359631
134,0,106453744
135,0,106572136
136,2,106637142
137,2,107517415
138,0,107728193
139,3,108461211
140,1,108672655
141,0,110057531
142,3,110710984
143,1,110721376
144,0,111709179
145,3,112316284
146,1,112636282
147,0,113292668
148,2,113619742
149,0,113774188
150,1,114054530
151,0,114305498
152,1,115011540
153,2,116621966
154,1,116726244
155,1,116850738
156,0,117141764
157,0,118754369
158,0,118960473
159,0,119696758
160,1,120441259
161,0,121032104
162,0,121187444
163,0,121750032
164,1,122358326
165,1,123934608
166,0,125014234
167,2,126348400
168,1,126617386
169,0,126675566
170,1,128139496
171,1,129941597
172,1,130132775
173,1,130518315
174,1,130645817
175,1,133120353
176,2,133194113
177,0,133406733
178,0,133656969
179,0,133742330
180,0,134284812
181,1,134312034
182,2,134664815
183,1,135230558
184,0,135435253
185,0,135435461
186,1,135736025
187,2,136346310
188,0,136849712
189,3,136984814
190,1,137579787
191,0,138099454
192,2,138847532
193,1,139907661
194,0,140688962
195,3,141528236
196,0,141621094
197,1,141652753
198,0,142817214
199,1,143418970
200,0,143679945
201,0,143680630
202,3,144150083
203,1,144862561
204,1,144863929
205,1,145502543
206,2,145788290
207,0,146366497
208,2,146505133
209,2,147286033
210,0,147543487
211,1,149335020
212,2,149614725
213,2,150079006
214,2,151120940
215,1,151153630
216,3,153161364
217,1,153508815
218,0,153906309
219,1,154679156
220,2,155387904
221,1,155666211
222,1,157276663
223,1,157997102
224,1,161129719
225,2,161199599
226,2,161580694
227,1,162126759
228,0,162662573
229,1,162678324
230,0,163087090
231,1,164244994
232,0,165533604
233,0,167719383
234,1,167836647
235,1,168215573
236,0,168566228
237,1,168743566
238,2,169183429
239,1,170045962
240,0,170975488
241,2,172528143
242,1,172542705
243,0,172915159
244,0,172923277
245,1,173259370
246,1,173471550
247,2,173621557
248,0,174542792
249,0,174558902
250,0,175497970
251,0,176938705
252,0,177068401
253,0,177158690
254,0,178123727
255,1,179706567
256,1,179937139
257,0,180105759
258,0,180126956
259,1,181651428
260,1,181728205
261,0,181868963
262,1,182626605
263,0,182790904
264,0,182822520
265,3,183347172
266,1,183541445
267,1,184038333
268,1,184872889
269,1,185056092
270,0,185166022
271,2,186237063
272,3,186963318
273,2,187390187
274,0,187578676
275,1,187731185
276,1,188051891
277,1,188656576
278,1,188744483
279,1,189330023
280,1,189558185
281,2,190418930
282,2,190427646
283,2,190705013
284,1,192102531
285,0,194165374
286,0,194521869
287,3,195164220
288,1,195276415
289,2,196065616
290,1,196116656
291,0,196494614
292,1,197925518
293,1,199002057
294,1,200541080
295,1,200950517
296,2,201187236
297,0,201675072
298,1,201822733
299,2,202056308
300,0,202682698
301,0,203075131
302,3,203479627
303,3,203773194
304,0,205892048
305,0,206679767
306,2,206729255
307,1,208604861
308,2,209336978
309,0,209718762
310,1,209778823
311,0,210719496
312,2,211054894
