,cat,id
0,1,681375
1,0,776719
2,0,1298342
3,0,1317953
4,1,1733229
5,1,1758865
6,0,2551760
7,0,4428134
8,0,5653881
9,0,7435736
10,1,8224915
11,0,8655585
12,0,8921927
13,1,9450741
14,0,9665077
15,1,10776034
16,0,10998636
17,0,11110687
18,1,12079179
19,1,12728877
20,0,12742011
21,1,12742217
22,1,13103689
23,0,13542344
24,0,14782700
25,0,15665305
26,1,15889519
27,0,17005373
28,1,17360124
29,0,19930124
30,0,22397609
31,1,22906673
32,1,23146226
33,0,23391509
34,1,23853033
35,0,23853698
36,0,24211449
37,0,26213667
38,0,26380669
39,0,26469140
40,1,27079881
41,1,28041060
42,0,28970246
43,0,28971147
44,0,28976407
45,0,30886075
46,1,32209209
47,0,33982551
48,1,34031229
49,1,34101791
50,1,35084748
51,1,35265434
52,0,35560446
53,1,36239130
54,0,37397804
55,0,38623445
56,0,41062875
57,0,41442196
58,0,41614100
59,1,41788925
60,0,41907026
61,1,41955727
62,0,42461143
63,0,42628206
64,0,43588685
65,0,44746921
66,0,45251126
67,1,45494293
68,0,45537341
69,0,45660093
70,1,45802367
71,1,46268911
72,0,46474124
73,0,47200086
74,1,47355554
75,1,47756012
76,1,48041462
77,1,48443933
78,0,48898865
79,1,48936858
80,1,49854730
81,1,52563681
82,0,53310216
83,1,55204534
84,1,55212673
85,0,56894145
86,0,59147722
87,1,59625208
88,0,60389799
89,0,60781207
90,1,62948262
91,1,63045455
92,0,63391105
93,0,63644242
94,1,65614672
95,0,66443151
96,0,66970803
97,0,67080109
98,1,67289276
99,0,68298553
100,1,68309999
101,1,68523805
102,1,68667304
103,0,68729655
104,0,69749782
105,1,72934121
106,1,73418855
107,0,74162807
108,1,74817415
109,0,75204415
110,1,75753187
111,1,76071957
112,0,76222428
113,1,77006055
114,1,77899803
115,0,78584095
116,1,78620851
117,0,78987945
118,1,79139931
119,0,79568084
120,1,81332642
121,1,81683394
122,1,82772218
123,0,83004164
124,1,83286157
125,0,83948078
126,1,85760739
127,0,85831179
128,0,86040362
129,1,86798400
130,1,86814823
131,1,87098678
132,0,87873068
133,1,87969029
134,0,88435992
135,0,89002284
136,0,89080346
137,0,89526219
138,0,89741713
139,1,90090008
140,1,90241300
141,1,91430879
142,1,91806248
143,1,91852026
144,1,91853006
145,0,92155108
146,1,92300339
147,1,92493831
148,1,93150252
149,0,93434360
150,0,94526662
151,0,95633493
152,0,96477262
153,0,97424184
154,1,97692741
155,0,98270543
156,1,98315008
157,0,99236502
158,1,100229851
159,0,100791497
160,0,101009744
161,0,101319784
162,1,101858818
163,1,101930388
164,0,101931031
165,0,102166902
166,1,103629247
167,0,104094099
168,1,106339955
169,1,106986433
170,1,107768712
171,0,109058857
172,0,110417595
173,0,110742294
174,1,111563266
175,0,112928239
176,0,113671583
177,0,114387311
178,1,115909573
179,0,116058731
180,0,117397133
181,0,118745529
182,1,118824053
183,1,118935861
184,0,120095453
185,0,120198674
186,0,120658283
187,0,120701639
188,0,120701683
189,1,120711997
190,0,120716839
191,0,120792705
192,0,121539415
193,0,121671480
194,0,121687946
195,1,121801197
196,1,122594399
197,0,123776432
198,0,124497970
199,1,125049942
200,1,126494151
201,0,126712062
202,0,127066287
203,1,127353050
204,1,127467866
205,0,129195213
206,1,129243517
207,1,129425099
208,1,129697485
209,0,129775896
210,0,129868878
211,0,131033011
212,0,131966252
213,0,132049360
214,0,132049889
215,0,132297886
216,0,132517305
217,1,133086324
218,1,133417418
219,0,133718598
220,0,137581512
221,1,139531082
222,1,140055922
223,1,140122280
224,0,140691271
225,0,141014205
226,0,142653567
227,0,144474842
228,0,145294738
229,0,145758195
230,0,147030208
231,0,147054672
232,0,147206421
233,0,148938068
234,0,149231500
235,1,149552815
236,0,150036214
237,0,151407691
238,0,151414739
239,0,151999699
240,0,153165571
241,0,153505826
242,0,153712585
243,0,153987212
244,1,154808587
245,0,154826688
246,0,157134882
247,0,157309937
248,0,157362113
249,0,160764443
250,0,163493076
251,1,163649120
252,1,164807811
253,1,164838620
254,0,167733454
255,0,168299076
256,0,170311544
257,0,170312136
258,1,172584387
259,1,172700837
260,1,172771961
261,0,173002579
262,0,173711992
263,1,174971041
264,0,175281249
265,1,178140670
266,1,178296116
267,0,178303303
268,0,178434356
269,0,178474941
270,1,178591230
271,1,179699589
272,1,180413376
273,1,180483549
274,0,180984373
275,0,180985946
276,0,182021798
277,1,182674163
278,0,183197422
279,0,184000028
280,0,184292373
281,0,184990594
282,1,185458729
283,1,185871495
284,0,186430600
285,0,187605148
286,1,188004225
287,1,189145935
288,0,189195422
289,1,190101502
290,1,191058046
291,0,191296047
292,0,191400434
293,1,191711503
294,1,192797198
295,0,193274797
296,0,193591844
297,0,193834348
298,0,194009456
299,0,194049341
300,0,195626650
301,1,196468144
302,0,197000829
303,1,197361096
304,1,197519920
305,0,197641600
306,0,197845650
307,1,198065288
308,1,198587429
309,0,199754653
310,1,199756432
311,0,199861836
312,1,201956891
313,0,203144237
314,1,203717466
315,0,203861569
316,0,204061169
317,1,205246498
318,0,206579682
319,0,206761891
320,1,209144717
321,1,209431426
322,0,209494394
323,1,209706874
324,1,209893511
325,1,210154568
326,0,210175873
327,1,210284857
328,1,211197793
329,0,211615424
330,0,211763946
331,0,211931745
332,0,212039590
333,0,215427542
334,0,217582580
335,1,218256109
336,0,219222166
337,0,219419178
338,0,220795167
339,0,221175652
340,1,223068009
341,0,223248751
342,0,223320032
343,0,223336157
344,1,223630649
345,0,224134590
346,0,224514369
347,0,226875120
348,0,226990480
349,0,227217818
350,0,227389986
351,0,228700317
352,0,229767462
353,1,230851052
354,1,230971051
355,1,231225236
356,1,232336789
357,0,233580427
358,0,234422862
359,0,234422993
360,0,235368742
361,0,235734275
362,1,235902766
363,1,236086426
