,cat,id
0,0,461962
1,3,1462839
2,1,1783591
3,2,3589108
4,3,4036475
5,1,7439722
6,3,8286963
7,3,8991940
8,0,10066144
9,0,10370935
10,3,10439533
11,0,10906983
12,3,11479422
13,3,12324795
14,3,17710344
15,1,18917276
16,3,19058768
17,3,20129359
18,3,20342347
19,4,21673585
20,0,21715752
21,3,22133161
22,0,24845279
23,3,25121924
24,3,26062604
25,3,26439741
26,2,27284385
27,3,27839494
28,0,35452075
29,4,36758738
30,3,38140521
31,1,38390936
32,0,38522649
33,3,39280600
34,1,41219405
35,3,41294233
36,2,41550666
37,2,41551721
38,2,41552961
39,3,41625998
40,0,42623292
41,1,42779350
42,1,42794837
43,3,44649610
44,3,45013132
45,3,45459231
46,0,46763680
47,3,47727361
48,3,47996214
49,3,48506819
50,3,50157082
51,3,53658441
52,3,54691083
53,3,55304474
54,3,56474051
55,3,56935310
56,3,57775224
57,3,58078473
58,3,58169609
59,1,59791116
60,2,59973315
61,1,61060843
62,2,61450445
63,3,62534081
64,0,65791550
65,0,65792613
66,3,67444531
67,3,68512015
68,3,70027080
69,1,70890467
70,1,71416760
71,1,72015569
72,3,72688316
73,2,72807877
74,3,73852723
75,3,74491186
76,3,74873836
77,0,75179553
78,2,75735463
79,2,76850041
80,3,76994498
81,3,77442666
82,3,77534584
83,2,79290689
84,1,79712475
85,3,80424627
86,3,82696884
87,3,85988088
88,3,86210949
89,3,86439175
90,2,88009462
91,3,89464341
92,3,90296533
93,1,92517180
94,3,93560019
95,3,93560272
96,3,94915036
97,2,94980091
98,1,95063664
99,2,96001662
100,3,97062641
101,1,97313501
102,0,97838094
103,3,98321769
104,4,98384361
105,1,98552573
106,0,98768365
107,1,99317519
108,3,100187659
109,3,103593520
110,3,105526767
111,2,105770889
112,0,105802381
113,1,106457595
114,2,108308724
115,2,112827273
116,3,113310970
117,1,114186062
118,1,114362233
119,4,115970003
120,3,116104955
121,3,116417285
122,3,116953044
123,0,118131499
124,1,118153982
125,3,118802756
126,3,120412499
127,3,121074694
128,1,121592573
129,1,121815589
130,1,122031038
131,3,122797193
132,2,123241682
133,0,123584835
134,3,123730810
135,2,124259200
136,3,126611134
137,3,126716111
138,3,130102444
139,2,131897048
140,2,133036964
141,0,134957362
142,2,135928295
143,3,139029559
144,3,139291403
145,3,140606282
146,3,140903053
147,2,141135569
148,2,141908725
149,3,142037434
150,2,142921166
151,1,143754916
152,3,146044353
153,2,147524220
154,3,147524475
155,3,147525491
156,1,147819542
157,0,150149940
158,3,150421459
159,0,151376529
160,0,152136420
161,0,152380829
162,1,153104727
163,4,153508474
164,0,154343033
165,0,154344986
166,0,154346705
167,2,154360414
168,2,155047686
169,2,155049486
170,2,155049503
171,1,156173839
172,3,157434652
173,0,160117493
174,1,160282809
175,3,160282839
176,3,161241875
177,1,163538429
178,3,163654148
179,0,163671820
180,0,164349031
181,2,165029285
182,0,165046268
183,3,165076595
184,1,167160216
185,0,168235862
186,3,168538358
187,3,168969128
188,2,169106517
189,0,169446297
190,0,170048743
191,3,170091067
192,4,171732755
193,3,172530042
194,2,172747882
195,2,172747949
196,2,175421646
197,1,175898956
198,1,176043741
199,1,176285703
200,2,177250879
201,1,178485380
202,3,178660779
203,4,180516636
204,2,181673969
205,1,182117983
206,3,186149394
207,0,188556788
208,2,189015916
209,4,189476102
210,3,190530704
211,3,190890717
212,2,191367274
213,3,191884035
214,3,192634500
215,1,194262135
216,0,194389619
217,1,194468446
218,1,194812652
219,3,195172024
220,2,195703281
221,3,197172519
222,2,198511095
223,3,198704050
224,3,198840454
225,3,199173588
226,4,201393031
227,2,201827384
228,2,201836386
229,3,202211125
230,3,203204831
231,1,204191159
232,2,204314499
233,3,206682589
234,1,206764439
235,3,206880714
236,2,208664838
237,3,208687799
238,3,210557943
239,0,211738239
240,3,212242795
241,3,212448125
242,4,213429742
243,3,213921110
244,0,214871104
245,3,215091042
246,3,215442889
247,3,216158694
248,3,216665519
249,3,219307884
250,4,219835996
251,3,220493625
252,2,221070581
253,2,221082521
254,2,222335843
255,0,223164877
256,3,223613901
257,3,225359259
258,1,225858082
259,0,226696179
260,2,226966639
261,3,229350524
262,1,229456623
263,3,229645970
264,1,230404143
265,3,231307822
266,3,231529092
267,0,231689798
268,1,231690359
269,0,232083346
270,3,234084792
271,0,234251393
272,3,235270174
273,3,235484812
274,3,235520189
275,0,235573178
276,2,237408878
277,2,239381595
278,2,240183142
279,1,241342833
280,3,242219126
281,2,242596237
282,0,242828468
283,0,243158705
284,0,243634844
285,3,243977264
286,3,244298252
287,3,245794691
288,3,246438030
289,4,247198844
290,2,248172982
291,3,249053274
292,1,249590076
293,2,249648654
294,1,250145586
295,1,250251876
296,3,250716962
297,3,251814597
298,0,253541506
299,0,253891348
300,3,256371420
301,2,256478804
302,0,257369236
303,3,257772688
304,3,258135322
305,0,258540543
306,3,259152403
307,3,261306341
308,3,262700631
309,0,265032547
310,0,267375754
311,1,268616486
312,1,269151213
313,3,269587649
314,1,270587064
315,2,270703330
316,3,273001124
317,4,273074332
318,1,274336883
319,1,275037431
320,0,275148156
321,0,276391991
322,0,276491110
323,4,277651155
324,0,277871781
325,0,277876377
326,0,278118314
327,0,278657974
328,1,278867265
329,3,279078110
330,3,279161266
331,1,279165400
332,1,279228092
333,1,279341427
334,3,279387653
335,1,279415821
336,3,279440945
337,3,279507574
338,3,279535343
339,3,279562413
340,3,279563408
341,3,279600684
342,2,280145707
343,3,280212172
344,3,281395443
345,1,284486355
346,0,287143910
347,3,287222191
348,1,288999021
349,3,289812948
350,3,290487251
351,3,291959598
352,3,292154962
353,3,292684800
354,3,295135956
355,3,295291451
356,0,295848525
357,3,295909941
358,2,296183080
359,3,297427176
360,3,298482808
361,1,301958264
