,cat,id
0,2,242524
1,2,242841
2,2,1270685
3,0,1355266
4,0,1952837
5,0,2204584
6,0,2226034
7,2,2551712
8,1,2808171
9,0,2983736
10,1,4776398
11,1,5454233
12,1,5621167
13,0,5860088
14,0,5868696
15,0,6280958
16,2,6616390
17,1,8092907
18,2,8206308
19,1,8223823
20,2,9319682
21,0,9575150
22,0,10001418
23,0,10003438
24,2,10007438
25,0,10421153
26,0,11011801
27,0,11474773
28,0,13685913
29,0,14224971
30,0,14444728
31,0,15118782
32,0,15922190
33,0,16006970
34,2,16113354
35,0,16448392
36,0,16841115
37,2,17466070
38,0,18565182
39,0,18956930
40,2,19136697
41,1,20102736
42,0,20188925
43,0,20550164
44,0,22265839
45,0,22372158
46,2,22867114
47,0,22876956
48,0,22998255
49,0,23784109
50,0,23833034
51,2,24430475
52,1,26106709
53,0,28814720
54,0,29187341
55,1,30761653
56,1,30955187
57,1,31421909
58,0,31501101
59,0,32016125
60,2,32187718
61,0,32189061
62,2,32458566
63,2,34737939
64,1,37075269
65,2,38546062
66,0,38630913
67,2,38631047
68,1,39444185
69,0,41477655
70,0,41655434
71,2,42092517
72,0,42378373
73,0,43449935
74,0,43586481
75,0,43757578
76,0,44120565
77,1,44409579
78,1,44409928
79,1,45293825
80,2,45617514
81,1,46757100
82,2,52666661
83,2,52924981
84,2,53308242
85,0,53718236
86,0,53718695
87,2,54180935
88,2,54234236
89,2,55520913
90,0,55601692
91,0,57137752
92,0,57183503
93,2,57184301
94,0,57212200
95,2,58387191
96,2,58491361
97,0,59104066
98,1,59141175
99,1,59808384
100,2,61103884
101,1,61615740
102,2,61710693
103,0,62708369
104,0,63463642
105,0,63761887
106,0,64285567
107,2,64789130
108,0,65388142
109,0,65458978
110,2,66872728
111,2,67999675
112,2,67999810
113,2,69182595
114,2,69184069
115,1,69558145
116,2,70456511
117,1,71301077
118,0,71578757
119,1,72318603
120,0,72361640
121,2,72422279
122,1,73965534
123,0,74127809
124,0,74500780
125,0,76248846
126,2,76483586
127,2,76525285
128,2,76820257
129,1,76898774
130,1,76899025
131,0,76962276
132,0,77400333
133,2,77732594
134,0,79548373
135,2,80176769
136,1,81111918
137,0,81208037
138,0,82265035
139,0,82532649
140,0,82532681
141,0,83769033
142,2,84002923
143,2,84339249
144,0,84378107
145,2,84857918
146,1,85082096
147,1,85196512
148,1,85545384
149,0,85991077
150,2,88320692
151,1,89439315
152,0,90054231
153,2,90829695
154,0,91340591
155,0,91443273
156,2,91981025
157,2,92424660
158,0,94015395
159,0,94422447
160,0,96264481
161,0,97070252
162,2,98344500
163,2,99150811
164,2,99387659
165,0,100219109
166,2,100279925
167,0,101453301
168,0,101884395
169,2,101980893
170,1,105722491
171,0,106486169
172,0,107609501
173,0,108596826
174,2,109257568
175,2,110463348
176,0,110467894
177,0,111062121
178,2,111799378
179,0,111899049
180,1,113502140
181,0,113502289
182,2,113526786
183,2,115170020
184,2,115366894
185,0,116757342
186,0,117048495
187,0,117605116
188,0,118430247
189,1,121503204
190,2,122145403
191,0,123518818
192,1,123728551
193,0,123798031
194,0,123902809
195,0,124003948
196,0,124149152
197,0,124583796
198,0,124613663
199,0,126122705
200,0,127797715
201,2,128511629
202,0,128737777
203,2,130631652
204,2,131688471
205,2,131828198
206,2,132864610
207,2,133590868
208,2,133709152
209,2,133799356
210,2,133901609
211,2,134254293
212,2,134278078
213,0,134394806
214,0,136032614
215,2,136034554
216,1,136062015
217,1,137450108
218,0,137534975
219,2,138069869
220,0,138205850
221,2,138283777
222,0,142009362
223,1,143382189
224,2,143504730
225,2,143575594
226,2,144048851
227,0,144118339
228,0,145172037
229,2,145569067
230,0,145587417
231,0,145982051
232,0,146732617
233,0,146738238
234,0,146819353
235,2,147554955
236,0,147782237
237,2,148207487
238,2,148262651
239,1,148920881
240,2,149133087
241,2,150946870
242,2,151088828
243,0,151210254
244,0,151768915
245,2,152010161
246,1,152029533
247,0,154769067
248,2,155009117
249,2,155454235
250,2,156043402
251,2,157481054
252,2,157740693
253,0,158132980
254,0,158858439
255,2,159003671
256,0,159111468
257,2,159558487
258,2,159572355
259,0,159705726
260,0,160145750
261,2,160248866
262,0,161660751
263,2,161834499
264,0,161845011
265,2,163212620
266,0,163807131
267,2,166327337
268,1,167298368
269,0,167309041
270,1,168077167
271,0,168092310
272,0,168122046
273,1,168536453
274,0,168814586
275,1,168993323
276,0,169014088
277,2,169019608
278,2,169064721
279,0,169181305
280,0,169348122
281,2,169487790
282,0,170304402
283,0,172408300
284,0,172969550
285,0,173602395
286,2,174462700
287,2,174463217
288,2,175177199
289,2,175771629
290,0,176222575
291,0,176377575
292,2,177724530
293,2,179111540
294,1,179390644
295,0,179504575
296,1,180589634
297,0,181222720
298,2,181774361
299,0,182655239
300,1,184031516
301,2,184277675
302,2,184874985
303,0,185940769
304,0,187181559
305,1,188017502
306,1,188405061
307,2,188885948
308,0,188969710
309,0,192437281
310,0,193489395
311,2,194069431
312,1,194237620
313,1,195035583
314,1,197586201
315,0,199053524
316,2,199749877
317,2,200084855
318,2,200358371
319,1,201660870
320,0,202601416
321,0,202841663
322,0,203089770
323,2,203186324
324,2,204195695
325,2,204471873
326,0,204575864
327,1,205776724
328,2,207369886
329,2,207460188
330,0,209086441
331,1,209589636
332,2,211037600
333,1,211636399
334,0,211915470
335,0,212461791
336,1,213036703
337,2,214427824
338,2,214768066
339,0,217972398
340,1,218694424
341,2,218911614
342,2,218912308
343,2,218912401
344,0,219916305
345,0,220842477
346,2,220889178
347,2,221223264
348,1,221769463
349,0,222655499
350,2,222672761
351,0,222737427
352,2,223967347
353,2,224360839
354,0,224732238
355,2,224934773
356,2,224935026
357,2,226278165
358,1,226749848
359,2,226887304
360,1,226927088
361,2,227903790
362,1,228395408
363,2,230093706
364,2,232491132
365,2,232591446
366,1,233632968
367,0,233847880
368,0,234111311
369,2,234431349
370,1,236839411
371,2,239622274
372,0,239937150
373,0,239937210
374,1,240245107
375,2,240852263
376,1,241485396
377,1,242304862
378,0,242347269
379,2,242419822
380,2,242624984
381,2,243221995
382,1,243547320
383,2,243837104
384,0,246647205
385,0,247171505
386,2,247193834
387,0,247393850
388,0,247863065
389,1,248124796
390,1,248741238
391,2,249099356
392,0,250140906
393,2,250798574
394,1,251484179
395,0,253097510
396,1,253731478
397,2,254512589
398,0,254927113
399,0,255955228
400,2,256869991
401,1,257093668
402,1,259196026
403,0,259249414
404,0,259528963
405,0,259537968
406,0,260081421
407,1,260720180
408,0,261404676
409,1,261778393
410,2,262921221
411,0,263082327
412,0,263355557
413,2,263613019
414,2,263984951
415,2,264712332
416,0,266337084
417,2,267255620
418,1,267761760
419,0,268098867
420,2,268122394
421,0,269748261
422,0,269974168
423,2,270623590
424,0,272563501
425,1,273136307
426,2,274047111
427,0,275041367
428,1,275310588
429,0,275486045
430,1,275612325
431,0,275865024
432,0,275957947
433,0,276110014
434,2,276428823
435,2,276786970
436,1,278428788
437,0,278857241
438,2,280155357
439,2,280383362
440,0,280587984
441,0,280590840
442,2,281349104
443,0,281370679
444,1,282178582
445,2,284003238
446,2,284126840
447,1,284536817
448,2,284732853
449,2,285042841
450,0,285131531
451,0,285219173
452,2,285937903
453,2,287189184
454,0,287435816
455,0,288197311
456,2,288370944
457,1,290533959
458,2,291075631
459,2,292317193
460,0,292677949
461,0,293154612
462,2,293947655
463,0,295102147
464,0,295956244
465,0,296819345
466,0,298466399
467,0,299352698
468,0,300537749
469,1,300886935
470,0,301109538
471,1,302326185
472,0,302675477
473,2,303195922
474,2,304341056
475,0,304858481
476,0,305928493
477,0,306681696
478,1,306738714
479,0,309233591
480,0,309891132
481,2,310656623
482,2,311630140
483,2,312678026
484,0,312678149
485,0,312936591
486,1,313337011
487,0,315423639
488,2,316382694
489,0,317102106
490,0,317310652
491,0,317429238
492,0,318854441
493,0,319104855
494,2,320515801
495,0,320563863
496,2,321697088
497,0,322122987
498,2,322643317
499,1,323218535
500,0,323722029
501,2,324377132
502,1,324379160
503,0,324562425
504,1,325279192
505,0,325581667
506,2,327072970
507,2,327632765
508,2,329364600
509,0,329934820
510,2,330989262
511,0,331354699
512,0,332046817
513,0,332504681
514,0,332540984
515,2,332662899
516,1,333059941
517,0,335058029
518,1,335672544
519,0,335852243
520,0,336312739
521,2,336714760
522,0,338235593
523,0,339068078
524,2,339162492
525,0,339958838
526,1,341905551
527,1,342400308
528,0,342646062
529,2,343206215
530,0,344123028
531,2,345795122
532,2,346741443
533,0,347818196
534,0,348789385
535,0,349535404
536,1,350185101
537,1,350438991
538,2,350608722
539,2,351471396
540,2,352352075
541,0,352545242
542,2,353083020
543,0,353460508
544,2,353635315
545,0,354055739
546,2,354338058
547,2,355959491
548,1,356523113
549,2,358340335
550,0,358665032
551,0,358685507
552,0,359031975
553,2,359287231
554,0,359501129
555,0,359521130
556,2,359654220
557,2,359656226
558,2,359948129
559,0,360203209
560,0,361396702
561,0,362644533
562,0,364111069
563,1,364396088
564,0,364599421
565,2,366212604
566,0,366344737
567,0,367173703
568,0,367658372
569,0,368451345
570,2,369039700
571,1,369175877
572,2,369688986
573,2,370172910
574,2,370319500
575,0,370390060
576,0,370776457
577,2,371783237
578,1,372360059
579,0,373041370
580,0,374059403
581,1,376376056
582,0,376612845
583,0,376680391
584,0,377276259
585,0,377623299
586,2,378456047
587,2,378946577
588,2,379542964
589,2,379798950
590,0,380216715
591,0,381287679
592,2,384178999
593,2,384179231
594,1,386081976
595,0,386121806
596,0,386256096
597,0,386456550
598,0,386582524
599,0,387822085
600,2,388355160
601,0,388907450
602,2,389225135
603,0,389312586
604,0,389326016
605,0,389451498
606,2,389580427
607,0,391270463
608,2,392254984
609,2,393831126
610,0,394608984
611,0,394609819
612,0,394610371
613,0,395808288
614,0,396380471
615,2,397010336
616,1,397634318
617,0,398297501
618,0,398469811
619,0,398733501
620,0,399312488
621,0,399755240
622,2,399815357
623,2,400514309
624,0,402441201
625,0,402610252
626,1,402750279
627,0,403050527
628,2,403499223
629,1,403897949
630,1,404121121
631,2,404793266
632,2,405009229
633,2,405135268
634,0,405583955
635,0,405805738
636,2,406712813
637,0,406864108
638,2,407184987
639,0,407388149
640,0,408750083
641,0,409507327
642,0,409821199
643,2,410081758
644,2,410731017
645,2,410755997
646,0,411222657
647,0,411762028
648,0,413369949
649,2,414242757
650,0,415663230
651,2,416197839
652,0,416273307
653,1,416587841
654,2,416951510
655,0,418981087
656,0,419967672
657,2,420842560
658,0,421325641
659,2,422414358
660,0,423216285
661,0,423547013
662,0,423548207
663,2,423586177
664,2,432262675
665,0,432429508
666,0,445751026
667,2,445871726
668,2,446336910
669,1,449057068
670,2,450904326
671,2,451203465
672,0,451669396
673,2,453106421
674,1,454741695
675,1,474799523
676,0,476283369
677,2,480852221
678,2,483425030
679,2,486421259
680,0,486454701
681,1,488487898
682,2,492373003
683,2,496285793
684,2,496559528
685,1,496781374
686,2,499312831
687,1,504843664
688,0,507984566
689,1,508134643
690,1,508551960
691,2,515886592
692,0,521996127
693,2,522266917
694,2,523794833
695,2,524453859
696,2,531091574
697,1,532299639
698,2,536233123
699,0,536278582
700,0,537038910
701,2,538321967
702,2,538322185
703,2,544541621
704,2,546218744
705,2,550994935
706,2,558787155
707,2,559036190
708,2,559063323
709,2,559206194
710,2,564156341
711,2,570260986
712,0,572168780
713,0,573283484
714,2,575267669
715,0,575370081
716,0,575392952
717,0,575415823
718,0,575553049
719,0,575598791
720,0,575644533
721,0,575667404
722,2,580956287
723,2,582743444
724,2,584296612
725,0,585545414
726,2,586053789
727,0,589588325
728,0,589840599
729,0,592479490
730,1,593755688
731,2,595512812
732,2,596065654
