,cat,id
0,1,862523
1,0,1756653
2,0,2221546
3,1,2917757
4,0,4049107
5,1,4978353
6,1,6773545
7,1,7617641
8,1,8241508
9,1,8501922
10,1,9465490
11,1,9652466
12,0,10495483
13,0,11713267
14,0,11982627
15,1,12822935
16,1,13389065
17,0,13424729
18,1,13523817
19,1,13553480
20,1,13553736
21,0,14179381
22,1,14679589
23,1,15913048
24,0,16758090
25,0,18978279
26,1,20915537
27,1,23274942
28,1,23366668
29,1,23720816
30,1,24259378
31,1,25027339
32,1,25178314
33,1,25458770
34,0,28315726
35,1,28769622
36,1,29015635
37,1,30046243
38,1,32680848
39,1,32957418
40,1,33396609
41,0,33941509
42,1,34897064
43,0,34983509
44,1,35407536
45,1,35704515
46,1,36159210
47,1,36799424
48,1,38705616
49,1,39428364
50,1,39751607
51,1,39962062
52,1,40547845
53,1,41427119
54,1,41754766
55,1,41760423
56,1,42299840
57,1,42349768
58,1,42358419
59,0,43511554
60,1,44670402
61,1,45286274
62,1,46054452
63,0,46414731
64,1,48865692
65,1,50925604
66,1,51344279
67,1,51623788
68,1,51920772
69,1,51948430
70,0,52031079
71,1,52063391
72,1,53414958
73,0,54936494
74,1,55558716
75,1,55576935
76,0,55721781
77,1,56029428
78,1,56387765
79,0,56460089
80,1,56477624
81,1,57128826
82,1,57578858
83,0,58284471
84,1,59015240
85,0,60709732
86,0,60902218
87,1,60976568
88,1,60988418
89,1,61704274
90,0,62386516
91,0,64305593
92,0,64446650
93,1,65341420
94,0,65423268
95,0,67528696
96,1,72729235
97,0,74600871
98,1,74804178
99,0,74888772
100,0,74888822
101,1,76237274
102,1,76328534
103,1,76716259
104,1,77582254
105,1,77640191
106,1,78206773
107,1,79035748
108,1,79246753
109,1,79574658
110,1,79719578
111,0,80021418
112,1,80022143
113,1,80434030
114,0,80982547
115,0,81732686
116,0,81931385
117,1,81948345
118,1,82135869
119,1,82957929
120,1,83928494
121,1,84474836
122,0,84731736
123,1,85114248
124,1,85341618
125,1,86497429
126,0,87331711
127,1,87831589
128,1,88431045
129,1,88476697
130,0,90143878
131,1,91014018
132,1,91759811
133,1,91808519
134,1,93065598
135,1,93326209
136,0,93472685
137,1,93649527
138,1,94314624
139,0,95330329
140,1,95924049
141,0,96362579
142,1,96496751
143,1,97092673
144,1,97820699
145,0,98477277
146,1,98905464
147,0,99643598
148,1,100374936
149,1,101212244
150,1,102284812
151,0,103120613
152,1,103310536
153,1,104444340
154,1,105803579
155,1,106240105
156,0,106402518
157,1,106952572
158,1,107114068
159,1,107836217
160,1,108281992
161,1,109633474
162,1,111400113
163,0,111700677
164,1,112198945
165,1,112410145
166,1,112612935
167,0,114940239
168,1,115222360
169,1,115595997
170,0,116214969
171,1,119688771
172,1,119697341
173,1,119919413
174,1,120393717
175,1,120426846
176,1,121011735
177,0,123838488
178,1,126032370
179,0,126093817
180,0,126493886
181,1,127459232
182,0,128113748
183,0,128806650
184,1,129662384
185,1,131513578
186,1,132024080
187,1,132411688
188,1,132836914
189,1,135956338
190,1,136101539
191,0,136499165
192,1,137631178
193,1,137647545
194,1,137866604
195,0,139155777
196,1,139246462
197,1,139415252
198,0,140386940
199,1,140571939
200,1,140655553
201,0,140744764
202,0,141106384
203,1,141577778
204,1,142028295
205,1,144715914
206,1,145075373
207,1,145082584
208,1,145089935
209,1,145375579
210,0,145611466
211,1,146375503
212,1,146799196
213,0,148223389
214,1,148911243
215,1,149897066
216,1,153211762
217,1,154895130
218,0,154895916
219,1,154957148
220,1,156479269
221,1,157346746
222,0,158163938
223,1,158347398
224,1,158492097
225,0,158668177
226,0,158897316
227,0,160496041
228,0,161494369
229,0,161540073
230,0,163494852
231,1,163728909
232,1,163775361
233,0,164193740
234,1,164581152
235,1,164830629
236,1,165392064
237,1,169474370
238,1,169579452
239,1,169876357
240,1,171977255
241,1,173988674
242,0,175784810
243,0,176907798
244,1,177083277
245,0,177214923
246,1,178955906
247,0,178984745
248,1,179216449
249,1,180407163
250,1,182334936
251,1,182334962
252,0,182980434
253,1,185582970
254,1,185632946
255,1,185640310
256,1,185689015
257,1,185706298
258,0,185772852
259,1,185825582
260,1,186268782
261,1,186400532
262,1,186856774
263,1,187042208
264,0,187318350
265,1,188126377
266,1,188336735
267,1,191268624
268,0,192230447
269,1,192463063
270,1,192464045
271,1,193502929
272,0,194639941
273,0,197484548
274,0,199164543
275,1,199456184
276,1,200527160
277,0,201136960
278,1,201414186
279,1,201484889
280,1,204602256
281,1,204946493
282,0,207633136
283,1,207675608
284,0,208532682
285,1,213528161
286,1,213758563
