,cat,id
0,0,967027
1,1,2179256
2,1,2874995
3,1,3012864
4,1,5017380
5,2,6184617
6,1,6939908
7,1,6969341
8,0,8435509
9,1,9579184
10,1,9887912
11,0,11440220
12,2,11593384
13,1,12061313
14,1,12299822
15,0,12638136
16,1,14748436
17,1,16668499
18,2,17193529
19,1,18883335
20,0,19674253
21,1,20059434
22,0,20114504
23,1,20224664
24,1,20234230
25,1,20960392
26,1,21872077
27,1,22423058
28,0,23022586
29,2,25064046
30,0,25064438
31,1,27277855
32,1,27437250
33,2,31977759
34,2,35007665
35,0,35251913
36,1,35364545
37,1,36584407
38,1,37820400
39,0,38609111
40,1,38768776
41,2,41020355
42,1,41031296
43,0,41525286
44,1,42455678
45,0,46259328
46,0,46767336
47,1,46926225
48,0,47455833
49,2,48385019
50,1,48581738
51,1,48837077
52,0,49047770
53,1,49897165
54,0,50006939
55,1,50472923
56,1,51269936
57,0,53448520
58,0,53655316
59,0,54975707
60,1,56870088
61,1,57750101
62,0,57982165
63,0,59561487
64,0,60349091
65,1,60917872
66,1,60918577
67,1,60989977
68,1,61253686
69,0,61282421
70,0,64106168
71,0,64864778
72,1,65572092
73,1,66498420
74,0,67091290
75,1,68180058
76,0,69108553
77,2,71181819
78,0,71413951
79,1,71622755
80,1,71788810
81,1,71861604
82,1,71984789
83,1,72365225
84,1,74793737
85,2,75601104
86,1,76314956
87,2,76315152
88,0,77143568
89,0,77230189
90,0,77510904
91,1,77886749
92,0,78023182
93,1,78229914
94,2,78606378
95,1,79073904
96,1,80072988
97,0,80825616
98,1,80963621
99,1,80976695
100,1,81273072
101,1,84212986
102,1,84477174
103,0,84910932
104,1,84994794
105,1,86637329
106,0,86821747
107,0,86824956
108,1,88654581
109,1,88811321
110,0,89962850
111,0,89974234
112,1,92132943
113,1,93250307
114,1,94819397
115,1,96679627
116,1,96804499
117,0,97719430
118,1,98627044
119,1,98635491
120,0,98951340
121,0,99240929
122,1,100798245
123,1,100834690
124,2,101505811
125,1,101683370
126,0,102268700
127,1,102841945
128,1,103114999
129,2,104123129
130,1,104712200
131,0,104914090
132,1,105438583
133,1,105860120
134,1,106292078
135,0,106329748
136,1,106407282
137,2,107500724
138,1,108947030
139,0,109798597
140,1,109896657
141,1,110171714
142,1,112021131
143,0,112182128
144,1,113043882
145,1,113443466
146,1,113716216
147,1,114625861
148,1,115101129
149,2,115904630
150,1,116808010
151,1,117273226
152,2,117739402
153,1,117752136
154,1,119920904
155,2,120662858
156,0,120869119
157,1,120888849
158,1,122133409
159,0,122149660
160,1,122294456
161,0,122388647
162,0,122491451
163,1,122807246
164,1,124110467
165,1,124880728
166,1,125549786
167,1,125665861
168,1,126012911
169,0,127175283
170,2,128143059
171,1,129203523
172,1,129852229
173,1,130485530
174,1,131007688
175,1,132606561
176,0,133487245
177,0,133770769
178,1,133958843
179,2,135068996
180,0,135781868
181,1,136323806
182,1,136434987
183,0,136850207
184,0,137728049
185,2,137785573
186,0,138587066
187,1,138717000
188,0,139202562
189,0,141061297
190,1,144176196
191,0,144745324
192,1,145298426
193,1,145698366
194,0,145822614
195,1,147644851
196,0,148536368
197,0,149631036
198,1,150371081
199,1,150883781
200,2,151047638
201,1,151648268
202,1,155050576
203,0,155051419
204,1,155500837
205,0,155758517
206,1,155943024
207,1,156032545
208,1,156657478
209,2,159452474
210,1,160599728
211,1,162859451
212,1,163169821
213,0,163706377
214,1,164640297
215,1,165097978
216,0,165681587
217,1,166620999
218,1,167956754
219,1,168709216
220,0,169027002
221,2,170110292
222,1,170394010
223,2,171172520
224,0,172123628
225,0,173733378
226,0,176035990
227,1,176046458
228,1,177728370
229,1,178872269
230,2,179166621
231,1,179569522
232,1,179569662
233,1,182240460
234,0,182290437
235,0,182320495
236,1,182980045
237,1,183223069
238,2,183356264
239,1,183702090
240,2,184531900
241,0,184652654
242,1,185946648
243,0,186348930
244,0,186864905
245,1,189463951
246,1,190289647
247,1,190431134
248,0,190912153
249,1,191731187
250,0,193073363
251,0,193090310
252,0,194089982
253,0,194243937
254,1,195909340
255,0,196100276
256,2,196370638
257,2,197641017
258,1,202472220
259,1,203080529
260,0,203118760
261,0,203119021
262,0,203119875
263,0,205004619
264,1,206305938
265,1,207085402
266,1,207085517
267,0,207244784
268,0,208318904
269,1,208578771
270,1,209181764
271,1,209651000
272,0,210895521
273,1,212092251
274,0,213557356
275,1,213724546
276,0,214840258
277,0,216072852
278,0,216363703
279,1,216655053
280,0,217222063
281,2,218332511
282,1,219105220
283,0,219778940
284,1,222136910
285,0,222693635
286,1,222947070
287,1,223071477
288,2,223969989
289,1,227089277
290,2,228421960
291,0,228549049
292,1,229466535
293,1,230663104
294,1,231738411
295,0,232157260
296,1,232181199
297,1,233117466
298,0,234760969
299,2,235066250
300,1,235096300
301,0,235369645
302,0,236169573
303,1,237060452
304,1,238485527
305,0,238596315
306,0,239203743
307,2,239405590
308,1,242603677
309,2,242879063
310,1,243077985
311,1,243464645
312,1,243590715
313,2,243878660
314,1,243904868
315,0,243917284
316,0,244189712
317,0,244607812
318,2,245618982
319,0,246484192
320,0,246619334
321,0,247093759
322,1,248000934
323,1,249486625
324,2,251039314
325,2,251125987
326,1,252066820
327,1,252191866
328,0,252573339
329,0,252738148
330,1,253699220
331,0,255270727
332,0,255975308
333,1,258335290
334,1,259004367
335,1,260096964
