,cat,id
0,0,1118851
1,1,1334805
2,2,1342805
3,0,2368361
4,1,4249296
5,2,4999195
6,0,5057157
7,1,5080278
8,2,5516475
9,0,6684497
10,2,6940717
11,1,7413772
12,1,7526826
13,1,7537024
14,2,7755333
15,0,7777536
16,0,8279420
17,1,8283721
18,0,8957453
19,2,11140039
20,0,11595695
21,0,11682484
22,1,12005234
23,2,12605582
24,1,12780352
25,1,12828733
26,2,13468693
27,2,13776665
28,1,14191476
29,1,14545679
30,1,15571025
31,1,15679696
32,1,17209781
33,2,19228694
34,2,20505686
35,1,20655721
36,0,21457754
37,2,22170857
38,0,22465989
39,1,23203120
40,1,23321112
41,1,23413862
42,0,23660645
43,0,23768207
44,1,25628526
45,2,26298070
46,1,26663517
47,1,26811520
48,1,27985902
49,0,30088383
50,1,30088439
51,2,30846025
52,1,32310935
53,1,32362985
54,0,33654985
55,0,33655064
56,1,37228358
57,2,39487111
58,2,39589799
59,0,39722795
60,2,39723745
61,2,40812013
62,2,41162794
63,1,42916734
64,2,43394685
65,2,43677840
66,0,44659409
67,2,46423714
68,1,46553561
69,1,46746483
70,1,47301885
71,0,47516984
72,0,49323909
73,1,49955902
74,1,51551450
75,0,53143531
76,1,53692858
77,0,53736735
78,1,53933946
79,0,54741664
80,2,55552169
81,0,55559215
82,2,56958421
83,1,57351405
84,1,58198304
85,2,58349174
86,2,58936803
87,1,59494388
88,0,59997216
89,1,61150696
90,1,61507351
91,1,62305058
92,1,63338049
93,1,63921432
94,1,64190443
95,1,64921530
96,0,66200976
97,0,66933364
98,1,66983894
99,0,67179146
100,1,67237922
101,1,68033955
102,1,69347527
103,1,69399205
104,0,69531761
105,0,70880549
106,0,71421317
107,2,71422351
108,1,73523763
109,0,73799634
110,2,74424909
111,0,76280587
112,1,76342409
113,1,76849833
114,1,76919393
115,2,78745243
116,2,78747943
117,1,79531920
118,1,79884515
119,1,80839525
120,1,80903522
121,1,81191785
122,0,82283549
123,0,82356511
124,0,82671852
125,0,82672486
126,2,82876225
127,1,83093406
128,1,84574793
129,2,85990201
130,1,86034952
131,1,87727156
132,2,89175996
133,2,89176530
134,1,90097965
135,2,90652063
136,0,91578253
137,0,91859131
138,1,92004337
139,0,92099384
140,0,92190178
141,1,92396370
142,1,92756846
143,1,93319671
144,0,94420607
145,1,96010265
146,2,96842763
147,1,98763504
148,2,98912286
149,1,99069412
150,1,99583328
151,2,100590136
152,1,101788498
153,0,102117824
154,1,102581132
155,1,103317727
156,1,103441351
157,1,103898600
158,2,104847003
159,0,104898569
160,1,104926672
161,1,105159677
162,2,106640925
163,2,106903176
164,1,107226022
165,0,107526079
166,2,107912991
167,1,108113286
168,1,108114534
169,0,110284459
170,0,113262554
171,1,115191574
172,0,116962382
173,1,119117685
174,0,119208370
175,1,119429548
176,0,119919238
177,2,121341124
178,1,121577172
179,1,121577360
180,1,121577424
181,1,122466405
182,1,122626234
183,1,122680247
184,0,122898529
185,2,124099585
186,1,124906604
187,0,125790758
188,0,126761409
189,0,126761464
190,0,127235302
191,1,127766810
192,2,128230305
193,2,128230424
194,0,128967540
195,2,129019982
196,2,129593558
197,1,129648946
198,2,129913041
199,2,129913475
200,2,129913500
201,2,129913637
202,2,129914931
203,0,131052526
204,0,131319673
205,1,131595813
206,2,131719025
207,1,132219067
208,1,132422854
209,0,133387634
210,1,134242299
211,1,134249934
212,2,134683196
213,2,137155254
214,2,137452964
215,1,137750143
216,2,138101864
217,2,138308763
218,2,138720590
219,1,139877844
220,2,142223107
221,1,143880732
222,1,145009589
223,1,145218888
224,2,146039011
225,2,146052697
226,2,146657210
227,2,150528757
228,1,151950521
229,1,152013195
230,1,152513090
231,0,152689614
232,1,152884703
233,0,154903896
234,1,154936393
235,0,155122655
236,0,155204905
237,1,155397522
238,2,155499982
239,0,156484634
240,1,156491317
241,1,157193152
242,0,158436032
243,0,159658712
244,2,160248655
245,2,160367545
246,0,160441011
247,2,160505826
248,0,161375472
249,0,161764950
250,0,161780467
251,2,162393386
252,0,163141890
253,0,163737964
254,0,163773863
255,2,163971918
256,1,165120092
257,0,165198102
258,1,165339484
259,1,166593414
260,0,167183171
261,2,168497099
262,1,168607377
263,2,170608588
264,1,170651527
265,2,172175695
266,2,172176239
267,1,172311755
