,cat,id
0,0,1449628
1,3,1586239
2,0,2753775
3,2,3027537
4,1,3554518
5,0,4885997
6,1,5085005
7,0,5671136
8,0,6225832
9,3,6296160
10,0,6907085
11,0,7668343
12,1,8328024
13,1,10704093
14,2,10753431
15,0,10765968
16,3,11191782
17,0,12531675
18,0,13754759
19,0,14495560
20,0,14842969
21,1,16724382
22,0,16822050
23,1,16824069
24,0,17021028
25,0,17847523
26,0,17968860
27,1,20394621
28,0,20400322
29,1,21022062
30,3,21609571
31,0,21611142
32,3,21838374
33,2,22277576
34,1,23257712
35,0,23265543
36,1,23500656
37,0,23843610
38,3,23884271
39,1,24739455
40,3,24777652
41,0,25926796
42,0,26232560
43,0,26390225
44,2,28362577
45,0,29628973
46,0,30438078
47,0,30701614
48,0,31008055
49,0,32020942
50,1,32131628
51,0,32215945
52,3,32396822
53,0,32455512
54,2,32707271
55,3,33588060
56,0,34476408
57,0,35028231
58,1,35208044
59,0,35272499
60,3,35678443
61,0,35771245
62,0,36756653
63,3,37618479
64,0,39775702
65,0,40574984
66,3,40581485
67,0,40841436
68,3,41119845
69,0,41418115
70,0,43482973
71,1,43856511
72,3,44154858
73,1,44173115
74,3,44214774
75,1,44916427
76,0,45783551
77,0,46240881
78,0,47660063
79,0,49636475
80,0,49903939
81,2,50721596
82,0,51664329
83,0,51697551
84,3,51980435
85,1,52244586
86,3,52350788
87,0,53578100
88,3,53762983
89,3,53848558
90,3,53853409
91,3,53856385
92,0,55111283
93,0,55509608
94,3,56053618
95,0,56199900
96,3,57439513
97,0,57464965
98,2,58405918
99,0,58884941
100,0,58985009
101,0,59256579
102,3,59261673
103,3,61419115
104,3,62181555
105,0,62933751
106,2,63219949
107,1,63999062
108,3,65926861
109,1,65947362
110,0,66337745
111,3,67238990
112,3,68475687
113,3,68480282
114,0,68757142
115,0,69436849
116,3,69908344
117,0,70345553
118,1,70660810
119,1,70740446
120,0,72064818
121,1,72566428
122,1,74122365
123,0,74561114
124,2,74564813
125,3,75527153
126,3,76188278
127,0,76323675
128,3,76387951
129,0,76509259
130,0,77433140
131,3,77761099
132,0,78655932
133,3,79873295
134,0,81836015
135,0,82591474
136,2,83055225
137,0,83727651
138,0,83791217
139,0,84295298
140,0,84807756
141,0,84825443
142,3,85613320
143,0,87615481
144,1,88103730
145,0,90368949
146,0,90386598
147,0,91973172
148,0,92095051
149,3,92806126
150,3,93266340
151,3,93269671
152,0,95272117
153,3,96132774
154,0,96392610
155,0,97369953
156,0,98325263
157,3,98552865
158,1,99312319
159,0,100104979
160,2,100268808
161,0,100269717
162,0,100509041
163,0,101025419
164,0,102105507
165,3,102973702
166,0,103226722
167,0,104279364
168,3,105367586
169,0,105837744
170,1,108789804
171,0,108882952
172,1,109038307
173,0,111266018
174,3,111670662
175,3,111896255
176,2,112634140
177,1,112849711
178,0,112898087
179,1,113318570
180,0,113326467
181,2,113898518
182,2,113933179
183,0,114427097
184,3,116956833
185,1,117405544
186,0,117689731
187,0,117761616
188,3,117793879
189,1,118366503
190,0,118725633
191,3,118975520
192,0,120377895
193,0,121961112
194,3,122307894
195,3,122610617
196,0,122640552
197,1,122821005
198,0,123972222
199,0,124289949
200,0,124790874
201,1,125293548
202,3,127961883
203,3,127962077
