,cat,id
0,1,728857
1,1,1584831
2,1,2681222
3,2,2839264
4,2,4314182
5,3,4654831
6,1,5062912
7,2,5585455
8,0,5722583
9,0,7029762
10,2,7904210
11,0,8193070
12,0,8194441
13,3,8405352
14,2,9058112
15,0,9283461
16,3,9480494
17,3,9800632
18,2,10223257
19,0,11203650
20,0,12836608
21,3,12923947
22,3,14752481
23,2,15320005
24,1,15569265
25,1,15790695
26,1,15866177
27,3,16053855
28,3,16069936
29,0,17340057
30,0,18085386
31,2,18548418
32,2,19120069
33,3,20196094
34,0,20260165
35,2,22402628
36,2,22402950
37,3,26533130
38,0,28917912
39,3,29342011
40,3,29528906
41,3,29583569
42,0,30339623
43,1,31980778
44,3,32831821
45,1,33561931
46,0,33706298
47,3,35942379
48,3,36029204
49,2,36328191
50,3,37255638
51,2,39538431
52,3,40731954
53,3,41969277
54,0,42291055
55,2,42542424
56,0,42840794
57,1,43171237
58,1,43863879
59,1,44744706
60,3,44835413
61,1,45685685
62,1,45686461
63,0,45882459
64,1,45998881
65,2,46414673
66,1,47408068
67,2,49008354
68,0,49984507
69,2,50669769
70,1,51627409
71,2,52667638
72,1,52724360
73,3,53718735
74,1,54679790
75,1,55546691
76,1,55699449
77,1,56162660
78,2,56262597
79,2,56262669
80,1,58564483
81,0,59800323
82,2,61255149
83,0,62323541
84,1,62959297
85,3,63666520
86,3,65191923
87,2,67454684
88,2,67454775
89,1,67499027
90,3,68014513
91,0,68732264
92,1,68794670
93,1,68848065
94,1,69108462
95,2,70670470
96,0,71876306
97,1,72582330
98,0,72789519
99,1,74335211
100,3,74571088
101,0,74798811
102,2,75766181
103,0,75914740
104,0,75916353
105,3,76132461
106,0,76348897
107,0,76957343
108,2,77820278
109,1,78377519
110,3,78854129
111,1,79044216
112,1,79251424
113,0,80449782
114,2,80609909
115,2,80824280
116,2,80824318
117,3,81869130
118,0,82474198
119,0,82620437
120,0,84668938
121,2,84903112
122,3,86038233
123,2,86156446
124,0,86644916
125,3,89164705
126,3,90613876
127,2,92170081
128,1,93358162
129,1,93387378
130,0,94302890
131,1,94982059
132,1,95021195
133,1,95133782
134,2,95143100
135,1,96159074
136,2,96278885
137,3,96402282
138,0,96798960
139,3,97151531
140,0,98325283
141,2,98496972
142,2,99724422
143,0,101059046
144,0,101314068
145,3,101788039
146,1,101832684
147,1,102033470
148,0,102137460
149,0,102137805
150,1,102918934
151,2,103528276
152,2,103528504
153,0,103531904
154,1,103844594
155,3,105043096
156,1,105140857
157,3,105938606
158,0,106934948
159,1,107181918
160,2,107314933
161,0,107742496
162,2,108149457
163,3,108903591
164,0,109532669
165,2,110086360
166,2,110899867
167,0,111164084
168,2,113694619
169,3,115163540
170,1,115420408
171,0,115922404
172,0,116273845
173,1,117088531
174,2,117144059
175,1,117416185
176,2,117485986
177,0,117918803
178,1,118825606
179,1,118832068
180,2,120224943
181,2,121000012
182,3,121388892
183,3,121427426
184,0,121852600
185,2,122437787
186,2,122729958
187,0,123187356
188,2,124588546
189,2,125205532
190,2,126136973
191,0,127194560
192,2,127617107
193,3,129546698
194,3,129836301
195,2,130176655
196,3,131239147
197,2,132238457
198,0,133298764
199,1,133549704
200,2,133922788
201,1,135054603
202,3,135064839
203,1,135784369
204,0,136061408
205,2,136572262
206,3,137144203
207,2,137947188
208,1,138458789
209,3,140871252
210,3,141375903
211,0,141834408
212,2,143147745
213,1,143348821
214,0,145611278
215,2,146660039
216,0,147804877
217,2,148173975
218,2,148659519
219,1,148668752
220,1,149537656
221,1,153203125
222,1,153203210
223,0,153595269
224,1,154034156
225,2,154294286
226,1,154355863
227,0,154592835
228,3,155754527
229,3,156252916
230,0,158823052
231,0,159326419
232,2,159785087
233,3,160561701
234,0,161027173
235,1,161595357
236,1,162195612
237,3,163732047
238,0,165349976
239,3,165538294
240,2,165746387
241,1,165877789
242,1,166489814
243,1,167643489
244,3,168083681
245,3,168862380
246,3,168908250
247,1,169867834
248,1,171380278
249,1,172038619
250,2,172095581
251,0,172714865
252,2,173954825
253,1,174134264
254,2,174328205
255,2,174350906
256,3,176333421
257,3,176344395
258,1,176554028
259,3,178418440
260,1,178674642
261,3,178692421
262,1,179009475
263,2,179508058
264,3,179622752
265,2,180378372
266,2,180642817
267,0,181555945
268,0,182397639
269,3,183462088
270,1,184310453
271,2,184352453
272,1,184579633
273,1,185301145
274,1,185705092
275,1,185883141
276,2,186261268
277,2,186473967
278,3,187689375
279,0,187980531
280,1,188424959
281,1,189216307
282,2,191870599
283,2,192583885
284,3,193215787
285,0,193416436
286,2,194676243
287,0,194729358
288,2,194847017
289,0,196337448
290,2,196654471
291,2,196921635
292,2,196921910
293,2,196921930
294,2,196959650
295,2,197027830
296,0,197349507
297,0,197670397
298,3,197756320
299,3,197926370
300,3,198146823
301,1,199331446
302,0,200127525
303,1,200290542
304,1,201797417
305,2,201964732
306,0,202762126
307,2,202876939
308,0,203221996
309,0,203231406
310,0,203481630
311,2,204195098
312,1,206830670
313,0,207189816
314,1,207730155
315,1,208037504
316,1,209082882
317,2,212314068
318,2,213144148
319,0,213333130
320,3,213387667
321,2,214048204
322,2,214808479
323,1,216489833
324,3,216814119
325,3,216959113
326,1,218563272
327,0,220494246
328,2,220536713
329,2,220573477
330,2,220859341
331,3,221794854
332,3,223243494
333,2,224291643
334,2,224332054
335,1,225732320
336,1,226016316
337,3,226254741
338,3,226535260
339,2,226655521
340,0,228045336
341,0,228902230
342,1,228976307
343,1,229512255
344,2,230248144
345,1,230378060
346,2,230731800
347,1,231009707
348,2,231010482
349,0,231247211
350,1,231415576
351,2,231664669
352,2,231664804
353,2,231923131
354,3,232918238
355,0,233315675
356,3,234453348
357,2,235235835
358,0,236868993
359,0,237389472
360,2,237507506
361,1,237885245
362,2,238216475
363,3,239393225
364,2,239518757
365,2,240295818
366,0,240695130
367,2,241037939
368,2,241281888
369,0,242029488
370,0,243063174
371,0,244166554
372,0,245116714
373,0,245180217
374,2,245746720
375,3,246337954
376,1,246871491
377,0,248050379
378,2,249183836
379,1,249827589
380,1,250684727
381,2,251498890
382,1,252084053
383,1,252162839
384,2,252322967
385,2,254400299
386,2,254602890
387,0,255195871
388,1,255203095
389,0,257610906
390,3,257794896
391,0,258032517
392,3,258536537
393,2,259234840
394,3,260815861
395,1,261663678
396,3,262884046
397,3,264235154
398,2,264958135
399,1,265082012
400,2,265531107
401,2,265995884
402,2,266740565
403,2,266877274
404,0,267538784
405,3,268741863
406,1,269241790
407,0,270028934
408,0,270033557
409,3,270895248
410,0,272348090
411,2,273000901
412,1,273108212
413,2,273991286
414,2,274164218
415,3,274201904
416,0,275501636
417,2,275896739
418,2,278279928
419,2,279129234
420,0,280343823
421,2,280477621
422,2,280992013
423,2,281424900
424,0,281435164
425,2,281973588
426,1,282026549
427,0,282039717
428,1,282840693
429,2,286113613
430,2,286719204
431,2,287015857
432,3,288173538
433,2,288583705
434,2,290890743
435,1,291307029
436,2,291795945
437,2,291801858
438,0,293516387
439,2,294149321
440,3,294224420
441,0,294444735
442,3,294558017
443,1,294644170
444,1,296025988
445,1,298073994
446,1,298335689
447,0,299061148
448,2,299466127
449,3,299688305
450,1,300504994
451,3,300901835
452,3,301142781
453,2,301626311
454,0,301627349
455,0,302337320
456,2,302635628
457,2,302764206
458,3,303628583
459,3,304128972
460,3,304452531
461,2,304532480
462,0,305230386
463,3,305506863
464,3,306670336
465,0,310927845
466,3,312984011
467,2,313151858
468,2,313157647
469,1,313384734
470,2,315954626
471,1,316313042
472,2,316426146
473,1,317536955
474,3,318520432
475,3,319331976
476,0,319902080
477,0,321042484
478,0,321542965
479,3,321551217
480,1,321737429
481,2,321837123
482,2,322080750
483,0,323697113
484,2,323925512
485,2,324247669
486,1,324495481
487,1,325012076
488,3,325457642
489,0,325779120
490,2,327660978
491,3,328776077
492,1,329370979
493,3,329440111
494,3,330191894
495,0,330250514
496,1,330290986
497,0,331334648
498,0,332394962
499,1,332663605
500,1,332663636
501,0,332712398
502,2,333943955
503,0,333997325
504,3,334766049
505,0,335041650
506,1,335253690
507,2,337368856
508,0,337631478
509,1,339438912
510,0,339890472
511,1,339971752
512,1,340166733
513,3,341429155
514,3,341931307
515,1,343650344
516,0,346038892
517,3,346451317
518,1,346636360
519,2,346897144
520,0,347127352
521,2,347141432
522,2,347398399
523,1,347699594
524,0,347737015
525,0,347737405
526,2,348407245
527,1,349990161
528,0,350698463
529,2,352012238
530,3,352511741
531,1,355265158
532,3,356261432
533,1,357271225
534,1,358181383
535,0,359567223
536,2,361458761
537,1,363902086
538,2,364114918
539,0,364707505
540,0,364968214
541,2,365649301
542,0,366300207
543,0,368806077
544,1,369409932
545,1,370231649
